اخرها	آخِر,خار,خار-ِ,آخَر
جمعت	جَمَع-َ,جَمَّع
جاءنا	جاء
تنزل	نَزَل-ِ,أَنْزَل,نَزَّل,تَنَزَّل,نَزِل-َ
تحيض	تَحَيَّض,حاض-ِ
تجعل	جَعَل-َ
برب	رُبّ,رَبّ
بجنازة	جُنّاز,جِنازَة
بالسيف	سَيْف,سِيف
اوسق	أَوْسَق
اهديت	أَهْدَى
انعم	نَعُم,نَعَّم,نَعِم-َ,نَعَم-َُ,أَنْعَم,نِعْمَة
امنا	أَمَنّ,آمَن,أَمْن,أَمِن-َ,آمِن,أَمَّن,أُمّ
اليهما	آلِيّ,إِلَى,وَلِي-ِ
اليم	أَلِيم,أَلام
الورق	وَرَق
المنافقين	مُنافِق
الفحل	فَحْل
العنزي	عَنْزِيّ
الطائف	طائِف
السختياني	NOTFOUND
الرجلين	رَجُل,رِجْل
الجوع	جُوع
الجر	جَرّ
اعور	عَوَّر,أَعْوَر
استاذنت	NOTFOUND
اركبها	رَكَّب,رَكِب-َ,أَرْكَب
ارضه	راض,رَضّ,أَرَضَة,أَرَّض,أَرْضَى,رَضَّى,رَضِي-َ,أَرْض
اخيك	أَخ,وَخَى-ِ
ائتوا	NOTFOUND
ينكح	أَنْكَح,نَكَح-َُِ
يسرق	سَرَق-ِ,سَرَّق
يزني	وَزَن-ِ,زَنَى-ِ
يجعلني	جَعَل-َ
ولاهل	هَلّ-ِ,أَهْل,أَهَلّ,آهِل
وقرا	قَرّ-َِ,قَرّ,وَقَر-ِ,وَقْر,وَقُر,وِقْر,قَرا,وَقَّر
وستين	سِتُّون,سِتّ
ورخص	رُخْص,رَخَّص,رَخُص,رُخْصَة,رَخْص
وحلق	حَلَّق,حَلْق,حَلَق,حَلَق-ِ
وحتي	حَتَّى
وتسعين	تِسْعُون,سَعَى-َ,وَسِع-َ
واكثر	أَكْثَر,كَثُر,كَثَّر
هن	هُنَّ,هَنّ-ِ
هرقل	هِرَقْل
ميناء	مِيناء,مِينا
معصية	مَعْصِيَة
مسافر	مُسافِر
محبوب	مَحْبُوب
كوفي	وَفِيّ,كُوفِيّ
قيئه	قَيَّأ,قَيْء
قرية	قَرْيَة,قَرِيَّة
قحافة	قَحّافَة,قُحاف
فليلبس	لَبَّس,لَبِس-َ,أَلْبَس
فشهد	شَهِد-َ
فخذي	فَخْذِيّ,أَخَذ,فَخْذ
فترك	تَرَك,تَرْك,فَتَر,فِتْر,وَرَى-ِ,تُرْكِيّ,فَتَّر,رَأَى-َ,تَرَّك,رَكّ,رَكّ-ِ
فاه	وَهَى-ِ,فاه,آه
فاغتسل	ٱِغْتَسَل
عرفت	عَرَّف,عَرَف-ِ
ضربت	ضَرَب,ضَرَّب
شبرا	شَبَّر,شِبْر,شُبْرا,شَبَر
سالنا	سال-ِ,وَلِي-ِ,أَلان
سار	وَرَى-ِ,سارِي,رَأَى-َ,سار-ِ,سارّ
رفعت	رِفْعَت,رَفَع-َ,رَفَّع
رجلي	رَجُل,رِجْل
دينك	دِين,دَيِّن,دَيْن
حلت	حَلّ-ِ,حَلَى,حَلَّى,حال,حَلُو,حَلّ
جاءك	جاء
تقولون	قال
تعرف	عَرَّف,تَعَرَّف,عَرَف-ِ,تَعَرُّف
تعبد	عَبَد,عَبَّد,تَعَبُّد,تَعَبَّد
تحد	حَدِي,حاد-ِ,حاد,تَحَدِّي,أَحَدّ,حَدّ-ِ,حَدّ,حَدا
بليل	لَيْل,بَلِيل
بكرا	بَكَر,بِكْر,بَكَّر,بَكْر,بَكْرَة
بحجر	حُجْرَة,حَجَر,حِجْر,حَجْر
باربع	أَرْبَع
اوي	أَوَى-ِ,آوَى,أَوَّى
اواق	أُوقِيَّة
انفه	نَفَى,نَفا,أَنِف-َ,أَنَفَة,ناف,أَنُوف,أَناف,أَنْف,آنِف,نَفّ-ِ
النحوي	نَحَوِيّ,نَحْوِيّ
المسعودي	NOTFOUND
المرادي	مُرْدِيّ
المحيا	مُحَيّا
القدح	قِدْح,قَدَح,قَدْح
الفرس	فارِسِيّ,فَرَس
الشر	شَرّ
السمع	سَمْع
السباع	سَبْع
الذنوب	ذَنْب
الخروج	خُرُوج
الخذف	NOTFOUND
الحياء	حَياء
الحائط	حائِط
الجزري	جَزَرِيّ
الجبال	جَبَل
التحيات	تَحِيَّة
اصحابنا	صاحِب
اشفع	شَفَع-َ
استقبل	ٱِسْتَقْبَل
استطعت	ٱِسْتَطاع
اذان	أَذان,أُذُن
اثبت	أَثْبَت,ثَبُت,أَثاب,ثَبَت,ثَبَّت
يقعد	قَعَد,أَقْعَد,قَعَّد
يضحي	أَضْحَى,ضَحَّى,ضَحِي-َ
يرث	رَثا,وَرِث-ِ,راث-ِ,رَثّ-ِ,رَثَى,راث
يديك	يَد,وَدَى-ِ
يدخلها	أَدْخَل,دَخَل
يتفرقا	تَفَرَّق
يبدا	بَدّ
ويل	وَلِي-ِ,وَيْل
وملء	مِلْء,مَلْء
وعطاء	عَطاء
وصف	صَفّ,وَصَف-ِ,وَصْف
واموالهم	مال
والماء	ماء
نبيا	نَبِيّ
منافق	مُنافِق
مدرك	مُدِرّ,مُدْرِك,مَدَر
محيصة	مَحِيص
محفوظ	مَحْفُوظ
لكن	لٰكِن,كَنّ-ِ,كِين,كان,لٰكِنَّ,كَنّ,لِ-
لفظه	لَفْظ,لَفَظ-ِ,فَظّ,لَفْظَة
لعلك	لَعْل,لَعَلَّ,عَلَك-ِ,عِلْك,عَلْك
لصلاة	صَلَّى,صَلاة,صَلَى-ِ
كلمات	كَلِمَة
فيح	وَحَى-ِ
فقدمت	قَدِم-َ,قَدَّم
فرفعت	رِفْعَت,رَفَع-َ,رَفَّع
فرايته	رايَة
فاوحي	أَوْحَى,وَحَى-ِ
فاردت	أَرْدَى,أَراد
عيش	عَيَّش,عَيْش
علما	عَلِم-َ,عِلْم,عَلَم,عَلَّم
عطس	عَطَس-ِ,عَطْس,عَطَّس
عسي	عَسِيّ,عَسّ,عَسَى
ضحك	ضَحِك-َ,ضَحْك
صحبة	صَحِب-َ,صُحْبَة
شيخا	شَيْخ
شوال	شُوال,شَوّال
سراقة	سَرّاق
ريحها	رَيَّح,رَيِّح,رِيح
روضة	رَوَّض,رَوْضَة
رجب	رَجِب-َ,رَجَب
خذوا	أَخَذ
حجرة	حُجْرَة,حَجَر,حَجَّر,حَجْر,حِجْر
حبة	حَبّ,حَبّ-ِ,حُبّ
حابس	NOTFOUND
جانب	جانَب,جانِب
جاءني	جاء
ثيابه	ثَوْب
ثنتين	ثُنَّة
توفيت	تَوَفَّى
تمرا	تَمْر,أَمَرّ,مَرّ
تعال	أَعال,تَعالَى
تذهب	أَذْهَب,ذَهَب-َ,ذَهَّب
تباع	تِباع,أَباع,بيع
بقدح	قِدْح,قَدَح,قَدْح
بدت	بَدا,باد-ِ,بَدّ
بثوب	ثَوْب
بالنهار	نَهار
النذر	نَذْر,نَذِير
اللفظ	لَفْظ
القدوس	قَدُّوس
العامري	عامِرِيّ
السهمي	NOTFOUND
السارق	سارِق
الرهط	رَهْط
الدواب	دابَّة
البكر	بِكْر,بَكْر,بَكْرَة
اقتل	قَتَل,قَتَّل
اشق	شَقّ,شَقا,شَقِي,شاق,أَشْقَى
ادبر	دَبَّر,دَبَر,أَدْبَر
احداكن	أَحَد,أَحَّد,أَحَدّ
ابيت	بات-ِ,أَبات,بَيَّت,أَبَى-َ
يقبض	قَبَّض,قَبَض-ِ
يؤم	NOTFOUND
ولده	وَلَد-ِ,وَلْدَة,وَلَّد,لِدَة,وَلَد,أَلَدّ,لِدّ,لَدّ
وسبعين	سُبْع,سَبْع,سَبْعُون
وراسه	رَأْس
وحين	حِين,حِينَ,حَيْن,وَحَى-ِ
وجعلت	جَعَل-َ
نظرت	نَظَر
مصرف	مَصْرَف
كلبك	كَلَب,كَلِب,كَلْب,لُبّ,كَلَّب
كف	كَفّ
كبيرا	بِيرا,كَبِير
قرئ	NOTFOUND
قتيل	قَتِيل
قائمة	قائِمَة,قائِم
ففتح	فَتَح-َ,فَتْح
فعله	فَعَل-َ,فَعْلَة,فِعْل,عَلَّ,عِلَّة
فطفق	طَفَق,طَفِق-َ
فصنع	صَنَّع,صَنْع,صُنْع,صَنَع-َ
فصلينا	صَلَّى,صَلِي-َ,فَصْلِيّ,صَلَى-ِ,فَصْل
فصليت	صَلَّى,صَلِي-َ,صَلَى-ِ
فخرجنا	خَرَج,خَرْج,خَرَّج
فانكم	إِنَّ,وَنَى-ِ,آن,أَنّ-ِ,أَنَّ
فاقتلوه	NOTFOUND
غزاة	غَزاة,غازِي,غَزا
عمامة	عِمامَة
عبثر	NOTFOUND
طول	طَوْل,طُول,طَوَّل
صغير	صَغِير
صاحبك	صاحَب,صاحِب
شانك	شان-ِ
سواه	سَوَّى,سِوَى
سوادة	سَواد
سبيعة	NOTFOUND
سالوا	سال-ِ
رعيته	رَعِيَّة,رَعَى-َ
رده	رَدَّة,رَدّ
رجعنا	رَجَّع,رَجَع-ِ,رَجْع
خليلا	خَلِيل
خطاياي	خَطِيئَة
حينئذ	حِينَئِذٍ
حاضت	حاض-ِ
جبهته	جَبَه-َ,جَبْهَة
جاءوا	جاء
ثوبين	ثَوْب
تدع	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
بينكما	يِن,بَيَّن,بَيْنَ,بَيِّن
اوحي	أَوْحَى,وَحَى-ِ
اهللت	أَهَلّ
الهاشمي	هاشِمِيّ
المهاجرون	مُهاجِر
المعلي	مُعَلَّى
المظلوم	مَظْلُوم
المجن	مِجَنّ
الكبير	كَبِير
السام	سامّ,سام
الحيضة	حَيْضَة
البلخي	NOTFOUND
البزاز	بُزّ,بَزّاز
البدر	بَدْر
الانباري	NOTFOUND
الاقامة	إِقامَة
اعمي	عَمِي-َ,عَمَّى,أَعْمَى
ابنك	آب,ٱِبْن,بَنَى-ِ,أَبان,أَبَّن
يمنعك	مَنَع
يقع	وَقَع-َ,أَقْعَى
يسيرا	سَيَّر,يَسِير,سار-ِ,أَسار
يحج	حَجّ,حَجا
ويلك	لاك,وَلِي-ِ,وَيْل,لَكّ
ويقولون	قال
ويرفع	رَفَع-َ,رَفَّع
ومحمود	مَحْمُود
وزن	وَزْن,وَزَن-ِ,زان-ِ,زَنّ
وزعم	زَعَم,زَعْم
ودخل	دَخْل,دَخَل
وانك	آنُك,إِنَّ,وَنَى-ِ,آن,أَنّ-ِ,أَنَّ,ناك-ِ,نَكَى-ِ
وامراة	أَمْر,أَمَّر,أَمَرّ,آمَر,أَمَر,آمِر
والطاعة	طاعَة
والخميس	خَمِيس
والتابعين	تابِع
نهر	نَهار,نَهْر,هار,هَرا,وَهَر-ِ,هَرّ-ِ,نَهَر-َ
معاذا	مَعاذ
مصلاه	مُصَلَّى,مَصَل
مسئول	مَسْؤُول
مجيد	مُجِيد,مَجِيد
فكبروا	كَبَّر,كَبَر
فعلي	عَلِيّ,فِعْل,فِعْلِيّ,عَلَى,عَلَّى
فشربت	شَرِب-َ,شَرَّب
فجمع	جَمَع-َ,جَمَّع,جَمْع
فبكي	بَك,بَكَى-ِ,بَكَّى,كَيّ,بَكِي-َ
غيرك	غَيَّر,غَيْر
غابت	غاب-ِ
عبدك	عَبَد,عَبَّد,عَبْد
ظننا	ظَنّ,ظِنَّة
صدقته	صَدَقَة,صَدَّق
زهدم	NOTFOUND
ركعتان	رَكْعَة
رءوسهم	رَأْس
حياة	حَياة,حَيّا,حَيّ,حَيّ-َ
جهم	جَهْم,جَهُم
توضع	وَضَع,أَوْضَع
تركنا	تَرَك,تَرْك,تُرْكِيّ,أَرْكَن,رَكَن,رَكِن-َ,تَرَّك,رَكّ
تجدون	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جَدّ-ِ
تبكي	بَكَى-ِ,بَكَّى,أَبْكَى,بَكِي-َ
انطلقوا	ٱِنْطَلَق
اناسا	إِنْسان,إِنْس
امرها	أَمْر,مار,مار-ِ,أَمَّر,أَمَرّ,مَرّ,أَمار,آمَر,آمِر,أَمَر
امثالها	مِثْل,مَثَل
الوراق	وَرّاق
الوالدين	والِد
الهذلي	NOTFOUND
الكلمة	كَلِمَة
الكفار	كافِر,كَفّار
القري	قَرْيَة,قِرَى
العيدين	عِيد
الطهور	طَهُور
الضعيف	ضَعِيف
الصور	صُورَة,صُور
الصالحة	صالِح,صالِحَة
السهو	سَهْو
الخشني	NOTFOUND
الجحفة	NOTFOUND
الثلاث	ثَلاث
الاف	إِف,إِلْف,أَلْف
الاضاحي	أُضْحِيَّة
الاذي	أَذَى
اظن	ظَنّ
استخلف	ٱِسْتَخْلَف
ارسله	أَرْسَل
ادعي	ٱِدَّعَى,دَعا,أَدْعَى
اختها	أُخْت,آخَى
احدثكم	حَدَث,أَحْدَث
احببت	أَحَبّ
اجمع	جَمَع-َ,أَجْمَع,جَمَّع
اتفقا	ٱِتَّفَق
ابوا	آب,أَب,أَبْوا,أَبّ,أَبَى-َ
ابكي	بَكَى-ِ,بَكَّى,أَبْكَى,بَكِي-َ
يغشي	غَشِي-َ,أَغْشَى,غَشا,غَشَّى
يصومه	صام
يجبه	جَبَى-ِ,جَبَّى,جاب,جَبَه-َ,جَبّ,أَجاب
يباع	أَباع,بيع
ياتينا	أَتَى-ِ
وعد	عَدّ,وَعْد,وَعَد-ِ
وحماد	حَمّاد
وجدتم	وَجَد-ِ,جاد
وايوب	أَيُّوب
والمدينة	مَدِينَة,مُدِين,مَدِين
والقران	قِران
والامام	إِمام,أَمامَ,أَمام
وادي	أَدَّى,وادِي,إِدّ,وَدَى-ِ
واحسبه	حَسَب,حَسِب-ِ
ملء	مِلْء,مَلْء
مفضل	مُفَضَّل,مِفْضَل
ماهك	ماه-و
كبشة	كُبْشَة,كَبْشَة,كَبَش,كَبْش
قرني	قِرْن,قَرْنِيّ,قَرْن,قُرْنَة,قَرّ-َِ
قراءته	قِراءَة
فوضعت	وَضَع
فليفعل	فَعَل-َ
فكرهت	كَرِه-َ,كَرُه,كَرَّه
فقوموا	قام,قَوَّم
فقرات	فَقْرَة
فصاعدا	صاعِد
فامرنا	مار,أَمْر,مار-ِ,أَمَّر,مَرَّن,أَمَرّ,مَرّ,أَمار,آمَر,آمِر,أَمَر
فاصاب	أَصاب
عويمر	NOTFOUND
عقل	عِقال,عَقَل-ِ,عَقْل,عَقَّل
عرف	عَرَّف,عَرَف-ِ,عُرْف
طهرت	طَهَّر,طَهَر
ضعفه	ضُعْف,ضَعِيف,ضَعَّف,ضِعْف
صفر	صِفْر,صَفَر-ِ,أَصْفَر,صَفَر,صَفَّر
رواد	رائِد
ذمة	ذِمَّة,ذَمّ
حمران	NOTFOUND
حدثاه	حَدَث
حدا	حَدا,حَدّ,حَدّ-ِ
جائزة	جائِز,جائِزَة
ثقل	ثِقَل,ثَقُل,ثَقَّل
بول	بُول,بَوَّل,بَوْل
بم	بِمَ
بفضل	فَضْل
بثلاثة	ثَلاث
انفسنا	نَفْس,نَفِس-َ,نَفَّس
انشدكم	نَشَد,أَنْشَد
المنكر	مُنْكَر,مُنَكَّر,مُنْكِر
القرظي	NOTFOUND
الفضة	فِضَّة
الفريابي	NOTFOUND
الفرقان	فُرْقان
العسقلاني	NOTFOUND
العتمة	عَتْمَة
الصفوف	صَفّ,صُفُوف
الشريد	شَرِيد
الديلي	دَيْلِي
الحائض	حائِض
الجرمي	NOTFOUND
التسليم	تَسْلِيم
الاولين	أَوَّل
الامانة	أَمانَة
اعمر	عَمَر,أَعْمَر,عَمُر,عَمَّر,عَمِر-َ
اشار	أَشار
ازل	أَزال,أَزَل,زال-َ,أَزَلّ,زال,زَلّ-َِ
ادركت	أَدْرَك
اخشي	خَشِي-َ,خَشَّى
يوجد	وَجَد-ِ,أَوْجَد
يفرق	فَرَق,فَرَّق
يعوده	عاد,عَوَّد
يشير	أَشار
يسعي	سَعَى-َ
يحدثنا	حَدَث,أَحْدَث
يجزئ	جَزَّأ
يبارك	بارَك,بارَى
ياتيه	أَتَى-ِ
وكره	كَرْه,كَرِه-َ,وَكْرَة,كَرُه,كَرَّه,كَرّ,كَرِه,وَكْر,وَكَّر,كُرْه,كُرَة
وفلانا	فَلّ,فَلَى-ِ,فُلان,فَلَّى,فَلاً
وفتنة	فات,فَتَن-ِ,فِتْنَة
وعيسي	عِيسَى,أَعْيَس
وعلقمة	عَلْقَم,عَلْقَمَة
وزر	وِزْر,وَزَر-ِ,زَرّ,وَزِر-َ,زِرّ
وذكرت	ذَكَر,ذَكَّر
وبهذا	هٰذا
وبالصفا	صَفاً
والحسين	حُسَيْن
واعطي	أَعْطَى
واضعا	واضِع
وارجلهم	رَجَّل,رِجْل,رَجِل-َ
واديا	أَدَّى,وادِي
هاء	هاء
نكاح	نِكاح
نجدة	وَجَد-ِ,أَجْدَى,جَدا,نَجَد,نَجِد-َ,نَجْد,أَجَدّ,جاد,نَجَّد,أَجاد,نَجْدَة
مواليه	مُوالِي,مَوّال,مُوالِيَة,مَوْلَى
مساجد	مَسْجِد
متكئا	مُتَّكِئ
لامتي	لامَّة,أُمَّة,أَمَة
