لينوء	ناء
فستر	سَتَر,وَرَى-ِ,رَأَى-َ,سُتْرَة,سِتار,سِتْر,سَتَّر
فساررته	سارّ
فريه	فِرْيَة,رِئَة,فَرِيّ,رَيّ
فريق	رَيِّق,فَرِيق,رِيق
فركبتها	رُكْبَة,رَكِب-َ,رَكَّب
فرغا	فَرَّغ,فَرِغ,فَرِغ-َ,فَرَغ,رَغا
فررنا	فَرّ-ِ
فرب	رُبّ,رَبّ
فذكرهن	ذِكْر,ذَكَر,ذَكَّر
فذبح	ذَبَّح,ذَبْح,ذَبَح-َ
فخير	فَخِير,خَيِّر,خَيْر,خَيَّر
فخفف	خَفَّف
فخالفوهم	خالَف
فحملنا	حَمْل,حَمَل,حَمَل-ِ,حِمْل,حَمَّل
فحانت	حان-ِ
فجمعوا	جَمَع-َ,جَمَّع
فجر	فَجَر,فَجَّر,فَجْر,جَرّ
فجذبه	جَذَب-ِ,جَذْب
فجاهد	جاهَد,جاهِد
فجا	فَجا,فَجّ
فثلاث	ثَلاث
فتوضع	وَضَع,أَوْضَع
فتناوله	تَناوَل,تَناوُل,ناوَل
فتمعر	تَمَعَّر,أَمْعَر,مَعِر-َ
فتعمل	عَمِل-َ,أَعْمَل,تَعَمُّل
فتعتد	عَتُد,أَعْتَد,ٱِعْتَدَى,ٱِعْتاد,عَتَّد,ٱِعْتَدّ
فتحدث	حَدَث,تَحَدُّث,تَحَدَّث,أَحْدَث
فتبعته	تَبِعَة,تَبِع-َ
فبها	بِ
فبلغت	بَلُغ,بَلَغ,بَلَّغ
فاهللنا	هَلّ-ِ,هَلَّل,أَهَلّ
فاهجر	أَهْجَر,هَجَر,هَجَّر
فانكن	إِنَّ,وَنَى-ِ,آن,أَنّ-ِ,أَنَّ
فانشدكم	نَشَد,أَنْشَد
فانسيتها	أَنَسِيّ,إِنْسِيّ,أَنَسِيَّة,أَنْسَى,إِنْسِيَّة
فالقاه	فالِق,لَقِي-َ,أَلَق-ِ,أَلْقَى
فالشطر	شَطْر
فالجنة	جِنَّة,جُنَّة,جَنَّة,لَجِن-َ
فالتي	فالِت,آلَة,الَّذِي
فاكرم	أَكْرَم,كَرَّم,كَرُم
فاقمه	قام,قَمّ,أَقام
فاقسم	أَقْسَم,قَسَم-ِ,قَسَّم
فاقبضه	قَبَّض,قَبَض-ِ
فافعلي	أَفْعَل
فاغمي	أَغْمَى,فاغِم,غَمَى-ِ,غَمَّى,أَغَمّ
فاعمل	عَمِل-َ,أَعْمَل
فاعتكف	ٱِعْتَكَف
فاعتقتها	أَعْتَق,ٱِعْتاق
فاعادها	عادَى,أَعاد
فاطلب	طَلَب
فاضربوه	أَضْرَب
فاشتريت	ٱِشْتَرَى
فاسمعوا	أَسْمَع
فاسقون	فاسِق
فاسقطت	أَسْقَط
فاسق	وَسَق-ِ,أَسْقَى,سَقَى-ِ,ساق,فاسِق
فاسرعت	أَسْرَع
فاستوي	ٱِسْتَوَى
فاستن	ٱِسْتَنّ
فاستمعت	ٱِسْتَمَع
فاستعار	ٱِسْتَعار
فاستداروا	ٱِسْتَدار
فاستحالت	ٱِسْتَحال
فارجعوا	أَرْجَع
فاذني	آذِن,إِذْن,أُذُن,أُذُنِيّ
فادعه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
فادركنا	أَدْرَك,دَرَّك
فاخرجهم	خَرَّج,أَخْرَج
فاختصما	ٱِخْتَصَم
فاخترناه	ٱِخْتار
فاحلق	حَلَّق,حَلَق-ِ
فاحشا	فاحِش
فاحذروهم	NOTFOUND
فاحتبس	ٱِحْتَبَس
فاجعلها	جَعَل-َ
فاجبته	أَجاب
فاتيتهم	آتَى,آتِي,أَتَى-ِ
فاتيتها	آتَى,أَتَى-ِ,آتِي
فاتك	فاتِك,تَكّ,فات,تَكّ-ِ
فاتبعته	أَتْبَع,ٱِتَّبَع
غيروا	غَيَّر
غيرتم	غَيَّر
غيرة	غَيَّر,غَيْرَة,غَيْر
غوت	غَوَى-ِ,غَوَّى
غمزني	غَمَز-ِ
غليظة	غَلِيظ
غلت	غَلا,غَلَّى,غَلّ-ِ,غَلَى-ِ,غال,غَلّ
غلبه	غَلَب-ِ,غَلْبَة
غزو	غَزْو
غرضا	غَرَض
غراب	غُراب
غائر	غائِر
عيالنا	عِيال
عيال	عِيال
عويمرا	NOTFOUND
عوار	عَوار
عواتقنا	عاتِق
عميرا	عُمَيْر
عمرته	عَمَر,عُمْرَة,عَمُر,عَمَّر
عمد	عِماد,عَمَّد,عُمْدَة,عَمْد,عَمَد-ِ
عليكما	عَلِيّ,عَلَى
علمها	عَلِم-َ,عِلْم,عَلَم,عَلَّم
عقلته	عَقَّل,عُقْلَة
عصوا	عَصَى-ِ,عَصّ-َ,عَصاً
عشائكم	عَشاء,عِشاء
عسرا	عَسِر,عَسَّر,عُسْر,عَسَر,عَسُر
عسب	NOTFOUND
عرضها	عَرَض,عَرَض-ِ,عَرْض,عِرْض,عَرَّض
عذرة	عُذْرَة,عُذْر,عَذَر-ِ
عذرا	عُذْر,عَذَر-ِ
عدوهم	عَدّ,عَدَّى,عَدا,عَدُوّ,عَدْو
عجزت	عَجِز-َ,عَجُز,عَجَّز
عبلة	عَبْل
عالية	عالِي,عالِيَة
عاقبه	عاقَب,عاقِب,عاقِبَة
عافني	عاف,عاف-ِ
عافاني	عاف,عاف-ِ,عافَى
ظهرها	ظَهْر,ظُهْر,ظَهَر-َ,ظَهَّر
ظهرانيهم	NOTFOUND
ظنكم	ظَنّ
ظلمهم	ظَلَم-َِ,ظُلْم
ظلمة	ظالِم,ظُلْم,ظَلَم-َِ,ظُلْمَة
طيبها	طَيَّب,طِيب,طَيِّب
طيبنا	طَيَّب,طِيب,طَيِّب
طوفي	طَوْف
طوالة	طَوِيل,طِوالَ,طُوالَة
طهرها	طُهْر,طَهَّر
طلاقي	طَلاق
طعموا	طَعَّم,طَعِم-َ
طرفيها	طَرَف,طَرَفِيّ
طبه	طَبّ,طِبّ
ضلعا	ضَلَّع,ضَلَع-َ,ضِلْع,ضَلْع
ضربتين	ضَرْبَة
ضرا	ضَرّ,ضِرّ
ضحكت	ضَحِك-َ
ضبة	ضَبَّة,ضَبّ-ِ,ضَبّ
ضال	ضالّ
صواحبي	NOTFOUND
صليتها	صَلِي-َ,صَلَّى,صَلَى-ِ
صلب	صُلْب,صَلَب-ِ,صَلُب,صَلَّب,صَلْب
صفقة	صَفَق-ِ,صَفْق,صَفْقَة,صَفَّق,صَفَق
صفحة	صَفَح-َ,صَفْح,صَفَّح,صَفْحَة
صفت	صَفا,صَفَّى,صَفّ
صخب	صَخِب,صَخَب,صَخِب-َ
صحفتها	صَحْفَة,صَحَّف
صحبته	صَحِب-َ,صُحْبَة
صح	صَحّ-ِ
صامت	صامِت,صام
صاف	صافِي
صاحبهما	صاحَب,صاحِب
صاحبتك	صاحَب,صاحِب
شوكة	شَوَّك,شَوْكَة,شَوْك,شَوِك
شكي	شَكّ,شِيك
شقيصا	NOTFOUND
شعف	NOTFOUND
شطط	شَطَط
شطرها	شَطْر,شَطَر
شرور	شَرّ
شركاء	شَرِيك
شرق	شَرِق-َ,شَرْق,شَرَق
شرطة	شُرْطَة,شَرْط,شَرْطَة,شَرَط,شَرَّط
شبيه	شَبِيه
شبعنا	شَبِع-َ,شَبْع,شَبَّع
شاوا	NOTFOUND
شاق	شاق,شاقّ
شافع	شافِع
شارفا	شارِف,شارَف
سيورثه	أَوْرَث,وَرَّث
سيئات	سَيِّء,سَيِّئَة
سوارين	NOTFOUND
سهمها	سَهْم,سَهَم
سنك	وَكَى-ِ,سِنّ,سَنّ
سنامه	سَنام
سما	سَمّ,سَما
سليك	سَلِي-َ
سلامي	سَلّام,سَلام,سُلامَى
سقاية	سِقايَة
سفهاء	سَفِيه
سعدان	سَعْدان
سرته	سار-ِ,سَرَّى,سَرَى-ِ,سُرَّة,سَرّ
سربا	سَرِب-َ,سُرْبَة,سَرَّب,سَرَب,سِرْب
سجود	سُجُود,ساجِد
سجدا	سَجَد,ساجِد
سبيلي	سَبِيل
سبيلها	سَبِيل
سبوا	سَبّ,سَبَى-ِ
سببته	سَبّ,سَبَّب
سبا	سَبّ
سام	سامّ,سام,سامِي
سافرتم	سافَر
سابع	باع-ِ,سابِع,أَباع,بيع
زوجتان	زَوْجَة
زكية	زَكِيّ,زَكِي-َ
زبر	زُبْر,زَبَر,زُبْرَة
زاوية	زاوِيَة
زادنا	زاد-ِ,زاد
ركعتهم	رَكَّع,رَكْعَة,رَكَع-َ
رقيقة	رَقِيق,رَقِيقَة
رفعها	رَفَع-َ,رَفْع,رَفَّع
رغب	رَغِب-َ,رَغَب
رعيتها	رَعِيَّة,رَعَى-َ
رضوان	رِضْوان
رسلكما	رِسْل,رَسْل,رَسُول
رزقتنا	رَزَق
ردوه	رَدِي-َ,رَدَّى,رَدّ
ردهما	رَدّ
رحمته	رَحَّم,رَحْمَة,رَحِم-َ
رحالنا	رِحال,رَحّال,رَحْل
رث	رَثّ-ِ,رَثّ
ربح	رَبَّح,رَبِح-َ,رِبْح
رايح	رائِح
رئاب	رُؤْبَة
ر	ر
ذنبي	ذَنْب,ذَنَبِيّ,ذَنَب
ذروني	ذَرا,ذَرّ,ذَرَّى
ذرا	ذَرا,ذُرْوَة,ذَرّ
ديته	دِيَة
دوسا	دَوْس
دماء	دَم
دل	دَلّ
دعوي	دَعْوِيّ,دَعْوَى
دعوها	وَدَع-َ,دَعّ-َ,دَعا
دعوا	وَدَع-َ,دَعّ-َ,دَعا
دعته	دَعَة,دَعّ-َ,دَعا
دعاكم	دَعّ-َ,دَعا
دعاك	دَعّ-َ,دَعا
درجتين	دَرَجَة
دخله	دُخْلَة,دَخْل,دَخَل,دُخَّلَة,دِخْلَة
دحيم	NOTFOUND
دامت	دام
داع	داعِي
خياطا	خَيّاط,خِياط
خوان	خائِن,خوان,خَوّان,خُوان
خليطين	خَلِيط
خفية	خُفْيَة,خَفِيّ,خُفّ,خَفِيَّة
خطايا	خَطِيئَة
خرقاء	أَخْرَق
خرجن	خَرَج,خَرَّج
خراسان	خُراسان
خدرها	خَدَّر,خَدَر,خِدْر
خبيئا	NOTFOUND
خبثها	خَبَث,خُبْث
خامس	خامِس
خالجنيها	NOTFOUND
خافت	خافَت,خافِت,خاف-َ
خاصرتي	خاصِرَة
خاصرتاها	خاصَر
خابت	خاب-ِ
حويطب	NOTFOUND
حوضه	حَوْض
حميدة	حَمِيدَة,حُمَيْد,حُمَيْدَة,حَمِيد
حملتكم	حَمْلَة,حَمَل-ِ,حَمَّل
حليلة	حَلِيلَة,حَلِيل
حله	حِلَّة,حِلّ,حَلَّة,حُلَّة,حَلّ
حلقه	حَلْقَة,حَلَّق,حَلْق,حَلَق,حَلَق-ِ
حفت	حَفّ,حَفّ-ِ,حاف-ِ
حسبنا	حَسْبَ,حَسْب,حَسَب,حَسِب-ِ,حَسُب
حسابا	حِساب
حرفين	حَرْف
حدير	NOTFOUND
حديج	NOTFOUND
حدته	حِدَة,حاد-ِ,حِدَّة,حاد,حَدّ,حَدا
حجية	حُجِّيَّة,حَجِيّ
حجتك	حِجَّة,حُجَّة,حَجّ,حَجا
حجاما	حَجّام
حجا	حَجّ,حِجاً,حَجا
حبستها	حَبَس-ِ,حُبْسَة
حالهم	حال
حاجبه	حاجِب,ٱِحْتِجاب
جوامع	جامِع
جواب	جَواب,جابِيَة
جهرنا	جَهُر,جَهْر,جَهَر-َ
جنان	جَنَّة
جنازته	جِنازَة
جن	جِنّ,جَنّ
جملي	جُمْلَة,جَمَل
جزاك	جَزَى-ِ,جَزّ,جِزْيَة
جرس	جَرَس,جَرْس,جَرَس-ِ,جَرَّس
جرابا	جِراب,جُراب
جدعناه	جَدَع-َ
جب	جُبّ,جَبّ
جانبه	جانَب,جانِب
جان	جانِي,جان
جائزا	جائِز
جاءته	جاء
جئناك	جاء
جئتني	جاء
ثيابهم	ثَوْب
ثمود	NOTFOUND
ثمرها	ثَمَر
ثروان	NOTFOUND
ثبات	ثَبات
ثانيا	ثانِي
تيكم	NOTFOUND
تيس	تَيْس
توي	تَوّ
توضانا	NOTFOUND
توضئي	تَوَضُّؤ,وَضُؤ
تواجه	واجَه,تَواجَه
تهمة	وَهَم-ِ,تُهْمَة,هَمّ,أَهَمّ,هَما
تنفرا	نَفَّر,نَفَر
تنصر	تَنَصَّر,نَصَر,نَصَّر
تنشق	نَشِق-َ,تَنَشَّق,ٱِنْشَقّ,أَنْشَق,نَشَّق,تَنَشُّق
تنتهك	ٱِنْتَهَك,ٱِنْتَهَى
تنتقل	ٱِنْتَقَل
تناولت	تَناوَل
تنافسوا	تَنافَس,نافَس
تنازع	تَنازُع,نازَع,تَنازَع
تمهل	مَهَل-َ,تَمَهَّل,أَمْهَل,تَمَهُّل,مَهَّل
تمشون	أَمْشَى,مَشّ,مَشَّى,مَشَى-ِ
تمسك	تَمَسُّك,مَسَى,تَمَسَّك,مَسَّك,مَسَّى,أَمْسَك,مَسَك,أَمْسَى,وَمَس-ِ,مَسّ-َ,ماس-ِ
تمسح	مَسَّح,مَسَح-َ,تَمَسَّح
تمتشط	ٱِمْتَشَط
تلقاه	لَقِي-َ,تَلَقَّى
تلدوني	وَلَد-ِ,لَدّ
تكونا	تَكّ,وَكَى-ِ,تَكَوَّن,كان,كَوَى-ِ,كَوَّن,تَكّ-ِ
تكني	تَكّ,كَنا,تَكَنَّى,كَنَى-ِ,وَكَى-ِ,كَنَّى,كَنّ-ِ,أَكَنّ,تَكّ-ِ
تكرهونه	كَرِه-َ,كَرَّه,أَكْرَه
تقضمها	قَضَم-ِ,قَضِم-َ
تقربها	قَرَّب,تَقَرَّب,قَرِب-َ,تَقَرُّب,قَرُب
تفيض	فاض-ِ,أَفاض
تفور	فَوَّر,فار
تفل	فَلّ,تَفِل,فَلَى-ِ,تَفَل,فال-ِ,فَلَّى,تُفْل
تفطروا	تَفَطَّر,أَفْطَر,فَطَر
تفرقا	فَرَق,تَفَرَّق,تَفَرُّق,فَرَّق
تفترونه	فَتَر,ٱِفْتَرّ,فَتَّر,أَفْتَر,ٱِفْتَرَى
تغير	غَيَّر,تَغَيَّر,تَغَيُّر,أَغار
تغلوا	غَلَّى,غَلا,وَغَل-ِ,أَغْلَى,غَلّ-ِ,غَلَى-ِ,غَلّ,أَغَلّ
تغلبهم	غَلَب-ِ,تَغَلُّب,تَغَلَّب
تغلبنكم	تَغَلَّب
تعود	تَعَوُّد,تَعَوَّد,عاد,عَوَّد
تعظيما	تَعْظِيم
تعشي	أَعْشَى,عَشِي-َ,عَشَّى,عَشا,تَعَشَّى
تعذبوا	عَذَب-ِ,عَذَّب,تَعَذَّب,عَذُب,أَعْذَب
تعذبهم	عَذَب-ِ,عَذَّب,أَعْذَب
تعذب	عَذَب-ِ,عَذَّب,تَعَذَّب,عَذُب,أَعْذَب
تعدني	عَدّ,عَدَّى,أَعْدَى,أَعاد,عَدا,وَعَد-ِ,عاد,أَعَدّ
تعجز	أَعْجَز,عَجِز-َ,عَجُز,عَجَّز
تعتق	عَتُق,أَعْتَق,عَتَق-ِ,ٱِعْتاق
تعبدون	عَبَد,عَبَّد
تعبدوا	عَبَد,عَبَّد,تَعَبَّد
تطعمه	تَطَعَّم,أَطْعَم,طَعَّم,طَعِم-َ
تضيف	ضَيَّف,أَضاف
تصف	صَفا,صَفَّى,أَصْفَى,صَفّ,وَصَف-ِ
تصديقا	تَصْدِيق
تصبحوا	أَصْبَح,صَبَّح
تصب	وَصَب-ِ,صَبّ,أَصاب,صَبِي-َ,صَبا,صَبّ-َ,صَبَّى
تشابه	تَشابَه,شابَه,تَشابُه
تسيل	سَيَّل,سال-ِ,أَسال
تستره	تَسَتُّر,سَتَر,سَتَّر
تسالوه	NOTFOUND
تزورنا	زار,ٱِزْوَرّ,زَوَّر
تزهي	زُهِي-َ,أَزْهَى,زَها
ترهقني	رَهِق-َ,أَرْهَق
تركناهم	تَرَك,أَرْكَن,تَرَّك
تركتهن	تَرَك,تَرِكَة,تَرَّك
ترفعوا	تَرَفَّع,رَفَع-َ,رَفَّع
ترضين	رَضّ,أَرْضَى,رَضَّى,رَضِي-َ,تَرَضَّى
تردون	رَدِي-َ,رَدَّى,أَرْدَى,رَدّ,وَرَد-ِ
تردها	رَدِي-َ,راد,رَدَّى,رَدّ,أَراد,أَرْدَى,وَرَد-ِ
ترخص	تَرَخَّص,أَرْخَص,رَخَّص,رَخُص
ترحم	رَحَّم,تَرَحَّم,رَحِم-َ
تربة	تَرَّب,تُرْبَة,راب-ِ,تِرْب,راب,أَراب,تَرِب,أَرْبَى,رَبا,رَبَّى
تذوقي	ذاق,تَذَوُّق
تدعونها	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
تدعهم	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
تداويتم	تَداوَى
تخيروني	خار-ِ,خَيَّر,تَخَيَّر
تخلفه	خَلَف,تَخَلُّف,أَخْلَف,تَخَلَّف,خَلَّف
تخطب	خَطَب
تحنطوه	حَنَّط
تحمر	ٱِحْمَرّ,حَمَّر
تحلق	حَلَّق,حَلَق-ِ,تَحَلَّق
تحفظ	حَفِظ-َ,تَحَفَّظ,أَحْفَظ,تَحَفُّظ
تحسسوا	تَحَسَّس
تجدك	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جاد,أَجاد
تجتمع	ٱِجْتَمَع
تثبت	تَثَبَّت,أَثْبَت,ثَبُت,ثَبَت,ثَبَّت,تَثَبُّت
تتهمونه	ٱِتَّهَم
تتخذوها	ٱِتَّخَذ
تبيعا	باع-ِ,تَبِيع,أَباع
تبيع	باع-ِ,تَبِيع,أَباع
تبوءوا	باء,بَوَّأ
تبسط	تَبَسُّط,بَسُط,بَسَّط,بَسَط,تَبَسَّط
تبايع	بايَع,تَبايَع
تب	تَبّ-ِ
تامنوني	أَمِن-َ,أَمُن
تاثلته	NOTFOUND
تاتينا	أَتَى-ِ
تاتوها	أَتَى-ِ
بيوتهن	بَيُّوت,بَيْت
بيهودي	يَهُودِيّ
بيعها	بَيْع
بيديك	يَد
بوجهك	وَجْه
بواد	بَوادِي,وادِي
بنهر	نَهار,نَهْر
بنصيبي	نَصِيب
بنصالها	نَصْل
بنبيذ	نَبِيذ
بنافخ	نافِخ
بناجز	ناجِز
بمفاتيح	مِفْتاح
بمد	مَدّ
بمحفوظ	مَحْفُوظ
بمحجنه	مِحْجَن
بمثلهن	مِثْل,مَثَل
بليلة	لَيْلَة,لَيْل,بَلِيلَة,بَلِيل
بكلبي	كَلِب,كَلَب,كَلْبِيّ,كَلْب,كَلِيب
بكلام	كَلام
بكثرة	كُثْر,كَثْرَة
بقصار	قَصْرِيَّة,قَصِير,قَصار,قَصّار
بقبور	قَبْر
بقائمة	قائِمَة,قائِم
بفاعل	فاعِل
بغيره	غَيْر,غَيْرَة
بغلام	غُلام
بعينها	عَيْن
بعزيمة	عَزِيمَة
بعرس	عُرْس
بعثته	عُثّ,بَعَث-َ,بَعْثَة
بعثتم	بَعَث-َ
بعبدين	عَبْد
بعام	عام,عامّ
بع	NOTFOUND
بطون	بُطُون
بطعامه	طَعام
بطانة	بَطانَة,بِطان
بطائفة	طائِف,طائِفَة
بضفير	NOTFOUND
بصيرة	بَصِيرَة,بَصِير
بصفية	صَفّ,صَفِيّ,صَفِيَّة
بصاحب	صاحِب
بشهيد	شَهِيد
بشطر	شَطْر
بشبر	شِبْر
بسورتين	سُورَة
بسقبه	NOTFOUND
بسارية	سارِيَة,سارِي,سارّ
بزكاة	زَكاة
بزق	زَقّ,بَزْق,بَزَق
برهان	رِهان,بُرْهان
بركتك	بِرْكَة,رُكَّة,رِكَّة,بَرَك,بَرَكَة,بَرَّك
برجلين	رَجُل,بَرْجَل,رِجْل
بدفنهم	دَفْن
بدئ	NOTFOUND
بخبز	خُبْز
بحليلة	حَلِيلَة,حَلِيل
بحسنة	حَسَنَة,حَسَن,حُسْن
بحائطكم	حائِط
بجبة	جُبّ,جُبَّة
بتور	NOTFOUND
ببينة	بَيِّنَة,بَيْنَ,بَيِّن
ببئر	بِئْر
بايعناه	بايَع
بايعتك	بايَع
