بحلالك	حَلال
بتكبيرهم	تَكْبِير
بتكبيرة	تَكْبِير
بتفضيل	تَفْضِيل
بتفريطنا	تَفْرِيط
بتغطية	تَغْطِيَة
بتعذيب	تَعْذِيب
بتشييد	تَشْيِيد
بتشهد	NOTFOUND
بتشديد	تَشْدِيد
بتسمية	تَسْمِيَة
بتسعمائة	تِسْعمائَة
بتزويج	تَزْوِيج
بترقوته	NOTFOUND
بترسه	تُرْس,تِرْس
بترس	تُرْس,تِرْس
بتربتها	تُرْبَة
بتربة	تُرْبَة,تِرْب,تَرِب
بتراب	تُراب
بتراء	بِتْراء,أَبْتَر
بتذليلهم	تَذْلِيل
بتحويل	تَحْوِيل
بتحريمهم	تَحْرِيم
بتحريمه	تَحْرِيم
بتجارة	تاجِر,تِجارَة
بتبالة	NOTFOUND
بتاركك	NOTFOUND
بتارك	بَتّار
بتاذينه	NOTFOUND
بتابعة	تابِع
ببيعي	بَيْع
ببيعها	بَيْع
ببيضاء	أَبْيَض
ببيروت	بَيْرُوت
ببيتهن	بَيْت
ببيتها	بَيْت
ببيتنا	بَيْت
ببيانه	بَيان
ببولاء	NOTFOUND
ببنيه	بِنْيَة,بُنَيّ,بِن
ببني	بُنّ,بِنْيَة,بُنَيّ,بَنِي,بِن
ببنائي	بَنّاء,بِنائِيّ,بِناء
ببلل	بِلَّة
ببلدنا	بَلَد
ببلدك	بَلَد
ببلدتهم	بَلْدَة
ببلادك	بَلَد
ببكرة	بَكْر,بِكْر,بُكْرَة,بَكْرَة
ببكائه	بُكاء,بَكّاء
ببقلة	بَقْل
ببقر	بَقَر
ببغيه	بُغْيَة,بَغْي,بَغِيّ
ببغلته	بَغْل
ببغضهم	بُغْض
ببعضهم	بَعْض
ببعضكم	بَعْض
ببعر	بَعْر
ببطونهما	بُطُون
ببطلان	بُطْلان
ببضع	بَضْع,بِضْع
ببصيص	بَصِيص
ببشراه	بُشْرَة
ببشارته	بِشارَة
ببزاقه	بَزّاقَة,بُزاق
ببرهان	بُرْهان
ببره	بِرّ,بَرّ,بُرّ,بَبْر
ببركتك	بَرَكَة,بِرْكَة
ببذورك	بَذْر
ببذري	بَذْر
ببدنته	NOTFOUND
ببدعة	بِدْع,بِدْعَة,بَدْع
ببحيرة	بُحَيْرَة
ببحره	بَحْر,بَحْرَة
ببانا	NOTFOUND
ببالغ	بالِغ
بباس	NOTFOUND
ببارقة	بارِق
ببارح	بارِح
بباديته	بادِيَة,بادِي
بباخل	NOTFOUND
ببابه	بابِه,باب
ببابل	بابِل
بايمانهن	إِيمان,يَمِين
بايعوه	بايَع
بايعناهم	بايَع
بايديهن	يَد
بايديها	NOTFOUND
بايامنكم	NOTFOUND
باياته	آيَة,باي
باويس	NOTFOUND
باوليائي	وَلِيّ
باولياء	وَلِيّ
باوساق	وَسْق
باوساط	وَسْط
باوردي	أُوردِيّ
باوثانها	وَثَن
باهون	أَهْوَن
باهلة	أَهْل,هِلال,باهِل,آهِل
باهلالك	NOTFOUND
باهالة	NOTFOUND
بانيتهم	آنِيّ,بانِي,إِناء
بانوا	بان-ِ
بانهما	آن,بِأَنَّ
بانها	آن,بِأَنَّ
بانقص	NOTFOUND
بانفي	أَنُوف,أَنْف,آنِف,أَنْفِيّ
بانفها	أَنُوف,أَنْف,آنِف
بانفاسهم	نَفَس
بانفاس	نَفَس
بانصاف	إِنْصاف,نِصْف
بانصات	NOTFOUND
بانسابها	نَسَب
بانجاد	NOTFOUND
بانثي	أُنْثَى
بانبياء	نَبِيّ
باناس	إِنْس,إِنْسان
بامي	أُمِّيّ,أُمّ
باموركم	أَمْر
بامور	أَمْر
باموال	مال
بامري	أَمْر,آمِر,أَمَرّ
بامركم	أَمْر,آمِر,أَمَرّ
بامراتي	آمِر
بامرائهم	أَمِير
بامرئ	اِمْرُؤ
بامة	أُمَّة,أَمَة,أُمّ
بامانته	أَمانَة
بامامهم	أَمامَ,إِمام,أَمام
بامام	أَمام,أَمامَ,إِمام
باليهودي	يَهُودِيّ
باليمامة	يَمام
بالولاية	وِلايَة
بالوصاة	وَصاة
بالوسمة	NOTFOUND
بالوجه	وَجْه
بالوثقي	NOTFOUND
بالواقعة	واقِعَة,واقِع
بالهزل	هَزِل,هَزْل
بالهذه	NOTFOUND
بالهدة	هَدَّة
بالهداة	هادِي
بالها	بال,آل
باله	إِلٰه,بال,آل,آلَة,بالَة
بالنياحة	NOTFOUND
بالنوي	نَواة,نَوَى
بالنون	نُون
بالنورة	نُورَة,نَوْرَة
بالنوافل	نافِلَة
بالنهر	نَهار,نَهْر
بالنقير	نَقِير
بالنفخ	نَفْخ
بالنعل	نَعْل
بالنعت	نَعْت
بالنطل	نَطْل
بالنطفة	نُطْفَة
بالنصب	نَصَب,نَصْب,نُصْب
بالنصاري	نَصْرانِيّ
بالنسعة	NOTFOUND
بالنخعي	NOTFOUND
بالنجوم	نَجْم
بالنبا	NOTFOUND
بالناصية	ناصِيَة
بالناحية	ناحِيَة
بالميل	مَيْل,مِيل
بالميضاة	NOTFOUND
بالميتخة	NOTFOUND
بالموكي	NOTFOUND
بالمودة	مُودَة,مَوَدَّة
بالموالي	مَوْلَى,مُوالِي
بالمواطن	مَوْطِن,مُواطِن
بالمهيعة	NOTFOUND
بالمهتدين	مُهْتَدِي
بالمهبل	مِهْبَل,مَهْبَل
بالمنصف	مُنَصِّف,مُنْصِف
بالملكين	مَلِك
بالملك	مَلِك,مِلْك,مُلْك
بالملطي	NOTFOUND
بالملاعنة	NOTFOUND
بالمكيال	مِكْيَل
بالمكوك	مَكُّوك
بالمكلثم	NOTFOUND
بالمقتولة	مَقْتُول
بالمقام	مَقام,مِقَمَّة,مُقام
بالمقاعد	مَقْعَد
بالمفتح	مُفَتِّح
بالمغنم	مَغْنَم
بالمعصية	مَعْصِيَة
بالمعاهد	مَعْهَد
بالمعازف	مِعْزَف
بالمطوعين	مُطَوِّع
بالمطهم	مُطَهَّم
بالمصيبة	مُصِيبَة
بالمصر	مِصْر,مُصِرّ
بالمصافحة	مُصافَحَة
بالمصاحف	مُصْحَف
بالمشعر	مَشْعَر
بالمستطيل	مُسْتَطِيل
بالمساء	مَساء
بالمريضة	مَرِيض
بالمدري	مِدْرَى
بالمدر	مُدِرّ,مَدَر
بالمخصرة	مِخْصَرَة
بالمخرج	مُخْرِج,مَخْرَج,مُخْرَج
بالمحررين	مُحَرَّر,مُحَرِّر
بالمحاربة	مُحارِب,مُحارَبَة
بالمجلس	مَجْلِس
بالمجاهدين	مُجاهِد
بالمثلة	NOTFOUND
بالمتصل	مُتَّصِل
بالماذيانات	NOTFOUND
بالمؤمن	مُؤْمِن,مُؤَمِّن,مُؤَمَّن
بالمؤاجرة	NOTFOUND
بالليط	NOTFOUND
باللوح	لَوْح
باللحيم	لَحِيم
بالكلاب	كُلّاب,كَلْب
بالكفيل	كَفِيل
بالكرم	كَرَم,كَرْم
بالكتابة	كِتابَة
بالكبش	كَبْش
بالكافرين	كافِر
بالكافر	كافِر
بالكاف	كاف
بالك	بال,آل
بالقيمة	قِيمَة,قَيِّم
بالقميص	قَمِيص
بالقليل	قَلِيل
بالقلال	قَلِيل
بالقلاص	NOTFOUND
بالقعود	قاعِد,قُعُود,قَعُود
بالقطيعة	قَطِيعَة
بالقطران	قَطْران
بالقضية	قَضِيَّة
بالقصد	قَصْد
بالقسطنطينية	قُسْطَنْطِينِيّ,قُسْطَنْطِينِيَّة
بالقرن	قِرْن,قَرْن,قُرْنَة
بالقرط	قُرْط,قَرْط
بالقرامل	NOTFOUND
بالقراريط	قِيراط
بالقاف	قاف
بالقار	قار,قارّ
بالقاء	لَقَى,إِلْقاء
بالفقر	فَقْر
بالفسوق	فُسُوق
بالفسطاط	فُسْطاط
بالفساطيط	فُسْطاط
بالفرائض	فَرِيضَة
بالفداء	فِداء
بالفحشاء	فَحْشاء
بالفحش	فُحْش
بالفجور	فُجُور
بالفتن	فِتْنَة
بالفالوذج	فالُوذَج
بالفاحشة	فاحِش,فاحِشَة
بالفئوس	NOTFOUND
بالغيه	بالِغ,غَيَّة
بالغيرة	غَيْرَة
بالغيب	غَيْب,غائِب
بالغوطة	غُوطَة
بالغنائم	غَنِيمَة
بالغميم	NOTFOUND
بالغضب	غَضِب,غَضَب
بالغرق	غَرَق
بالغربال	غِرْبال
بالغراب	غُراب
بالغر	غِرّ,أَغَرّ
بالغدر	غَدْر,غَدِير
بالغداء	غَداء
بالغة	بالِغ,بالَغ
بالغ	بالِغ,بالَغ
بالعينة	عَيِّنَة,عِينَة
بالعيدين	عِيد
بالعورات	عَوْرَة
بالعوراء	أَعْوَر
بالعهود	عَهْد
بالعنب	عِنَب
بالعلم	عِلْم,عَلَم
بالعفة	عَفّ,عِفَّة
بالعظم	عَظْم,عُظْم
بالعضباء	NOTFOUND
بالعسل	عَسَل
بالعرق	عَرَق,عِرْق
بالعرض	عَرَض,عِرْض,عَرْض
بالعرجاء	أَعْرَج
بالعذيب	NOTFOUND
بالعذاب	عَذاب
بالعجفاء	أَعْجَف
بالعج	عَجّ
بالعتق	عِتْق
بالعبث	عَبَث
بالعالية	عالِي,عالِيَة
بالطول	طُول,طَوْل
بالطواغيت	طاغُوت
بالطهور	طَهُور
بالطف	أَلْطَف
بالطعان	NOTFOUND
بالضعيف	ضَعِيف
بالضربة	ضَرْبَة
بالضراء	ضِرْو,ضَرّاء
بالصوت	صَوْت
بالصلح	صُلْح
بالصفة	صِفَة,صُفَّة
بالصفاح	صَفّاح,صُفّاح
بالصف	صَفّ
بالصرف	صِرْف,صَرْف
بالصخرة	صَخْر
بالصحيفة	صَحِيفَة
بالصبية	صَبِيَّة,صَبِيّ
بالصبرة	صُبْرَة,صَبْرَة
بالصباح	صُباح,صَباح
بالصافات	NOTFOUND
بالشهداء	شَهِيد
بالشق	شِقّ,شَقّ
بالشفاءين	NOTFOUND
بالشراء	شِراء
بالشح	شُحّ
بالشبهات	شُبْهَة
بالشاهد	شاهِد
بالشاكرين	شاكِر
بالشارب	شارِب
بالسياط	سَوْط
بالسويداء	سُوَيْداء
بالسور	سُورَة,سِوار,سُور
بالسواء	سَواء
بالسنين	سِنّ,سَنَة,أَلْسَن
بالسنوت	NOTFOUND
بالسند	سِنْد,سَنَد
بالسنام	سَنام
بالسنا	سَنا,سَنَى
بالسميع	سَمِيع
بالسلطان	سُلْطان
بالسلسلة	سِلْسِلَة
بالسلامة	سَلامَة
بالسلاسل	سِلْسِلَة
بالسك	سَكّ,أَسَكّ
بالسقيا	NOTFOUND
بالسقاء	سِقاء,سَقّاء
بالسفرة	سُفْرَة,سَفْرَة
بالسعة	سَعَة
بالسرية	سِرِّيّ,سِرِّيَّة,سَرِيَّة,سَرِيّ,سُرِّيّ,سُرِّيَّة
بالسرار	سَرار
بالسراء	سَرّاء
بالسر	سُرّ,سِرّ
بالسدس	سُدْس
بالسداد	سُداد,سَداد,سِداد
بالستور	سِتْر
بالسبي	سَبْي,سَبِيّ
بالسبخة	سَبِخ,سَبَخَة
بالسبة	سَبَه,سُبَّة,سَبَّة
بالسباحتين	سَبّاح
بالساق	ساق
بالزيتون	زَيْتُون
بالزهو	زُهُوّ,زَهْو
بالزني	زِنَى
بالزمام	زِمام
بالزرع	زَرْع
بالزبير	زُبَيْر
بالري	رَيّ
بالرواية	رِوايَة
بالرنين	رَنِين
بالرميصاء	NOTFOUND
بالركاب	رِكاب,راكِب,رَكّاب
بالرقوب	رُقُوب
بالرفع	رَفْع
بالرعة	NOTFOUND
بالرصد	رَصْد,رَصَد
بالرسل	رِسْل,رَسْل,رَسُول
بالرخصة	رُخْصَة
بالرخاء	رُخاء,رَخاء
بالرحيم	رَحِيم
بالرحمن	رَحْمٰن
بالرجوع	رُجُوع
بالربع	رَبْع,رُبْع
بالربح	رِبْح
بالربائث	NOTFOUND
بالراية	رايَة
بالراحلة	راحِل,راحِلَة
بالرؤيا	رُؤَى
بالذود	ذَوْد
بالذال	ذال
بالدواء	دَواء,دِواء
بالدلجة	NOTFOUND
بالدفوف	دَفّ,دُفّ
بالدريهمات	دُرَيْهِم
بالدرهمين	دِرْهَم
بالدرة	دِرَّة,دُرّ
بالدال	دال,دالّ
بالخيرات	خَيْرَة,خَيِّر
بالخواتيم	خاتام
بالخنصر	خِنْصِر
بالخمسين	خَمْسُون,خُمْس
بالخمس	خَمْس,خُمْس
بالخمرة	خَمْرَة
بالخطمي	NOTFOUND
بالخضر	خُضْرَة,خُضْر,خَضِر
بالخزايا	خَزْيان
بالخريبة	NOTFOUND
بالختان	خِتان
بالحوت	حُوت
بالحنث	حِنْث
بالحميم	حَمِيم
بالحمير	حِمار
بالحمي	حُمَة,حَم,حَمِيّ,حِمَى,حُمِّيّ,حُمَّى
بالحمرة	حُمْرَة
بالحمر	حُمَر,حِمار,أَحْمَر
بالحمار	حَمّار,حِمار
بالحلاق	حَلّاق
بالحل	حِلّ,حَلّ
بالحضيض	حَضِيض
بالحصاة	حَصاة
بالحصا	NOTFOUND
بالحسنات	حَسَنَة
بالحزورة	حَزُّورَة
بالحزم	حُزْمَة,حَزْم,حِزام
بالحرير	حَرِير
بالحرب	حَرْب
بالحديثين	حَدِيث
بالحجج	حُجَّة
بالحجام	حَجّام
بالحجاز	حِجاز
بالحجاجي	NOTFOUND
بالحبوة	حِبْوَة
بالحب	حَبّ,حُبّ
بالحارث	حارِث
بالحائط	حائِط
بالجيش	جَيْش
بالجونية	جُونِيَة
بالجهالة	جَهالَة
بالجهاد	جِهاد
بالجنبين	جَنْب
بالجماع	جِماع
بالجماجم	جُمْجُمَة
بالجلمين	NOTFOUND
بالجلاء	جَلاء
بالجسر	جِسْر
بالجرح	جُرْح
بالجذع	جَذَع,جِذْع
بالجذام	جُذام
بالجد	جَدّ,جِدّ
بالجبيل	جُبَيْل
بالجبروت	جَبَرُوت
بالجبال	جَبَل
بالجانب	جانِب
بالجارية	جارِي,جارِيَة
بالثوبين	ثَوْب
بالثلثين	ثُلْث
بالثلاث	ثَلاث
بالثالث	ثالِث
بالتيمم	NOTFOUND
بالتيس	تَيْس
بالتنحنح	NOTFOUND
بالتمتع	تَمَتُّع
بالتلبينة	NOTFOUND
بالتلبين	NOTFOUND
بالتلبيد	NOTFOUND
بالتقوي	تَقْوَى
بالتفسير	تَفْسِير
بالتفريق	تَفْرِيق
بالتعجيل	تَعْجِيل
بالتصغير	تَصْغِير
بالترجيع	NOTFOUND
بالترابيث	NOTFOUND
بالتذنوب	NOTFOUND
بالتحميم	NOTFOUND
بالتحريق	NOTFOUND
بالتجبية	تَجْبِيه
بالتجارة	تِجارَة
بالتبن	تِبْن
بالتامين	تامّ,تَأْمِين
بالتاسعة	تاسِع
بالة	إِلٰه,بال,آل,آلَة,بالَة
بالبياض	بَياض
بالبوق	بُوق
بالبلاغ	بَلاغ
بالبغيض	بَغِيض
بالبعيرين	بَعِير
بالبطيخ	بَطِّيخ
بالبدعة	بِدْعَة
بالبخل	بُخْل
بالبئر	بِئْر
بالايضاع	NOTFOUND
بالايسر	أَيْسَر
بالايدي	يَد
بالاهل	أَهْل,آهِل
بالاه	إِلٰه,بال,بالَى
بالانواء	نَوْء
بالانبار	أَنْبار,نِبْر
بالاناء	إِناء,نَأْي,أَنَى
بالامير	أَمِير
بالامان	أَمان
بالاقعاء	NOTFOUND
بالاقرب	أَقْرَب
بالاقدار	قَدْر,قَدَر
بالافنية	فِناء
بالاعماق	عُمْق
بالاعراف	عُرْف
بالاعراب	عَرَبِيّ,إِعْراب
بالاضحية	أُضْحِيَّة
بالاصبع	إِصْبَع
بالاصافر	NOTFOUND
بالاشعري	NOTFOUND
بالاشارة	إِشارَة
بالاسم	ٱِسْم
بالاسحار	سِحْر,سَحْر,سَحَر
بالاستئذان	ٱِسْتِئْذان
بالازر	إِزار,أَزْر
بالاركان	رُكْن,إِرْكان
بالارش	أَرْش
بالاخسرين	NOTFOUND
بالاخدود	أُخْدُود
بالاخبار	إِخْبار,خَبَر,أَخْبار
بالاحتكار	ٱِحْتِكار
بالاجابة	إِجابَة
بالاثم	آثِم,أَثَم,إِثْم
بالاثر	أَثَر,أَثِر,إِثْرَ,أَثْر
بالاثاية	NOTFOUND
بالاترسة	NOTFOUND
بالابنية	بِناء
بالابكار	بِكْر
باكيه	باكِي
باكمال	إِكْمال
باكلين	آكِل,أَكْل
باكحل	أَكْحَل
باقوام	قَوْم
باقط	أَقِط
باقصار	NOTFOUND
باقرئنا	NOTFOUND
باقدام	قَدَم,إِقْدام
بافواههم	فُوه
بافواه	فُوه
بافلاس	إِفْلاس
بافطارها	إِفْطار
بافسد	NOTFOUND
باغية	باغِي
باغني	أَغَنّ
باعيننا	عَيْن
باعين	باع,عَيْن
باعياء	إِعْياء
باعوني	باع-ِ
باعناقهم	عُنْق
باعمالها	عَمَل
باعماله	عَمَل
باعلمكم	أَعْلَم
باعك	باع,باع-ِ
باعظم	أَعْظَم
باعز	أَعَزّ
باعده	باعَد
باعداء	عَدُوّ
باعجب	أَعْجَب
باعاجيب	أُعْجُوبَة
باطلة	باطِل
باطعمة	طَعام
باطرقه	NOTFOUND
باضيافه	NOTFOUND
باضياف	NOTFOUND
باصواتهن	صَوْت
باصوات	صَوْت
باصله	أَصْل,أَصَلَة
باصبعيها	إِصْبَعِيّ,إِصْبَع
باصبعين	إِصْبَع
باصبعها	إِصْبَع
باصبعك	إِصْبَع
باصابعها	إِصْبَع
باشهر	شَهْر,أَشْهَر
باشفي	إِشْفَى
باشروا	باشَر
باشرتها	أَشِر,باشَر,شَرِير
باسيافهما	سَيْف,سِيف
باسواطنا	سَوْط
باسوا	باس
باسهمي	أَسْهُمِيّ,سَهْم
باسناديهما	NOTFOUND
باسمها	باسِم,ٱِسْم
باسماعنا	NOTFOUND
باسماع	NOTFOUND
باسمائها	ٱِسْم
باسمائكم	ٱِسْم
باسمائك	ٱِسْم
باسلامه	إِسْلام
باسقية	سِقاء,باسِق
باسفلها	أَسْفَل
باسطة	NOTFOUND
باسطا	باسَط
باسرهم	أُسْرَة,أُسْر,أَسْر
باسرها	أُسْرَة,أُسْر,أَسْر
باسره	أُسْرَة,سُرّ,أُسْر,أَسْر
باسرع	أَسْرَع
باستكراء	NOTFOUND
باستقراض	ٱِسْتِقْراض
باستغفار	ٱِسْتِغْفار
باستئجار	ٱِسْتِئْجار
باسباغ	NOTFOUND
باسانيد	إِسْناد
باسامة	أُسامَة
باساري	أَسِير
بازركم	إِزار,أَزْر
بازراره	زِرّ
باز	باز,بازِي,أَزّ
باريحاء	NOTFOUND
بارنبين	أَرْنَب
بارش	أَرْش
بارزوا	بارَز
بارزت	بارَز
بارديتهما	رِداء,أُرْدِيّ
باذنيهاتين	NOTFOUND
باذنيها	أُذُن,أُذُنِيّ,آذِن,إِذْن
باذخرة	NOTFOUND
باذاننا	أُذُن,أَذان
باذام	NOTFOUND
باديا	بادَى,بادِي
بادي	إِدّ,بادَى,بادِي
بادناهما	بادِن,أَدْنَى
بادرني	بادَر
باداء	أَداء
باد	إِدّ,بادِي,باد-ِ
باخواننا	أَخ
باخواتك	أُخْت
باخلاص	إِخْلاص
باخرين	آخِر,آخَر
باخرها	آخِر,آخَر
باخره	آخِرَة,باخِرَة,آخِر,آخَر
باخذهم	آخِذ,أَخْذ
باختلافهم	ٱِخْتِلاف
باخت	باخ,أُخْت
باخبث	أَخْبَث
باحضر	NOTFOUND
باحسن	أَحْسَن
باحجارك	حَجَر
باجمعنا	أَجْمَع
باجزا	NOTFOUND
باجرين	أَجْر
باجارة	إِجارَة,أَجارَة
باثكال	NOTFOUND
باثقل	أَثْقَل
باثار	أَثَر
باتقاء	ٱِتِّقاء
باتا	باتّ,بات-ِ
بابينا	آبِي,أَب,أَبِيّ,باب
بابيك	آبِي,أَب,أَبِيك,أَبِيّ,باب
بابيض	أَبْيَض
بابويه	أَب,أَبَوِيَّة,بابَوِيّ,أَبَوِيّ,بابَوِيَّة
بابوس	NOTFOUND
بابوابها	باب
بابنيتهن	بِناء
بابنوس	أَبْنُوس
بابنتيها	ٱِبْن
بابنتين	ٱِبْن
بابان	إِبّان,باب
بابائهم	إِباء,أَب
بائنا	باء,بائِن
بائعا	بائِع
بائت	بائِت
بئرنا	بِئْر
بئارها	بِئْر
بؤذوية	NOTFOUND
ايود	يَوَّد
اينكح	NOTFOUND
اينفعك	NOTFOUND
ايمهم	أَيِّم
ايمنا	أَيِّم,يَمَّن,يَمِين,أَيْمَن
ايمس	NOTFOUND
ايمانك	إِيمان,يَمِين
ايليا	أَيِّلِيّ,إِيلِيا
ايلعب	NOTFOUND
ايلتمس	NOTFOUND
ايكشف	NOTFOUND
ايقع	NOTFOUND
ايقظوا	أَيْقَظ
ايقظت	أَيْقَظ
ايقطع	NOTFOUND
ايقتل	NOTFOUND
ايقبل	NOTFOUND
ايفر	NOTFOUND
ايفتح	NOTFOUND
ايغسله	NOTFOUND
ايغرك	NOTFOUND
ايعض	NOTFOUND
ايعرف	NOTFOUND
ايعانق	NOTFOUND
ايطب	NOTFOUND
ايضاع	NOTFOUND
ايصلي	NOTFOUND
ايشهد	NOTFOUND
ايشترك	NOTFOUND
ايسوا	أَيِس-َ
ايسعني	NOTFOUND
ايسرها	أَيْسَر,يَسَّر
ايسره	أَيْسَر,يَسَّر
ايستطيع	NOTFOUND
ايري	NOTFOUND
ايرضيك	NOTFOUND
ايرجع	NOTFOUND
ايرتد	NOTFOUND
ايذنوا	NOTFOUND
ايذبح	NOTFOUND
ايدفع	NOTFOUND
ايدخل	NOTFOUND
ايخف	NOTFOUND
ايخاف	NOTFOUND
ايحسب	NOTFOUND
ايجزيني	NOTFOUND
ايجاب	إِيجاب
ايثم	NOTFOUND
ايتخذ	NOTFOUND
ايتبعه	NOTFOUND
ايتامي	يَتِيم
ايت	آيَت
ايبيعك	NOTFOUND
ايبصر	NOTFOUND
اياهما	إِيّا
ايامي	يَوْم,أَيائِم
ايامها	يَوْم
اياللباس	NOTFOUND
اياكن	إِيّا
اياكما	إِيّا
اياكل	NOTFOUND
ايؤكل	NOTFOUND
ايؤخذ	NOTFOUND
اويك	NOTFOUND
اويسا	NOTFOUND
اويحل	NOTFOUND
اووه	أَوَّى,آوَى,أَوَى-ِ
اوهل	وَهِل-َ,وَهَّل
اوهذه	NOTFOUND
اونا	أَوْن
اومعي	NOTFOUND
اومضت	أَوْمَض
اومسكر	NOTFOUND
اومت	NOTFOUND
اومئوا	NOTFOUND
اومئ	أَوْمَأ
اوليائه	وَلِيّ
اوليائك	وَلِيّ
اولوها	أَوَّل,أَوْلَى
اولهن	وَلَّى,أَوَّل,أَوْلَه,أَوْلَى
اوللانس	NOTFOUND
اولقد	NOTFOUND
اولف	آلَف,وَلَّف
اولادهن	وَلَد
اولادهما	وَلَد
اولاء	أُولاءِ
اوكينا	NOTFOUND
اوكيتم	NOTFOUND
اوكنت	NOTFOUND
اوكلما	NOTFOUND
اوكسهما	وَكَّس
اوكا	NOTFOUND
اوقيات	أُوقِيَّة
اوقنت	NOTFOUND
اوقفتني	أَوْقَف
اوقظكم	أَيْقَظ,وَقَّظ
اوقر	وَقُر,وَقَّر,أَوْقَر
اوقدتم	أَوْقَد
اوقال	NOTFOUND
اوقات	وَقْت
اوفيهم	أَوْفَى,وَفَّى
اوفيها	أَوْفَى,وَفَّى
اوفيكم	أَوْفَى,وَفَّى
اوفيتم	أَوْفَى
اوفيت	أَوْفَى
اوفق	وَفَّق,أَوْفَق
اوفعلت	NOTFOUND
اوفاه	أَوْفَى
اوفاك	أَوْفَى
اوعيتهم	وِعاء,أَوْعَى
اوعيتها	وِعاء,أَوْعَى
اوعيتكم	وِعاء,أَوْعَى
اوعبوا	أَوْعَب
اوعب	أَوْعَب
اوطات	NOTFOUND
اوضعوا	أَوْضَع
اوضعه	أَوْضَع
اوضئ	NOTFOUND
اوصني	أَوْصَى,وَصَّى
اوصته	أَوْصَى
اوصاك	أَوْصَى
اوصاب	وَصَب
اوشكت	أَوْشَك
اوشابا	وِشْب
اوسعوا	أَوْسَع
اوسعها	أَوْسَع,وَسَّع
اوسعنا	أَوْسَع,وَسَّع
اوسطها	وَسَّط,أَوْسَط
اوسطه	وَسَّط,أَوْسَط
اوساطكم	وَسْط
اوزن	أَوَّز
اوزاعا	أَوْزاع
اوزاع	أَوْزاع
اوروا	أَوْرَى,أُورُو
اورثنا	أَوْرَث,وَرَّث
اورثته	أَوْرَث
اوذيت	NOTFOUND
اوديته	أَوْدَى,وادِي
اودع	أَوْدَع,وَدَّع
اوداجها	وَدَج
اوجعه	وَجِع-َ,أَوْجَع
اوجعناك	أَوْجَع
اوجعت	أَوْجَع
اوجزت	أَوْجَز
اوجروها	NOTFOUND
اوجدت	أَوْجَد
اوجبوا	أَوْجَب
