غارت	غار
سجع	سَجَع-َ,سَجَّع,سَجْع
ستلقاه	لَقِي-َ
ستجدني	وَجَد-ِ,أَجَدّ,أَجْدَى,جاد,جَدا,أَجاد
سبه	سَبّ,سَبَه,سُبَّة,سَبَّة
سانظر	نَظَر
سانبئك	أَنْبَأ,نَبَّأ
ساقطتها	ساقِطَة,ساقِط
ساقرا	NOTFOUND
ساعيه	عَيِي-َ,ساعِي,أَعْيَى,وَعَى-ِ
ساخطا	ساخِط
زينوا	زَيَّن
زيغ	زَيْغ
زوجت	زَوَّج
زن	زَنّ,زان-ِ
زمانه	زَمانَة,زَمان
زمام	زِمام
زلزلت	زَلْزَل
زغر	زَغَر-َ
زعيم	زَعِيم
زحزح	زَحْزَح
زانه	زانَة,زان-ِ,زان
زاده	زاد-ِ,زاد,زادَة
ريقي	رَيِّق,رِيق
رويبة	NOTFOUND
روايات	رِوايَة
رمينا	رَمْي,رَمَى-ِ
رمرمة	NOTFOUND
رمال	رَمْل,رَمّال
ركبنا	رِكاب,رُكْبَة,رَكِب-َ,رَكَّب,رَكْب
ركبانا	رَكِب-َ,رَكَّب
رقابنا	رَقَبَة
رفقتك	رِفْقَة
رعيت	رَعَى-َ
رعاها	رَعَى-َ
رشحه	رَشْح,رَشَح-َ,رَشَّح
رسلا	رِسْل,رَسْل,رَسُول
رزان	NOTFOUND
ردك	رَدّ
ردفت	رَدِف-َ,رَدَف
ردائه	رِداء
رخاء	رُخاء,رَخاء
رحلي	رَحْل,راحِل,رَحّال
رجعتها	رَجْعَة,رَجَّع,رَجَع-ِ
رجالهم	رَجُل
ربيب	رَبِيب
رباعيا	رُباعِيّ
رايه	رايَة,رَأْي
راينها	NOTFOUND
رايتموها	NOTFOUND
رايتمونا	NOTFOUND
رايتكم	رايَة
رانا	رانا,ران-ِ
راقد	راقِد
راق	راق-ِ,راقِي,راق
رافقا	رافَق
راد	راد
راحوا	راح
راجما	راجِم
راجعت	راجَع
رابط	رابَط,رابِط
رؤياي	NOTFOUND
ذهل	ذَهَل-َ,ذَهْل
ذروان	NOTFOUND
ذبحوا	ذَبَّح,ذَبَح-َ
ذبحته	ذَبَّح,ذَبَح-َ,ذِبْحَة
ذاق	ذاق
ديتها	دِيَة
دمعه	دَمَع-َ,دَمْع,دَمْعَة,دَمِعَة
دليل	دَلِيل
دق	دَقّ-ِ,دَقّ,دِقّ
دفت	دَفّ-ِ,داف
دعيت	دَعا
دعوتك	دَعْوَة,دَعا
دعائك	دُعاء
درعي	دِرْعِي,دِرْع,دِرْعِيّ
درع	دِرْع,دَرَّع
دخولهم	دُخُول
دحرجته	دَحْرَج,دَحْرَجَة
دجانة	NOTFOUND
دجالون	دَجّال
دبغت	دَبَغ-َُِ
خمسه	خَمَّس,خَمْس,خُمْس
خمروا	خَمَر,خَمَّر
خليله	خَلِيل
خليفتي	خَلِيفَة
خلل	خَلَل,خَلَّل
خلقوا	خَلِق-َ,خَلَق,خَلَّق,خَلُق
خلقها	خَلْق,خِلْقَة,خَلَق,خَلَّق,خُلْق
خلقكم	خَلْق,خِلْقَة,خَلَق,خَلَّق,خُلْق
خلافي	خِلاف,خِلافِيّ
خلافك	خِلاف
خلات	NOTFOUND
خفه	خِفَّة,خُفّ
خفافا	خَفاف,خَفِيف,خُفّ
خطه	خُطَّة,خَطّ
خطة	خُطَّة,خَطّ
خطبتكم	خَطَب,خُطْبَة,خِطْبَة
خطاب	خاطِبَة,خَطّاب,خاطِب,خِطاب
خصلتين	خُصْلَة
خشوا	خَشِي-َ,خَشَّى,خَشّ
خشنا	خَشُن,أَخْشَن,خَشَّن,خَشّ,خَشِن
خزانته	خَزّان,خِزانَة
خدي	خَدّ
خدمت	خَدَم-ُِ,خَدَّم
خبثت	خَبُث
خانك	خان
خالقها	خالِق
خالفنا	خالَف
خاطئ	خاطِئ
خاتمتها	خاتِمَة
خاب	خاب-ِ
حيصة	حَيْصَة,حَيْص
حياتي	حَياة,حَيَّة,حَياتِيّ
حياتك	حَياة,حَيَّة
حوالي	حِوال,حَوالَى
حنث	حَنِث-َ,حِنْث
حميضة	NOTFOUND
حمولة	حَمُول,حُمُولَة
حملهن	حَمْل,حَمَل,حَمَل-ِ,حِمْل,حَمَّل
حملته	حَمْلَة,حَمَل-ِ,حَمَّل
حمش	حَمَش
حمز	حَمْز,حَمَز-ِ
حمدني	حَمِد-َ,حَمَّد
حليكن	حَلْي,حَلّ
حليفا	حَلِيف
حليا	حَلَّى,حَلِي-َ,حَلْي,حَلَى
حلبها	حَلَب,حَلَب-ُِ,حَلْب
حكيما	حَكِيم
حكة	حَكّ,حِكَّة,حُكَّة
حفنة	حَفَن,حَفْنَة
حفظا	حِفْظ,حَفِظ-َ
حفرته	حَفَر-ِ,حُفْرَة
حفرة	حُفْرَة,حَفَر-ِ,حَفْر
حظي	حَظّ,حَظِي-َ,حَظِيّ
حطت	حاط,حَطّ
حصيرا	حَصِير
حصصهم	حِصَّة
حصت	حاص-ِ,حَصّ
حسابكما	حِساب
حسا	حِسّ,حَسا,حَسّ,حَسّ-ِ
حزمة	حُزْمَة,حَزْم,حَزَّم,حِزام,حَزَم-ِ
حريش	NOTFOUND
حرمات	حُرْمَة
حركة	حَرَكَة,حَرَّك
حرزا	حَرَز,حَرِز,حِرْز,حَرَّز,حَرُز
حديثك	حَدِيث
حدثتكموه	NOTFOUND
حجيجه	حاجّ
حبها	حَبّ,حَبّ-ِ,حُبّ
حبسك	حِبْس,حَبَس-ِ,حَبْس
حانت	حان-ِ
حاك	حاكِي,حاك
حاشيتها	حاشَى,حاشِيَة
جيفة	جِيفَة
جيدا	جَيِّد
جيبها	جَيْب,جِيْب
جوالقه	NOTFOUND
جنين	جِنِين,جَنِين,جَنَى-ِ
جنيبا	NOTFOUND
جناحان	جَناح
جمله	جُمْلَة,جَمَّل,جَمَل
جمعتها	جُمْعَة,جَمَع-َ,جَمَّع
جلي	جَلَّى,جَلِيّ,جُلَّى,جُلّ,جَلّ,جَلَى-ِ
جلودكم	جَلُود
جلسائه	جَلِيس
جلدها	جَلَد-ِ,جِلْد,جَلَد,جَلَّد,جَلْد,جَلِد-َ
جلدتموه	جَلَد-ِ,جَلَّد,جَلِد-َ
جلدات	جَلْدَة
جلبت	جَلَب-ُِ,جَلَّب
جفنة	جَفْنَة,جَفْن
جف	جَفّ-ِ
جسيم	جُسَيْم,جَسِيم
جزية	جِزْيَة
جرهم	جَرّ
جدتها	جاد,جَدا,جَدّ,جِدَّة
جبذة	جَبَذ-ِ
جبال	جَبَل
جاهلا	جاهِل
جاعل	جاعَل
جاز	جاز
جاريتي	جارِي,جارِيَة
جارة	جار
جارا	جار
جئتهم	جاء
جئتم	جاء
ثنيتها	ثَنِيَّة,ثَنَّى,ثَنْيَة,ثَنَى-ِ
ثمره	ثَمْر,ثَمَر
ثمرتها	ثَمْر,ثَمَر
ثمرة	ثَمْر,ثَمَر
ثمانيا	NOTFOUND
ثلمة	ثَلَّم,ثَلْم,ثَلَم-ِ,ثُلْمَة
ثقفيان	NOTFOUND
ثديهما	ثَدْي
ثائرة	ثائِرَة,ثائِر
توفيتني	تَوَفَّى
توعي	تَوَعَّى,وَعَّى,وَعَى-ِ,أَوْعَى
توطا	NOTFOUND
توص	أَوْصَى,وَصَّى
تورث	أَوْرَث,وَرِث-ِ,وَرَّث
توجهوا	وَجَّه,تَوَجَّه
توبتها	تَوْبَة,تَوَّب
تهدم	تَهَدُّم,هَدَّم,هَدَم-ِ,تَهَدَّم
تهتز	ٱِهْتَزّ
تهب	هاب-َ,هَبا,وَهَب-َ,أَهاب,أَهَبّ,هَبّ
تنله	أَنال,نال,نال-َ
تنظرين	نَظَر
تنظروا	تَنَظَّر,نَظَر
تنتظر	ٱِنْتَظَر
تنتشر	ٱِنْتَشَر
تنبعث	ٱِنْبَعَث
تناول	تَناوُل,تَناوَل,ناوَل
تنامون	أَنام,نام-َ
تنابزوا	NOTFOUND
تموتن	مَوَّت
تمنوا	تَمَنَّى,مَنَى-ِ,مَنَّى,مَنّ,أَمَنّ,مَنا
تملكون	مَلَك-ِ,أَمْلَك,مَلَّك
تمكث	مَكَث
تمرنا	مار,مار-ِ,مَرَن,مَرَّن,تَمْر,تَمَرُّن,أَمَرّ,مَرّ,تَمَرَّن,أَمار
تمتعنا	تَمَتُّع,مَتَّع,مَتَع-َ,تَمَتَّع,أَمْتَع
تماريت	تَمارَى
تلون	تَلَوَّن,تَلَوُّن,وَلِي-ِ,لَوَّن,تَلا
تلومني	لَوَّم,لام
تلوح	لاح,لَوَّح
تلمني	تَلَّم,لام,لَمّ,أَلام
تلقيته	تَلَقَّى
تلزم	لَزِم-َ,أَلْزَم
تلبسها	تَلَبَّس,تَلَبُّس,لَبَّس,لَبِس-َ,أَلْبَس
تكونون	كان,كَوَّن
تكلفوهم	كَلَّف
تكفيك	كَفَى-ِ
تكرهوا	كَرِه-َ,كَرُه,كَرَّه,أَكْرَه,تَكَرَّه
تكذيبه	تَكْذِيب
تكثرن	أَكْثَر,كَثُر,كَثَّر
تكتفي	كَتَف-ِ,كَتَّف,ٱِكْتَفَى
تقطعوا	قَطَع-َ,قَطَّع,أَقْطَع,تَقَطَّع
تقصروا	قَصُر,قَصَر-ِ,قَصَّر,قَصَر,أَقْصَر
تقرئك	أَقْرَأ
تقدمونها	قَدِم-َ,أَقْدَم,قَدَّم
تقتلوه	قَتَل,قَتَّل
تقتلنا	قَتَل,قَتَّل
تفلت	تَفَلُّت,تَفَلَّت,أَفْلَت,فَلَت-ِ,تَفَل,تَفَلَّى
تفرقت	تَفَرَّق
تفرغانه	فَرَّغ,أَفْرَغ
تغنيا	أَغْنَى,غَنِي-َ,غَنَّى,تَغَنَّى
تغفلنا	غَفَل,أَغْفَل,غَفَّل
تغطوا	غَطا,غَطّ,غَطَّى,أَغَطّ,تَغَطَّى
تغسله	غَسَل-ِ,غَسَّل
تعوذا	تَعَوَّذ,عاذ,عَوَّذ
تعهد	عَهِد-َ,تَعَهُّد,تَعَهَّد
تعليق	تَعْلِيق
تعلو	عَلا
تعلقت	تَعَلَّق
تعطيه	أَعْطَى
تعطي	أَعْطَى
تعطوا	أَعْطَى
تعطف	عَطَّف,تَعَطُّف,تَعَطَّف,عَطَف-ِ
تعسروا	عَسَّر,أَعْسَر,عَسَر,تَعَسَّر,عَسُر
تعتزل	ٱِعْتَزَل
تعار	عار-َ,أَعار
تطوي	تَطَوَّى,طَوَى-ِ
تطوعه	طاع,تَطَوُّع,تَطَوَّع,طَوَّع
تطبب	طَبّ,تَطَبَّب,طَبَّب
تضيفونا	أَضاف
تضمن	ضَمِن-َ,تَضَمَّن,ضام-ِ,ضَمَّن,تَضَمُّن
تضعين	وَضَع
تضئ	أَضاء
تصير	صار,صَيَّر
تصنعين	صَنَّع,صَنَع-َ
تصلون	صَلَّى,صَلِي-َ,وَصَل-ِ,صَلَى-ِ,أَصْلَى
تصروا	أَصَرّ,صَرّ-ِ
تصدقي	صَدَق,صَدَّق
تصدقك	تَصَدَّق,صَدَّق
تشك	وَشَى-ِ,شَكّ,شاك,أَشاك,شَكا
تشتره	ٱِشْتَرَى,شَتَر-ِ
تشترط	ٱِشْتَرَط
تسليم	تَسْلِيم
تسقي	وَسَق-ِ,سَقَى-ِ,أَسْقَى
تسرع	تَسَرَّع,سَرَّع,سَرُع,أَسْرَع,تَسَرُّع
تستفتيه	ٱِسْتَفْتَى
تستعيذ	ٱِسْتَعاذ
تستر	تَسَتُّر,سَتَر,سَتَّر,تَسَتَّر
تسالها	NOTFOUND
تساءلون	NOTFOUND
تزوره	زار,ٱِزْوَرّ,زَوَّر
تزهو	زَها
تزد	زاد-ِ,أَزاد
تركهما	تَرَك,تَرْك,تُرْكِيّ,تَرَّك,رَكّ
تركبوا	رَكَّب,تَرَكَّب,رَكِب-َ,أَرْكَب
ترقبوا	رَقَب,تَرَقَّب
ترفعها	تَرَفُّع,رَفَع-َ,رَفَّع
ترغبوا	رَغِب-َ
ترضاها	رَضّ,رَضِي-َ,تَرَضَّى
ترض	راض,رَضّ,أَرْضَى,رَضَّى,رَضِي-َ
تردي	رَدِي-َ,رَدَّى,تَرَدِّي,تَرَدَّى,رَدّ,أَرْدَى,وَرَد-ِ
ترجف	أَرْجَف,رَجَف
ترجعون	أَرْجَع,رَجَّع,رَجَع-ِ
ترث	وَرِث-ِ,رَثا,راث-ِ,رَثّ-ِ,رَثَى,راث
تربتها	تَرَّب,تُرْبَة,رَبَت-ِ,رَبَّت
تراهم	رَأَى-َ
ترابها	رابَى,تُراب
تذبحوا	ذَبَّح,ذَبَح-َ
تذبح	ذَبَّح,ذَبَح-َ
تذاكروا	تَذاكَر,ذاكَر
تدمي	دَمّ,دَمِي-َ,دَمَّى,أَدْمَى
تدمعان	أَدْمَع,دَمَع-َ
تدمع	أَدْمَع,دَمَع-َ
تدعه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
تدخلون	أَدْخَل,دَخَل
تداعي	تَداعِي,تَداعَى,داعَى
تخلفوا	خَلَف,أَخْلَف,خَلَّف,تَخَلَّف
تخفق	خَفَق-ُِ,أَخْفَق,خَفَّق
تخبره	تَخَبَّر,أَخْبَر,خَبُر,خَبَر,خَبَّر
تحولت	تَحَوَّل
تحميدة	NOTFOUND
تحلف	حَلَّف,حَلَف-ِ
تحشرون	حَشَر-ُِ
تحسن	تَحَسَّن,حَسَّن,حَسُن,أَحْسَن,تَحَسُّن
تحزين	حَزّ
تحرق	حَرَّق,حَرَق-ِ,حَرَق,تَحَرَّق,أَحْرَق,تَحَرُّق
تحدر	حَدَر-ِ,حَدَّر,حَدُر,حَدَر,تَحَدُّر,تَحَدَّر
تحدثون	حَدَث,أَحْدَث
تحجرت	تَحَجَّر
تحبسك	حَبَس-ِ
تجملت	تَجَمَّل
تجلاني	أَجَلّ,تَجَلَّى
تجديني	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ
تجاوزوا	تَجاوَز,جاوَز
تجالس	جالَس
تجادل	جادَل,تَجادَل
تتركوا	تَرَك,تَرَّك
تتخذ	ٱِتَّخَذ
تتابع	تَتابُع,تَتابَع,تابَع
تبلغه	بَلَغ,بَلَّغ,أَبْلَغ
تبل	بَلّ-ِ,بَلّ,بَلا,أَبال,تَبَل-ِ,بال,تَبَّل,بَلِي-َ,أَبَلّ,وَبَل-ِ,أَبْلَى
تبرز	تَبَرَّز,بَرَّز,بَرَز,أَبْرَز,بَرُز
تبر	بَرّ-ِ,أَبَرّ,تَبَر-ِ,بَرَى-ِ,أَبار,بار,تِبْر
تبدل	تَبَدُّل,بَدَل,تَبَدَّل,أَبْدَل,بَدَّل
تبتلي	بَتَل-ُِ,ٱِبْتَلَى,ٱِبْتَلّ,بَتَّل
تبايعا	بايَع,تَبايَع
تباغض	تَباغَض,باغَض,تَباغُض
تاوي	أَوَى-ِ
تامل	أَمَل-َ,تامِل
تاكلوه	أَكَل
تارز	NOTFOUND
تاذين	أَذِي-َ
تاخرت	NOTFOUND
تاتون	أَتَى-ِ
تات	أَتَى-ِ
تؤكل	أَكَّل,آكَل,أَكَل
تؤذيني	آذَى
تؤبر	أَبَّر
بيومين	يَوْم
بيوع	بَيْع
بيعوها	NOTFOUND
بيسير	يَسِير
بيدرا	بَيْدَر
بيتان	بَيْت
بولدها	وَلَد
بولد	وَلَد
بوضوئه	وُضُوء
بوسق	وَسْق
بوركها	وَرْك
بواسط	NOTFOUND
بواحد	واحِد
بنيانا	بُنْيان,بَنَى-ِ
بنفقته	نَفَقَة
بنفسين	NOTFOUND
بنبيه	نَبِيّ,نَبِيه
بناصيتها	ناصِيَة
بناس	ناس,ناسِي
بناحية	ناحِيَة,ناحِي
بملحفة	مِلْحَف
بمكوك	مَكُّوك
بمقابلة	مُقابَلَة,مُقابِل
بمصيبة	مُصِيبَة
بمشرك	مُشْرِك
بمشاقص	NOTFOUND
بمخصرته	مِخْصَرَة
بماذا	ماذا
بليت	بَلِي-َ
بللا	بَلَّل,بِلَّة
بلحمه	لَحْم,لَحِم,لُحْمَة
بلاغ	بَلاغ,لاغِي
بكورها	كُورَة,بُكُور,كُور,بَكِير
بكره	بُكْرَة,كَرْه,بَكَر,بَكْر,كَرّ,بَكَّر,كَرِه,بِكْر,كُرَة,كُرْه,بَكْرَة
بكرسي	كُرْسِيّ
بكتابه	كُتّاب,كِتابَة,كِتاب,كاتِب
بقيمة	قِيمَة,قَيِّم
بقيتهم	بَقِيَّة,بَقِي-َ
بقيام	قِيام
بقوسه	قَوْس
بقع	بَقَّع,بُقْعَة
بقطعه	قِطْعَة,قَطْع,قَطْعَة,قُطْعَة
بقطران	قَطْران
بفاطمة	فاطِمَة
بغنم	غُنْم,غَنَم
بغدادي	بَغْدادِيّ,بَغْداد
بغار	غار
بعنان	عِنان,عَنان
بعلا	عَلا,عَلاة,بَعْل
بعقيقته	عَقِيق
بعقاب	عُقاب,عِقاب
بعظيم	عَظِيم
بعصابة	عُصاب,عِصاب,عِصابَة
بعدهما	عَدّ,بَعْدَ,بُعْد
بعتك	باع-ِ
بعارضيها	عارِضِيّ,عارِض
بطرا	بَطِر,بَطَر,بَطِر-َ
بطح	بَطَح-َ
بضجنان	NOTFOUND
بصلاتكم	صَلاة,صِلَة,بَصَل
بصلا	بَصَل
بصفين	صَفّ,صَفِين
بصعقة	صَعَق
بصرت	بَصِر-َ,بَصُر,بَصَّر
بصدقتهم	صَدَقَة
بصدق	صِدْق
بصدر	صَدْر
بصبيان	صَبِيّ
بصاقا	بُصاق
بشفاعتي	شَفاعَة
بشفاعة	شَفاعَة,شَفْع
بشرك	بُشْر,شِرْك,شَرّ,بَشَر-ِ,بِشْر,بَشَر,بَشِر-َ,بَشَّر,شَرَك
بشرته	بَشَر-ِ,شِرَّة,بَشَر,بَشَرَة,بَشِر-َ,بُشْرَة,بَشَّر
بشاشة	بَشّاش,بَشاشَة,شاش,شاشَة
بسوق	سُوق,سَوْق
بسواك	سِوَى,سِواك
بسنين	سِنّ,سَنَة
بسلاحه	سِلاح
بسكاري	سَكْران
بستر	بَسْتَر,سُتْرَة,سِتار,سِتْر
بسبعين	سُبْع,سَبْع,سَبْعُون
بسبعمائة	سَبْعمائَة
بساط	بِساط
بساحتهم	ساحَة
بركعتي	رَكْعَة
بركتكم	بِرْكَة,رُكَّة,رِكَّة,بَرَك,بَرَكَة,بَرَّك
برطب	رَطْب,رُطَب
برز	رُزّ,بَرَّز,بَرَز,بَرُز
بردها	بُرْد,بَرَد,بَرَّد,رَدّ,بَرْد
برخص	رُخْص,رُخْصَة,رَخْص
برجيع	رَجِيع
برجلها	رَجُل,بَرْجَل,رِجْل
بربه	رَبَّة,رِبَّة,بِرْبَة,رُبّ,رَبّ
بربك	رَبَك,رُبّ,رَبِك,رَبّ
براعي	راع,راعِي
برؤية	رُؤْيَة
بذنوب	ذَنْب
بذكر	ذِكْر,ذَكَر
بدرهمين	دِرْهَم
بدراهم	دِرْهَم,بَدَر
بداخل	داخِلَ,داخِل
بحي	حَيّ
بحمار	حَمّار,حِمار
بحفظ	حِفْظ
بحديثين	حَدِيث
بحجزكم	حَجْز
بجلبان	جُلُبّان
بجزيرة	جَزِيرَة
بجالة	NOTFOUND
بثلاثين	ثَلاثُون
بتمامه	تَمام
بتلعب	NOTFOUND
بتاويل	NOTFOUND
بتاخير	NOTFOUND
ببلالها	NOTFOUND
ببقيع	NOTFOUND
ببعرة	بَعْر
ببدنة	بَدِين,بَدَن
بايهما	أَيّ,باي
بايعوني	بايَع
بايعتم	بايَع
بايام	يَوْم
بانفسهن	نَفْس
باناءين	إِناء
بالورس	وَرْس
بالوحي	وَحْي
بالوتر	وَتَر,وِتْر
بالنعال	نَعْل
بالموسم	مَوْسِم
بالمعاصي	مَعْصِيَة
بالمشركين	مُشْرِك
بالمسح	مَسْح,مِسْح
باللمم	لِمَّة,لَمَم
بالكلب	كَلِب,كَلَب,كَلْب
بالقصواء	NOTFOUND
بالفلاة	فَلاً
بالعهد	عَهْد
بالعقيق	عَقِيق
بالعصا	عَصاً
بالعرج	عَرَج
بالعدل	عَدْل
بالظعينة	ظَعِينَة
بالصيام	صائِم,صِيام
بالصبا	صِباً,صَباً
بالشهادة	شَهادَة
بالشئ	شَيْء
بالسيئة	سَيِّء,سَيِّئَة
بالسورة	سُورَة,سَوْرَة
بالسهم	سَهْم
بالسدر	سِدْر
بالزيت	زَيْت
بالروحاء	رَوْحاء,أَرْوَح
بالرفيق	رَفِيق
بالرحي	رَحَى
بالرجال	رَجُل
بالديباج	دِيباج
بالدبور	دَبُور,دَبُّور
بالخلوق	خَلُوق
بالحسن	حَسَن,حُسْن
بالحديد	حَدِيد
بالثيب	ثَيِّب
بالثالثة	ثالِث
بالتوحيد	تَوْحِيد
بالبينة	بَيِّنَة
بالبلاء	بَلاء
بالبكر	بَكْر,بِكْر,بَكْرَة
بالاولي	أَوَّل,أَوْلَى,أَوَّلِيّ
بالالقاب	لَقَب
بالاصابع	إِصْبَع
بالاسود	أَسْوَد,أَسَد
باكفهم	كَفّ
