للبواب	بَوّاب
لخثعم	NOTFOUND
لحملك	حَمْل,حَمَل,حَمَل-ِ,حِمْل,حَمَّل
لحمار	حَمّار,حِمار
لحماد	حَمّاد
لحكيم	حَكِيم
لحقنا	حاق,حاق-ِ,حَقّ,لَحِق-َ,لَحَق,حَقَن-ُِ
لحقته	حُقَّة,حاق,حاق-ِ,لَحِق-َ
لحسها	لَحَس-َ,لَحْس,لَحِس-َ,حِسّ,حَسّ,حَسّ-ِ
لحسبت	حَسَب,حَسِب-ِ,حَسُب
لحديثها	حَدِيث
لحده	لَحَد-َ,حِدَة,حِدَّة,لَحْد,حَدّ
لحد	لَحَد-َ,لَحْد,لَحَد,حَدّ-ِ,حَدّ
لحبلي	حُبْلَى,حَبَل,حَبْل
لحاقا	حاق,حاق-ِ,حاقّ,لِحاق
لحافي	حافِي,لِحاف,حافّ
لحاطب	حاطِب
لحاجتكن	حاجَة,حاجّ,حاجَى
لحاجتك	حاجَة,حاجّ,حاجَى
لحائض	حائِض
لجياع	جَوْعان
لجميع	جَمِيع
لجلال	جَلال
لجبهتي	جَبْهَة
لجاري	جار,جارِي,جارَى
لجارنا	جار
لجاء	جاء
لجا	لُجّ,لَجّ-َِ
لجئتكم	جاء
لثلاث	ثَلاث
لتهمة	وَهَم-ِ,تُهْمَة,هَمّ,أَهَمّ,هَما
لتهجره	أَهْجَر,هَجَر,هَجَّر
لتنضحه	نَضَح-َ,نَضَح-ِ
لتنتفع	ٱِنْتَفَع
لتميم	تَمِيم
لتمنيته	تَمَنَّى,تَمْنِيَة
لتمنعوا	مَنَع
لتلبسه	تَلَبَّس,تَلَبُّس,لَبَّس,لَبِس-َ,أَلْبَس
لتقوم	قام,قَوَّم
لتقولن	NOTFOUND
لتقصع	تَقَصَّع,قَصَع-َ
لتقاتلن	قاتَل,تَقاتَل
لتفتحن	فَتَح-َ,تَفَتَّح
لتفاضل	فاضَل,تَفاضُل
لتغط	غَطا,غَطّ,غَطَّى,أَغَطّ
لتغزونا	غَزا
لتعلو	عَلا
لتعلم	أَعْلَم,تَعَلَّم,عَلِم-َ,تَعَلُّم,عَلَّم
لتعطي	أَعْطَى
لتعتقها	عَتُق,أَعْتَق,ٱِعْتاق
لتطردن	طَرَد,ٱِطَّرَد
لتضرب	ضَرَب,أَضْرَب,ضَرَّب
لتصوم	صام
لتصلون	NOTFOUND
لتصدقت	تَصَدَّق
لتصب	وَصَب-ِ,صَبّ,أَصاب,صَبِي-َ,صَبا,صَبّ-َ,صَبَّى
لتشققها	شَقّ,تَشَقُّق,شَقَّق
لتستمتع	ٱِسْتَمْتَع
لتستكفئ	NOTFOUND
لتستعين	ٱِسْتَعان
لترين	وَرَى-ِ,ران-ِ,رَأَى-َ
لترون	NOTFOUND
لتركتهم	تَرَك,تَرِكَة,تَرَّك
لتركبن	رَكِب-َ,تَرَكَّب,رَكَّب,أَرْكَب
لتراجعين	تَراجُع
لتراجع	تَراجَع,تَراجُع,راجَع
لتذهبوا	أَذْهَب,ذَهَب-َ,ذَهَّب
لتذرفان	NOTFOUND
لتخرج	خَرَج,تَخَرُّج,خَرَّج,تَخَرَّج,أَخْرَج
لتخذت	NOTFOUND
لتحت	تَحْتَ,حَتّ
لتجلس	جَلَس-ِ,أَجْلَس
لتجشمت	تَجَشَّم
لتتب	تَبّ-ِ,تاب
لتبيننه	NOTFOUND
لتبيعها	باع-ِ,تَبِيع,أَباع
لتبكي	بَكَى-ِ,بَكَّى,أَبْكَى,بَكِي-َ
لتامره	أَمَر
لتامرن	أَمَر
لتاكلها	أَكَل
لتاخذوا	أَخَذ
لتاتينها	أَتَى-ِ
لتؤمن	آمَن,أَمَّن
لتؤدن	آد
لبيته	بَيْت,بَيَّت,لَبَّى
لبيانهما	بَيان
لبوله	بُول,بَوَّل,بَوْل
لبعيرك	بَعِير
لبطن	بَطَّن,بَطُن,بَطَن,لَبَط,لَبَط-ِ,بَطْن
لبسة	لَبَّس,لَبِس-َ,لَبْس,لِبْس,بَسَّة,لِبْسَة,بَسّ,لُبْسَة
لبركتها	بِرْكَة,بَرَك,بَرَكَة,بَرَّك
لبدا	بَدا,لَبَّد,لِبْدَة,لِبْد,لُبَد,لَبِد,لَبَد,بَدّ
لاولئك	أُولائِكَ
لاوشكوا	أَوْشَك
لاوشك	وَشُك,أَوْشَك,وَشَّك
لانهين	أَهان,أَنْهَى
لانهج	هَجا,أَنْهَج,هَجّ,وَهَج-ِ,أَهاج,نَهَج-ِ,هَجَّى,نَهَّج,هاج-ِ,نَهَج-َ,نَهِج-َ
لانفعنك	NOTFOUND
لانصر	أَصَرّ,صار,نَصَر,صَرّ-ِ,نَصَّر
لاناث	أُنْثَى
لامير	مار-ِ,أَمِير,أَمار
لامهات	أُمّ
لامكما	لام,أُمّ
لامشي	أَمْشَى,مَشَّى,مَشَى-ِ
لامري	أَمْر,أَمَرّ,آمِر
لالزمن	أَلْزَم
لالتمس	ٱِلْتَمَس
لالبسها	لَبَّس,لَبِس-َ,أَلْبَس
لاكسوكها	NOTFOUND
لاقولن	NOTFOUND
لاقررت	أَقَرّ
لاقرا	أَقَرّ
لاقتلها	قَتَل,قَتَّل
لاقتلن	NOTFOUND
لاقتلك	قَتَّل,قَتَل
لاقامة	إِقامَة,أَقام
لاق	آق,لاق-ِ
لافسدت	أَفْسَد
لافتل	فَتَّل,فَتَل-ِ
لاف	لاف,إِف
لاعنته	أَعان,لاعَن,عِنان,عَنَّت,أَعْنَت,عَنِت-َ
لاعلمها	أَعْلَم,عَلِم-َ,عَلَّم
لاعطيتك	عَطاء,أَعْطَى
لاعتمد	ٱِعْتَمَد
لاعبا	لاعَب,لاعِب
لاظنك	ظَنّ
لاطئة	NOTFOUND
لاصلح	صَلُح,صَلَّح,أَصْلَح
لاصق	لاصِق,لاصَق
لاصبح	أَصْبَح,صَبَّح
لاصابع	إِصْبَع
لاشهدن	أَشْهَد
لاشفعن	NOTFOUND
لاشج	شَجّ
لاسير	سَيَّر,سار-ِ,أَسِير,أَسار
لاسوة	أُسْوَة,آسِي,آسَى,لاس,أَسا,أَسَّى
لاسناد	إِسْناد,سَنَد
لاسقي	أَسْقَى,سَقَى-ِ
لاسعد	أَسْعَد,سَعِد-َ
لاستي	ٱِسْت,ٱِسْتِيّ
لازواج	زَوْج
لارهق	رَهِق-َ,أَرْهَق
لاركب	رَكَّب,رَكِب-َ,أَرْكَب
لاربعة	رَبَّع,أَرْبَع,رَبَع-َ
لاذودن	NOTFOUND
لاذود	ذاد
لادني	ٱِدَّنَى,لادَن,دَنِي-َ,أَدّ,دَنَّى,أَدْنَى,دَنا,آد,لادِن
لادم	دَمّ,آدَم
لادعي	ٱِدَّعَى,دَعا,أَدْعَى
لاخرت	خَرَت
لاختلافهم	ٱِخْتِلاف
لاحياء	حَيّ,إِحْياء
لاحي	لاحّ,أَحّ,وَحَى-ِ
لاحلم	حَلَم,حَلُم
لاحفظ	حَفِظ-َ,أَحْفَظ
لاحصاه	أَحْصَى,أَحَصّ
لاحرقهم	حَرَّق,حَرَق-ِ,حَرَق,أَحْرَق
لاحدهما	أَحَد,أَحَّد,أَحَدّ,حَدّ
لاحدث	حَدَث,أَحْدَث
لاحبهم	أَحَبّ,حَبّ-ِ,لاحِب
لاحبه	أَحَبّ,حَبّ-ِ,لاحِب,حَبِيب
لاجلس	جَلَس-ِ,أَجْلَس
لاجزاك	أَجْزَى
لاجبته	أَجاب
لاجال	أَجال,أَجَل
لاجاب	أَجاب
لاتينهم	آتَى,أَتَى-ِ
لاتممتها	أَتَمّ
لاتلقاها	لَقِي-َ,تَلَقَّى
لاتبين	تَبَيَّن,أَبان,بَيَّن,بان-ِ
لاتبعنه	باع-ِ,أَتْبَع,أَباع,ٱِتَّبَع
لاتالفهم	أَلِف-َ
لابيعه	باع-ِ,أَباع
لابويه	أَب,أَبَوِيّ,أَبَوِيَّة
لابنك	آب,ٱِبْن,أَبان,أَبَّن
لابنته	ٱِبْن,أَبان,أَبَّن
لابعد	بَعُد,أُبْعِد,أَبْعَد
لابصرنا	بَصِر-َ,أَبْصَر,بَصَّر,بَصُر
لابركم	أَبَرّ,إِبْرَة,أَبَّر,أَبَر-ُِ
لابتين	NOTFOUND
لابتدرتموه	ٱِبْتَدَر
لابائي	إِباء,أَب
لئيم	لَئِيم
كيفه	كَيْف
كيعقوب	يَعْقُوب
كيسة	كَيْس,كَيِّس,كِيس,أَكْيَس,كَيَّس
كير	كِير
كيده	كَيْد,يَد
كومين	كَوْم
كوماوين	NOTFOUND
كوماء	NOTFOUND
كوم	كَوْم,كَوْمَة,كَوَّم,كُوم
كوة	كُوَّة
كهولا	كَهْل
كهمسا	NOTFOUND
كهجرة	هِجْرَة,هَجْر
كنيتي	كُنْيَة,نِيَّة,نِيّ
كني	كَنَى-ِ,كَنَّى,نَيّ,كُنْيَة,كَنّ,نِيّ
كنفا	كَنِيف,كَنَف
كنزها	نَزّ,كَنَز-ِ,كَنْز,كَنِز
كنزا	كَنَز-ِ,كَنْز,كَنِز
كنتما	كان
كناسة	ناس,كُناسَة,كَنّاس
كميه	كَمِيّ,كَمِّيّ,كَمِّيَّة
كمهدي	مُهْدِي,مَهْد,مَهْدِيّ,مُهْدَى
كمها	كَمَه,مَها,أَكْمَه,كَمّ
كمه	كَمَه,أَكْمَه,كَمّ
كمسل	مُسَلِّي
كمثله	مِثْل,مَثَل
كليم	كَلِيم,كِلِيم
كليل	كَلِيل,لَيْل
كلن	كال-ِ
كلمها	كَلَّم,كَلْم
كلمنا	كَلَّم,كَلْم
كلماتك	كَلِمَة
كلفوني	كَلَّف
كلتاهما	كَلَت-ِ,كِلا,كِلَّة
كلامها	لام,كَلام
كلابي	كُلّاب,كَلْب
ككسره	كَسْرَة,كِسْرَة,كَسْر
كقولي	قَوْل
كقضم	قَضْم
كقرني	قِرْن,قَرْنِيّ,قَرْن,قُرْنَة
كقرصة	قَرْصَة,قُرْص,قُرْصَة,قَرْص
كقتالكم	قَتّال,قِتال,قاتِل
كقاتله	قاتِل
كفيتكم	كَفِيّ,كَفَى-ِ
كفيت	كَفَى-ِ
كفنوه	كَفَن-ِ,كَفَّن
كفلين	فَلّ,فِلِّين
كفلان	فُلان
كفعلك	فِعْل
كفرها	كَفَر-ِ,كَفَّر,كَفَر,كُفْر,فَرّ,كَفْر
كفره	كَفَر-ِ,كَفَّر,فَرِه,كَفَر,كُفْر,فَرّ,كافِر,كَفْر
كفانيهم	NOTFOUND
كفاك	كَفّ,كَفَى-ِ
كفاحا	كِفاح
كغطيط	غَطِيط
كعمرة	عُمْرَة,عُمْر,عُمَر
كعكا	كَعْك,عَكَّة
كعقبة	عُقْب,عَقَبَة
كعدل	عَدْل
كصيام	صائِم,صِيام
كصوت	صَوْت
كصلاتكم	صَلاة,صِلَة
كشر	كَشَّر,شَرّ,كَشَر-ِ
كشجرة	شَجِر,شَجَرَة
كسي	كِسْوَة,سِي,كَسِي-َ
كسوتها	كِسْوَة,كَسا
كسوتنيه	NOTFOUND
كسهم	سَهْم
كسلت	كَسِل-َ,كَسَّل
كسفا	كَسَف-ِ,كَسْف
كسردكم	سَرْد
كسرتين	كَسْرَة,كِسْرَة,سُرَّة
كسرتني	كَسَر-ِ,كَسَّر
كست	سِتّ,كاس-ِ,كَسا
كسبيل	سَبِيل
كسانيها	NOTFOUND
كسائها	كِساء
كريه	كَرِيه,كُرَيَّة,كُرِيّ,رِئَة,كَرِي-َ,رَيّ
كرومهم	رَوْم,رُوم,كَرْم
كرهوه	كَرِه-َ,كَرَّه,رَهْو
كرهتها	كَرِه-َ,كَرَّه,كَرِه
كرسيا	كُرْسِيّ
كراهيته	كَراهِيَّة
كراهة	كَراهَة
كراكب	راكِب
كذبوه	كَذَب-ِ,كَذَّب
كذبكم	كَذَب-ِ,كِذْب,كَذَّب
كذباته	NOTFOUND
كذباب	ذُباب
كدية	كُدْيَة,دِيَة,كَدْي
كدي	كَدَى-ِ,كَدّ,كَدَّى,كَدْي
كدوي	دَوايَة,دُوِي,دَوَى,دَوِيّ
كدوحا	NOTFOUND
كدنا	كاد-َ,كاد-ِ,كَدّ
كدرة	كَدَر,دَرّ,كَدَّر,كَدَرَة,دُرّ,كَدِر,كُدْرَة,دِرَّة
كدتم	كاد-َ,كاد-ِ
كدا	كَدّ
كخير	خَيِّر,خَيْر
كحواصل	حاصِل
كحفالة	NOTFOUND
كحديث	حَدِيث
كحامل	حامِل
كثيرات	كَثِير
كثف	كَثَّف,كَثُف
كثب	كَثَب,كَثِيب
كتفها	كِتاف,أَكْتَف,كِتْف,كَتِف,كَتَف-ِ,كَتَّف,تُفّ
كتبهن	كِتاب,كَتَب
كتبهم	كِتاب,كَتَب
كتبناها	كَتَب
كتبتي	تِبِت,تِبِتِيّ,كاتِب
كتان	كَتّان
كتابتي	كِتابَة
كبله	أَبْلَه,بَلّ,كَبَّل,بَلَه,كَبَل-ِ,كَبْل,بِلّ,بِلَّة
كبري	بُرّ,بِرّ,بَرَى,بَرّ,كِبْر,كِبَر,كُبْرِي,كُبْر,أَكْبَر,بَرِّيّ
كبدهما	كَبِد,كَبَّد,بُدّ,كَبَد
كبت	بَتّ,كَبا,كَبّ,كَبَت-ِ,كَبْت
كبارها	بارّ,كَبِير
كباره	بارّ,كَبِير
كاوفر	أَوْفَر
كاهنهم	كاهِن
كاهن	كاهِن
كانكم	آن,كان
كاليد	يَد
كالمشورة	مَشْوَرَة,مَشُورَة
كالمسك	مَسْك,مِسْك
كالمتشحط	NOTFOUND
كالقطائف	قَطائِف
كالفهدين	NOTFOUND
كالظلة	ظُلَّة
كالشهر	شَهْر
كالزلفة	زُلْفَة
كالرمح	رُمْح
كالرامي	رامِي
كالراكب	راكِب
كالراعي	راعِي
كالحون	كالِح
كالجمعة	جُمْعَة
كالثوب	ثَوْب
كالبيت	بَيْت
كالامس	أَمْس,أَمَسّ
كالارزة	أَرْز
كاقبح	أَقْبَح
كافيك	كاف
كاغذ	كاغِذ
كاشبه	أَشَب,أَشْبَه
كاسيات	آسِي
كازيز	أَزِيز
كارها	كار,كارِه,آر
كاذنه	إِذْن,آذِن,أُذُن
كاذناب	ذَنَب
كاختلافهم	ٱِخْتِلاف
كاحدكم	أَحَد,أَحَدّ
كاجود	أَجْوَد
كاثر	أَثَر,كاثَر,أَثِر,إِثْرَ,أَثْر
كاتبه	كاتِب,كاتَب
كابن	ٱِبْن
كابر	كابَر,إِبْرَة
قيوده	قَيْد
قيلا	قَيَّل,قال,قَيْل
قومهن	قَوْم,قَوَّم
قومكم	قَوْم,قَوَّم
قومت	قَوَّم
قومة	قَوْم,قَوْمَة,قَوَّم
قولهما	قَوْل
قولكم	قَوْل
قوسي	قَوْس
قوسه	قَوَّس,قَوْس
قوتل	NOTFOUND
قهيد	NOTFOUND
قهرنا	قَهَر-َ,قَهْر
قهد	NOTFOUND
قنوته	قُنْوَة,قَنا,قُنُوت
قنو	قُنْو
قنط	قَنِط,قَنِط-َ,قَنَّط,قَنُط,قَنَط
قنا	قَنا,قِنّ,قُنّ
قميصيهما	قَمِيص
قملا	قَمِل,قَمْل,قَمَل,قَمِل-َ
قمعة	قُمْع,قَمَع-َ,قَمْع
قمحا	قَمَّح,قَمْح
قمته	قام,قَمّ,قِمَّة
قمار	قِمار
قلوا	قَلا,قَلّ-ِ,قَلِي-َ,قَلَى-ِ,قِلْو
قلها	قِلّ
قلنسوته	قَلَنْسُوَة
قلنسوة	قَلَنْسُوَة
قلناه	قال
قلع	قِلْع,قَلَّع,قَلَع-َ
قلائصك	NOTFOUND
قلائص	NOTFOUND
قفها	NOTFOUND
قفاك	قَفا,قَفاً,قَفَّى
قعيقعان	NOTFOUND
قعب	NOTFOUND
قطين	قِطّ,قَطّ
قطيع	قَطِيع
قطيب	NOTFOUND
قطوفها	قُطُوف,قِطْف,قَطُوف
قطف	قَطْف,قُطَف,قَطَّف,قَطَف-ِ,قِطْف,قَطُوف
قطعهن	قَطَع-َ,قَطَّع,قِطْعَة,قَطْع,قَطْعَة,قُطْعَة
قطعنا	قَطَع-َ,قَطَّع,قِطْعَة,قَطْع,قُطْعَة,قَطْعَة
قطعته	قَطَع-َ,قَطَّع,قِطْعَة,قَطْعَة,قُطْعَة
قطرية	قُطْرِيّ,قُطْر,قَطْر,قَطَرِيّ
قطرت	قَطَر,قَطَّر
قطافها	قِطاف
قضيتيه	قَضِيَّة
قضيتني	قَضَّى,قَضَى-ِ
قضيبا	قَضِيب
قصي	قَصّ,قُصَيّ,قَصِي-َ,قَصِيّ,قَصَى
قصص	قِصَّة,قَصَّص,قَصَص
قصروا	قَصُر,قَصَر-ِ,قَصَّر,قَصَر
قصدها	قَصَد-ِ,قَصْد
قصبة	قَصَب-ِ,قَصَب,قَصَّب,قَصْب
قصابا	قَصّاب
قشام	NOTFOUND
قسي	قَسَّى,قَسِيّ,قَسّ
قسوة	قَسَّى,قَسْوَة,قَسْو,قَسّ
قسطنطينية	قُسْطَنْطِينِيّ,قُسْطَنْطِينِيَّة
قرينه	قَرِينَة,قَرَى-ِ,قَرِين
قرنت	قَرَن-ِ
قرضوه	قَرَّض,قَرَض-ِ
قرضه	قَرَض-ِ,قَرَّض,قَرْض
قرصافة	NOTFOUND
قرصا	قَرَص,قَرَّص,قُرْص,قُرْصَة,قَرْص
قرثع	NOTFOUND
قرت	قَرّ-َِ,قَرَت,قَرَى-ِ,قَرا,قَرَت-ِ
قربيه	NOTFOUND
قربنا	قِراب,قُرْب,قِرْبَة,قَرَّب,قَرِب-َ,قَرُب,قُرْبَ
قربكم	قِراب,قُرْب,قِرْبَة,قَرَّب,قَرِب-َ,قَرُب,قُرْبَ
قراهن	قَرْيَة,قَرّ-َِ,قِرَى,قَرَى-ِ,قَرا
قراناها	NOTFOUND
قراما	قِرام
قراؤكم	قارِئ
قراءتكم	قِراءَة
قرئتا	NOTFOUND
قذفها	قَذَّف,قَذْف,قَذَف-ِ
قذفة	قَذَّف,قَذْف,قَذْفَة,قَذَف-ِ
قذره	قَذَّر,قَذِر,قَذَر
قذرته	قَذَّر,قَذِر
قذرا	قَذَّر,قَذِر,قَذِر-َ,قَذَر
قديما	قَدِيم
قدوما	قادِم,قَدُّوم,قُدُوم,قَدُوم
قدورهم	قِدْر
قدورا	قِدْر
قده	قَدّ,قُدّ,قِدَّة,قِدّ
قدمك	قَدِم-َ,قَدُوم,قَدَم,قَدَّم
قدمتن	قَدِم-َ,قَدَّم
قدرتم	قَدَّر,قَدِر-َ,قَدَر-ِ,قَدَر
قدرة	قَدْر,قَدَّر,قُدْرَة,قِدْرَة,قَدَر,قِدْر
قدت	قاد,قَدا
قدامها	قادِم,قُدّامَ,قُدّام
قدام	قادِم,قُدّامَ,قُدّام
قحطوا	قَحَط-َ,قَحَّط
قحطت	قَحَط-َ,قَحَّط
قتيلة	قَتِيل
قتلوني	قَتَل,قَتَّل
قتلناك	قَتَل,قَتَّل
قتلتهم	قَتَّل,قَتَل,قاتِل
قتلاه	قَتِيل,قَتَل,قَتَّل
قتب	قَتَب,قُتْب
قتالهم	قَتّال,قِتال,قاتِل
قبيلتك	قَبِيلَة
قبيس	NOTFOUND
قبلناه	قَبَّل,قَبِل-َ
قبلتكم	قَبَّل,قِبْلَة,قُبْلَة,قَبِل-َ
قبلتان	قِبْلَة,قُبْلَة
قبضها	قَبْض,قَبَّض,قَبَض-ِ,قُبْضَة
قبضتم	قَبَّض,قَبَض-ِ
قاهرين	NOTFOUND
قاما	قام
قالوه	قال
قالقال	NOTFOUND
قالرسول	NOTFOUND
قافلا	قافِل
قاعدين	قاعِد
قاعدهم	قاعِد
قاعدت	NOTFOUND
قاضيته	قاضَى,قاضِي
قاضية	قاضِي
قاض	قاض-ِ,قاض,قاضِي
قاصهم	قاصّ
قاصا	قاصّ
قاروندا	NOTFOUND
قاتلها	قاتَل,قاتِل
قابضهما	قابِض
قائفا	NOTFOUND
قائف	NOTFOUND
قئ	قَيْء
فييسر	يَسَّر,يَسِر-َ,يَسُر
فييده	NOTFOUND
فيوجد	وَجَد-ِ,أَوْجَد
فيهوي	هَوَّى,هَوَى-ِ,هَوِي-َ,أَهْوَى
فيهلكهم	هَلَّك,هَلَك,أَهْلَك
فيهلك	أَهال,هَلَّك,هال-ِ,هال,هَلَك,هَلّ-ِ,أَهْلَك,أَهَلّ
فيهديها	أَهْدَى,هَدَى-ِ
فيهتمون	ٱِهْتَمّ
فيهتصاوير	NOTFOUND
فينهاهن	نَهَى-ِ
فينهاه	نَهَى-ِ
فينشر	نَشَّر,نَشَر,أَنْشَر
فينزوي	ٱِنْزَوَى
فينجو	نَجا
فيناديه	نادَى
فيمسكن	مَسَى,مَسَّك,مَسَّى,أَمْسَك,مَسَك,أَمْسَى,وَمَس-ِ,مَسّ-َ,ماس-ِ
فيمرون	أَمَرّ,مَرّ
فيلهمون	أَلْهَم,لَهِم-َ
فيلقيهم	فَيْلَق,أَلْقَى
فيلقمها	لَقِم-َ,لَقَم,أَلْقَم,لَقَّم
فيلعن	لَعَن-َ,لاع
فيلتزمه	ٱِلْتَزَم
فيلبث	لَبِث-َ
فيكنس	كَنَس,كَنَّس
فيكن	فِي,كَنَى-ِ,كَنا,كَنَّى,كَنّ-ِ,كان,أَكَنّ
فيكمل	كَمَّل,كَمَل,أَكْمَل,كَمِل-َ
فيكف	وَكَف-ِ,كَفّ,كَفَى-ِ
فيكذبونه	كَذَب-ِ,أَكْذَب,كَذَّب
فيكتبونه	أَكْتَب,كَتَب
فيكتبان	أَكْتَب,كَتَب
فيكبه	وَكَب-ِ,أَكْبَى,أَكَبّ,كَبا,كَبّ
فيكبرن	كَبَّر,كَبَر,أَكْبَر
فيقيموا	قَيَّم,أَقام
فيقومون	قام,قَوَّم
فيقلن	قال,أَقال
فيقفون	قَفّ,قَفا,وَقَف-ِ,قَفَّى
فيقطع	قَطَع-َ,قَطَّع,أَقْطَع
فيقص	قَصا,قَصّ,قَصِي-َ,أَقْصَى,وَقَص-ِ
فيقتلونه	قَتَّل,قَتَل
