وربتي	رَبَّة,رِبَّة,رَبْت,رَبّ
وخر	خَرّ,خَرّ-ُِ,خُر
وخذوا	أَخَذ
وخديجة	خَدِيج,خَدِيجَة
وخدمها	خَدَم,خَدَم-ُِ,خَدَّم
وخدما	خَدَم,خَدَم-ُِ,خَدَّم
وختمه	خَتَم-ِ,خَتْم
وختمت	خَتَم-ِ
وخبزت	خَبَز-ِ
وخبز	خَبَز-ِ,خُبْز
وخبرتهم	خِبْرَة,خَبَر,خَبَّر,خَبُر
وخامسة	خامِس
وخالق	خالِق
وخالفوا	خالَف
وخافوا	خاف-َ
وخاف	خافِي,خاف-َ
وخاصموكم	خاصَم
وخاصمت	خاصَم
وخاصتي	خاصّ,خاصَّة
وخادمي	خادِم
وخاتما	خاتَم
وحيل	حِيلَة,حَيْل
وحيضها	حَيْض
وحيزت	NOTFOUND
وحيثما	حَيْثُما
وحياه	حَياة,حَيّا,حَيّ-َ,حَيّ,وَحَى-ِ
وحياكم	حَيّا,حَيّ-َ,حَيّ,وَحَى-ِ
وحياء	حَياء
وحوح	وَحْوَح
وحوثرة	NOTFOUND
وحنيت	NOTFOUND
وحني	حَنْي
وحنطه	حِنْطَة,حَنَّط
وحنثت	حَنِث-َ
وحملوها	حَمَل-ِ,حَمَّل
وحملوه	حَمَل-ِ,حَمَّل
وحملهما	حَمْل,حِمْل,حَمَل-ِ,حَمَل,حَمَّل
وحملني	حَمَل-ِ,حَمَّل
وحملناه	حَمَل-ِ,حَمَّل
وحملنا	حَمْل,حَمَل,حَمَل-ِ,حِمْل,حَمَّل
وحملا	حَمْل,حَمَل,حِمْل,حَمَل-ِ,حَمَّل
وحمص	حَمَّص,حُمُّص,حِمْص
وحمدني	حَمِد-َ,حَمَّد
وحمدتك	حَمِد-َ,حَمَّد,حَمْدَة
وحمدا	حَمْد,حَمِد-َ,حَمَّد
وحمادا	حَمّاد
وحله	حُلَّة,حَلَّة,حِلَّة,وَحِل,وَحْل,حِلّ,حَلّ
وحلل	حَلَّة,حُلَّة,حَلَّل
وحلقت	حَلَّق,حَلَق-ِ
وحلقة	حَلْقَة,حَلَّق,حَلْق,حَلَق-ِ,حَلَق
وحلسا	حَلِس-َ,حِلْس
وحلت	حَلَّى,وَحِل-َ,حال,حَلُو,حَلّ-ِ,حَلّ,حَلَى
وحلة	حَلَّة,حُلَّة,حِلَّة,وَحِل,وَحْل,حِلّ,حَلّ
وحلبها	حَلَب,حَلَب-ُِ,حَلْب
وحكيه	حَكْي
وحكيت	حَكَى-ِ
وحكما	حُكْم,حَكَم,حَكَّم
وحكاه	حَكّ,حَكَى-ِ
وحك	حَكّ
وحقهم	حَقّ
وحقها	حَقّ
وحقه	حُقَّة,حَقّ
وحفوا	حَفّ,حَفّ-ِ,حَفِي-َ
وحفظها	حِفْظ,حَفِظ-َ
وحف	حَفّ,وَحْف,حَفّ-ِ
وحظنا	حَظّ
وحظ	حَظّ,حَظّ-َ
وحطت	حاط,حَطّ
وحضور	حُضُور
وحضضا	حَضِيض,حَضَّض
وحضروا	حَضَر,حَضَّر
وحضره	حَضَر,حَضْرَة,حَضَّر
وحضرموت	حَضْرَمَوْت
وحض	حَضّ
وحصونهم	حِصْن
وحصباؤها	حَصَب
وحصب	حَصَب-ُِ,حَصِب-َ,حَصَّب,حَصَب
وحصاره	حِصار,حَصّار
وحشين	حَشَّى
وحشوه	حَشَّى,حَشا,حَشْوَة,حَشّ,حَشْو
وحشما	حَشَم,حَشَم-ِ,حَشَّم
وحشفة	حَشَف,حَشَفَة
وحشد	حَشَد-ُِ,حَشَّد,حَشْد
وحشته	حَشا,حَشَّى,حاش,حَشّ,وَحْشَة
وحشة	وَحْش,حَشّ,وَحْشَة
وحسيبه	حَسِيب
وحسوا	حَسْو,حَسا,حَسّ-ِ
وحسنت	حَسَّن,حَسُن
وحسكة	حَسَك,حَسَكَة
وحسرته	حَسْرَة,حَسَر,حَسَّر,حَسِر
وحسرت	حَسِر-َ,حَسَر,حَسَّر
وحريمه	حَرِيم
وحريرها	حَرِير
وحريرا	حَرِير
وحره	حُرّ,حَرَّة,حَرّ
وحرمي	حَرَمِيّ,حُرْمَة,حَرَم
وحرمها	حَرَّم,حُرْمَة,حَرَم,حَرَم-ُِ
وحرمه	حُرْمَة,حَرَّم,حَرَم,حَرَم-ُِ
وحركها	حَرَّك
وحرك	حُرّ,حَرَّك,حَرّ
وحرقت	حَرَّق,حَرَق-ِ,حَرَق
وحرف	حَرْف,حِرْفَة,حَرَف-ِ,حَرَّف
وحرس	حَرَس
وحربه	حَرْبَة,حَرْب
وحربكم	حَرْب
وحرام	حَرام
وحذيم	NOTFOUND
وحذرناه	حَذَّر
وحديدته	حُدَيْدَة,حَدِيدَة
وحديثهما	حَدِيث
وحديثك	حَدِيث
وحديثا	حَدِيث
وحدثوه	حَدَث
وحدثاه	حَدَث
وحدت	حَدّ-ِ,حَدّ,حَدا,حاد-ِ,وَحَّد,حاد
وحدانا	حَدّ,حَدا,وَحَّد
وحجوا	حَجّ,حَجا
وحجها	حَجّ
وحجمه	حَجْم,حَجَم
وحجري	حُجْرَة,حَجَر,حَجْر,حَجَرِيّ,حِجْر
وحجر	حَجَّر,حُجْرَة,حَجَر,حَجْر,حِجْر
وحجتهم	حَجّ,حِجَّة,حُجَّة,حَجا
وحجبت	حَجَب,حَجَّب
وحثي	حَثّ
وحثهم	حَثّ
وحثالة	حُثالَة
وحث	حَثّ
وحبط	حَبَط,حَبَط-ِ
وحبال	حَبْل
وحباب	حَباب
وحامل	حامِل
وحالوا	حال
وحافظ	حافَظ,حافِظ
وحاسبه	حاسِب,حاسَب
وحاسبتك	حاسِب,حاسَب
وحاز	حاز,حاز-ِ
وحارب	حارَب
وحاذي	حاذَى
وحاجتها	حاجَة,حاجّ,حاجَى
وحابس	NOTFOUND
وحائط	حائِط
وجيوشه	جَيْش
وجيعا	وَجِيع
وجيحان	NOTFOUND
وجوهر	جَوْهَر
وجوها	جَوّ,وَجْه
وجوفه	وُجُوف,جَوَّف,جَوْف,أَجْوَف
وجوعا	جُوع,جَوَّع
وجوزه	جَوْز,جَوَّز
وجورا	جُورَة,جَوْر
وجور	جُورَة,جَوْر
وجوب	وُجُوب,جَوْب
وجهني	وَجَّه,جَهَنِّيّ
وجهنا	وَجَّه,وَجْه
وجهله	جَهْل,جاهِل,جَهَّل,جَهِل-َ
وجهزها	جَهَز-َ,جَهَّز
وجهدها	جُهْد,جَهَد-َ,جَهْد
وجهجاه	NOTFOUND
وجهة	وَجَّه,وِجْهَة,وَجْه,جِهَة
وجهان	وَجْه
وجهادنا	جِهاد
وجندبا	جُنْدُب
وجنتيه	وَجْنَة,جَنَّة,جُنَّة
وجنتين	وَجْنَة,جَنَّة,جُنَّة
وجنبوه	جَنَب,جَنَّب
وجنبه	جَنَب,جَنْبَة,جَنْب,جَنْبَ,جَنَّب
وجنبنا	جَنَب,جَنْب,جَنْبَ,جَنَّب
وجنازته	جِنازَة
وجميلة	جَمِيل
وجميعه	جَمِيع
وجمعهم	جَمَع-َ,جَمْع,جَمَّع
وجمعها	جَمْع,جَمَع-َ,جَمَّع
وجمعه	جَمَع-َ,جَمْع,جُمْعَة,جَمَّع
وجمعت	جَمَع-َ,جَمَّع
وجمروها	جَمَّر
وجمته	جَمّ,جَمّ-ُِ,وَجِم
وجمة	جَمّ,جَمّ-ُِ,وَجِم
وجماله	جَمال,جَمّال,جَمَل
وجلين	جَلَّى,جَلَى-ِ,جُلّ,وَجِل
وجلي	جَلِيّ,وَجَل,وَجِل,جَلّ,جَلَى-ِ,جَلَّى,جُلَّى,جُلّ
وجلهم	وَجَل,جَلّ,وَجِل,جُلّ
وجلف	جَلَف,جِلْف
وجلسته	جَلْسَة
وجلساءه	جَلِيس
وجلسا	جَلَس-ِ
وجلدها	جَلَد-ِ,جِلْد,جَلَد,جَلْد,جَلِد-َ,جَلَّد
وجلت	جَلا,جَلَى-ِ,جال,جَلّ-ِ,جَلَّى,وَجِل-َ
وجلالي	جَلال
وجفت	وَجَف-ِ,جَفا,جَفّ-ِ,جِفْت
وجفا	وَجَف-ِ,جَفا,جَفّ-ِ
وجعلوه	جَعَل-َ
وجعلني	جَعَل-َ
وجعلنه	جَعَل-َ
وجعلتهما	جَعَل-َ
وجعلتني	جَعَل-َ
وجعك	وَجِع-َ,وَجَع
وجعدة	جَعُد,جَعْد,جَعَّد,جَعْدَة
وجعابهم	جَعْبَة
وجزعهم	جَزَّع,جَزَع,جَزَع-َ,جَزْع,جُزْع,جَزِع
وجزر	جَزْر,جَزِيرَة,جَزَر,جَزَر-ِ
وجزءا	جُزْء
وجرسها	جَرْس,جَرَس,جَرَس-ِ,جَرَّس
وجرست	جَرَس-ِ,جَرَّس
وجربوا	جَرَّب,جَرِب-َ
وجراتي	NOTFOUND
وجرابي	جِراب,جُراب
وجدهما	وَجَد-ِ,جَدّ,جِدّ
وجدع	جَدَع,جَدَع-َ
وجدتموهم	وَجَد-ِ,جاد
وجداية	NOTFOUND
وجدار	جِدار
وجحد	جَحَد-َ,جَحْد
وجبنا	جُبُن,جَبُن,وَجَب-ِ,جُبّ,جاب,جَبَّن,جَبّ,وَجَّب,جُبْن
وجبلة	جِبْلَة,جَبَل,جِبِلَّة,جَبْلَة
وجبريائي	NOTFOUND
وجبذتها	جَبَذ-ِ
وجبال	جَبَل
وجبارة	جِبارَة,جَبّار
وجباة	جَبَى-ِ,جابِي,جُبّ,جَبَّى,جَبّ,وَجَّب,جَبْهَة
وجاههم	جاه
وجاهد	جاهَد,جاهِد
وجانب	جانَب,جانِب
وجالسا	جالَس,جالِس
وجالس	جالَس,جالِس
وجالت	جال
وجاريتي	جارِي,جارِيَة
وجاءته	جاء
وجئته	جاء
وجئتموني	جاء
وج	ج
وثيابا	ثَوْب
وثويبة	NOTFOUND
وثوم	ثُوم
وثوبا	ثَوَّب,ثَوْب
وثوب	ثَوَّب,ثَوْب
وثنيت	ثَنَّى,ثَنَى-ِ
وثنية	ثَنْي,وَثَن,ثَنِيَّة,وَثَنِيَّة,ثَنْيَة,ثِنْي,وَثَنِيّ
وثني	ثَنَّى,ثَنَى-ِ,ثَنْي,وَثَن,ثِنْي,وَثَنِيّ
وثنتان	ثُنَّة
وثنتا	ثَنَّى,ثَنَى-ِ,ثُنَّة
وثناه	ثَنَّى,ثَنَى-ِ,وَثَن
وثنائه	ثَناء
وثمامة	ثُمام
وثلثه	ثُلْث,ثَلَّث
وثقلها	ثِقَل,ثَقَّل
وثق	وَثاق,وَثَّق,وَثِق-َِ
وثرت	ثار,وَثَر-ِ,ثَرّ,وَثُر
وثدييها	ثَدْيِيّ,ثَدْي
وثديي	ثَدْيِيّ,ثَدْي
وثبتني	وَثَب-ِ,ثاب,ثَبَّت
وثبا	وَثْب,وَثَب-ِ
وثاقي	وَثاق,وَثِيق
وثاق	وِثاق,وَثاق,وَثِيق
وتيمم	تَيَمَّم,يَمَّم
وتيسر	يَسَّر,يَسِر-َ,تَيَسَّر,يَسُر
وتوفير	تَوْفِير
وتوفيت	تَوَفَّى
وتورع	تَوَرَّع
وتوخيا	وَخَّى,تَوَخَّى,تَوَخِّي
وتوجهوا	وَجَّه,تَوَجَّه
وتواعدهم	واعَد,تَواعَد
وتواضعوا	تَواضَع
وتواصل	تَواصُل,تَواصَل,واصَل
وتوادهم	وادّ,تَوادّ
وتوابعها	تابِع
وتهمتنا	تُهْمَة
وتهلل	تَهَلُّل,هَلّ-ِ,تَهَلَّل,هَلَّل,أَهَلّ
وتهدينه	تَهَدَّى,أَهْدَى,هَدَى-ِ,هَدّ
وتهدوا	تَهَدَّى,أَهْدَى,هَدّ-ِ,هَدَى-ِ,هَدّ
وتهددهم	تَهَدَّد,هَدَّد,تَهَدُّد,هَدّ
وتهاونا	تَهاوُن,هاوَى,تَهاوَن
وتنورنا	تَنُّور,أَنْوَر,تَنَوَّر,نَوَّر
وتنقية	نَقّ-ِ,تَنْقِيَة,نَقَّى,أَنْقَى
وتنقعونه	نَقَع-َ,أَنْقَع
وتنقصوه	أَنْقَص,نَقَص,نَقَّص
وتنقص	أَنْقَص,نَقَص,نَقَّص
وتنقر	نَقَّر,نَقَر,نَقِر-َ
وتنقبت	تَنَقَّب
وتنفس	نَفِس-َ,تَنَفَّس,نَفَّس,تَنَفُّس,نَفُس
وتنضحه	نَضَح-َ,نَضَح-ِ
وتنصروا	تَنَصَّر,نَصَر,نَصَّر
وتنسخ	تَنَسَّخ,نَسَخ-َ
وتنزه	تَنَزُّه,نَزُه,نَزا,تَنَزَّه,نَزِه-َ,نَزّ-ِ,نَزَّه
وتنزلت	تَنَزَّل
وتنزعينه	نَزَّع,نَزَع-ِ
وتنزع	نَزَّع,نَزَع-ِ
وتندبان	أَنْدَب,نَدَب,نَدِب-َ
وتنحيت	تَنَحَّى
وتنحي	أَنْحَى,نَحا,تَنَحِّي,نَحَّى,نَحَى,تَنَحَّى
وتنبذ	نَبَذ-ِ,نَبَّذ,أَنْبَذ
وتنام	أَنام,تَنامِي,نام-َ
وتناقصه	تَناقَص,تَناقُص,ناقَص
وتناصح	ناصَح,تَناصَح
وتميط	ماط-ِ,أَماط
وتميز	مَيَّز,أَماز,تَمَيَّز,تَمَيُّز,ماز-ِ
وتمنح	مَنَح-َ
وتمن	تَمَنِّي,مَنَى-ِ,مَنّ,أَمَنّ,مَنا,تُمَّن,تام,مَنَّى
وتملا	مَلّ-َ,أَمَلّ
وتمكني	تَمَكُّن,أَمْكَن,مَكَّن
وتمطروا	مَطَر,أَمْطَر
وتمضمضنا	تَمَضْمَض,مَضْمَض
وتمسكوا	تَمَسَّك,مَسَّك,أَمْسَك,مَسَك
وتمسك	تَمَسُّك,مَسَى,تَمَسَّك,مَسَّك,مَسَّى,أَمْسَك,مَسَك,أَمْسَى,وَمَس-ِ,ماس-ِ,مَسّ-َ
وتمسحينه	مَسَّح,مَسَح-َ
وتمركم	مار,مار-ِ,تَمْر,أَمَرّ,مَرّ,أَمار
وتمرات	تَمْر
وتمد	أَمْدَى,مَدّ,ماد-ِ,أَمَدّ
وتمت	تَمّ-ِ,مَتّ,أَمات,تام,مات
وتليد	تَلِيد
وتلون	تَلَوَّن,تَلَوُّن,وَلِي-ِ,لَوَّن,تَلا
وتلهمني	أَلْهَم,لَهِم-َ,تَلَهَّم
وتلم	تَلَّم,أَلَمّ,تَلَم,لام,لَمّ,أَلام
وتلقي	لَقِي-َ,تَلَقِّي,تَلَقَّى,أَلْقَى
وتلقاني	لَقِي-َ,تَلَقَّى
وتلق	لَقِي-َ,تَلَقِّي,أَلْقَى,لاق-ِ
وتلتمس	ٱِلْتَمَس
وتلبي	لَبّ-َُ,لَبّ,لَبَّى
وتلبسه	تَلَبَّس,تَلَبُّس,لَبَّس,لَبِس-َ,أَلْبَس
وتلاوة	تِلاوَة
وتكويره	NOTFOUND
وتكلمت	تَكَلَّم
وتكفينه	وَكَف-ِ,كَفّ,كَفَى-ِ
وتكفير	تَكْفِير
وتكفئ	أَكْفَأ
وتكسر	كَسَر-ِ,تَكَسُّر,تَكَسَّر,كَسَّر
وتكركر	كَرْكَر
وتكذيب	تَكْذِيب
وتكذبني	كَذَب-ِ,أَكْذَب,كَذَّب
وتكذب	كَذَب-ِ,أَكْذَب,كَذَّب
وتكتب	أَكْتَب,كَتَب
وتكبيرة	تَكْبِير
وتكبرونه	كَبَّر,كَبَر,أَكْبَر
وتكبره	تَكَبُّر,كَبَّر,كَبَر,أَكْبَر
وتقيموا	قَيَّم,أَقام
وتقي	تُقَى,وَقَى-ِ,تَقِيّ,تَقَى-ِ
وتقولين	قال
وتقواها	تَقْوَى
وتقلم	قَلَّم,قَلَم-ِ
وتقل	قَلا,قَلّ-ِ,قال,أَقال,قَلِي-َ,أَقَلّ,قَلَى-ِ
وتقضي	قَضّ-َ,قَضَى-ِ,قَضَّى,قَضّ,تَقَضَّى,أَقَضّ
وتقصير	تَقْصِير
وتقسم	أَقْسَم,تَقَسُّم,تَقَسَّم,قَسَم-ِ,قَسَّم
وتقراه	تَقَرَّى,أَقَرّ,قَرّ-َِ,وَقَر-ِ
وتقرئ	أَقْرَأ
وتقر	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
وتقتتلوا	ٱِقْتَتَل
وتقاطع	تَقاطُع,قاطَع,تَقاطَع
وتقاربوا	قارَب,تَقارَب
وتقاتلون	قاتَل
وتقابل	تَقابَل,تَقابُل,قابَل
وتفيض	فاض-ِ,أَفاض
وتفل	فَلّ,تَفِل,فَلَى-ِ,تَفَل,فال-ِ,فَلَّى,تُفْل
وتفقر	فَقُر,أَفْقَر
وتفعلي	فَعَل-َ
وتفشو	فَشا
وتفرقت	تَفَرَّق
وتفر	فَرَّى,وَفَر-ِ,أَفْرَى,فَرَى-ِ,أَفَرّ,فار,فَرّ-ِ,أَفار
وتفارق	تَفارَق,فارَق
وتغيروا	غَيَّر,تَغَيَّر,أَغار
وتغيرت	تَغَيَّر
وتغيثوا	أَغاث,غاث-ِ
وتغيبوا	تَغَيَّب,غاب-ِ,غَيَّب
وتغنيان	غَنِي-َ,أَغْنَى,غَنَّى
وتغنوا	أَغْنَى,غَنِي-َ,غَنّ-َ,أَغَنّ,غَنَّى,تَغَنَّى
وتغميض	NOTFOUND
وتغطي	غَطا,غَطّ,غَطَّى,أَغَطّ,تَغَطَّى
وتغشتهم	NOTFOUND
وتغشاني	غَشّ,غَشِي-َ
وتغزون	غَزا,أَغَزّ
وتغديت	تَغَدَّى
وتغدو	غَدا
وتعينونهم	أَعان,عَيَّن
وتعينني	أَعان,عَيَّن,وَعَى-ِ
وتعليق	تَعْلِيق
وتعلمت	تَعَلَّم
وتعضه	عَضّ-َ,عاض,أَعاض
وتعصمني	عَصَم-ِ
وتعشي	أَعْشَى,عَشِي-َ,عَشَّى,عَشا,تَعَشَّى
وتعرفنا	عَرَّف,تَعَرَّف,تَعَرُّف,عَرَف-ِ
وتعرض	أَعْرَض,تَعَرَّض,تَعَرُّض,عَرَض-ِ,عَرَّض
وتعتمر	ٱِعْتَمَر
وتعتزل	ٱِعْتَزَل
وتعاهد	عاهَد,تَعاهَد
وتعاقد	تَعاقُد,تَعاقَد
وتعاظمها	NOTFOUND
وتعارض	تَعارَض,عارَض,تَعارُض
وتعاد	عادَى,أَعاد
وتطيعه	أَطاع
وتطيع	أَطاع
وتطيبت	تَطَيَّب
وتطوف	طاف,تَطَوَّف,طَوَّف
وتطمئن	طَمْأَن,ٱِطْمَأَنّ
وتطريدا	NOTFOUND
وتطرق	أَطْرَق,تَطَرُّق,طَرَق,تَطَرَّق,طَرَّق
وتطاولت	تَطاوَل
وتضلع	ضَلَّع,ضَلَع-َ,تَضَلَّع
وتضل	ضَلّ,أَضَلّ
وتضعيفا	ضِعْف
وتضعونها	وَضَع
وتضرع	ضَرَع,تَضَرَّع,تَضَرُّع
وتضربوا	ضَرَب,أَضْرَب,ضَرَّب
وتضرب	ضَرَب,أَضْرَب,ضَرَّب
وتضايق	تَضايَق,ضايَق
وتضامون	NOTFOUND
وتصوبت	NOTFOUND
وتصليهما	صَلِي-َ,وَصَل-ِ,صَلَّى,أَصْلَى,صَلَى-ِ
وتصلبني	صَلَب-ِ,صَلُب,تَصَلَّب,صَلَّب
وتصغيرا	تَصْغِير
وتصرعها	صَرَع-َ
وتصديقهم	تَصْدِيق
وتصدقي	صَدَق,صَدَّق
وتصب	صَبّ,وَصَب-ِ,أَصاب,صَبِي-َ,صَبا,صَبّ-َ,صَبَّى
وتصاوير	تَصْوِيرَة
وتصاغرا	تَصاغَر,تَصاغُر
وتصاب	أَصاب
وتشنجت	تَشَنَّج
وتشفعنا	تَشَفَّع,تَشَفُّع,شَفَع-َ
وتشفع	تَشَفَّع,تَشَفُّع,شَفَع-َ
وتشريدا	تَشْرِيد
وتشركونا	شَرِك-َ,أَشْرَك
وتشتمه	شَتَم-ُِ,ٱِشْتَمّ
وتشتمك	شَتَم-ُِ,ٱِشْتَمّ
وتشب	شَبّ-ِ,شَبّ,أَشاب,شاب,شاب-ِ
وتشاغلنا	شاغَل,تَشاغَل
وتسود	ساد,سَوَّد,ٱِسْوَدّ
وتسميد	تَسْمِيد
وتسمعهم	تَسَمُّع,سَمَّع,سَمِع-َ,أَسْمَع,تَسَمَّع
وتسليما	تَسْلِيم
وتسلسل	سَلْسَل,تَسَلْسُل,تَسَلْسَل
وتسلب	سَلِب-َ,تَسَلَّب,سَلَب
وتسكت	سَكَت,أَسْكَت,سَكَّت
وتسقي	وَسَق-ِ,أَسْقَى,سَقَى-ِ
وتسفك	سَفَى-ِ,أَسْفَى,سَفَك-ُِ,أَسَفّ
وتسفعه	سَفَع-َ
وتسجر	سَجَر,سَجَّر
وتستوفيه	ٱِسْتَوْفَى
وتستغفر	ٱِسْتَغْفَر
وتستاذن	NOTFOUND
وتستاجره	NOTFOUND
وتسبه	سَبّ,ساب-ِ,سَبَى-ِ
وتسبحونه	سَبَّح,سَبَح-َ
وتسبحه	تَسْبِحَة,سَبَّح,سَبَح-َ
وتسبحاه	سَبَّح,سَبَح-َ
وتسبحا	سَبَّح,سَبَح-َ
وتزينوا	زان-ِ,تَزَيَّن,زَيَّن
وتزوجوا	زَوَّج,تَزَوَّج
وتزوجني	زَوَّج,تَزَوَّج
وتزكي	زَكِي-َ,تَزَكَّى,زَكا,زَكَّى,أَزْكَى
وتزاد	زاد-ِ,أَزاد
وترميني	رَمَى-ِ,رَمّ
وترمي	رَمّ-ِ,وَرِم-ِ,رَمَى-ِ,رَمّ
وتركهن	تَرَك,تَرْك,تُرْكِيّ,تَرَّك,رَكّ
وتركني	تَرَك,أَرْكَن,رَكِن-َ,رَكَن,تَرَّك,رَكّ
وتركناه	تَرَك,أَرْكَن,تَرَّك
وتركتها	تَرَك,تَرِكَة,تَرَّك
وتركته	تَرَك,تَرِكَة,تَرَّك
وتركتك	تَرَك,تَرِكَة,تَرَّك
وترعي	أَرْعَى,تُرْعَة,وَرِع-ِ,رَعا,رَعَى-َ
وترسل	أَرْسَل,تَرَسُّل,تَرَسَّل
وترزقون	رَزَق
وتردوا	رَدِي-َ,رَدَّى,تَرَدَّى,رَدّ,أَرْدَى,وَرَد-ِ
