ارك	رَأَى-َ,آر,رَكّ,وَرَى-ِ,رَكّ-ِ
ينطق	نَطَق,أَنْطَق,نَطَّق
ينساها	نَسِي-َ
ينسا	NOTFOUND
ينزعها	نَزَّع,نَزَع-ِ
ينخرم	ٱِنْخَرَم
ينحي	أَنْحَى,نَحَّى,نَحَى
ينحجزوا	NOTFOUND
ينجيه	نَجَّى,أَنْجَى
ينجي	نَجَّى,أَنْجَى
ينجلي	ٱِنْجَلَى
ينتظرونه	ٱِنْتَظَر
ينتضل	NOTFOUND
ينتصف	ٱِنْتَصَف
ينتابون	ٱِنْتاب
ينامون	أَنام,نام-َ
ينادون	نادَى
يموتن	مَوَّت
يمنعون	مَنَع
يمنعكم	مَنَع
يمطروا	مَطَر,أَمْطَر
يمض	وَمَض-ِ,أَمْضَى,مَضّ-َ,مَضَّى,مَضّ,مَضَى-ِ,أَمَضّ
يمشيه	أَمْشَى,مَشَّى,مَشَى-ِ
يمتشط	ٱِمْتَشَط
يمتحنهن	مَتَح-َ,ٱِمْتَحَن
يليها	وَلِي-ِ
يلين	لان-ِ,لَيَّن,وَلِي-ِ,أَلان
يلمسونها	لَمَس
يلمس	لَمَس
يلقيها	أَلْقَى
يلقيه	أَلْقَى
يلقحون	لَقَّح,لَقَح-َ
يلعبان	لَعِب-َ
يلطح	NOTFOUND
يلزق	لَزَّق,لَزِق-َ,أَلْزَق
يلجمه	لَجَّم,لَجَم,أَلْجَم
يلتئم	ٱِلْتَأَم
يلاث	NOTFOUND
يكيد	كاد-ِ
يكلمنه	كَلَّم
يكلفوا	كَلِف-َ,كَلَّف
يكلؤنا	NOTFOUND
يكفيه	كَفَى-ِ
يكفنه	وَكَف-ِ,كَفَن-ِ,كَفَّن
يكتمه	كَتَّم,كَتَم
يقيمن	قَيَّم
يقيد	قَيَّد,أَقاد
يقومها	قام,قَوَّم
يقوتنا	قات,قَوَّت
يقوت	قات,قَوَّت
يقعدن	قَعَد,أَقْعَد,قَعَّد
يقضيها	قَضَى-ِ,قَضَّى
يقضوا	قَضّ-َ,قَضَّى,قَضَى-ِ,قَضّ,أَقَضّ
يقصها	قَصا,قَصّ,قَصِي-َ,أَقْصَى,وَقَص-ِ
يقسمه	أَقْسَم,قَسَّم,قَسَم-ِ
يقروه	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
يقروننا	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
يقروا	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
يقرهم	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
يقرفون	قَرَف-ِ,قَرِف-َ,قَرَّف
يقربني	قَرَّب,قَرِب-َ,قَرُب
يقربنها	قَرَّب,قَرِب-َ,قَرُب
يقران	أَقَرّ,قَرّ-َِ,وَقَر-ِ
يقرؤهن	NOTFOUND
يقدمن	قَدِم-َ,أَقْدَم,قَدَّم
يقتلونني	قَتَّل,قَتَل
يقتلهم	قَتَّل,قَتَل
يقتطعوا	ٱِقْتَطَع
يقتصر	ٱِقْتَصَر
يقتسمون	ٱِقْتَسَم
يقتحم	ٱِقْتَحَم
يقتتلون	ٱِقْتَتَل
يقتتلوا	ٱِقْتَتَل
يقبلون	قَبَّل,أَقْبَل,قَبِل-َ
يقبضوا	قَبَّض,قَبَض-ِ
يقبضها	قَبَّض,قَبَض-ِ
يفضل	فَضَل,أَفْضَل,فَضَّل
يفضحه	فَضَّح,فَضَح-َ
يفسد	فَسَّد,فَسَد,أَفْسَد
يفسح	فَسَّح,فَسُح,أَفْسَح,فَسَح-َ
يفرع	فَرَّع
يفرحهما	فَرِح-َ,أَفْرَح,فَرَّح
يفرجها	فَرَّج,أَفْرَج
يفخر	فَخِر-َ,فَخَر-َ
يفجا	أَفَجّ,فَجّ
يفتحها	فَتَح-َ
يفتتنوا	ٱِفْتَتَن
يغيرن	غَيَّر
يغيثنا	أَغاث,غاث-ِ
يغمس	غَمَس-ِ,غَمَّس
يغلل	غَلّ-ِ,غَلَّل,غَلّ,أَغَلّ
يغلبك	غَلَب-ِ
يغفل	غَفَل,أَغْفَل,غَفَّل
يغشهن	غَشّ,غَشِي-َ,أَغْشَى,غَشا,غَشَّى
يغسلهم	غَسَل-ِ,غَسَّل
يغزونه	غَزا
يغرغر	غَرْغَر
يغر	وَغَر-ِ,غَرا,غَرّ,غَرَّى,غار,أَغْرَى,أَغار
يغدون	غَدِي-َ,غَدا,غَدَّى
يغتر	ٱِغْتَرّ
يعيشكم	عَيَّش,أَعاش,عاش
يعهد	عَهِد-َ
يعنيني	عَنَى-ِ,عَنَّى
يعقدها	عَقَّد,عَقَد-ِ
يعطها	أَعْطَى
يعصينك	عَصَى-ِ
يعرفونه	عَرَّف,عَرَف-ِ
يعذره	أَعْذَر,عَذَر-ِ
يعدلون	عَدَل-ِ,عَدَّل
يعجلك	عَجَّل,أَعْجَل,عَجِل-َ
يعجز	أَعْجَز,عَجِز-َ,عَجُز,عَجَّز
يعجبك	أَعْجَب,عَجَّب
يعتمون	ٱِعْتَمّ,عَتَّم,أَعْتَم,عَتَم-ِ
يعتمل	ٱِعْتَمَل
يعتمد	ٱِعْتَمَد
يعتكفه	NOTFOUND
يعتد	عَتُد,ٱِعْتَدَى,أَعْتَد,ٱِعْتاد,عَتَّد,ٱِعْتَدّ
يعبر	عَبَر,عَبَّر
يعاود	عاوَد
يعافيك	عافَى
يظلوا	أَظَلّ,ظَلّ-َ
يظله	أَظَلّ,ظَلّ-َ
يظلك	أَظَلّ,ظَلّ-َ
يطيقه	أَطاق
يطيعوه	أَطاع
يطهره	طَهَّر
يطهر	طَهَّر,طَهَر
يطعمها	أَطْعَم,طَعَّم,طَعِم-َ
يطعما	أَطْعَم,طَعَّم,طَعِم-َ
يطاها	NOTFOUND
يضيعه	ضاع-ِ,أَضاع,ضَيَّع
يضيعني	ضاع-ِ,أَضاع,ضَيَّع
يضربوا	ضَرَب,أَضْرَب,ضَرَّب
يضحكون	ضَحِك-َ,أَضْحَك
يصيبك	أَصاب
يصوبه	صَوَّب
يصليا	صَلِي-َ,صَلَّى,صَلَى-ِ,أَصْلَى
يصلحها	صَلَّح,أَصْلَح
يصلب	صَلَب-ِ,صَلُب,صَلَّب
يصطرف	NOTFOUND
يصرعه	صَرَع-َ
يصدون	أَصَدّ,وَصَد-ِ,صَدّ,صَدِي-َ,أَصْدَى,صَدَّى
يصده	أَصَدّ,صَدّ,صَدِي-َ,أَصْدَى,صاد-ِ,صَدَّى
يصدرون	صَدَّر,أَصْدَر,صَدَر
يصخب	صَخِب-َ
يصبها	وَصَب-ِ,صَبّ,أَصاب,يَصْب,صَبا,صَبِي-َ,صَبّ-َ,صَبَّى
يصبك	صَبّ,وَصَب-ِ,أَصاب,يَصْب,صَبا,صَبِي-َ,صَبّ-َ,صَبَّى
يشي	وَشَى-ِ
يشهدن	شَهِد-َ,أَشْهَد
يشهدان	شَهِد-َ,أَشْهَد
يشقهم	شَقّ,شَقا,شَقِي,شاق,أَشْقَى
يشفعون	شَفَع-َ
يشغله	شَغَّل,شَغَل-َ,أَشْغَل
يشعرون	شَعَر,أَشْعَر
يشدد	شَدّ-ُِ,شَدَّد
يشخص	شَخَّص,أَشْخَص
يشترطه	ٱِشْتَرَط
يشتددن	ٱِشْتَدّ
يشاربوها	شارَب
يشئزك	NOTFOUND
يسيبونها	ساب-ِ,سَيَّب
يسوم	سام,سَوَّم
يسوقه	سَوَّق,ساق
يسوؤك	ساء
يسندوه	سَنَّد,أَسْنَد,سَنَد
يسن	سَنَّى,سَنا,أَسَنّ,سَنّ
يسمونه	وَسَم-ِ,سَمّ,سَمَّى,أَسْمَى,سَما
يسمعني	سَمَّع,سَمِع-َ,أَسْمَع
يسقين	سَقَى-ِ,أَسْقَى
يسقيان	أَسْقَى,سَقَى-ِ
يسقن	وَسَق-ِ,ساق
يسروا	يَسَّر,يَسِر-َ,سَرَّى,سَرَى-ِ,أَسَرّ,سَرّ,أَسْرَى,يَسُر
يسخطك	أَسْخَط
يسحبون	سَحَب-َ
يسجدون	سَجَد
يستهما	NOTFOUND
يستنجون	ٱِسْتَنْجَى
يستنج	ٱِسْتَنْجَى
يستلمهما	ٱِسْتَلَم
يستكثر	ٱِسْتَكْثَر
يستقوا	ٱِسْتَقَى
يستقبلون	ٱِسْتَقْبَل
يستقبلوا	ٱِسْتَقْبَل
يستفهمه	ٱِسْتَفْهَم
يستفتحون	NOTFOUND
يستعجل	ٱِسْتَعْجَل
يستطير	ٱِسْتَطار
يستشيرهما	ٱِسْتَشار
يستحي	ٱِسْتَحْيَى
يستبين	ٱِسْتَبْيَن,ٱِسْتَبَى,ٱِسْتَبان
يستبدل	ٱِسْتَبْدَل
يستامرها	NOTFOUND
يستامره	NOTFOUND
يستاذنان	NOTFOUND
يسبون	سَبّ,سَبَى-ِ
يسبقني	سَبَّق,سَبَق-ُِ
يسالوها	NOTFOUND
يسالنه	NOTFOUND
يسارعون	سارَع
يسارا	يَسار,أَسار,سارّ
يزيل	أَزال
يزيدوا	زاد-ِ,زَيَّد,أَزاد
يزحزح	زَحْزَح
يرينها	وَرَى-ِ,ران-ِ,رَأَى-َ
يرينا	وَرَى-ِ,ران-ِ
يريا	وَرَى-ِ,رَأَى-َ
يرونه	وَرَى-ِ,رَأَى-َ
يرها	وَرَى-ِ,رَأَى-َ
يرميه	رَمَى-ِ
يرمقه	رَمَق,رَمَّق
يركعهما	رَكَّع,رَكَع-َ,أَرْكَع
يرقون	رَقَّى,رَقّ-ِ,أَرَقّ,رَقِي-َ
يرقب	رَقَب
يرفعهما	رَفَع-َ,رَفَّع
يرفعك	رَفَع-َ,رَفَّع
يرعهم	أَرْعَى,راع,يَرَع,أَراع,رَعا,راع-ِ,رَعَى-َ
يرع	أَرْعَى,راع,وَرِع-ِ,يَرَع,أَراع,رَعا,راع-ِ,رَعَى-َ,يَرِع-َ
يرضيه	أَرْضَى,رَضَّى
يرضع	رَضَّع,رَضِع-َ,أَرْضَع,رَضَع-ِ
يرضخ	رَضَخ-َ,رَضَخ
يرشون	رَشّ,رَشا,وَرَش-ِ
يرسلها	أَرْسَل
يرزقون	رَزَق
يرزقني	رَزَق
يردهما	رَدِي-َ,راد,رَدَّى,أَرْدَى,رَدّ,أَراد,وَرَد-ِ
يردد	رَدَّد,رَدّ
يرخين	رَخِي-َ,أَرْخَى
يرحلون	رَحَل-َ,رَحَّل
يرحل	رَحَّل,رَحَل-َ
يرجف	أَرْجَف,رَجَف
يرجعن	أَرْجَع,رَجَّع,رَجَع-ِ
يرجعا	أَرْجَع,رَجَّع,رَجَع-ِ
يرتفق	ٱِرْتَفَق
يذود	ذاد
يذنبون	أَذْنَب
يذكرنا	ذَكَر,أَذْكَر,ذَكَّر
يذر	ذَرَى-ِ,ذَرا,أَذْرَى,ذَرّ,ذَرَّى,وَذِر-َ
يذبحونه	ذَبَّح,ذَبَح-َ
يذبحها	ذَبَّح,ذَبَح-َ
يدين	أَدان,يَد,دان-ِ,وَدَى-ِ
يدوكون	دَوَّك
يدن	ٱِدَّنَى,دَنِي-َ,أَدان,دَنَّى,أَدْنَى,دَنا,دان-ِ
يدلس	دَلَّس
يدق	أَدَقّ,دَقّ,دَقّ-ِ
يدفعون	دَفَع-َ
يدعونا	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
يدعوك	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
يدعوا	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
يدعهما	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
يدركهن	أَدْرَك,دَرَّك
يدخلونها	أَدْخَل,دَخَل
يدخلك	أَدْخَل,دَخَل
يخيرها	خار-ِ,خَيَّر
يخونون	خَوَّن,خان
يخنز	NOTFOUND
يخلي	أَخْلَى,خَلَّى
يخفيها	أَخْفَى,خَفَى-ِ
يخففوا	خَفَّف
يخففه	خَفَّف
يخرون	خَرّ-ُِ
يخر	خار-ِ,خَرّ-ُِ,خار
يختلس	ٱِخْتَلَس
يختص	ٱِخْتَصّ
يخترف	NOTFOUND
يخبرك	أَخْبَر,خَبُر,خَبَر,خَبَّر
يخالطه	خالَط
يخاصمون	خاصَم
يحييكم	حَيّا,أَحْيَى
يحملوهما	حَمَل-ِ,حَمَّل
يحملني	حَمَل-ِ,حَمَّل
يحلفون	حَلَف-ِ,حَلَّف
يحكيها	حَكَى-ِ
يحفرانها	حَفَر-ِ
يحضران	حَضَّر,أَحْضَر,حَضَر
يحسنوا	حَسَّن,حَسُن,أَحْسَن
يحزنك	حَزَن,حَزَّن,حاز-ِ,أَحْزَن,حاز
يحزن	حَزَن,حَزَّن,أَحْزَن,حاز-ِ,حاز,حَزِن-َ
يحرسونه	حَرَس
يحرز	حَرَّز,حَرُز,أَحْرَز,حَرَز,حَرِز
يحدثونه	حَدَث,أَحْدَث
يحدثها	حَدَث,أَحْدَث
يحدثنيه	NOTFOUND
يحدثانه	حَدَث,أَحْدَث
يحجن	حَجَن-ِ
يحجمها	أَحْجَم,حَجَم
يحجزه	حَجَز
يحتملون	ٱِحْتَمَل
يحتال	ٱِحْتال
يحبني	أَحَبّ,حَبّ-ِ,حَبا
يحبسها	حَبَس-ِ
يحبسه	حَبَس-ِ
يجيز	أَجاز
يجيبوا	أَجاب
يجود	جاد
يجهرون	جَهُر,جَهَر-َ
يجمعوا	جَمَع-َ,جَمَّع,أَجْمَع
يجمعهم	جَمَع-َ,جَمَّع,أَجْمَع
يجمعها	جَمَع-َ,جَمَّع,أَجْمَع
يجمعه	جَمَع-َ,أَجْمَع,جَمَّع
يجلده	جَلَد-ِ,جَلِد-َ,جَلَّد,أَجْلَد
يجعلهما	جَعَل-َ
يجعلن	جَعَل-َ
يجسر	جَسَّر,جَسَر
يجزيك	أَجْزَى,جَزَى-ِ
يجزني	أَجاز,أَجْزَى,جَزّ,جَزَى-ِ
يجرين	أَجْرَى,جَرَى-ِ
يجبي	جَبَى-ِ,جَبَّى
يجامعوهن	جامَع
يجامعوها	جامَع
يثنينك	ثَنَّى,ثَنَى-ِ,أَثْنَى
يثب	وَثَب-ِ,ثاب,أَثاب
يتيمموا	تَيَمَّم
يتيمك	يَتِيم,تَيَّم
يتيمته	يَتِيم
يتوقص	NOTFOUND
يتوخي	تَوَخَّى
يتوجا	تَوَّج
يتوارثون	تَوارَث
يتوارث	تَوارَث
يتهارجون	NOTFOUND
يتنحنح	تَنَحْنَح
يتناوله	تَناوَل
يتملقني	تَمَلَّق
يتمادي	تَمادَى
يتقلب	تَقَلَّب
يتغيب	تَغَيَّب
يتعوذون	تَعَوَّذ
يتعاهد	تَعاهَد
يتشبه	تَشَبَّه
يتزودون	تَزَوَّد
يتزوجني	تَزَوَّج
يتزلزل	تَزَلْزَل
يتركونها	تَرَك,تَرَّك
يتركون	تَرَك,تَرَّك
يتركوا	تَرَك,تَرَّك
يتركها	تَرَك,تَرَّك
يترددون	تَرَدَّد
يتراحمون	تَراحَم
يتداوي	تَداوَى
يتخونهم	تَخَوَّن
يتخلي	تَخَلَّى
يتخلفون	تَخَلَّف
يتخفف	تَخَفَّف
يتخط	تَخَطَّى
يتحول	تَحَوَّل
يتحرك	تَحَرَّى,تَحَرَّك
يتحادر	NOTFOUND
يتحات	تَحاتّ
يتجوز	تَجَوَّز
يتثاورون	NOTFOUND
يتبعني	تَبِع-َ,أَتْبَع,ٱِتَّبَع
يتبختر	تَبَخْتَر
يتبايعانه	تَبايَع
يتباهي	تَباهَى
يبيعوني	باع-ِ,أَباع
يبن	بَنَى-ِ,أَبان,بان-ِ
يبلغها	بَلَغ,بَلَّغ,أَبْلَغ
يبل	بَلّ-ِ,بَلّ,بَلا,أَبال,بال,بَلِي-َ,أَبَلّ,أَبْلَى,وَبَل-ِ
يبغون	بَغَى-ِ
يبعثن	بَعَث-َ
يبطح	بَطَح-َ
يبصقن	بَصَق
يبشرني	بَشَر-ِ,أَبْشَر,بَشَر,بَشَّر,بَشِر-َ
يبرق	أَبْرَق,بَرَق
يبدءون	NOTFOUND
يبتليهم	ٱِبْتَلَى
يبايعهن	بايَع
يباشرني	باشَر
يبادرني	بادَر
ياوون	أَوَى-ِ
ياكلونها	أَكَل
ياقوتة	ياقُوت
ياقوت	ياقُوت
ياسفون	أَسِف-َ
ياخذهن	أَخَذ
ياتيهما	أَتَى-ِ
ياتونه	أَتَى-ِ
ياتوننا	أَتَى-ِ
ياتنا	أَتَى-ِ
يابسة	يابِس,يابِسَة
يئويه	NOTFOUND
يئووهم	NOTFOUND
يؤخروا	ؤَخِّر
يؤثمه	أَثَّم
يؤثر	آثَر,أَثَّر
يؤته	آتَى
يؤبه	آب,أَبّ
يؤاكلوها	NOTFOUND
يؤاجرون	NOTFOUND
يؤاجرها	NOTFOUND
ويوصي	وَصَّى,أَوْصَى
وينفع	نَفَّع,نَفَع-َ
وينفذهم	نَفَذ,أَنْفَذ,نَفَّذ
وينضح	نَضَح-َ,نَضَح-ِ
وينسا	NOTFOUND
وينذرهم	نَذَر,أَنْذَر
ويندبن	أَنْدَب,نَدَب,نَدِب-َ
ويمنعوا	مَنَع
ويمشون	مَشّ,أَمْشَى,مَشَّى,مَشَى-ِ
ويمشط	مَشَط-ُِ,مَشَّط
ويليه	وَلِي-ِ
ويلعنونكم	لَعَن-َ
ويكفر	كَفَر-ِ,كَفَّر,أَكْفَر
ويقلون	قَلا,قَلّ-ِ,قَلِي-َ,أَقَلّ,قَلَى-ِ
ويقلله	قَلَّل,أَقَلّ
ويقسم	أَقْسَم,قَسَم-ِ,قَسَّم
ويقرءون	NOTFOUND
ويقبض	قَبَّض,قَبَض-ِ
ويفسرونها	فَسَّر
ويعوده	عاد,عَوَّد
ويعود	عاد,عَوَّد
ويعطوها	أَعْطَى
ويعرفوني	عَرَّف,عَرَف-ِ
ويعرف	عَرَّف,عَرَف-ِ
ويعذب	عَذَب-ِ,عَذَّب,عَذُب,أَعْذَب
ويعبد	عَبَد,عَبَّد,يَعْبُد
ويطريه	طَرَّى,أَطْرَى
ويصد	أَصَدّ,صَدّ,وَصَد-ِ,صَدِي-َ,أَصْدَى,صاد-ِ,صَدَّى
ويشهدون	شَهِد-َ,أَشْهَد
ويشهده	شَهِد-َ,أَشْهَد
ويشهدن	شَهِد-َ,أَشْهَد
ويشفع	شَفَع-َ
ويشربه	أَشْرَب,شَرِب-َ,شَرَّب
ويشب	شَبّ-ِ,شَبّ,أَشاب,شاب,يَشْب,شاب-ِ
ويشاربوهن	شارَب
ويسروا	يَسَّر,يَسِر-َ,سَرَّى,سَرَى-ِ,أَسَرّ,سَرّ,أَسْرَى,يَسُر
ويسرها	يَسَّر,يُسْر,سَرَّى,سَرَى-ِ,سار-ِ,أَسَرّ,أَسار,سَرّ,أَسْرَى
ويستظلون	ٱِسْتَظَلّ
ويستحيي	ٱِسْتَحْيَى
ويستاخر	NOTFOUND
ويزوج	زَوَّج
ويزعمون	زَعَم
ويريد	أَراد
ويرمي	رَمَى-ِ
ويركعون	رَكَّع,رَكَع-َ,أَرْكَع
ويركب	رَكِب-َ,رَكَّب,أَرْكَب
ويرفعه	رَفَع-َ,رَفَّع
ويرش	راش,رَشّ,رَشا,وَرَش-ِ
ويرثه	رَثا,وَرِث-ِ,راث-ِ,رَثَى,راث
ويذهل	ذَهَل-َ,أَذْهَل
ويدي	يَد,وَدَى-ِ
ويدفع	دَفَع-َ
ويداوين	داوَى
ويخلي	أَخْلَى,خَلَّى
ويحنكهم	حَنَّك,أَحْنَك,حَنَك-ُِ
ويحلوا	أَحَلّ,حَلّ-ِ,حَلَى,حَلَّى,حَلِي-َ,حَلُو,حَلّ
ويحزن	حَزَن,حَزَّن,حاز,حاز-ِ,أَحْزَن,حَزِن-َ
ويحذين	حَذَى-ِ,حَذا
ويحبونكم	أَحَبّ,حَبّ-ِ,حَبا
ويح	وَيْحَ,وَحَى-ِ
ويجير	أَجار,جَيَّر
ويجمعه	جَمَع-َ,أَجْمَع,جَمَّع
ويجلدون	جَلَد-ِ,جَلِد-َ,جَلَّد,أَجْلَد,جَلُد
ويجري	أَجْرَى,جَرَى-ِ
ويجتنب	ٱِجْتَنَب
ويجتمع	ٱِجْتَمَع
ويثيب	أَثاب
ويتمني	تَمَنَّى,أَتَمّ
ويتلو	تَلَوَّى,تَلا
ويتكلمون	تَكَلَّم
ويتقدم	تَقَدَّم
ويتعجبون	تَعَجَّب
ويتراصون	تَراصّ
ويتدارسونه	تَدارَس
ويتخذون	ٱِتَّخَذ
ويتجاوز	تَجاوَز
ويبكي	بَكَى-ِ,بَكَّى,أَبْكَى,بَكِي-َ
ويبغضونكم	أَبْغَض,بَغَّض,بَغِض-َ
ويبرز	بَرَّز,بَرَز,أَبْرَز,بَرُز
ويباعدني	باعَد
ويبارك	بارَك,بارَى
ويامرهم	أَمَر
ويامرنا	NOTFOUND
ويامركم	أَمَر
ويؤذن	أَذَّن,آذَن
ويؤخذ	أَخَذ,أَخَّذ
وويل	وَيْل
ووهيب	وُهَيْب
