للذين	لَذِي-َ,الَّذِي
فجعلنا	جَعَل-َ,جُعْل,جَعْل
فبرا	بَرّ-ِ,بِرّ,بُرّ,بَرّ
فايكم	أَيّ
فاولئك	أُولائِكَ
فاغتسلي	NOTFOUND
فارفعوا	NOTFOUND
فاجلدوه	أَجْلَد
فائد	أَدّ,وَأَد
فئ	NOTFOUND
عيناي	عَيْن
عهده	عُهْدَة,عَهْد,عَهِد-َ
عنبة	عِنَب
عناقا	عِناق,عَناق
عمتها	عَمَّة,عَمَّى,عام,عِمَّة
عقالا	عاقِل,عِقال
عظيمة	عَظِيمَة,عَظِيم
عصابة	عُصاب,عِصاب,عِصابَة
عزة	عِزَّة,عِزّ
عد	عَدّ
عاملين	عامِل
عامل	عامَل,عامِل
طرفي	طَرَف,طَرَفِيّ
طائر	طائِر
ضمضم	NOTFOUND
ضباعة	ضَبْع
صوموا	NOTFOUND
صومه	صائِم,صَوْم
صبيا	صَبِيّ,صَبِي-َ,صَبَّى
صارت	صار
شقي	شَقِيّ,شَقّ,شَقِي,شِقّ
شفعة	شَفْع,شَفَع-َ,شُفْعَة
شعرت	شَعَر
شاه	شاة,شاه
شئنا	شاء-َ,شَيْء
سوقة	سَوَّق,سُوق,سَوْق,سُوقَة
سقطت	سَقَط
سريع	سَرِيع
سبي	سَبّ,سَبْي,سَبَى-ِ,سَبِيّ
رهطا	رَهَط-َ,رَهْط
ركعت	رَكَّع,رَكَع-َ
رزق	رَزَق,رِزْق
ربطها	رَبْط,رَبَط,رِباط
رافعا	رافَع,رافِع
رائحة	رائِحَة,رائِح
ذوي	ذَوَى-ِ,ذَوِي-َ,ذُو
ذوات	ذات
دمها	دَم,دَمّ
دماؤهم	دَم
دعوه	وَدَع-َ,دَعْوَة,دَعّ-َ,دَعا
خلال	خِلالَ,خِلال
خردل	خَرْدَل
خذه	أَخَذ
خاصم	خاصَم
حليف	حَلِيف
حقوه	حَقْو
حفظته	حَفِظ-َ,حِفْظَة,حافِظ
حساب	حِساب
حدثتك	حَدَث
حاجا	حاجّ
جيشا	جَيْش,جَيَّش
جعدا	جَعُد,جَعْد,جَعَّد
جحر	جَحَر-َ,جُحْر
جامعة	جامِعَة,جامِع,جامَع
ثوبيه	ثَوْب
توكلت	تَوَكَّل
تواصل	تَواصُل,تَواصَل,واصَل
تلي	وَلِي-ِ,تَلّ
تقاتل	تَقاتُل,قاتَل,تَقاتَل
تعمل	عَمِل-َ,أَعْمَل,تَعَمُّل
تعتد	عَتُد,ٱِعْتَدَى,أَعْتَد,ٱِعْتاد,عَتَّد,ٱِعْتَدّ
تصوموا	صام
تحتي	تَحْتِيّ,حَتّ,تَحْتَ
تحتها	تَحْتَ,حَتّ
تبين	تَبَيُّن,تَبَيَّن,أَبان,بَيَّن,بان-ِ
تباركت	تَبارَك
تاتيني	أَتَى-ِ
بيعتين	بِيعَة
بوله	بُول,بَوَّل,بَوْل,وَلَه
بورك	بَوَّر,بُور,وَرْك
بهيمة	بَهِيمَة,هائِم,بَهِيم
بلا	بَلّ-ِ,بَلّ,بِلا,بَلا,بِلّ
بخمسين	خُمْس,خَمْسُون
بحمد	حَمْد
بتمرة	تَمْر
بالمراة	NOTFOUND
بالدينار	دِينار
بالجعرانة	NOTFOUND
بالاسلام	إِسْلام
باعور	أَعْوَر
باسمك	باسِم,ٱِسْم
ايمانها	إِيمان,يَمِين
ايقتله	NOTFOUND
اياد	إِياد,يَد
اهلوا	أَهَلّ
انيتهم	آنِيّ,إِناء,أَنَى-ِ
انسي	أَنَسِيّ,نَسِي-َ,أُنْس,إِنْسِيّ,إِنْس,أَنْسَى
امارته	أَمّار,إِمارَة,أَمار,أَمارَة
الوصية	وَصِيَّة
الواحدة	واحِد
النمري	NOTFOUND
الملامسة	مُلامَسَة
المري	مِرِيّ
الكذاب	كَذّاب
الكثير	كَثِير
القربة	قِرْبَة,قُرْبَة
الفقير	فَقِير
الفقهاء	فَقِيه
الفال	NOTFOUND
الغبري	NOTFOUND
العضباء	NOTFOUND
العشي	عَشَى
الطرق	طَرِيق
الصرف	صِرْف,صَرْف
الشغار	NOTFOUND
السبل	سَبِيل,سَبَل
السبت	سِبِتّ,سَبْت,سَبَت
الخبيث	خَبِيث
الحنفية	حَنَفِيَّة,حَنَفِيّ
الحنطة	حِنْطَة
الثامنة	ثامِن
التقي	ٱِلْتَقَى,تُقَى,تَقِيّ
التطوع	تَطَوُّع
التشريق	تَشْرِيق
الانسية	أَنَسِيّ,إِنْسِيّ,أَنَسِيَّة,إِنْسِيَّة
الاقمر	أَقْمَر
الاقصي	أَقْصَى
الاصفر	أَصْفَر
الاشهب	أَشْهَب
الاخره	آخِرَة,آخِر
الاجل	أَجْل,آجِل,أَجَلّ,أَجَل
اكذب	كَذَب-ِ,أَكْذَب,كَذَّب
اقرائها	إِقْراء
اقتني	قات,أَقَّت,ٱِقْتَنَى,آق,أَقات,قَتّ
افتل	فَتَّل,فَتَل-ِ
اغتسلي	NOTFOUND
اعناقهم	عُنْق
اعلنت	أَعْلَن
اشهدوا	أَشْهَد
ازار	أَزار,إِزار
اذكره	ذَكَر,أَذْكَر,ذَكَّر
ادناهم	ٱِدَّنَى,أَدان,أَدْنَى,آد
ادركتم	أَدْرَك
ادخلت	أَدْخَل
اداوة	داوَى
اخرت	خَرَت
ابناء	ٱِبْن
ينبت	نَبَّت,نَبَت,أَنْبَت,ٱِنْبَتّ
يقله	قَلا,قال,أَقال,قَلِي-َ,أَقَلّ,قَلَى-ِ
يظهر	أَظْهَر,ظَهَر-َ,ظَهَّر
يطول	طال,طَوَّل
يشترطون	ٱِشْتَرَط
يسالونك	NOTFOUND
يخير	خار-ِ,خَيَّر
يخفف	خَفّ-ِ,خَفَّف
يحلق	حَلَّق,حَلَق-ِ
يجدون	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جَدّ-ِ
يتوب	تاب,تَوَّب
يبيعه	باع-ِ,أَباع
يبعه	باع-ِ,أَباع
يؤمر	أَمَّر
يؤكل	أَكَّل,آكَل,أَكَل
ويظهر	أَظْهَر,ظَهَر-َ,ظَهَّر
ومنها	مَنّ,مِن
وماء	ماء
وليمة	أَماه,ماه-و,وَلِيمَة
ولكنا	لٰكِنَّ,لُكّ,لَكّ
ولحيته	حَيّ,لُحَيَّة,حَيَّة,لَحَى,لِحْيَة
ولاؤك	وِلاء,وَلاء
ولاءها	وِلاء,وَلاء
وفيها	فِي,وَفِيّ
وفضل	فَضَل,فَضْل,فَضَّل
وعندها	عِنْدَ
وعصية	عُصَيَّة,عَصِيّ
وعرفت	عَرَّف,عَرَف-ِ
وطعمها	طُعْم,طَعْم,طَعَّم,طَعِم-َ
وطعام	طَعام
وضعه	وَضْع,وَضْعَة,وَضَع,ضَعَة
وصليت	صَلَّى,صَلِي-َ,صَلَى-ِ
وصل	وَصَل-ِ,وَصَّل,وَصْل
وسبعون	سَبْعُون
وسبحان	سُبْحان
وزادني	زاد-ِ
ورجعت	رَجَّع,رَجَع-ِ
وخرجت	خَرَج,خَرَّج
وحبيب	حَبِيب
وتزوجها	زَوَّج,تَزَوَّج,تَزَوُّج
وبعدها	عَدّ,بَعْدَ,بُعْد
وبصري	بَصْرِيّ,بَصَرِيّ,بَصَر
واين	أَيْنَ,وايِن,أَيَّن
والواشمة	NOTFOUND
والنعمة	نَعْمَة,نِعْمَة
والملك	مَلِك,مِلْك,مُلْك
والقي	قِياء,لَقِي-َ,أَلَق,أَلْقَى
والغنم	غُنْم,غَنَم
والسلام	سَلّام,سَلام
والاخري	أُخْرَى
واطعموا	أَطْعَم
واصح	صَحّ-ِ,صاح-ِ,أَصْحَى,صَحَّى,صَحِي-َ,أَصَحّ,صَحا
واستنثر	NOTFOUND
هديي	هَدْي
هاتان	هٰذا
نقصان	نُقْصان
نسير	سَيَّر,سار-ِ,أَسار
نساءك	نَسّاء,نِساء,نَساء
ندعو	دَعا
نحب	أَحَبّ,نَحَب-َِ,حَبّ-ِ,نَحْب,حَبا
نبيع	باع-ِ,أَباع
منعوني	مَنَع
ملكان	مَلِك
ملبيا	مُلَبِّي
مكانهم	مَكان
مقبلا	مُقْبِل
مغضبا	مُغْضِب
معيط	NOTFOUND
معطي	أَمْعَط,مُعْطِي,مَعْط,مَعِط,مُعْطَى
مسك	مَسْك,مَسّ,مَسَّك,مِسْك,مَسَك,مَسّ-َ
مدا	مَدّ
مثلكم	مِثْل,مَثَل,مَثَّل
متخذا	مُتَّخَذ
متاعه	مَتاع
ليل	وَلِي-ِ,لَيْل
لمسلم	مُسْلِم,مُسَلَّم
للمراة	NOTFOUND
لكني	كَنَى-ِ,كَنَّى,لٰكِنَّ,كُنْيَة,كَنّ,لَكّ
لقتيبة	NOTFOUND
لرسوله	رَسُول
لامه	لامَّة,أُمَّة,أَمَة,لام,أُمّ
لاحدهم	أَحَد,أَحَّد,أَحَدّ,حَدّ
كلمته	لُمَّة,كَلَّم,كَلِمَة,لَمَّة,لِمَّة
كلم	كَلَّم,كلم,كَلْم
كفضل	فَضْل
كسني	سَنِيّ,سُنِّيّ,سِنّ,سَنَى,سَنَة,سَنّ
كالكلب	كَلِب,كَلَب,كَلْب
قيراطين	قِيراط
قومهم	قَوْم,قَوَّم
قسمت	قَسَم-ِ,قَسَّم
قدره	قَدْر,قَدَّر,قِدْرَة,قُدْرَة,قَدَر,قِدْر
قابوس	قابُوس
ق	ق
فينصرف	ٱِنْصَرَف
فيقتل	قَتَّل,قَتَل
فيفتح	فَتَح-َ
فنهاني	نَها,نَهَى-ِ
فنسخ	نُسْخَة,سَخا,سَخُو-َ,ساخ,ساخ-ِ,سَخِي-َ,نَسْخ,نَسَخ-َ
فليكرم	أَكْرَم,كَرَّم,كَرُم
فلقيته	لَقِي-َ,لُقْيا
فلحق	حَقّ,لَحِق-َ,لَحَق
فلبثت	لَبِث-َ
فقتلوا	قَتَّل,قَتَل
فقتلته	قَتَل,قَتَّل,قاتِل
فضلك	فَضْل,ضَلّ,فَضَّل
فصوموا	NOTFOUND
فسالني	سال-ِ,وَلِي-ِ,أَلان
فرماه	رامِي,رَمَى-ِ,رَمّ,فَرَم,فَرَّم
فرضي	فَرْضِيّ,رِضاً,فَرْض,رَضِيّ,رَضّ,رَضَّى,رَضِي-َ
فرسي	رَسَّى,فارِسِيّ,فَرَس
فراشي	فَرّاش,فِراش
فجزاؤه	جَزاء,جِزْيَة
فتزوجها	زَوَّج,تَزَوَّج,تَزَوُّج
فافعلوا	NOTFOUND
فاسرع	سَرَّع,سَرُع,أَسْرَع
فاسجدوا	NOTFOUND
فاستغفر	ٱِسْتَغْفَر
فارق	آرِق,رَقَّى,أَراق,رَقّ-ِ,أَرِق,أَرِق-َ,فارِق,أَرَق,راق-ِ,فارَق,أَرَّق,رَقِي-َ,أَرَقّ,راق
فاذكر	ذَكَر,أَذْكَر,ذَكَّر
فاخذني	أَخَذ,آخَذ,أَخَّذ
فاخذته	آخِذ,أَخَذ,آخَذ,أَخَّذ
فاختصموا	ٱِخْتَصَم
فاحببت	أَحَبّ
فاتني	فاتِن,إِتْنِيّ,فات,أَتان
غرلا	غُورِيلّا,غُرْلَة
غدر	غَدْر,غَدِير,غَدَر-ِ
عملك	عَمِل-َ,عَمَل
علا	عَلا,عَلاة
عضوا	عَضّ-َ,عُضْو
عصبة	عَصَب,عَصَب-ِ,عَصَّب,عَصَبَة
عجلت	عَجَّل,عَجِل-َ
عالم	عالَم,عالِم
طير	طَيَّر,طَيْر
طلاقا	طَلاق
ضب	ضَبّ-ِ,ضَبّ
صوحان	NOTFOUND
صحيفة	صَحِيفَة
صحب	صَحِب-َ
شعري	شِعْر,شِعْرِيّ,شَعْر,شَعْرِيّ
شبل	شِبْل
سيفي	سَيْف,وَفَى-ِ,سِيف
سيفا	سَيْف,سِيف
سيسميه	سَمَّى,أَسْمَى
سم	سَمّ
سلوني	سَلّ,سَلِي-َ,سَلَّى,سَلا
سكينة	سِكِّين,سِكِّينَة,سَكِينَة
ستره	رَها,سَتَر,وَرَى-ِ,رَأَى-َ,سُتْرَة,سِتار,سِتْر,سَتَّر
سبط	سِبْط,سَبُط,سَبِط
زوجا	زَوَّج,زَوْج
زرعا	زَرَع-َ,زَرْع
رايتها	رايَة
رئي	NOTFOUND
دونكم	دُونَ,دَوَّن,دُون
دماءهم	دَم
خلي	خَلّ,خَلَّى,خَلِيّ
خفين	خَفِي-َ,خُفّ,خَفَى-ِ
خضرة	خَضَّر,خَضِر,خُضْرَة
خصلة	خَصْلَة,خُصْلَة
خبيث	خَبِيث
حويصة	NOTFOUND
حوالينا	حَوالَى
حكمة	حَكَّم,حُكْم,حَكَم,حِكْمَة
حضره	حَضَّر,حَضَر,حَضْرَة
حسناته	حَسَنَة
حرمة	حُرْمَة,حَرَّم,حَرَم,حَرَم-ُِ
حجاب	حاجِب,حِجاب
حبلي	حُبْلَى,حَبَل,حَبْل
تلقاء	تِلْقاء
تلاعبها	لاعَب,تَلاعُب
تقسطوا	أَقْسَط,قَسَّط,قَسِط-َ
تقربت	تَقَرَّب
تطيقون	أَطاق
تطعم	تَطَعَّم,أَطْعَم,طَعَّم,طَعِم-َ
تضره	ضَرّ,ضَرَّى,أَضَرّ,ضار,ضار-ِ
تصيبه	أَصاب
تصنعون	صَنَّع,صَنَع-َ
تسمعوا	سَمَّع,سَمِع-َ,أَسْمَع,تَسَمَّع
تسم	وَسَم-ِ,سَمّ,أَسام,سَمَّى,أَسْمَى,سام,سَما
تستغفر	ٱِسْتَغْفَر
تستطع	ٱِسْتَطاع
تزول	زَوَّل,زال
تختم	خَتَم-ِ
تخافت	خافَت
تبسم	تَبَسَّم,بَسَم-ِ
بكفه	كَفّ,كُفَّة,كِفَّة
بفناء	فَناء,فِناء
بصيامه	صائِم,صِيام
بسرة	بَسَر,سُرّ,بُسْر,سِرّ,سُرَّة
بدرهم	دِرْهَم,بَدْر,بَدَر,دَرّ,دُرّ
ببطن	بَطْن
بالكفر	كَفَر,كُفْر,كَفْر
بالشر	شَرّ
بالحناء	حِنّاء
بالحديبية	حُدَيْبِيَّة
بالتكبير	تَكْبِير
بالبصرة	بَصْرَة
باعلي	أَعْلَى
اوثق	وَثَّق,وَثِق-َِ,أَوْثَق
اوتوا	NOTFOUND
امينا	أُمِّيّ,أَمِين
اموالنا	مال
اليماني	يَمانِيّ
اليسر	يُسْر
الهم	آل,أَلْهَم,وَلِي-ِ,لَهِم-َ,هَمّ
النور	نُور,نَوَر
النسب	نَسَب,نِسْبَة
الموقف	مَوْقِف,مُوَقَّف
المنافقون	مُنافِق
المنازل	مَنْزِلَة,مُنازِل,مَنْزِل
المعافي	مُعافَى
المرة	مُرّ,مَرَّة
اللقمة	لُقْمَة
الكهان	كاهِن
القوي	قَوِيّ,قُوَّة,قَوَى
القلم	قَلَم
العوفي	عَوْفِيّ
العمامة	عِمامَة
العليم	عَلِيم
الظهران	ظَهْر,ظَهْران
الطلب	طَلَب
الصدق	صِدْق
الصحفة	صَحْفَة
الصحف	صَحِيفَة
الشؤم	شُؤْم
السمح	سَمْح
السقاء	سَقّاء,سِقاء
الساعي	ساعِي
الزيات	زَيّات
الركبان	NOTFOUND
الركاز	رِكاز
الرجلان	رَجُل,رِجْل
الدماء	دَم
الخل	خَلّ
الخدور	خِدْر
الحور	أَحْوَر,حَوَر,حُورِيَّة
الحناء	حِنّاء
الحمس	حَمِس,أَحْمَس
الحماني	NOTFOUND
الحسنة	حَسَنَة,حَسَن
الحجاز	حِجاز
الجلوس	جُلُوس
الجعرانة	NOTFOUND
الجبن	جُبُن,جُبْن
الثريد	ثَرِيد
التمرة	تَمْر
البهيمة	بَهِيمَة
الانطاكي	أَنْطاكِيّ
الاذن	إِذْن,آذِن,أُذُن
اقصرت	أَقْصَر
اقرانيها	أَقْرانِيّ
اقراني	قِرْن,أَقَرّ,أَقْرانِيّ
اقاموا	أَقام
افاحج	NOTFOUND
اعمالكم	عَمَل
اعلاها	أَعْلَى
اعطيك	أَعْطَى
اعطاك	أَعْطَى
اعاد	عادَى,أَعاد,عَدُوّ
