لينتعلهما	ٱِنْتَعَل
لليتامي	يَتِيم
للوليد	وُلَيْد,وَلِيد
للنكاح	نِكاح
للنفساء	نَفْساء
للنفس	نَفْس,نَفَس
للميعاد	مِيعاد
للموقد	مَوْقِد,مُوقِد
للموضع	مَوْضِع
للمودة	مُودَة,مَوَدَّة
للمهلة	مُهْلَة
للمهدي	مُهْدِي,مُهْدَى,مَهْدِيّ
للمنافقين	مُنافِق
للمنافق	مُنافِق
للمملي	NOTFOUND
للملائكة	مَلْأَك
للمكثرين	مُكْثِر
للمقدام	مِقْدام
للمعمرة	مُعَمَّر
للمعلم	مُعَلِّم,مَعْلَم
للمعرفة	مَعْرِفَة
للمعرس	NOTFOUND
للمعتدة	مُعْتَدّ
للمظلوم	مَظْلُوم
للمطلقات	NOTFOUND
للمضارب	مُضارِب,مَضْرِب
للمصدق	مُصَدَّق
للمسور	مُسَوَّر
للمسمعي	NOTFOUND
للمسكين	مِسْكِين
للمرضي	مَرَضِيّ,مُرْضِي,مَرِيض
للمذنبين	مُذَنَّب,مُذْنِب
للمذنب	مُذَنَّب,مُذْنِب
للمدعي	مُدَّعَى,مُدَّعِي
للمتوفي	مُتَوَفَّى
للمتفرسين	NOTFOUND
للمتحابين	NOTFOUND
للمانع	مانِع
للمؤمنات	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
للكلمة	كَلِمَة
للكفل	كَفْل
للكعبين	كَعْب
للكبيرة	كَبِير,كَبِيرَة
للكبير	كَبِير
للكافر	كافِر
للقين	قَيْن,لَقِي-َ
للقلب	قَلْب
للقطيعة	قَطِيعَة
للقرية	قَرْيَة,قَرِيَّة
للقبيلة	قَبِيلَة
للقبلتين	قِبْلَة,قُبْلَة
للقاعدين	قاعِد
للقاعد	قاعِد
للقارئ	قارِئ
للفقير	فَقِير
للفقر	فَقْر
للفعتك	لَفَع-َ,لَفَّع
للفضل	فَضْل
للفريقين	فَرِيق
للفحتك	لَفَح-َ,لَفْحَة
للفتي	أَلْفَت,لِفْت,فَتَى,لَفَّة,لَفْت,فَتِيّ
للفئام	فِئام
للغسل	غِسْل,غُسْل
للغد	غَد,لُغُد,لُغْد
للغازي	غازِي,غازِيّ
للعوافي	NOTFOUND
للعمرة	عُمْرَة
للعلم	عِلْم,عَلَم
للعقب	عُقْب
للعصا	عَصاً
للعرض	عَرَض,عَرْض,عِرْض
للعدو	عَدُوّ,عَدْو
للعبادة	عِبادَة
للعام	عامّ,عام
للعاض	NOTFOUND
للعاصي	عاصِي
للعادة	عادَة
للعابين	لَعّاب
للطلاق	طَلاق
للصوام	NOTFOUND
للصحيح	صَحِيح
للصبية	صَبِيَّة,صَبِيّ
للصبيان	صَبِيّ
للصابرين	صابِر
للصائمين	صائِم
للشهر	شَهْر
للشقوة	شَقْوَة
للشفيع	شَفِيع
للشراب	شَرّاب,شُرّاب,شَراب
للشام	شام
للشاخص	شاخِص
للسوقة	سُوقَة
للسمنة	سِمْنَة,سُمُّن
للسمة	سِمَة
للسلطان	سُلْطان
للسحاب	سَحاب,سَحّاب
للسبيل	سَبِيل
للسبابة	سَبّابَة,سَبّاب
للساعة	ساعَة
للسارق	سارِق
للسائب	سائِب
للزيادة	زِيادَة
للروم	رَوْم,رُوم
للركن	رُكْن
للركبان	NOTFOUND
للركب	رِكاب,رُكْبَة,رَكْب
للرقعة	رُقْعَة
للربح	رِبْح
للرؤيا	رُؤَى
للذراع	ذِراع
للدعاء	دُعاء
للدافة	NOTFOUND
للداء	داء,أَلَدّ
للخير	خَيِّر,خَيْر
للخمسين	خُمْس,خَمْسُون
للخمر	خَمْر,خِمار
للخليفة	خَلِيفَة
للخليط	خَلِيط
للخطايا	خَطِيئَة
للخط	خَطّ
للخراساني	خُراسانِيّ
للخدمة	خِدْمَة
للخائنين	خائِن
للحيضة	حَيْضَة
للحي	حَيّ,لَحَى,لِحْيَة,لَحْي
للحور	أَحْوَر,حَوَر,حُورِيَّة
للحقته	لَحِق-َ
للحشف	حَشَف
للحرفة	حِرْفَة
للحرة	حُرّ,حَرَّة
للحرام	حَرام
للحراثة	حَرّاث,حِراثَة
للحر	حُرّ,حَرّ
للحجيج	حَجِيج,حاجّ
للحجة	حِجَّة,حُجَّة
للحجاج	حاجّ
للحالق	حالِق
للجيش	جَيْش
للجواري	جارِيَة
للجوار	جِوار
للجهضمي	NOTFOUND
للجنازة	جِنازَة
للجذع	جَذَع,جِذْع
للجدة	جِدَّة,جَدّ
للجبل	جَبَل
للجبار	جَبّار
للجارود	NOTFOUND
للثيب	ثَيِّب
للثوري	ثَوْرِيّ
للثانية	ثانِيَة,ثانِي
للتي	لَتّ,الَّذِي
للتمر	تَمْر
للتلول	تَلّ
للبيوت	بَيُّوت,بَيْت
للبيد	بِيد
للبيت	بَيْت,لَبَّى
للبكر	بَكْر,بِكْر,بَكْرَة
للبكاء	بُكاء,بَكِيء,بَكّاء
للبرء	بُرْء,بَرْء
للانصاري	أَنْصارِيّ
للانسان	إِنْسان
للامير	أَمِير
للافق	أُفُق
للاسم	ٱِسْم
للازواج	زَوْج
للاخرة	آخِرَة,آخِر
للاختصار	ٱِخْتِصار
للاخت	أُخْت
للاجل	أَجْل,آجِل,أَجَلّ,أَجَل
للاثم	آثِم,أَثَم,إِثْم
للاثر	أَثَر,أَثِر,إِثْرَ,أَثْر
للابل	إِبْل
للابراد	بُرْد
لكيما	كَيما
لكيلا	كَيَّل,كَيْلا
لكنهم	كَنّ-ِ,لٰكِنَّ,كان,كَنّ
لكلهم	كُلّ
لكلمات	كَلِمَة
لكلب	كَلِب,كَلَب,كَلْب,كَلِب-َ,كَلَّب
لكلامه	كَلام
لكفنه	كَفَن-ِ,كَفْن,كَفَن,كَفَّن
لكفرتم	كَفَر-ِ,كَفَّر
لكفتهم	كَفَت-ِ,كِفْت,كَفّ,كَفَّت,كُفَّة,كِفَّة
لكفت	كَفَت-ِ,كِفْت,كَفّ,كَفَى-ِ,كَفَّت
لكز	لَكَز,لَكِز,كَزّ,لَكْز,كُزّ
لكذبته	كَذَب-ِ,كِذْبَة,كَذَّب
لكذبة	كَذَب-ِ,كِذْبَة,كِذْب,كَذَّب
لكتبنا	كِتاب,كَتَب
لكتبتها	كاتِب,كَتَب
لكتبته	كاتِب,كَتَب
لكتب	كِتاب,كَتَب
لكبير	كَبِير
لكانوا	كان
لكانها	كان
لكافيك	كاف
لكارهون	كارِه
لكاذبون	كاذِب
لكاذبة	كاذِب
لكابر	كابَر
لقيهن	لَقِي-َ,قِياء
لقيهم	قِياء,لَقِي-َ
لقيناهم	لَقِي-َ
لقيمات	لُقَيْمَة
لقيس	قَيَّس,قَيْس
لقيتموه	لَقِي-َ
لقيتك	لَقِي-َ,لُقْيا
لقية	قِياء,لَقِي-َ,لُقْيا
لقيام	قِيام
لقوهم	لَقِي-َ
لقومها	قَوْم,قَوَّم
لقوما	قَوَّم
لقولهما	قَوْل
لقولهم	قَوْل
لقوا	لَقِي-َ
لقنها	لَقِن-َ,لَقَّن,قُنّ,قِنّ
لقنت	لَقِن-َ,لَقَّن,قَنَى-ِ,قَنا,قَنَت
لقنا	لَقِن-َ,لَقَّن,قَنا,لاق-ِ
لقمته	لَقِم-َ,قام,قَمّ,لَقَم,لُقْمَة,قِمَّة,لَقَّم
لقم	لَقِم-َ,لَقَم,قَمّ,لُقْمَة,لَقَّم
لقلوبهم	قَلُوب,قَلْب
لقلوبكم	قَلُوب,قَلْب
لقلنا	قال,قِلّ
لقل	قَلّ-ِ,قِلّ
لقفاه	قَفا,قَفاً,قَفَّى,لَقِف-َ
لقعود	قاعِد,قُعُود,قَعُود
لقطعته	قَطَع-َ,قَطَّع,قِطْعَة,قَطْعَة,قُطْعَة
لقضينا	قَضَّى,قَضَى-ِ
لقريبه	قَرِيب
لقرابتهم	قَرابَة,قُرابَة,قَرّاب
لقراءتك	قِراءَة
لقراءة	قِراءَة,قارِئ
لقدومه	قادِم,قَدُّوم,قُدُوم,قَدُوم
لقتل	قَتَّل,قَتَل,قَتْل
لقبيصة	NOTFOUND
لقبلناه	قَبَّل,قَبِل-َ
لقبض	قَبْض,قَبَّض,قَبَض-ِ,قُبْضَة
لقب	لَقَّب,قَبّ,لَقَب
لقاه	لَقَى,قاهِي
لقادر	قادِر
لقاتلها	قاتَل,قاتِل
لقاتل	قاتَل,قاتِل
لقاب	قاب
لقائمة	قائِمَة,قائِم
لقاءك	قاء-ِ,لِقاء
لفقات	NOTFOUND
لفعلنا	فَعَل-َ,فِعْل
لفضالة	فُضالَة,فِضال
لفروة	فَرَّى,فَرْوَة,فَرَى-ِ,فَرْو,فَرّ-ِ
لفرضته	فَرَض-ِ,فُرْضَة
لفخذه	فَخْذ
لفحها	لَفَح-َ,لَفْح,فَحّ
لفتيانه	فَتَى
لفتيان	فَتَى,فَتِيّ
لفتن	لَفَت-ِ,لاف,فات,فَتَن-ِ,فِتْنَة,لَفَّت
لفتح	فَتَح-َ,فَتْح
لفتة	أَلْفَت,فَتّ,لَفَت-ِ,لاف,فات,لِفْت,لَفَّة,لَفْت,لَفّ,لَفَّت,لَفْتَة
