الحسني	لَحَس-َ,حُسْنِي,لَحِس-َ,أَحْسَن
اكبرهم	كَبَّر,كَبَر,أَكْبَر
اقود	قاد,أَقْوَد
اقلت	أَقَلّ,أَقال
اقلب	قَلَّب,قَلَب-ِ
اقضيه	قَضاء,قَضَى-ِ,قَضَّى,قَضَى
اقضوا	أَقَضّ
اقراها	أَقَرّ
اقراصا	قُرْص
اقراتنيها	NOTFOUND
اقرئني	أَقْرَأ
اقدمهم	أَقْدَم,قَدِم-َ,قَدَّم
اقتتلوا	ٱِقْتَتَل
اقتتلت	ٱِقْتَتَل
اقاله	إِقالَة,أَقال
افيكشف	NOTFOUND
افيض	أَفاض,فاض-ِ
افنذبح	NOTFOUND
افنتوضا	NOTFOUND
افعلي	أَفْعَل
افطروا	أَفْطَر
افسدت	أَفْسَد
افركه	فَرَّك,فَرَك
افررتم	أَفَرّ
افاكل	NOTFOUND
افارق	فارَق
اغمصه	أَغْمَص,غَمَص-ِ
اغلب	أَغْلَب,غَلَب-ِ
اغفرها	غَفَر,غَفَّر
اغسلوا	NOTFOUND
اغبر	ٱِغْبَرّ,أَغْبَر,غَبَّر,غَبَر
اغاروا	أَغار
اعيدت	أَعاد
اعهد	عَهِد-َ
اعليك	أَعْلَى,عَلَّى
اعلموا	أَعْلَم,عَلِم-َ
اعطينا	أَعْطَى
اعطيكم	أَعْطَى
اعطاهم	أَعْطَى
اعطان	NOTFOUND
اعزب	عَزَب,عَزَب-ِ,أَعْزَب,عَزَّب
اعرفها	عَرَّف,أَعْرَف,عَرَف-ِ
اعرفك	عَرَّف,أَعْرَف,عَرَف-ِ
اعدي	عَدا,عَدَّى,أَعْدَى
اعجبني	أَعْجَب,عَجَّب
اعتكفنا	ٱِعْتَكَف
اعتقه	عَتُق,ٱِعْتاق,أَعْتَق
اعتزلها	NOTFOUND
اعاذك	أَعاذ
اظهرهم	ظَهَّر,أَظْهَر,أَظْهُر,ظَهَر-َ
اظننت	NOTFOUND
اطيل	أَطال
اطيعوا	NOTFOUND
اطلي	طَلَى-ِ
اطلق	طَلَق,طَلَّق,أَطْلَق
اطعام	إِطْعام
اطبقه	أَطْبَق,طَبَّق
اضياف	NOTFOUND
اضطجعت	ٱِضْطَجَع
اصيحابي	NOTFOUND
اصواتهن	صَوْت
اصنعوا	NOTFOUND
اصنعه	صَنَع-َ,صَنَّع
اصمت	أَصْمَى,صَمَت,أَصْمَت,أَصَمّ,صَمَّت
اصله	أَصْل,أَصَلَة,صال,صَلِي-َ,وَصَل-ِ,صَلَّى,صَلَى-ِ,أَصْلَى
اصلا	أَصْل,أَصَلَة
اصفرت	أَصْفَر,ٱِصْفَرّ
اصعد	صَعِد-َ,أَصْعَد,صَعَّد
اصحمة	NOTFOUND
اصبعا	إِصْبَع
اصبحتم	أَصْبَح
اشيروا	NOTFOUND
اشهدت	أَشْهَد
اشعارهم	شِعْر,شَعْر,إِشْعار
اشركنا	شَرِك-َ,أَشْرَك
اشرق	شَرِق-َ,أَشْرَق,شَرَق
اشرت	أَشَّر,أَشار,أَشَر,أَشَر-ِ
اشربه	أَشْرَب,شَرِب-َ,شَرَّب
اشرافهم	إِشْراف,شَرِيف
اشده	شَدّ-ُِ,شَداد,شَدا,أَشَدّ,شَدَه-َ,شاد-ِ,أَشاد,أَشُدّ
اشتهاه	ٱِشْتَهَى
اشتقنا	ٱِشْتَقّ,ٱِشْتاق
اسنانهم	سِنّ
اسماعنا	NOTFOUND
اسقطتها	أَسْقَط
اسرف	أَسْرَف
اسخط	سَخِط-َ,أَسْخَط
اسحقوني	NOTFOUND
استوقد	ٱِسْتَوْقَد
استودع	ٱِسْتَوْدَع
استهزئ	ٱِسْتَهْزَأ
استنار	ٱِسْتَنار
استمعوا	ٱِسْتَمَع
استكري	ٱِسْتَكْرَى
استقاء	NOTFOUND
استعاذ	ٱِسْتَعاذ
استطلاقا	NOTFOUND
استطعما	ٱِسْتَطْعَم
استزدته	ٱِسْتَزاد
استخفافا	ٱِسْتِخْفاف
استحي	ٱِسْتَحْيَى
استحلفكم	ٱِسْتَحْلَف
استانيت	NOTFOUND
استاذنوا	NOTFOUND
استاجره	NOTFOUND
ازيغ	زاغ-ِ,أَزاغ
ازور	أَزْوَر,آزُور,زار,ٱِزْوَرّ,زَوَّر
ازوادنا	أَزْواد
ازرعها	زَرَع-َ
ازاغت	أَزاغ
اريكته	أَرِيكَة
اروا	NOTFOUND
ارنبين	أَرْنَب
ارنا	وَرَى-ِ,رَأَى-َ,آر
ارمت	أَرَم-ِ,أَرَّم
ارقي	آرِق,رَقَّى,أَرْقَى,أَرِق,أَرَق,رَقِي-َ,أَرَقّ
ارفعوا	NOTFOUND
ارغم	أَرْغَم
ارعي	أَرْعَى,رَعَى-َ
ارسلوا	أَرْسَل
ارسلنا	أَرْسَل
ارحامكم	رَحِم
ارجي	أَرَج,رَجا,أَرْج,رَجِي-َ,أَرِج
ارجلكم	رَجَّل,رِجْل,رَجِل-َ
ارجل	رَجَّل,رِجْل,رَجِل-َ
ارجعه	أَرْجَع,رَجَّع,رَجَع-ِ
ارتقيت	ٱِرْتَقَى
ارتددت	ٱِرْتَدّ
ارتدت	ٱِرْتاد,ٱِرْتَدّ,ٱِرْتَدَى
ارتدادا	ٱِرْتِداد
ارتد	ٱِرْتاد,ٱِرْتَدّ,ٱِرْتَدَى
ارتحلوا	ٱِرْتَحَل
اربطه	رَبَط,رِباط
اراهما	رَأَى-َ
اذنا	أَذِن-َ,أَذَّن,إِذْن,آذِن,أُذُن,آذَن
اذاهم	أَذَى,آذَى
اذانها	أَذان,أُذُن
ادويتكم	دَواء
ادهي	دَهِي-َ,دَهَى-َ,دَهَّى,أَدْهَى
ادهم	دَهَّم,أَدّ,ٱِدْهَمّ,آد,دَهَم-َ,أَدْهَم,إِدّ,وَدَى-ِ
ادنيت	ٱِدَّنَى,أَدْنَى
ادمي	دَمِي-َ,دَمَّى,آدَمِيّ,أَدْمَى
ادلكما	أَدَلّ,دَلّ,دال,أَدْلَى,دَلَّى,أَدال
ادعهن	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ادخلك	أَدْخَل,دَخَل
ادب	أَدَب,آدِب,آدَب,أَدَّب,داب,دَبّ-ِ,أَدْب
اداها	أَدَّى,أَدّ,آد
اداء	أَداء
اخواني	أَخ
اخوانكن	أَخ
اخواله	خال
اخريات	أُخْرَى
اخذهما	آخِذ,أَخْذ,أَخَذ,آخَذ,أَخَّذ
اخذهم	آخِذ,أَخْذ,أَخَذ,آخَذ,أَخَّذ
اخدمه	خَدَم-ُِ,خَدَّم
اخبار	إِخْبار,أَخْبار,خَبَر
احييت	أَحْيَى
احمي	حَمِي-َ,أَحَمّ,أَحْمَى,حَمَى-ِ,حَمَّى
احفظوا	أَحْفَظ
احظي	حَظِي-َ
احرق	حَرَّق,حَرَق-ِ,حَرَق,أَحْرَق
احدثت	أَحْدَث
احترقت	ٱِحْتَرَق
احتازها	ٱِحْتاز
احبوك	أَحَبّ,حَبا
احببنا	أَحَبّ,حَبَّب,حَبّ-ِ
احاج	حُجّايَة,حاجّ,حاجَى
اجيزهم	أَجاز
اجيبي	NOTFOUND
اجمعهما	جَمَع-َ,جَمَّع,أَجْمَع
اجليكم	أَجْلَى,جَلَى-ِ,آجِل,جَلَّى,أَجَلّ,أَجَل
اجلها	أَجْل,أَجَّل,جَلا,أَجْلَى,جَلَى-ِ,جال,آجِل,جَلَّى,أَجال,أَجَلّ,أَجَل
اجلك	أَجْل,جَلا,أَجَّل,أَجْلَى,جَلَى-ِ,جال,آجِل,جَلَّى,أَجال,أَجَلّ,أَجَل
اجلسنا	أَجْلَس
اجرته	آجَر,أَجَر,أَجار,أَجَّر,أُجْرَة,أَجْرَى,أَجَرّ
اجبتك	أَجاب
اجالسك	جالَس
اجازة	أَجاز,جازَى,إِجازَة
اجابهم	أَجاب
اثير	أَثِير,أَثار
اثري	أَثَر,أَثِر,ثَرِي-َ,أَثَرِيّ,إِثْرَ,أَثْر,أَثْرَى
اثارها	أَثَر,أَثار
اتوني	أَتُّون,آتَى,أَتَى-ِ
اته	تاه,أَتاه
اتعجبين	NOTFOUND
اتريدين	NOTFOUND
اتخوف	تَخَوَّف
اتخذنا	ٱِتَّخَذ
اتحل	تَحَلَّى
اتجهز	تَجَهَّز
اتبيع	NOTFOUND
اتبعتني	أَتْبَع,ٱِتَّبَع
اتبعت	أَتْبَع,ٱِتَّبَع
اتباعا	ٱِتِّباع,تَبَع
ابيهم	أَب,أَبِيّ,آبِي
ابيرق	NOTFOUND
ابيتن	أَبَى-َ
ابوء	باء,بَوَّأ
ابهاميه	إِبْهام
ابلهم	بَلّ-ِ,بَلّ,إِبْل,بَلا,أَبال,بال,بَلِي-َ,أَبَلّ,وَبَل-ِ,أَبْلَى
ابطات	NOTFOUND
ابطئوا	NOTFOUND
ابصروها	أَبْصَر
ابشري	أَبْشَر
ابشرك	بَشَر-ِ,بَشَر,أَبْشَر,بَشِر-َ,بَشَّر
ابتليتم	ٱِبْتَلَى
ابتعته	ٱِبْتاع
ائتيا	NOTFOUND
يومهما	يَوْم
يوفون	وَفَّى,أَوْفَى
يوص	وَصَّى,أَوْصَى
يوسع	وَسُع,أَوْسَع,وَسَّع
يود	يَوَّد,وَدّ-َ,أَوْدَى
يواقع	NOTFOUND
يواطئ	واطَأ
يهرول	هَرْوَل
يهدون	أَهْدَى,هَدّ-ِ,هَدَى-ِ,هَدّ
يهجو	هَجا
يهبن	هاب-َ,أَهاب,وَهَب-َ
ينهاني	نَهَى-ِ
ينمي	أَنْمَى,نَمَى-ِ,نَمَّى
ينكحن	أَنْكَح,نَكَح-َُِ
ينقم	نَقِم-َ,نَقَم-ِ
ينقلون	نَقَّل,نَقَل
ينفقونها	نَفَّق,أَنْفَق,نَفَق
ينفذه	نَفَذ,أَنْفَذ,نَفَّذ
ينفجر	ٱِنْفَجَر
ينعت	يَنَع-َِ,نَعَت-َ
ينظره	نَظَر
ينضخ	NOTFOUND
ينصرفون	ٱِنْصَرَف
ينشر	نَشَّر,نَشَر,أَنْشَر
ينشب	أَنْشَب,نَشَّب,نَشِب-َ
ينسب	نَسَب,ٱِنْساب
ينزلون	نَزَل-ِ,أَنْزَل,نَزَّل,نَزِل-َ
ينحدر	ٱِنْحَدَر
ينته	نات,ٱِنْتَهَى
ينتج	نَتَج-ِ,أَنْتَج,ٱِنْتَجَى
ينازعه	نازَع
يناجيه	ناجَى
يمينها	يَمِين
يميتون	أَمات
يمنعهن	مَنَع
يمنحها	مَنَح-َ
يملها	مَلَّى,أَمْلَى,أَمَلّ,مَلا
يملكه	مَلَك-ِ,أَمْلَك,مَلَّك
يمكني	أَمْكَن,مَكَّن
يمشوا	مَشّ,أَمْشَى,مَشَّى,مَشَى-ِ
يمزقوا	مَزَق-ِ,مَزَّق
يمحق	ٱِمَّحَق,أَمْحَق,مَحَق-َ
يمجسانه	NOTFOUND
يلوي	أَلْوَى,لَوِي-َ,لَوَى-ِ,لَوَّى
يلون	وَلِي-ِ,لَوَّن
يلهو	لَها
يلمزون	لَمَز
يلقاني	لَقِي-َ
يلبسكم	لَبَّس,لَبِس-َ,أَلْبَس
يكيل	كال-ِ,كَيَّل
يكلمانه	كَلَّم
يكلفه	كَلَّف
يكفنوه	كَفَن-ِ,كَفَّن
يكفرها	كَفَر-ِ,كَفَّر,أَكْفَر
يكفا	وَكَف-ِ,كَفّ
يكسبون	كَسَب-ِ,أَكْسَب,كَسَّب
يكرون	كَرّ,كَرا,كَرِي-َ,كَرَى-ِ,أَكْرَى
يكرمه	أَكْرَم,كَرَّم
يكدم	كَدَم
يكثرون	أَكْثَر,كَثُر,كَثَّر
يكتمن	كَتَّم,كَتَم
يكتبها	أَكْتَب,كَتَب
يكتبه	أَكْتَب,كَتَب
يكتاله	NOTFOUND
يكبه	وَكَب-ِ,أَكْبَى,أَكَبّ,كَبا,كَبّ
يقيك	وَقَى-ِ
يقي	وَقَى-ِ
يقودكم	قاد
يقطعه	قَطَع-َ,قَطَّع,أَقْطَع
يقضيه	قَضَى-ِ,قَضَّى
يقرونا	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
يقدرون	قَدَّر,قَدِر-َ,قَدَر-ِ,قَدَر
يقتلوه	قَتَل,قَتَّل
يقتلوا	قَتَّل,قَتَل
يقتسم	ٱِقْتَسَم
يقتتل	ٱِقْتَتَل
يقبلني	قَبَّل,أَقْبَل,قَبِل-َ
يقبر	قَبَر,أَقْبَر
يفوتنا	فَوَّت,فات
يفلته	أَفْلَت,فَلَت-ِ
يفقد	فَقَد-ِ,أَفْقَد
يفعلونه	فَعَل-َ
يفظعنا	NOTFOUND
يفطن	فَطِن-َ,فَطُن,فَطَن
يفرون	فَرَّى,وَفَر-ِ,أَفْرَى,فَرَى-ِ,أَفَرّ,فَرّ-ِ
يفارقها	فارَق
يفارقه	فارَق
يفارقك	فارَق
يغيروا	غَيَّر,أَغار
يغلبكم	غَلَب-ِ
يغلب	غَلَب-ِ
يغفي	غَفِي-َ,أَغْفَى
يغطي	غَطا,غَطَّى
يغض	غاض-ِ,أَغْضَى,غَضّ
يغرنكم	غار,أَغار
يغبطهم	غَبَط-ِ,غَبَّط,أَغْبَط
يعودوا	عاد,عَوَّد
يعنيه	عَنَى-ِ,عَنَّى
يعنهم	أَعان,عَنَى-ِ,عَنَّى,عَنا
يعمله	عَمِل-َ,أَعْمَل
يعطيهم	أَعْطَى
يعص	عَصَى-ِ,عَصّ-َ
يعسر	عَسَّر,أَعْسَر,عَسَر,عَسُر
يعزوا	عَزَى-ِ,عَزا,عَزَّى,أَعَزّ,عَزّ-ِ,عَزِي-َ
يعدو	عَدا
يعثران	أَعْثَر,عَثَّر,عَثَر
يعتقه	عَتُق,أَعْتَق,ٱِعْتاق
يعترض	ٱِعْتَرَض
يعتذرون	ٱِعْتَذَر
يعتبر	ٱِعْتَبَر
يعبدونه	عَبَد,عَبَّد
يعبا	وَعَب-ِ,عَبّ
يعاقبه	عاقَب
يعار	عار-َ,أَعار
يطلبون	طَلَب
يطعنني	طَعَن-َ,أَطاع,طاع
يطبخ	طَبَخ-َُ
يطؤها	NOTFOUND
يضيع	ضاع-ِ,أَضاع,ضَيَّع
يضمر	ضَمَر,أَضْمَر
يضعوا	وَضَع
يضعها	ضاع-ِ,وَضَع,أَضاع
يضعه	ضاع-ِ,وَضَع,أَضاع
يضربها	ضَرَب,أَضْرَب,ضَرَّب
يضاهون	ضاهَى
يصيبني	أَصاب
يصوموا	صام
يصلوها	وَصَل-ِ,صَلَّى,صَلِي-َ,صَلَى-ِ,أَصْلَى
يصله	صال,وَصَل-ِ,صَلَّى,صَلِي-َ,صَلَى-ِ,أَصْلَى
يصلحه	صَلَّح,أَصْلَح
يصعدون	صَعِد-َ,أَصْعَد,صَعَّد
يصرخ	صَرَخ
يصد	أَصَدّ,وَصَد-ِ,صَدّ,صَدِي-َ,صاد-ِ,أَصْدَى,صَدَّى
يصبني	وَصَب-ِ,صَبّ,أَصاب,صَبَّن,صَبِي-َ,صَبا,صَبّ-َ,صَبَّى
يشيب	أَشاب,شَيَّب,شاب-ِ
يشمته	أَشْمَت,شَمَّت,شَمِت-َ
يشقي	شَقا,شَقِي,أَشْقَى
يشركها	شَرِك-َ,أَشْرَك
يشتم	شَتَم-ُِ,ٱِشْتَمّ
يشبهها	شَبَّه,أَشْبَه
يسود	ساد,سَوَّد,ٱِسْوَدّ
يسمعون	سَمَّع,سَمِع-َ,أَسْمَع
يسمعوا	سَمَّع,سَمِع-َ,أَسْمَع
يسلفه	أَسْلَف,سَلَف,سَلَّف
يسقيها	أَسْقَى,سَقَى-ِ
يسعط	NOTFOUND
يسدل	سَدَل,سَدَّل,أَسْدَل
يستعمل	ٱِسْتَعْمَل
يستعلن	NOTFOUND
يستعف	ٱِسْتَعْفَى
يستعتب	NOTFOUND
يستسعي	NOTFOUND
يسترخي	ٱِسْتَرْخَى
يستخفون	ٱِسْتَخَفّ,ٱِسْتَخْفَى
يستحلف	ٱِسْتَحْلَف
يستحل	ٱِسْتَحال,ٱِسْتَحَلّ,ٱِسْتَحْلَى
يستحر	ٱِسْتَحَرّ
يستجيب	ٱِسْتَجاب
يستاذنون	NOTFOUND
يستاذنه	NOTFOUND
يسالنك	NOTFOUND
يسالكم	NOTFOUND
يسارع	سارَع
يزول	زَوَّل,زال
يزورها	زار,ٱِزْوَرّ,زَوَّر
يزهدها	زَهَّد,زَهُد,زَهَد-َ
يزحفون	زَحَف-َ
يزاحم	زاحَم
يريدان	أَراد
يريحون	رَيَّح,أَراح
يروون	أَرْوَى,رَوَى-ِ,رَوَّى
يرميها	رَمَى-ِ
يرفعان	رَفَع-َ,رَفَّع
يرغبون	رَغِب-َ
يرضيك	أَرْضَى,رَضَّى
يرضوا	رَضّ,أَرْضَى,رَضَّى,رَضِي-َ
يرزقه	رَزَق
يرزقنا	رَزَق
يرزا	أَرَزّ,رَزّ
يردفني	أَرْدَف,رَدِف-َ,رَدَف
يردف	أَرْدَف,رَدِف-َ,رَدَف
يرحمكم	رَحَّم,رَحِم-َ
يرتجعها	NOTFOUND
يرتجز	ٱِرْتَجَز
يرتاب	ٱِرْتاب
يراء	راءَى
يذلوا	أَذَلّ
يدمي	دَمِي-َ,دَمَّى,أَدْمَى
يدعهن	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
يدريني	دَرَى-ِ,أَدْرَى
يدخلوه	أَدْخَل,دَخَل
يداوم	داوَم
يخيب	خاب-ِ,أَخاب,خَيَّب
يخطوها	خَطا,خَطَّى,خَطّ
يخضب	خَضِب-َ,خَضَّب,خَضَب-ِ
يخرجك	خَرَّج,أَخْرَج
يخدم	خَدَم-ُِ,خَدَّم
يختلفوا	ٱِخْتَلَف
يختارنا	ٱِخْتار
يختار	ٱِخْتار
يخالف	خالَف
يخافون	خاف-َ,أَخاف
يخافه	NOTFOUND
يحوطك	حَوَّط,حاط
يحني	وَحَى-ِ
يحن	حان-ِ
يحله	أَحَلّ,حَلَى,أَحال,حَلَّى,حَلِي-َ,حال,حَلُو,حَلّ
يحفظني	حَفِظ-َ,أَحْفَظ
يحضرون	حَضَّر,أَحْضَر,حَضَر
يحرمن	حَرِم-َ,حَرُم,حَرَّم,حَرَم-ُِ
يحجون	حَجّ,حَجا
يحجبه	حَجَّب,حَجَب
يحث	حَثّ,حَثا,أَحاث
يحتسبها	ٱِحْتَسَب
يحتبس	ٱِحْتَبَس
يجلسون	جَلَس-ِ,أَجْلَس
يجزئك	جَزَّأ
يجتمعون	ٱِجْتَمَع
يجاهدوا	جاهَد
يجافي	جافَى
يجا	NOTFOUND
يثيع	NOTFOUND
يثنون	ثَنَّى,ثَنَى-ِ,أَثْنَى
يثخن	ثَخُن,أَثْخَن,ثَخَّن
يتهافت	تَهافَت
يتمون	تَمّ-ِ,أَتَمّ,تَمَوَّن
يتكئ	ٱِتَّكَأ
يتقالها	تَقالّ
يتفلون	تَفَل,تَفَلَّى
يتغن	تَغَنَّى
يتعلمن	تَعَلَّم,تَعَلْمَن
يتعبد	تَعَبَّد
يتطهروا	تَطَهَّر
يتصبر	تَصَبَّر
يتخبطني	تَخَبَّط
يتحرجون	تَحَرَّج
يتحدثان	تَحَدَّث
يتاذي	NOTFOUND
يبيعوها	باع-ِ,أَباع
يبلي	بَلا,بَلِي-َ,أَبْلَى
يبلغون	بَلُغ,بَلَغ,بَلَّغ,أَبْلَغ
يبغضها	أَبْغَض,بَغَّض,بَغِض-َ
يبصقون	بَصَق
يبشره	بَشَر-ِ,بَشَر,أَبْشَر,بَشِر-َ,بَشَّر
يبدله	بَدَل,أَبْدَل,بَدَّل
يبدئ	أَبْدَأ
يبتاعون	ٱِبْتاع
يبتاعه	ٱِبْتاع
يبتئر	NOTFOUND
ياكلونه	أَكَل
ياتمون	ٱِئْتَمّ
يئووه	NOTFOUND
يؤيد	أَيَّد
يؤذينا	آذَى
يؤتك	آتَى
يؤاكلوهن	NOTFOUND
يؤاخذ	آخَذ
ويومين	يَوْم
ويولون	وَلَّى,أَوْلَى
ويهود	هَوَّد,هاد,يَهُودِيّ
وينهانا	نَهَى-ِ
وينكحه	أَنْكَح,نَكَح-َُِ
وينفث	نَفَث
وينصب	أَنْصَب,نَصَّب,ٱِنْصَبّ,نَصَب,نَصِب-َ
وينادي	نادَى
ويموت	مَوَّت,مات
ويمكث	مَكَث
ويمس	مَسَى,مَسَّى,أَمْسَى,وَمَس-ِ,ماس-ِ,مَسّ-َ
ويلها	وَلِه-َِ,وَلِي-ِ,وَيْل
ويكفرن	كَفَر-ِ,كَفَّر,أَكْفَر
ويكذبه	كَذَب-ِ,أَكْذَب,كَذَّب
ويكذب	كَذَب-ِ,أَكْذَب,كَذَّب
ويقيموا	قَيَّم,أَقام
ويقلن	قال,أَقال
ويقعد	قَعَد,أَقْعَد,قَعَّد
ويقبل	قَبَّل,أَقْبَل,قَبِل-َ
ويغضب	أَغْضَب,غَضِب-َ
ويعين	أَعان,عَيَّن,وَعَى-ِ
ويعملون	عَمِل-َ,أَعْمَل
ويعرض	أَعْرَض,عَرَض-ِ,عَرَّض
ويعثران	أَعْثَر,عَثَّر,عَثَر
ويطوي	طَوَى-ِ
ويطهركم	طَهَّر
ويطلب	طَلَب
ويصل	صال,صَلِي-َ,وَصَل-ِ,صَلَّى,أَصْلَى,صَلَى-ِ
ويشمته	أَشْمَت,شَمَّت,شَمِت-َ
ويسقطان	أَسْقَط,سَقَط
ويسقط	أَسْقَط,سَقَط
ويسعون	سَعَى-َ,وَسِع-َ
ويسرنا	يَسَّر,يَسِر-َ,يُسْر,سار-ِ,سَرَى-ِ,سَرَّى,أَسار,أَسَرّ,سَرّ,أَسْرَى,يَسُر
ويستكثرنه	NOTFOUND
ويستحب	ٱِسْتَحَبّ
ويسار	يَسار,أَسار,سارّ
ويرزقهم	رَزَق
ويرد	رَدِي-َ,راد,رَدَّى,رَدّ,أَرْدَى,أَراد,وَرَد-ِ
ويذيق	أَذاق
ويذكره	ذَكَر,أَذْكَر,ذَكَّر
ويدعي	ٱِدَّعَى,دَعا
ويدعوه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ويخفض	خَفَّض,خَفَض-ِ,خَفُض
ويخبر	خَبُر,أَخْبَر,خَبَر,خَبَّر
ويحيا	حَيّ-َ,وَحَى-ِ
ويحمل	حَمَل-ِ,حَمَّل
ويحلفون	حَلَف-ِ,حَلَّف
ويحب	أَحَبّ,حَبّ-ِ,حَبا
ويجعلون	جَعَل-َ
ويجافي	جافَى
ويتقي	ٱِتَّقَى,تَقَى-ِ
ويتفل	تَفَل,تَفَلَّى
ويتعوذ	تَعَوَّذ
ويتزود	تَزَوَّد
ويتركنا	تَرَك,تَرَّك
ويباشر	باشَر
ويافث	يافِث
وياسر	ياسِر,أَسَر-ِ,ياسَر
وياجوج	NOTFOUND
ويابي	أَبَى-َ
ويابس	يابِس
ويؤكل	أَكَّل,آكَل,أَكَل
ويؤثرون	آثَر,أَثَّر
ويؤتوا	آتَى
ووعدني	وَعَد-ِ
وورثها	وَرِث-ِ,وَرَّث,وِرْث
ووراءه	وَراءَ,وَراء
ووجد	وَجَد-ِ
ووثب	وَثْب,وَثَب-ِ
ووافق	وافَق
وهوي	هُوَّة,هَوَى-ِ,هَوَّى,هَوَى,هَوِي-َ,هُوِيّ
وهلي	وَهَل
وهلك	هُلْك,هالِك,هَلَّك,هَلَك,وَهَل,هَلّ-ِ,وَهَّل
وهلال	هِلال
وهرام	NOTFOUND
وهديا	هَدْي,هَدَى-ِ
وهبن	هاب-َ,وَهَب-َ
وهامة	هامّ,هامَة,هام
وهاشم	هاشِم
وهازم	NOTFOUND
وهاجرت	هاجَر
ونون	نَوَّن,وَنَّى,وَنِي-َ,نُون,وَنّ-ِ
وننبذه	نَبَذ-ِ,نَبَّذ,أَنْبَذ
ونكصت	نَكَص-ُِ,نَكَّص
ونقوم	قام,قَوَّم
ونقشه	نَقْش,نَقَش,قَشّ,نَقَّش
ونفلوا	NOTFOUND
ونفلنا	فَلّ,فَلَى-ِ,نَفْل,نَفَل,فَلَّى
ونفر	فَرَّى,وَفَر-ِ,نَفَّر,أَفْرَى,فَرَى-ِ,أَفَرّ,فار,نافِر,نَفَر,أَفار,فَرّ-ِ
ونعمت	نَعُم,نَعَّم,نَعِم-َ,نَعَم-َُ,نِعْمَت
ونستغفر	ٱِسْتَغْفَر
ونستعينه	ٱِسْتَعان
ونساءه	نَسّاء,نِساء,نَساء
