فكمنا	كَمِن-َ,مِنَى,كَمَن,كَمّ
فقده	قَدّ,فَقْد,قُدّ,قِدَّة,فَقَد-ِ,قِدّ
فقدناك	قاد,فَقَد-ِ
فقدمها	قَدِم-َ,قَدُوم,قَدَم,قَدَّم
فقدمني	قَدِم-َ,قَدَّم
فقدمتها	قَدِم-َ,قَدَّم
فقدعني	NOTFOUND
فقدرت	قَدَّر,قَدِر-َ,قَدَر-ِ,قَدَر
فقتلناهم	قَتَّل,قَتَل
فقتلنا	قَتَّل,قَتَل,قَتْل
فقتلن	قَتَّل,قَتَل
فقبلي	قَبَلِيّ,قِبْلِيّ,قِبَل,قَبْلِيّ,قَبْلَ
فقبلناها	قَبَّل,قَبِل-َ
فقبلتها	قَبَّل,قِبْلَة,قُبْلَة,قَبِل-َ
فقبلا	قَبْل,قَبَّل,قِبَل,قَبْلَ,قَبِل-َ
فقبضنا	قَبْض,قَبَّض,قَبَض-ِ,قُبْضَة
فقبرها	قَبَر,قَبْر,قُبَّر
فقاليا	NOTFOUND
فقالوها	قال
فقالها	قال
فقالمنعني	NOTFOUND
فقالقيسوا	NOTFOUND
فقاسوه	قاسَى,قاسِي,قاس-ِ
فقاسوا	قاسَى,قاس-ِ
فقاسموهم	قاسَم
فقاتلونا	قاتَل,قاتِل
فقاتلوا	قاتَل
فقاتلنا	قاتَل,قاتِل
فقاتلت	قاتَل
فقائل	قائِل
فقا	NOTFOUND
فقئ	قَيْء,فَقْء
ففيهم	فِي
ففودي	فَوْد
ففهمها	فَهِم-َ,فَهْم,فَهَّم
ففهمت	فَهِم-َ,فَهَّم
ففلقت	فَلَق-ِ,فَلَّق
ففلق	فَلَق-ِ,فَلَّق,فَلْق
ففككت	فَكَّك,فَكّ
ففقدوا	فَقَد-ِ
ففقدناه	فَقَد-ِ
ففقدته	فَقَد-ِ
ففقدت	فَقَد-ِ
ففقد	فَقْد,فَقَد-ِ
ففقاوا	NOTFOUND
ففقاها	NOTFOUND
ففقئوا	NOTFOUND
ففعله	فَعَل-َ,فَعْلَة,فِعْل
ففعلناها	فَعَل-َ
ففعلته	فَعَل-َ,فَعْلَة
ففضله	فَضْل,فَضْلَة,فَضَّل
ففضلت	فَضَل,فَضَّل
ففضت	فاض-ِ,فَضّ,فَضا,فَضَّى
ففشت	فَشا,فَشّ,فاش-ِ
ففسروها	فَسَّر
ففسره	فَسَّر
ففزعوا	فَزِع-َ,فَزَّع
ففزره	فَزَر
ففركه	فَرَّك,فَرْك,فَرَك
ففركته	فَرَّك,فَرَك
ففرقها	فَرَق,فَرْق,فَرَّق,فِرْقَة
ففرقت	فَرَق,فَرَّق
ففرغوا	فَرَّغ,فَرِغ-َ,فَرَغ
ففرضها	فَرْض,فَرَض-ِ
ففرضت	فَرَض-ِ
ففرشناه	فَرَش,فَرَّش,فَرَش-ِ
ففرشنا	فَرَش,فَرَّش,فَرْش,فَرَش-ِ,فُرْشَة
ففرشته	فَرَش,فَرَّش,فَرْشَة,فَرَش-ِ,فُرْشَة
ففرشت	فَرَش,فَرَّش,فَرَش-ِ
ففرحت	فَرِح-َ,فَرَّح
ففدعت	NOTFOUND
ففجروا	فَجَر,فَجَّر
ففجاهم	فَجا,فَجّ
ففتلها	فَتْلَة,فَتَّل,فَتَل-ِ
ففتحنا	فَتَح-َ,فَتْح
ففتحتها	فَتَح-َ,فَتْحَة
ففاطمة	فاطِمَة
ففادي	فادِي,فادَى
ففاداهم	فادَى
فغير	غَيَّر,غَيْر
فغيبوا	غَيَّب
فغوي	غَوَى-ِ,غَوِي-َ,غَوَّى
فغنمنا	غَنِم-َ,غُنْم,غَنَّم,غَنَم
فغنمت	غَنِم-َ,غَنَّم
فغمستهما	غَمَس-ِ,غَمَّس
فغماها	فَغَم-َ,غَمّ,غَمَى-ِ,غَمَّى
فغليا	غَلَّى,غَلَى-ِ,غَلْي
فغلوا	غَلَّى,غَلا,غَلّ-ِ,غَلَى-ِ,غُلُوّ,غَلّ
فغلقتها	غَلَق-ِ,غَلِق
فغلقت	غَلَق-ِ
فغلبتهم	غَلَب-ِ,غَلْبَة
فغلبتها	غَلَب-ِ,غَلْبَة
فغلب	غَلَب-ِ
فغفلت	غَفَل,غَفَّل
فغفره	غُفْرَة,غَفْر,غَفَر,غَفَّر
فغطيتها	غَطَّى
فغطيت	غَطَّى
فغطي	غَطَّى
فغطت	غَطا,غَطّ,غَطَّى
فغص	غَصّ
فغشيته	غَشْي,غَشِي-َ,غَشَّى
فغشيتني	غَشِي-َ,غَشَّى
فغسلوه	غَسَل-ِ,غَسَّل
فغسله	غَسْلَة,غَسَل-ِ,غِسْل,غُسْل,غَسَّل
فغسلتها	غَسْلَة,غَسَل-ِ,غَسَّل
فغسلتك	غَسْلَة,غَسَل-ِ,غَسَّل
فغسلاه	غَسَل-ِ,غَسَّل
فغرقوا	غَرَّق,غَرِق-َ
فغرسه	غَرْسَة,غَرْس,غَرَس-ِ
فغرز	غَرَز-ِ,غَرْز,غَرَّز
فغرة	فُغْرَة,غِرّ,غِرَّة,غَرّ,غُرَّة,فَغَر-َُ,أَغَرّ
فغربلتها	غَرْبَل,غَرْبَلَة
فغذاها	غَذا,غَذّ-ِ,غَذَّى
فغالطوه	غالَط
فغارت	غار
فغار	غار
فغاب	غاب-ِ,غابَة
فعيي	عَيِي-َ,عِيّ,عَيِيّ,عَيّ
فعيل	عَيِّل,عَيَّل
فعيسي	عِيسَى,أَعْيَس
فعيره	عَيْر,عِيرَة,عَيَّر
فعوضهم	عِوَضَ,عِوَض,عَوَّض
فعوضته	عَوَّض
فعهده	عُهْدَة,عَهْد,عَهِد-َ
فعهد	عَهْد,عَهِد-َ
فعنكن	عَن
فعندك	عِنْدَ
فعميت	عَمِي-َ,عَمَّى
فعمي	عَمِي-َ,عَمّ,عَمَّى,عَمَى
فعملنا	عَمِل-َ,عَمَل
فعمرو	عَمْرو
فعمرة	عَمَر,عُمْرَة,عَمُر,عُمْر,عَمَّر,عُمَر
فعمدنا	عِماد,عَمَّد,عُمْدَة,عَمْد,عَمَد-ِ
فعلينا	عَلِيّ,فِعْلِيّ,عَلَى,عَلَّى
فعليكموه	NOTFOUND
فعلهن	فَعَل-َ,فِعْل,عَلَّ
فعلها	فِعْل,فَعَل-َ,عَلَّ
فعلناها	فَعَل-َ,عَلِن,عال
فعلناه	فَعَل-َ,عَلِن,عال
فعلموني	عَلِم-َ,عَلَّم
فعلمنيه	NOTFOUND
فعلمتها	عَلِم-َ,عُلْمَة,عَلَّم
فعلمتموهم	عَلِم-َ,عَلَّم
فعلليهم	NOTFOUND
فعلقه	عَلَقَة,عَلَّق
فعلقته	عَلَقَة,عَلَّق
فعلتها	فَعْلَة,فَعَل-َ,عَلا,عِلَّة,عال,عَلَّى
فعلاه	فَعَل-َ,عَلاة,عَلَّى
فعقلناها	عَقْلَن,عَقَّل
فعقل	عِقال,عَقَل-ِ,عَقْل,عَقَّل
فعقرها	عُقْر,عَقَّر,عاقِر
فعقره	عُقْر,عَقَّر,عاقِر
فعطشوا	عَطَّش,عَطِش-َ
فعضلتها	عَضَلَة,عَضِل,عَضَل
فعضلت	عَضَل
فعصيتموه	عَصَى-ِ
فعصمني	عَصَم-ِ
فعصرتهن	عَصَر-ِ,عَصَّر
فعصر	عَصَر-ِ,عَصَّر,عَصْر
فعزاه	عَزَى-ِ,عَزَّى,عَزا
فعز	عَزّ-ِ,عِزّ
فعروة	عُرْوَة,عَرّ,عَرَّى,عَرا
فعرك	عَرّ,عَرْك,عَرَك
فعرقب	عَرْقَب
فعرفا	عَرَّف,عَرَف-ِ,عُرْف
فعرضه	عُرْضَة,عَرَض,عَرْضَة,عَرَض-ِ,عَرْض,عِرْض,عَرَّض
فعرضناه	عَرَض-ِ,عَرَّض
فعرضك	عَرَض,عَرَض-ِ,عَرْض,عِرْض,عَرَّض
فعرضا	عَرَض,عَرَض-ِ,عَرْض,عِرْض,عَرَّض
فعذرني	عَذَر-ِ
فعذبوني	عَذَب-ِ,عَذَّب
فعدوت	عَدا
فعدها	عَدّ
فعده	عَدّ,عُدَّة,عِدَة,عِدَّة
فعدلنا	عَدَل-ِ,عَدْل,عَدَّل
فعددناها	عَدّ,عَدَّد
فعدة	عَدّ,عُدَّة,عِدَة,عِدَّة
فعدا	عَدّ,عَدا
فعجنت	عَجَن
فعجلت	عَجَّل,عَجِل-َ
فعجبوا	عَجِب-َ,عَجَّب
فعثر	عَثَّر,عَثَر
فعبرها	عَبْر,عَبَر,عَبَّر,عَبْرَ,عِبْرَة
فعبد	عَبَد,عَبَّد,عَبْد
فعاوده	عاوَد
فعاهدوه	عاهَد
فعاملهم	عامَل,عامِل
فعالها	فَعّال,عال
فعالكما	عال,فَعّال
فعالجا	عالَج
فعاقبوا	عاقَب
فعاقبتم	عاقَب
فعاضني	عاض
فعاتبه	عاتَب,عاتِب
فعاتبته	عاتَب,عاتِب
فظننته	ظَنّ
فظنت	ظَنّ
فظللنا	ظُلَّة,ظَلَّل,ظَلّ-َ
فظفرها	ظَفِر,ظُفُر,ظَفِر-َ,ظَفَر,ظَفَّر
فظاهرت	ظاهَر
فطيما	فَطِيم
فطيبوها	طَيَّب,طَيِّب
فطيبها	طَيَّب,طِيب,طَيِّب
فطوفوا	طَوَّف
فطهورهما	طَهُور
فطهرت	طَهَّر,طَهَر
فطنته	فَطِن,فِطْنَة,طَنّ,فَطَن
فطنا	فِطَن,فَطِن,طُنّ,فَطِن-َ,فَطُن,فَطَن,طَنّ
فطمثت	طَمِث-َ,طَمَث
فطلبوها	طَلَب
فطلبهم	طَلَب
فطلبني	طَلَب
فطلبناك	طَلَب
فطلبتها	طَلْبَة,طالِب,طَلَب
فطلبته	طَلْبَة,طالِب,طَلَب
فطلبا	طَلَب
فطلاها	طَلّ,طَلَى-ِ
فطل	طَلّ
فطفقن	طَفِق-َ
فطفرت	طَفَر-ِ
فطفا	طَفا
فطعنوا	طَعَن-َ
فطعنها	طَعَن-َ,طَعْن,طاع
فطعمت	طَعَّم,طَعِم-َ
فطس	فَطَس,فَطَّس,فَطَس-ِ
فطرك	فِطْرَة,فِطْر,فُطْر,طَرّ-ِ,طَرّ,فَطَر,فَطْر
فطرده	طَرَد,طَرْدَة,طَرْد
فطردت	طَرَد
فطرحوا	طَرَّح,طَرَح-َ
فطرحنا	طَرَّح,طَرْح,طَرَح-َ,طَرْحَة
فطرحته	طَرَّح,طَرَح-َ,طَرْحَة
فطبع	طَبَّع,طَبْع,طَبَع-َ
فطبخوها	طَبَخ-َُ
فطبخنا	طَبَخ-َُ,طَبْخ
فطالت	طال
فطافا	طاف,طاف-ِ
فطاطا	NOTFOUND
فطابت	طاب-ِ
فضيلة	فَضِيلَة,فَضِيل
فضيق	ضَيِّق,ضِيق,ضَيَّق
فضيخه	NOTFOUND
فضمهن	ضَمّ
فضمهما	ضَمّ
فضمنها	ضِمْنَ,ضَمِن-َ,ضام-ِ,ضَمَّن,ضِمْن
فضممناها	ضَمّ
فضممت	ضَمّ
فضمز	NOTFOUND
فضلها	فَضْل,ضَلّ,فَضَّل
فضلني	ضَلّ,فَضَّل
فضلتم	فَضَل,فَضَّل
فضربن	ضَرَب,ضَرَّب
فضخ	ضَخّ
فضحيت	ضَحَّى,ضَحِي-َ
فضحي	ضُحَى,فَضْح,ضَحَّى,ضَحِي-َ
فضحه	فَضْح,فَضَّح,فَضَح-َ
فضحكوا	ضَحِك-َ
فضح	فَضْح,فَضَّح,فَضَح-َ
فضجرت	ضَجِر-َ
فضج	ضَجّ-ِ
فضاعت	ضاع-ِ,ضاع
فضاحكت	NOTFOUND
فصيليهما	فَصِيل
فصيحا	فَصِيح,صَيْح,صَيَّح
فصيام	صائِم,صِيام
فصومي	صائِم,صَوْم,فَصْم
فصورها	صُورَة,صَوَّر
فصهمما	NOTFOUND
فصنعوه	صَنَّع,صَنَع-َ
فصنعته	صَنْعَة,صَنَّع,صَنَع-َ
فصنعا	صَنَّع,صَنْع,صُنْع,صَنَع-َ
فصمتها	صَمّ,صِمَّة,صَمْت,فَصَم-ِ,صام,صَمِت,صَمَّت
فصلح	صَلُح,صَلَّح,صُلْح
فصلبا	صُلْب,صَلَب-ِ,صَلُب,صَلَّب,صَلْب
فصلب	صُلْب,صَلَب-ِ,صَلُب,صَلَّب,صَلْب
فصلاتها	صَلاة,صِلَة
فصلا	فَصَل-ِ,فَصْل,فَصَّل
فصككتها	صَكّ
فصفوه	صَفَّى,صِفْوَة,صَفّ,صَفْوَة,صَفْو
فصفهن	صَفّ
فصفه	صُفَّة,صَفّ,صِفَة
فصففت	صَفَّف,صَفّ
فصفت	صَفا,فَصْفَت,صَفَّى,صَفّ
فصرهن	صَرّ-ِ
فصرفت	صَرَف-ِ,صَرَّف
فصرعا	صَرْع,صَرَع-َ
فصرخنا	صَرَخ
فصدقة	صَدَقَة,صِدْق,صَدَّق
فصدت	صَدّ,صاد-ِ,صَدَّى,فَصَد-ِ
فصخبت	صَخِب-َ
فصحن	صاح-ِ,صَحْن,فَصُح
فصحت	صَحّ-ِ,صاح-ِ,صَحَّى,صَحا,فَصُح
فصبها	صَبّ,صَبّ-َ
فصبرني	صَبَّر
فصبرنا	صَبَّر,صَبَر-ِ,صَبْر
فصبح	صُبْح,صَبَّح
فصبتها	صَبّ,صَبا,صَبّ-َ,صَبَّى
فصبته	صَبّ,صَبا,صَبّ-َ,صَبَّى
فصاموا	صام
فصالحوه	صالِح,صالَح
فصالحه	صالِح,صالَح,صالِحَة
فصالح	صالِح,صالَح
فصافحه	صافَح
فصاغ	صاغِي,صاغ
فصادفوه	صادَف
فصادفنا	صادَف
فصاحبه	صاحَب,صاحِب
فصائم	صائِم
فشويتها	شُوَيَّة,شَوَى-ِ,شَوِيّ
فشويت	شَوَى-ِ
فشوي	شَواة,شَوَى-ِ,شَوِيّ
فشوبوها	NOTFOUND
فشهق	شَهَق-َ,شَهِق-َ
فشهدنا	شَهِد-َ
فشهدا	شَهِد-َ
فشنوا	شَنّ
فشنه	فاش-ِ,شان-ِ,شَنّ
فشننا	فاش-ِ,شان-ِ,شَنّ
فشمتوه	شَمَّت,شَمِت-َ
فشكي	شَكّ,فَشَك,شِيك
فشككت	شَكّ,شَكَّك
فشكتا	شَكّ,فَشَكَة,شَكا
فشك	شَكّ,فَشّ,فَشَك,شِيك
فشققنهن	شَقّ,شَقَّق
فشققنها	شَقّ,شَقَّق
فشقت	شَقّ,شَقا,شاق
فشقا	شَقّ,شَقا,شَقاً,شِقّ
فشفينا	شَفَى
فشفي	شَفَى,شِفّ
فشفوا	شَفَى,شَفّ-ِ
فشفاني	شَفَى
فشفاك	شَفَى,شَفاً
فشريكه	شَرِيك
فشرفني	شَرَّف
فشرعت	شَرَّع,شَرَع-َ
فشرطه	شُرْطَة,شَرْط,شَرْطَة,شَرَط,شَرَّط
فشرط	شَرْط,شَرَط,شَرَّط
فشربتها	شَرِب-َ,شَرَّب,شَرْبَة
فشربا	شَرِب-َ,شُرْب,شَرَّب
فشده	شَدّ-ُِ,شَدّ,شَدَه-َ,شِدَّة
فشددناه	شَدّ-ُِ,شَدَّد
فشددتها	شَدّ-ُِ,شَدَّد
فشدة	شَدّ-ُِ,شَدّ,شَدَه-َ,شِدَّة
فشدا	شَدّ-ُِ,شَدّ,شَدا
فشخص	شَخْص,شَخَّص
فشخبت	شَخَب-َُ
فشجت	شَجّ,شَجَّى,شَجا
فشتمتني	شَتَم-ُِ
فشتما	شَتَم-ُِ,فاش-ِ,شَتْم
فشت	فَشا,شَتّ-ِ,شَتّ,فَشّ,فاش-ِ
فشبع	شَبِع-َ,شَبْع,شَبَّع
فشبت	شَبّ-ِ,شَبّ,شِبِتّ,شاب,شاب-ِ
فشبب	شَبَّب
فشاورهما	شاوَر
فشاورني	شاوَر
فشانكم	شان-ِ
فشامه	شامَة
فشئ	شَيْء
فسينغضون	NOTFOUND
فسيلة	لَهِي-َ,سَيَّل,وَلِه-َِ,لَها,سَيْل,فَسِيلَة,أَلْهَى,وَلِي-ِ,سَيْلَة,لَهَّى
فسيكون	وَكَى-ِ,كان,كَوَّن
فسيسالهم	NOTFOUND
فسيسالكم	NOTFOUND
فسيري	سِيرَة,سَيْر,سَرِي,وَرَى-ِ,رَأَى-َ
فسيرضي	أَرْضَى,رَضَّى,رَضِي-َ
فسيحوا	سَيَّح,وَحَى-ِ
فسيتابعني	تابَع
فسيتابعنا	تابَع
فسيبوها	سَيَّب
فسيامرني	NOTFOUND
فسياكل	أَكَل
فسويته	سَوَّى,سَوِيَّة,سَوِيّ,سَوِي-َ
فسودته	سَوَّد
فسنحفره	حَفَر-ِ
فسنة	وَهَى-ِ,سِنّ,سُنَّة,سَنَة,سَنّ
فسموم	سَمّ,سَمُوم
فسموا	سَمّ,سَمَّى,سَما,سُمُوّ
فسمها	سَمّ
فسمعناهم	سَمَّع,سَمِع-َ
فسمعناها	سَمَّع,سَمِع-َ
فسمعتم	سَمَّع,سَمِع-َ
فسمر	أَسْمَر,سَمَر,سَمُر,سَمَّر
فسماهم	سَمّ,سَمَّى
فسماعه	سَماع,سَمّاعَة
فسما	سَمّ,سَما
فسلني	سَلّ
فسلمتني	سَلَّم
فسللت	سَلّ
فسلكتها	سِلْك,سَلَّك,سَلَك
فسلكت	سَلَّك,سَلَك
فسلك	سِلْك,سَلّ,سَلَّك,سَلَك,سِلّ,فَسْل
فسلسله	سِلْسِلَة,سَلْسَل
فسلحت	سَلَّح,سَلَح-َ
فسكنت	سَكَّن,سَكَن
فسكتن	سَكَت,ساك,سَكَّت
فسقينا	سَقَى-ِ,سَقْي
فسقيتهما	فِسْقِيَّة,سَقَى-ِ
فسقيتك	فِسْقِيَّة,سَقَى-ِ
فسقها	فِسْق,فَسَق
فسقمت	سَقُم,سَقِم-َ,سَقَّم
فسقطوا	سَقَط
فسقتهن	ساق,سَقَى-ِ,فاسِق,فَسَق
فسقتهم	سَقَى-ِ,ساق,فاسِق,فَسَق
فسقاها	سَقَى-ِ,فَسَق
فسقاني	سَقَى-ِ,فَسَق
فسق	فِسْق,فَسَق
فسفكوها	سَفَك-ُِ
فسعينا	سَعَى-َ,سَعْي
فسطاطين	فُسْطاط
فسطاطا	فُسْطاط
فسرينا	سِرِّيّ,سَرِيّ,سَرَّى,سَرَى-ِ,سُرِّيّ
فسرت	سِرْت,سار-ِ,سَرَّى,سَرَى-ِ,سَرّ,فَسَّر
فسدلها	سَدَل,سِدْل,سَدَّل
فسدده	سَدَّد,سَدَد,سُدَّة
فسدد	سَدَّد,سَدَد,سُدَّة
فسخها	فَسِخ-َ,فَسْخ,فَسَخ-َ
فسخه	فَسِخ-َ,فَسْخ,فَسْخَة,فَسَخ-َ
فسحة	فُسْحَة,سَحّ,فَسَّح,فَسَح-َ,فَسْح
فسجن	سَجْن,سِجْن,سَجَن
فسجرتها	سَجَر,سَجَّر
فسجرته	سَجَر,سَجَّر
فسجدها	سَجَد,ساجِد
فسجدنا	سَجَد,ساجِد
فستكفين	وَكَف-ِ,كَفّ,كَفَى-ِ
فستفعل	فَعَل-َ
فسترني	رَنّ-ِ,رَنا,سَتَر,وَرَى-ِ,رَنَّى,رَأَى-َ,أَرْنَى,سَتَّر
فسترتني	سَتَر,رَتا,رَتَّى,سَتَّر
فستخبرون	أَخْبَر,خَبُر,خَبَر,خَبَّر
فستحفرونه	حَفَر-ِ
فسبينا	سَبْي,سَبَى-ِ,سَبِيّ
فسبيل	سَبِيل
فسبوهم	سَبّ,سَبَى-ِ
فسبوه	سَبّ,سَبَى-ِ
فسبوا	سَبّ,سَبَى-ِ
فسبقه	سَبْقَة,سَبَّق,سُبْقَة,سَبَق-ُِ,سَبْق,سَبَق
فسبقتها	سَبْقَة,سَبَّق,سُبْقَة,سَبَق-ُِ
فسبقتني	سَبَّق,سَبَق-ُِ
فسبقت	سَبَّق,سَبَق-ُِ
فسبحي	سُبْحَة
فسبحاني	سُبْحان,سَبَّح,سَبَح-َ
فسبحان	سُبْحان
فسبتهم	سَبّ,ساب-ِ,سُبَّة,سِبِتّ,سَبَّة,سَبَى-ِ,سَبْت,سَبَت
فسببته	سَبّ,سَبَّب
فساومهما	ساوَم
فساوتي	NOTFOUND
فسالونا	أَلْوَى,لَوِي-َ,سال-ِ,لَوَّن,لَوَى-ِ,لَوَّى
فسالتهما	سال-ِ,لَتّ
فسالتهم	ٱِلْتَهَم,سال-ِ,لَتّ
فسالتمانيها	NOTFOUND
فسالتاها	سال-ِ
فسالاها	سال-ِ
فسالاني	سال-ِ
فسالا	سال-ِ
فساقها	ساق,وَقَى-ِ,فاسِق
فسافر	فَرَّى,وَفَر-ِ,سافِر,أَفْرَى,فَرَى-ِ,أَفَرّ,فار,سافَر,فَرّ-ِ,أَفار
فساعدتها	ساعِدَة,ساعَد,ساعِد
فسارا	سار-ِ,سارّ
فساده	سَيِّد,دَهِي-َ,ساد,دَهَّى,دَهَى-َ,فَساد,سادَة,سادّ,وَدَى-ِ
فسادعو	دَعا
فسابقها	سابَق,سابِق,بَقِي-َ,أَبْقَى
فسابقته	سابَق,سابِق,سابِقَة
فسئلت	سَأَل-َ
فزيد	زَيْد,زَيَّد
فزوجت	زَوَّج
فزناه	زان-ِ,زِنَى,زَنّ,زانِي,فاز
فزمهرير	زَمْهَرِير
فزملوني	NOTFOUND
فزكي	زَكِيّ,زَكِي-َ,زَكَّى
فزفر	زَفَّر,زَفِر,زَفَر,زَفَر-ِ
فزعين	فَزِع
فزعوا	فَزِع-َ,فَزَّع
فزعمتا	زَعَم
فزعات	NOTFOUND
فزده	NOTFOUND
فزدتها	زاد-ِ
فزدت	زاد-ِ
فزخر	زَخَر-َ
فزجرني	زَجَر
فزبرني	زَبَر
فزادهن	زاد-ِ,زاد
فزاده	زاد-ِ,زاد,زادَة
فريقين	فَرِيق
فريقا	رَيِّق,فَرِيق,رِيق
فرية	فِرْيَة,رِئَة,فَرِيّ,رَيّ
فري	فَرَّى,فَرّ,فِرْيَة,فَرَى-ِ,فَرِيّ,رَيّ
فرهنه	رَهَن-َ,رَهْن
فرهن	فَرّ,رَهَن-َ,رَهْنَ,رَهْن,فَرّ-ِ
فرميته	رَمَى-ِ,رَمْيَة,رَمِيَّة
فرماهم	رَمَى-ِ,رَمّ,فَرَم,فَرَّم
فركله	فَرْكَل,رَكْل,فَرْكَلَة,رَكَل
فركعتا	رَكَّع,رَكَع-َ,رَكْعَة
فركعت	رَكَّع,رَكَع-َ
فركزه	رَكْزَة,رَكَّز,رِكْز,رَكَز
فركبوا	رَكِب-َ,رَكَّب
فركبته	رُكْبَة,رَكَّب,رَكِب-َ
