وانثانا	أَنَّث,أُنْثَى
والديك	والِد,دِيك,أَلَدّ,والِدِيّ
والدعاء	دُعاء
والدان	والِد,أَلَدّ
والخيل	أَخْيَل,خَيْل
والخيف	NOTFOUND
والخرص	خِرْص
والحمام	حَمام,حَمّام
والحلواني	حُلْوانِيّ
والحرص	حِرْص
والحجة	حِجَّة,حُجَّة
والحبشة	حَبَش
والحبة	حَبّ
والحبال	حَبْل
والجوع	جُوع
والجنازة	جِنازَة
والجمل	جُمْلَة,جَمَل
والجلود	جَلُود
والثوم	ثُوم
والثقفي	NOTFOUND
والتمست	ٱِلْتَمَس
والتمرة	تَمْر
والتطوع	تَطَوُّع
والتحميد	NOTFOUND
والبيع	بَيْع
والبيت	بَيْت
والبلاد	بَلَد
والبقر	بَقَر
والبغضاء	بَغْضاء
والبصل	بَصَل
والبسوه	أَلْبَس
والبرمة	بُرْمَة
والبذاء	بَذاء
والبادية	بادِيَة,بادِي
والايام	يَوْم
والاوقية	أُوقِيَّة
والاودية	وادِي
والانف	أَنُوف,أَنْف,آنِف
والانصراف	ٱِنْصِراف
والانصاب	نُصْب,نَصْب,نَصَب
والانبياء	نَبِيّ
والاناة	أَناة,أَلان
والاموات	مَيِّت,أَمَة
والام	أَلَم,أُمّ,أَلام
والاستغفار	ٱِسْتِغْفار
والاختلاف	ٱِخْتِلاف
والاحد	أَحَد,أَحَدّ
واقض	قَضّ-َ,قَضَى-ِ,قَضَّى,قَضّ,أَقَضّ,قاض-ِ,قاض
واقدم	قَدِم-َ,أَقْدَم,قَدَّم
واقبال	إِقْبال
وافقت	أَفاق,وافَق
وافعل	فَعَل-َ,أَفْعَل
وافتح	فَتَح-َ
واف	وَفَى-ِ,وافِي,إِف,أَف
واغسليه	NOTFOUND
واعقبني	عَقَب,أَعْقَب,عَقَّب
واعطوا	أَعْطَى
واعط	أَعْطَى
واعدوا	واعَد,أَعْدَى,أَعَدّ
واعتمد	ٱِعْتَمَد
واعتقي	NOTFOUND
واظنها	ظَنّ
واظن	ظَنّ
واطقتن	أَطاق
واطعمت	أَطْعَم
واطراف	طَرَف
واطال	أَطال
واضطربوا	ٱِضْطَرَب
واصلا	أَصَلَة,أَصْل,واصَل
واصدقكم	أَصْدَق,صَدَّق
واصابوا	أَصاب
واشركه	شَرِك-َ,أَشْرَك
واشربوه	أَشْرَب
واشتروا	ٱِشْتَرَى
واشبه	شَبَّه,شَبّ-ِ,شَبّ,أَشاب,أَشَّب,أَشَب,أَشِب-َ,أَشْبَه,شاب
واسير	سَيَّر,سار-ِ,أَسِير,أَسار
واسررت	أَسَرّ
واستوصوا	ٱِسْتَوْصَى
واستن	ٱِسْتَنّ
واستسقي	ٱِسْتَسْقَى
واستبقوا	ٱِسْتَبَق,ٱِسْتَبْقَى
واساله	أَسالَة,أَسال
واركبوا	أَرْكَب
وارفع	رَفَع-َ,أَرْفَع,رَفَّع
وارضانا	أَرْضَى,أَرَّض,رَضِي-َ,أَرْض
واردت	أَراد,أَرْدَى
وارد	رَدِي-َ,راد,أَرَدّ,رَدَّى,رَدّ,أَراد,أَرْدَى,وَرَد-ِ,وارِد
وارحمنا	رَحَّم,رَحِم-َ
وارح	راح,أَراح
وارتفعت	ٱِرْتَفَع
وارتدوا	ٱِرْتَدّ,ٱِرْتَدَى
واديت	أَدَّى
واديان	دِين,وادِي
وادهنوا	NOTFOUND
وادعو	وادِع,دَعا
وادرك	دَرَى-ِ,أَدْرَى,أَدار,أَدَرّ,أَدْرَك,دار,دَرَّك
وادخلت	أَدْخَل
وادبار	إِدْبار,دُبْر
واخوان	أَخ
واخرين	آخِر,آخَر
واخرجوه	أَخْرَج
واخرجتنا	أَخْرَج
واخراهم	أُخْرَى,آخِر,آخَر
واخدم	خَدَم-ُِ,خَدَّم
واختي	أُخْت
واخا	أَخ
واحمر	ٱِحْمَرّ,حَمَّر,أَحْمَر
واحمدا	أَحْمَد
واحق	حاق,أَحاق,حاق-ِ,أَحَقّ,حَقّ-ُِ
واحفظ	حَفِظ-َ,أَحْفَظ
واحرقني	حَرَّق,حَرَق-ِ,حَرَق,أَحْرَق
واحتسب	ٱِحْتَسَب
واحببنا	أَحَبّ,حَبّ-ِ,حَبَّب
واجعلوها	NOTFOUND
واجعلهن	جَعَل-َ
واجرا	آجَر,أَجَر,أَجَّر,أُجْرَة,أَجْر,أَجَرّ
واجد	وَجَد-ِ,أَجْدَى,جَدا,واجِد,أَجَدّ,جاد,أَجاد,جَدّ-ِ
واتوني	أَتُّون,آتَى,أَتَى-ِ
واتعبت	أَتْعَب
واتجمل	تَجَمَّل
واتجاوز	تَجاوَز
وابيض	أَبْيَض,ٱِبْيَضّ,باض-ِ,بَيَّض
وابناءنا	ٱِبْن
وابعث	بَعَث-َ
وابصارنا	إِبْصار,أَبْصار
وابشري	أَبْشَر
وابرا	أَبَرّ,إِبْرَة,أَبَّر,أَبَر-ُِ
وابتغاء	ٱِبْتِغاء
واباها	آب,أَب,أَبّ,أَبَى-َ
هيصم	NOTFOUND
هوني	هُون,هَوْن
همدان	NOTFOUND
هلكنا	هُلْك,هَلَّك,هالِك,هَلَك
هذيم	NOTFOUND
هدنة	هُدْنَة,هَدَن-ِ,هَدَّن
هدمه	هَدَّم,هَدَم-ِ,هَدْم
هداك	هُدَى,هَدَى-ِ,هَدّ
هجرتان	NOTFOUND
هانت	هان
هامته	هامّ,هامَة
هالك	هال-ِ,هالِك,هال,هَيْل
هالة	هالَة,هال-ِ,هال,هَيْل
هاربا	هارِب
هاجهم	NOTFOUND
هاجت	هاجَى,هاج-ِ
هاتوا	NOTFOUND
نيرانهم	نار
نوبتي	نَوْبَة,نُوبَة,نُوبِيّ
نواس	نَوّاس,واسَى
نهيق	NOTFOUND
نهيتهن	نُهْيَة,هَيَّت,نَهَى-ِ
نهريقها	NOTFOUND
نهاس	NOTFOUND
نهارك	نَهار
ننقل	نَقَّل,نَقَل
ننسخ	نَسَخ-َ
ننزي	NOTFOUND
ننزل	نَزَل-ِ,أَنْزَل,نَزَّل,نَزِل-َ
ننحر	نَحَر
ننتظره	ٱِنْتَظَر
نمكث	مَكَث
نمطا	نَمَط
نكره	نَكِر,نَكَّر,كَرِه-َ,كَرُه,نَكِرَة,كَرَّه,أَكْرَه,كَرا,كَرّ,نُكْر,كَرِي-َ,كَرَى-ِ,أَكْرَى
نكاحهن	نِكاح
نقيم	قَيَّم,أَقام
نقهت	نَقَه-َِ
نقضي	قَضَّى,قَضَى-ِ,نَقْض
نقض	قَضّ-َ,نَقَض,قَضَى-ِ,قَضَّى,قَضّ,أَقَضّ,نَقْض,قاض-ِ,قاض
نقركم	أَقَرّ,نَقَّر,نَقَر,قَرّ-َِ,وَقَر-ِ,نَقْر,قَرَى-ِ,قَرا,نَقِر,نُقْرَة
نقتله	قَتَّل,قَتَل
نقتطع	ٱِقْتَطَع
نقاتل	قاتَل
نفلنيه	NOTFOUND
نفقتك	نَفَقَة,نَفَّق,نَفَق
نفع	نَفَّع,نَفَع-َ,نَفْع
نفرح	فَرِح-َ,أَفْرَح,فَرَّح
نفدت	نَفِد-َ
نغتسل	ٱِغْتَسَل
نغترف	ٱِغْتَرَف
نعمتك	نَعَّم,نَعَم-َُ,نَعْمَة,نِعْمَة
نعمان	نُعْمان
نعلها	نَعَّل,نَعَل-َ,أَعال,نَعْل,عَلا,أَعْلَى,عال,عَلَّى
نعلمه	أَعْلَم,عَلِم-َ,عَلَّم
نعالج	عالَج
نعال	أَعال,نَعْل
نظروا	نَظَر
نظرتها	نَظَر,نَظْرَة
نطهر	طَهَّر,طَهَر
نضيه	NOTFOUND
نضيد	نَضِيد
نصيبك	أَصاب,نَصِيب
نصره	أَصَرّ,صار,نَصْر,نَصَر,صَرّ-ِ,نَصَّر,نُصْرَة
نصرك	أَصَرّ,صار,نَصْر,نَصَر,صَرّ-ِ,نَصَّر
نصبت	نَصَّب,نَصَب,نَصِب-َ
نشهده	شَهِد-َ,أَشْهَد
نشغة	NOTFOUND
نشغ	NOTFOUND
نشط	شاط-ِ,نَشَط,شَطّ-ُِ,نَشِط,أَشاط,نَشَّط,نَشِط-َ
نشر	شَرَى-ِ,شَرّ-َ,نَشْر,أَشار,نَشَّر,وَشَر-ِ,نَشَر
نشدتك	نَشَد
نشترك	ٱِشْتَرَى,شَتَر-ِ,ٱِشْتَرَك
نشبت	نَشَّب,نَشِب-َ
نشاء	شاء-َ,نَشاء
نسيبة	ساب-ِ,نَسِيب,سَيَّب,نُسَيْبَة
نسلف	أَسْلَف,سَلَف,سَلَّف
نسكا	نُسُك,نَسْك,نَسَك
نسعة	سَعَى-َ
نسخوا	نَسَخ-َ
نسخن	سَخَّن,سَخَن,أَسْخَن,سَخِن-َ,نَسَخ-َ
نسجت	نَسَج
نستيقظ	ٱِسْتَيْقَظ
نستخصي	NOTFOUND
نسبغ	أَسْبَغ,سَبَغ-َُ
نسالهم	NOTFOUND
نزوجك	زَوَّج
نزرت	NOTFOUND
نره	رَها,وَرَى-ِ,رَأَى-َ
نرقي	رَقَّى,رَقِي-َ
نرصد	أَرْصَد,رَصَّد,رَصَد
نرزق	رَزَق
نذرها	ذَرَى-ِ,نَذْر,نَذَر,ذَرا,أَذْرَى,نَذِير,ذَرّ,ذَرَّى,وَذِر-َ
ندامي	نادِم,نَدْمان,نَدِيم
نخلط	خَلَّط,خَلَط-ِ
نخشي	خَشِي-َ,خَشَّى
نخرجه	خَرَّج,أَخْرَج
نخابر	خابَر
نحيا	حَيّ-َ,نَحَّى,نَحَى
نحمده	حَمِد-َ,حَمَّد
نحمد	حَمِد-َ,حَمَّد
نحرها	نِحْر,أَحار,نَحْر,أَحْرَى,حَرَى,نَحَر,حار
نجلس	جَلَس-ِ,أَجْلَس
نجدتها	نَجَد,نَجِد-َ,نَجَّد,نَجْدَة
نجاني	نَجَّى,جانَى,نَجا
نجارا	نَجّار,نُجار
نتوسل	تَوَسَّل
نتهمك	ٱِتَّهَم
نتنزل	تَنَزَّل
نتن	نات,نَتِن-َ,نَتِن,نَتَن-ِ,نَتَّن,نَتْن,نَتُن
نتزود	تَزَوَّد
نتخوف	تَخَوَّف
نتبع	تَبِع-َ,أَتْبَع,ٱِتَّبَع
نبينه	أَبان,بَيَّن
نبيت	بات-ِ,أَبات,بَيَّت
نبذت	نَبَذ-ِ,نَبَّذ
نباتها	نَبات
ناما	نام-َ
ناقوس	ناقُوس
ناقتين	ناقَة
ناعس	ناعِس
ناصية	ناصِيَة
ناري	نار,نارِيّ
ناداني	نادَى,ناد
نؤتي	آتَى
ميلة	مِيل,مَيْل,مَيَّل
مياثر	NOTFOUND
مولاهم	مَوَّل,مَوْلَى
مولانا	مَوَّل,مَوْلَى
موفرا	NOTFOUND
موعدهم	مَوْعِد
موجدته	مَوْجِدَة,مُوجِد
موثقا	مُوَثِّق,مَوْثِق,مُوَثَّق
مواطن	مَوْطِن,مُواطِن
مواضعها	مَوْضِع
مهيعة	NOTFOUND
مهتدين	مُهْتَدِي
مهاجرين	مُهاجِر
منيا	مَنَى-ِ,مِنْيا,مَنَّى
منهزمين	NOTFOUND
منفقة	مُنْفَق
منعكم	مَنْع,مَنَع
منطلقا	مُنْطَلَق,مُنْطَلِق
منطلق	مُنْطَلَق,مُنْطَلِق
منسوج	مَنْسُوج
منزلها	مُنَزَّل,مُنْزَل,مَنْزِل
منخري	مَنْخَر
منتهب	NOTFOUND
منتقمون	مُنْتَقِم
منتبذ	NOTFOUND
منبري	مِنْبَر
مناكبنا	مَنْكِب
منافقوها	مُنافِق
مناديل	مَنْدِيل
مناخل	مُنْخَل
مناخان	مُناخ
مناخ	مُناخ,مَناخ
ممزق	مُمَزَّق
ممزع	NOTFOUND
ممحقة	NOTFOUND
مليح	مَلِيح
ملاقو	مَلّاق
مكيالهم	مِكْيَل
مكفوفة	مَكْفُوف
مكس	مَكْس,مَكَس-ِ,مَكَّس
مكروه	مَكَر,مُكْرِي,مَكْرُوه
مكرمة	مَكْرَم,مُكَرَّم,مَكْرُمَة
مكثنا	مَكْث,مَكَث
مكتوفا	مَكْتُوف
مكامعة	NOTFOUND
مكاتبا	مُكاتِب
مكاتب	مَكْتَب,مُكاتِب,مَكْتَبَة
مقلب	مَقْلَب,مِقْلَب
مقعد	مَقْعَد,مُقْعِد,مُقْعَد
مقسومة	مَقْسُوم
مقسما	مُقَسِّم,مَقْسَم,مُقَسَّم
مقدام	مِقْدام
مقتولا	مَقْتُول
مقتلة	مَقْتَل,مَقْتَلَة
مقابلي	مُقابِل
مفصل	مَفْصِل,مُفَصَّل
مفسر	مُفَسِّر
مفترق	مُفْتَرَق
مغنما	مَغْنَم
معينا	مُعَيَّن,مَعِين,مُعِين,مَعْي
معيد	مُعِيد
معلقا	مُعَلَّق,مُعَلِّق
معقبات	مُعَقِّب
معصوب	مَعْصُوب
معرضين	مُعَرَّض,مُعَرِّض,مَعْرِض
معرسين	NOTFOUND
معرسه	NOTFOUND
معرس	NOTFOUND
معذبهم	مُعَذَّب,مُعَذِّب
معذبا	مُعَذَّب,مُعَذِّب
معدي	مَعْدَى,مُعْدَى,مُعَدّ,مَعْدِيّ,مَعِدَة,مُعْدِي
معاهدة	مَعْهَد,مُعاهَدَة
معافي	مُعافَى
معافر	NOTFOUND
مطويات	NOTFOUND
مضمون	مَضْمُون
مضطرب	مُضْطَرِب
مصلاهم	مُصَلَّى,مَصَل
مصفح	مُصَفَّح
مصرعي	مَصْرَع
مصاهرته	مُصاهَرَة
مصارعهم	مَصْرَع,مُصارِع
مشية	مَشْي,مِشْيَة
مشوي	مَشْوِيّ,مَشْو
مشهور	مَشْهُور
مشكم	مَشّ,مِشّ
مشفع	NOTFOUND
مشطناها	مَشَط-ُِ,مَشَّط
مشركان	مُشْرِك
مشرفا	مُشَرِّف,مُشْرِف,مَشْرَف
مشربته	مَشْرَب
مشاعركم	مَشْعَر
مسندته	مُسْنَد
مسطحا	مُسَطَّح
مسرعا	مُسْرِع
مسحوا	مَسَّح,مَسَح-َ
مسجدك	مَسْجِد
مستيقنا	NOTFOUND
مستقر	مُسْتَقِرّ,مُسْتَقَرّ
مستقبلا	مُسْتَقْبِل,مُسْتَقْبَل
مستطير	مُسْتَطِير
مستدبر	NOTFOUND
مستحمه	NOTFOUND
مستجابات	NOTFOUND
مسبحا	مَسْبَح
مسافرين	مُسافِر
مسئولون	مَسْؤُول
مروه	مُرُوَّة,مَرْوَة,مَرّ
مرو	مَرْو,مَرْوَة
مركنها	مِرْكَن
مرقها	مَرَق,مَرَّق
مرفوع	مَرْفُوع
مرضيون	NOTFOUND
مرضيا	مَرَضِيّ,مُرْضِي
مرضعا	مُرْضِع
مربوط	مَرْبُوط
مراد	مُراد,مارِد,مَراد,مَرّاد
مراحيض	مِرْحاض
مذمما	NOTFOUND
مذمة	مُذَمّ,مَذَمَّة
مذكر	مُذَكَّر,مُذَكِّر
مديني	مُدِين,مَدِينِيّ,مَدِين
مدها	مَدّ
مدنية	مَدَنِيّ
مددت	مَدَّد,مَدّ
مدخل	مَدْخَل,مُدْخَل
مدائن	مَدِينَة,مَدائِن
مخنف	NOTFOUND
مخنثا	مُخَنَّث
مخمصة	NOTFOUND
مخمر	مُخَمَّر
مخطومة	NOTFOUND
مخضب	مُخَضَّب
مخشي	NOTFOUND
مخراق	NOTFOUND
مختمرة	مُخْتَمِر
مختلس	مُخْتَلَس,مُخْتَلِس
مختف	مُخْتَفِي
محنوذ	NOTFOUND
محمرة	مُحَمَّر
محكمات	مُحَكَّم
محرمه	مَحْرَم,مَحْرَمَة,مُحَرَّم
محرمة	مَحْرَم,مَحْرَمَة,مُحَرَّم
محرش	NOTFOUND
محتجزة	مُحْتَجَز
محتاج	مُحْتاج
مجنون	مَجْنُون
مجنة	مِجَنّ,ماج,مَجَن
مجلسنا	مَجْلِس
متونهما	مَتْن
متوجها	مُتَوَّج,مُتَوَجِّه
متوار	NOTFOUND
متمنيا	مُتَمَنِّي
متقلد	NOTFOUND
متطوعا	مُتَطَوِّع
متخذ	مُتَّخَذ
متجملة	NOTFOUND
متبسما	NOTFOUND
متبرزنا	NOTFOUND
متبذلة	مُتَبَذِّل
مبعث	مَبْعَث
مامور	NOTFOUND
ماعزا	ماعِز
ماشيين	ماشِي
مارقة	مارِق
مارا	مار,مار-ِ,مارّ
مادوم	NOTFOUND
مؤمنون	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
مؤمنها	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
مؤخر	مُؤَخَّر,مُؤْخِر
مؤتجرا	NOTFOUND
مؤتة	NOTFOUND
ليهود	هَوَّد,هاد,يَهُودِيّ
ليهلكن	أَهال,هَلَّك,هال,هال-ِ,هَلَك,هَلّ-ِ,أَهْلَك,أَهَلّ
ليهل	أَهال,هال,هال-ِ,هَلّ-ِ,أَهَلّ
لينظر	نَظَر
لينتهن	نات,لَيَّن,لَيِّن
ليلتها	لَيْلَة,لَتّ
ليقلبني	قَلَب-ِ,قَلَّب
ليقضي	قَضَّى,قَضَى-ِ
ليقتله	قَتَل,قَتَّل
ليقبض	قَبَّض,قَبَض-ِ
ليفرح	فَرِح-َ,أَفْرَح,فَرَّح
ليفا	لِيف,لَيَّف
ليغسله	غَسَل-ِ,غَسَّل
ليعلمون	NOTFOUND
ليعقرنك	أَعْقَر,عَقَّر
ليعذبهم	عَذَب-ِ,عَذَّب,أَعْذَب
ليعذبني	عَذَب-ِ,عَذَّب,أَعْذَب
ليعتزل	ٱِعْتَزَل
ليطعنه	طَعَن-َ,أَطاع,طاع
ليصيب	أَصاب
ليستغفر	ٱِسْتَغْفَر
ليرين	ران-ِ,وَرَى-ِ,رَأَى-َ
ليخلقوا	خَلِق-َ,خَلُق,أَخْلَق,خَلَق,خَلَّق
ليخلعهما	خَلَّع,خَلَع-َ
ليخبرني	خَبُر,أَخْبَر,خَبَر,خَبَّر
ليتيم	يَتِيم,تام,تَيَّم
ليتراءون	NOTFOUND
ليتخير	تَخَيَّر
ليتحدر	تَحَدَّر
ليارز	NOTFOUND
لياخذن	أَخَذ
ليؤمكما	NOTFOUND
لونها	لَوْن,وَنّ-ِ,وَنّ,لَوَّن
لولدك	وَلَد-ِ,وَلَّد,وَلَد
لوح	لَوْح,لَوَّح
لوالديه	والِد,والِدِيّ
لهواته	هُوَّة,هاوِي,لَهاة
لنوائبه	نائِبَة
لننظر	نَظَر
لنمنعهن	مَنَع
لنقوم	قام,قَوَّم
لنزعت	نَزَّع,نَزَع-ِ
لمولاة	مَوَّل,مَوْلَى,مَوْلاة
لمنعهن	مَنَع,مَنْع
لمضر	مَضِر,مُضِرّ,مُضَر,مَضِر-َ,مَضَر
لمشمرتان	مُشَمَّر,مُشَمِّر
لمحيصة	مَحِيص
لمحزونون	مَحْزُون
لمجاهد	مُجاهِد
لمثلها	مِثْل,مَثَل,مَثَّل
لمائة	ماء,مِئَة
لليسري	أَيْسَر
للولي	وَلِيّ
للوزغ	NOTFOUND
للوالدين	والِد
للمقداد	مِقْداد
للمغيرة	مُغِير
للفطرة	فِطْرَة,فُطْر
للعدة	عُدَّة,عِدَة,عِدَّة
للعبد	عَبْد
للطواغيت	طاغُوت
للطعام	طَعام
للصغري	أَصْغَر
للسلعة	سِلْعَة
للزوج	زَوْج
للرعاء	راعِي
للرحم	رَحِم
للرؤية	رُؤْيَة
للذكري	ذِكْرَى,ذَكَرِيّ
للحوت	لَحا,حُوت
للحضرمي	حَضْرَمِيّ
للحج	لَحَج,حَجّ
للحاجة	حاجَة
للاخوة	أَخ,أُخُوَّة
للاخرين	آخِر,آخَر
للاحياء	حَيّ,إِحْياء
لكفانا	كَفّ,كَفَى-ِ
لقينهم	قَيْن,لَقِي-َ
لقيك	لَقِي-َ,قِياء
لقوم	قَوْم,قَوَّم
لقولي	قَوْل
لقليل	قَلِيل
لقلت	قَلّ-ِ,قَلا,قال,قَلَى-ِ
لقطعتها	قَطَع-َ,قَطَّع,قِطْعَة,قُطْعَة,قَطْعَة
لقتالهم	قَتّال,قِتال,قاتِل
لقبلتها	قَبَّل,قِبْلَة,قُبْلَة,قَبِل-َ
لقائي	لِقاء
لغسلت	غَسَل-ِ,غَسَّل
لغسل	غَسَل-ِ,غِسْل,غَسَّل,غُسْل
لعنهم	لَعَن-َ,لَعْن
لعمي	عَمِي-َ,عَمّ,عَمَّى,عَمَى
لعمها	عَمِه,عَمّ,عَمِه-َ
لعق	لَعِق-َ,عَقّ
لعظيم	عَظِيم
لعريض	عَرِيض
لعدتهن	عَدّ,عَدَّى,عُدَّة,عِدَة,عَدا,عاد,عِدَّة
لعامر	عامِر
لطواغيتهم	طاغُوت
لصليت	صَلِي-َ,صَلَّى,صَلَى-ِ
لصلاته	صَلاة,صِلَة
لصفية	صَفّ,صَفِيّ,صَفِيَّة
لصافحتكم	صافَح
لصاغتنا	صائِغ,صاغ
لصاحبها	صاحَب,صاحِب
لشق	شَقّ,شِقّ
لشعبة	شِعْب,شِعْبَة,شَعْب,شُعْبَة,شَعَّب
لشارفي	شارِف
لسهيل	سُهَيْل
لسقوط	سُقُوط
لساعة	ساعَة
لزورك	زَوَر,أَزْوَر,زَوْر,زُور,زَوَّر
لرددت	رَدَّد,رَدّ
لرجال	رَجُل
لذكر	ذِكْر,ذَكَر,ذَكَّر
لذعة	لَذَع-َ,لَذْع
لدحية	NOTFOUND
لخير	خَيِّر,خَيْر,خَيَّر
لخمسة	خَمَّس,خُمْس,خَمْس
لخديجة	خَدِيج,خَدِيجَة
لخازن	خازِن
لحييه	حَيّ-َ,حَيّ,لَحْي,حَيِيّ
لحينا	حَيّ-َ,حَيّ,لَحَى,لَحْي
لحية	حَيّ-َ,حَيّ,لُحَيَّة,حَيَّة,لِحْيَة,لَحْي
لحكة	حِكَّة,حُكَّة,حَكّ
لحقوا	حَقْو,لَحِق-َ,حَقّ-ُِ
لحقني	حُقْنَة,حَقْن,لَحِق-َ
لحقت	حاق,حاق-ِ,لَحِق-َ,حَقّ-ُِ
لحدا	لَحَد-َ,لَحْد,حَدّ-ِ,حَدّ,حَدا
لحال	حال
لجلوس	جُلُوس
لجلسائه	جَلِيس
لجاهد	جاهَد,جاهِد
لجالس	جالَس,جالِس
لجارية	جار,جارِي,جارِيَة
لجارتها	جار,جارَى
لجئوا	NOTFOUND
لثالثة	ثالِث
لتوعك	تَوَعَّك,وَعَّى,تَوَعُّك,أَوْعَى
لتمش	مَشّ,أَمْشَى,مَشَّى,مَشَى-ِ
لتقيمن	قَيَّم
لتغلي	وَغَل-ِ,غَلا,غَلَّى,أَغْلَى,غَلّ-ِ,غَلَى-ِ,غَلّ,أَغَلّ
لتعلمني	أَعْلَم,تَعَلَّم,عَلِم-َ,عَلْمَن,عَلَّم
لتعذب	عَذَب-ِ,عَذَّب,تَعَذَّب,عَذُب,أَعْذَب
لتضع	ضاع-ِ,وَضَع,أَضاع,ضاع
لتشتعل	ٱِشْتَعَل
لتستثفر	NOTFOUND
لتسالن	NOTFOUND
لتدعني	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
لتتبعن	تَتَبَّع,تَبِع-َ,أَتْبَع,ٱِتَّبَع
لتاخذ	أَخَذ
لتاتموا	ٱِئْتَمّ
لبيبة	لَبِيب,بِيانُو
لبثه	لَبْث,لُبْثَة,لَبِث-َ,بَثّ
لاهلي	أَهْل,أَهْلِيّ,آهِل
لانهما	آن,أَنّ-ِ,لِأَنَّ
لانقلب	ٱِنْقَلَب,قَلَب-ِ,قَلَّب
لانت	آن,أَنّ-ِ,أَنَى-ِ
لامية	أُمِّيّ,أَماه,أُمِّيَّة,لامِيّ,لام
لامك	لام,أُمّ
لامس	أَمَسّ,أَمْس,لامَس,وَمَس-ِ,مَسّ-َ
لامتك	لامَّة,أُمَّة,أَمَة,أَمات,لام
لالهتهم	أَلَّه,أَلْهَى,إِلٰه
لاقربن	NOTFOUND
لاقبلك	قَبَّل,أَقْبَل,قَبِل-َ
لاعرفه	عَرَّف,عَرَف-ِ,أَعْرَف
لاعرابي	أَعْرابِيّ,عَرَبِيّ,إِعْراب
لاطعم	أَطْعَم,طَعَّم,طَعِم-َ
لاصيب	أَصاب
لاصحابك	صاحِب
لاسبحها	سَبَّح,سَبَح-َ
لارمين	إِرَم
لاذ	لاذ
لاخي	أَخ,وَخَى-ِ,آخَى
لاخذه	آخِذ,أَخْذ,أَخَذ,آخَذ,أَخَّذ
لاخذ	آخِذ,أَخْذ,أَخَذ,آخَذ,أَخَّذ
لاخبركم	أَخْبَر,خَبُر,خَبَر,خَبَّر
لاحدنا	أَحَد,أَحَّد,أَحَدّ,حَدّ
لاحدثك	حَدَث,أَحْدَث
لاجرين	أَجْر,أَجْرَى
لاتين	آتَى,آتِي,أَتَى-ِ
لاتممت	أَتَمّ
لابني	آب,ٱِبْن,لاب,بَنَى-ِ,أَبّ
لابنها	آب,ٱِبْن,أَبان,أَبَّن
كوي	كَوَى-ِ,كُوَّة
كونوا	كان,كَوَّن
كونا	كَوْن,كَوَّن
