يخدع	خَدَع-َ
وسماك	وَسَم-ِ,سَمّ,سِماك,سَمَّى,وَسْم,وَسَّم,سَمّاك
وسبي	سَبّ,سَبَى-ِ,سَبْي,سَبِيّ
وسبعة	سُبْع,سَبْع,سَبَّع
وسالنا	وَلِي-ِ,سال-ِ,أَلان
وروحه	رَوَّح,رُوح,رَوْح,رَوْحَة
وركوعه	رُكُوع
وركبت	رَكِب-َ,رَكَّب
ورفعوا	رَفَع-َ,رَفَّع
وذكرهن	ذِكْر,ذَكَر,ذَكَّر
وذبابه	ذُباب,ذُبابَة
ودين	دان-ِ,دِين,دَيِّن,دَيْن,وَدَى-ِ
ودعك	دَعّ-َ,دَعَك-َ,وَدْع,وَدَّع
ودار	دار,دارّ,دارِي
وخيرها	خَيْر,خَيَّر,خَيِّر
وخط	وَخْط,وَخَط-ِ,خَطّ
وخزيمة	NOTFOUND
وخرجوا	خَرَج,خَرَّج
وخادم	خادِم
وحيث	حَيْثُ
وحي	حَيّ-َ,حَيّ,وَحَى-ِ,وَحْي
وحمده	حَمْد,حَمِد-َ,حَمَّد,حَمْدَة
وحكيم	حَكِيم
وحسان	حَسَن
وحزرنا	حَزْر,حَزَر-ُِ
وحبل	حَبَّل,حَبَل,حَبِل,حَبْل
وجيراني	جار,جَيَّر
وجهد	جُهْد,جَهَد-َ,جَهْد
وجماعة	جَماعَة,جِماع
وجدتموه	وَجَد-ِ,جاد
وجبريل	جَبْرَئِيل
وجاءه	جاء
وجئ	NOTFOUND
وثمانين	ثَمانُون
وثلاثمائة	ثَلاثمائَة
وتوضانا	NOTFOUND
وتهل	أَهال,هال-ِ,هال,أَهَلّ,هَلّ-ِ
وتم	تَمّ-ِ
وتقطعت	تَقَطَّع
وتعين	أَعان,وَعَى-ِ,تَعَيَّن,عَيَّن
وتعوذ	تَعَوَّذ,عَوَّذ,عاذ
وتعجل	عَجَّل,أَعْجَل,تَعَجَّل,عَجِل-َ
وتظهر	ظَهَّر,أَظْهَر,ظَهَر-َ
وتطاوعا	طاوَع
وتصل	أَصْلَى,صَلَى-ِ,صال,صَلَّى,وَصَل-ِ,صَلِي-َ
وتزودوا	زَوَّد,تَزَوَّد
وتري	وَتَر,وَتَرِيّ,وَتْرِيّ,رَأَى-َ,وَرَى-ِ,وِتْر
وتركه	تَرَك,تَرِكَة,تَرْك,تَرَّك,رَكّ,تُرْكِيّ
وترجعون	أَرْجَع,رَجَّع,رَجَع-ِ
وتذوقي	ذاق,تَذَوُّق
وتذهبون	أَذْهَب,ذَهَب-َ,ذَهَّب
وتدنو	دَنا
وتخشي	خَشِي-َ,تَخَشَّى,خَشَّى,خَشّ
وتحليلها	تَحْلِيل
وتحللتها	تَحَلَّل
وتجدون	وَجَد-ِ,أَجَدّ,أَجْدَى,جَدا,جَدّ-ِ
وتابع	تابِع,تابَع
وبيوتهم	بَيْت,بَيُّوت
وبهز	هَزّ,بَهَز-َ
وبمعافاتك	مُعافَى,مُعافاة
وبطون	بُطُون
وبشرا	بُشْر,بَشَر,بَشَّر,بَشِر-َ,بَشَر-ِ,بِشْر
وبروا	بَرّ-ِ,بَرَى-ِ,وَبِر-َ
وبرسولك	رَسُول
وبدت	بَدا,بَدّ,باد-ِ
واينا	أَيّ,أَيَّن
واولادكم	وَلَد
واوصيه	أَوْصَى,وَصَّى
واوصي	أَوْصَى,وَصَّى
واوسعوا	أَوْسَع
واهلها	أَهال,هال-ِ,هال,أَهْل,أَهَلّ,هَلّ-ِ,آهِل
وانفقوا	أَنْفَق
وانصرني	نَصَّر,نَصَر
وانتظار	ٱِنْتِظار
وامرها	مار,أَمْر,مار-ِ,أَمَّر,أَمَرّ,مَرّ,آمَر,أَمار,آمِر,أَمَر
وامركما	أَمْر,مار,مار-ِ,أَمَّر,أَمَرّ,مَرّ,أَمار,آمَر,آمِر,أَمَر
واليتامي	يَتِيم
والولدان	وَلَد,وَلِيد
والولد	وَلَد
والنفقة	نَفَقَة
والنعال	نَعْل
والنخل	نَخْل
والنبيين	نَبِيّ
والنبيون	نَبِيّ
والمعوذتين	NOTFOUND
والمعروف	مَعْرُوف
والمصتان	مَصّ
والمشهور	مَشْهُور
والمشركين	مُشْرِك
والمسكن	مُسَكِّن,مَسْكَن,لَمَس
والمحصنات	مُحَصَّن,مُحْصَن,مُحْصِن
والمتصدق	مُتَصَدِّق
والمؤمنون	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
والكعبة	كَعْبَة
والقائل	قائِل
والفاجر	فاجِر
والغني	غِنَى,غَنِيّ,لَغِي-َ,أَلْغَى,وَلَغ-َ,لَغا
والعنبة	عِنَب
والعمامة	عِمامَة
والظن	ظَنّ
والضحي	ضُحَى
والضحاك	ضَحّاك
والصنابحي	NOTFOUND
والصغير	صَغِير
والشهر	شَهْر
والشرب	شُرْب
والسموات	سَماء
والسبع	سُبْع,سَبْع
والسباع	سَبْع
والسابعة	سابِع
والسائب	سائِب
والزهو	زَهْو,زُهُوّ
والريح	رَيِّح,رِيح
والدابة	دابَّة
والخيلاء	أَخْيَل
والخليفة	خَلِيفَة
والخزرج	خَزْرَج
والختان	خِتان
والخال	خال
والحياء	حَياء
والحديا	NOTFOUND
والجبال	جَبَل
والتهليل	تَهْلِيل
والبسه	لَبَّس,لَبِس-َ,بَسَّة,أَلْبَس,لِباس
والباب	لَبَب,باب,لُبّ
والاصنام	صَنَم
والاثم	آثِم,أَثَم,إِثْم
والابيض	أَبْيَض
واكرم	أَكْرَم,كَرَّم,كَرُم
واكثره	أَكْثَر,كَثَّر
واكبر	كَبَّر,كَبَر,أَكْبَر
واقوم	قام,أَقْوَم,قَوَّم
واقامتين	NOTFOUND
وافشاء	إِفْشاء
وافسد	فَسَّد,فَسَد,أَفْسَد
وافد	أَفاد,وافِد,وَفَد-ِ,وافَد,فَدَى-ِ
واغلقوا	أَغْلَق
واعتمر	ٱِعْتَمَر
واطلعت	أَطْلَع,ٱِطَّلَع
واطعم	أَطْعَم,طَعَّم,طَعِم-َ
واضبا	ضَبّ
واصطفي	ٱِصْطَفَى
واصدقهم	أَصْدَق,صَدَّق
واصبري	أَصْبَر
واشهر	شَهَّر,أَشْهَر,شَهْر,شَهَر-َ
واشاح	أَشاح,شاحّ
واسية	أُسّ,أُسِّيَّة,آسِي,آس,أُسِّيّ
واسقي	أَسْقَى,سَقَى-ِ
واستثني	ٱِسْتَثْنَى
وارواثها	رَوْث
وادفنوا	NOTFOUND
وادعوا	ٱِدَّعَى
وادع	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,وادِع,دَعا
واخبروه	أَخْبَر
واخبرها	خَبُر,أَخْبَر,خَبَر,خَبَّر
واحيا	حَيّ-َ,أَحْيَى
واحذف	حَذَّف,حَذَف-ِ
واحدي	أَحَد,حَدِي,أَحَدّ,حَدا,واحِد
واجبة	واجِب,جَبَى-ِ,جَبَّى,جاب,جَبَه-َ,جَبّ,أَجاب
واتوها	آتَى,أَتَى-ِ,آتِي
واتبعه	تَبِع-َ,أَتْبَع,ٱِتَّبَع
وابصرته	أَبْصَر
وائذن	NOTFOUND
هيئته	هَيْئَة,هَيَّأ
هودجي	هَوْدَج
هود	هَوَّد,هُود
هوان	هَوان
هجرتهم	هِجْرَة,هَجَر,هَجَّر
هبط	هَبَط,هَبْط
هاعان	NOTFOUND
نيام	نائِم
نوفا	نَوْف
نهيته	نُهْيَة,هَيَّت,نَهَى-ِ
نهاه	نَها,نُهَى,نَهَى-ِ
ننهي	نَها,نَهَى-ِ,أَنْهَى
ننبذ	نَبَذ-ِ,نَبَّذ,أَنْبَذ
نموت	نَما,مَوَّت,مات
نمران	نَمِر
نمت	نَمّ,نَمَى-ِ,نَمَّى,مَتّ,أَمات,نَما,مات,نام-َ
نكتة	كَتّ-ِ,نَكَّت,نُكْتَة,ناك-ِ,نَكَت,نَكَى-ِ
نكتب	أَكْتَب,كَتَب
نقدر	قَدَّر,قَدِر-َ,قَدَر-ِ,قَدَر
نقبل	قَبَّل,أَقْبَل,قَبِل-َ
نقاعة	نِقاع,نُقاعَة
نفد	نَفِد-َ,أَفاد,وَفَد-ِ,فَدَى-ِ
نعمه	نَعَّم,نِعْم,عَمِي-َ,نَعْمَة,نَعَم-َُ,عام,عَمَّى,نِعْمَة,أَعْمَى,عَمِه-َ
نعلي	نَعْل,أَعْلَى,عَلَّى
نعتر	ٱِعْتَرَى
نطفة	طاف,طاف-ِ,أَطاف,نَطْف,نَطَف,طَفا,نُطْفَة
نطعا	نَطَع-َ,نَطْع,نِطْع
نضحي	أَضْحَى,نَضْح,ضَحَّى,ضَحِي-َ
نصبوا	نَصَّب,نَصَب,نَصِب-َ
نصالها	نَصْل
نشيطا	نَشِيط
نشيط	شاط-ِ,نَشِيط,أَشاط,شَيَّط
نشوزا	نُشُوز
نشد	شَدّ-ُِ,نَشَد,شَدا,أَشاد,شاد-ِ
نسيتها	نَسِي-َ,نَسِيّ
نسيانا	نَسِي-َ,نِسْيان,نَسِيّ
نسبه	سَبّ,ساب-ِ,نَسَب,نِسْبَة,سَبَى-ِ
نسافر	سافَر
نساؤنا	نِساء,نَساء
نزعا	نَزَّع,نَزْع,نَزَع-ِ
نزار	أَزار,نِزار
نرفع	رَفَع-َ,رَفَّع
نرد	رَدِي-َ,راد,رَدَّى,نَرْد,رَدّ,أَرْدَى,أَراد,وَرَد-ِ
نحيض	حاض-ِ
نحسب	حَسَب,حَسِب-ِ,حَسُب
نحره	نِحْر,أَحار,نَحْر,أَحْرَى,حَرَى,نَحَر,حار
نتغدي	تَغَدَّى
نتذاكر	تَذاكَر
نتداوي	تَداوَى
نبيح	أَباح,نَبِيح
نبله	بَلّ-ِ,بَلّ,بَلا,بَلِه-َ,أَبال,نابِل,بال,بَلِي-َ,نُبْل,نَبَل,أَبَلّ,وَبَل-ِ,أَبْلَى,نَبْل
نبل	بَلّ,بَلّ-ِ,بَلا,نَبُل,أَبال,نابِل,بال,بَلِي-َ,نُبْل,أَبَلّ,نَبَل,وَبَل-ِ,أَبْلَى,نَبْل
نبطش	بَطَش-ُِ
نازلون	نازِل
ناتئ	ناتِئ
نائلة	نائِل,نائِلَة
ميل	مِيل,مَيْل,مَيَّل
ميقاتها	مِيقات
موثق	مُوَثِّق,مَوْثِق,مُوَثَّق
موافقة	مُوافَقَة,مُوافِق
مهل	مَهَل-َ,مَهَّل,مَهْل
منصب	مَنْصِب,مِنْصَب
منحة	مِنْحَة,مَنْح,مَنَح-َ
منامها	مَنام
مليا	مَلَّى,مِلِّيّ,مَلِيّ
ملكتكها	NOTFOUND
مقطعا	مُقْطَع,مُقَطَّع,مَقْطَع,مِقْطَع,مُقْطِع
مقالا	مَقال,مُقال
مقاتلتهم	مُقاتَلَة,مُقاتِلَة,مُقاتِل
مقابر	مَقْبَر
مفردا	مُفَرِّد,مُفْرَد
مغيثا	مُغِيث
مغازي	مَغْزَى,مَغْزاة
معلما	مُعَلِّم,مَعْلَم
معتزل	مُعْتَزِل,مُعْتَزَل
معتب	NOTFOUND
معاهدا	NOTFOUND
معافاته	مُعافَى,مُعافاة
مصري	مِصْرِيّ,مِصْر,مُصِرّ,مَصْرِيّ
مصداقه	مِصْداق
مصبح	NOTFOUND
مشرح	مُشَرِّح
مشتبهات	NOTFOUND
مشارق	مَشْرِق
مسكنها	مُسَكِّن,مَسَّك,مَسْكَن,مَسَك
مسترضعا	NOTFOUND
مسة	مَسّ,مَسَّة,مَسّ-َ
مزمارا	مِزْمار
مريضة	مَرِيض
مرفقه	مِرْفَق,مُرْفَق
مرارة	مِرار,مَرارَة
مذ	مُذ
مدهم	مُدْهَم,مَدّ
مدعم	مُدَعَّم
مدة	مَدّ,مُدَّة
مدابرة	NOTFOUND
مخيلة	مُخَيِّلَة,مَخِيلَة,مُخِيل
مخزومية	NOTFOUND
محفوظا	مَحْفُوظ
محسرا	NOTFOUND
محرر	مُحَرَّر,مُحَرِّر
محدثك	مُحْدَث
محجم	مِحْجَم
محجل	مُحَجَّل
مجها	مَجّ
مجذوم	مَجْذُوم
مجة	مَجّ
مجاور	مُجاوِر
متواليات	مُتَوالِي
متفحشا	NOTFOUND
مبينة	مُبِين,مُبَيِّن
مالت	مال-ِ
ماجد	ماجِد
مؤداة	مُؤَدَّى
ليوشكن	وَشُك,وَشَّى,أَوْشَك,وَشَّك
ليقتلوه	قَتَل,قَتَّل
ليقال	أَقال,قال
ليعلم	أَعْلَم,عَلِم-َ,عَلَّم
ليطمئن	طَمْأَن,ٱِطْمَأَنّ
ليراجعها	راجَع
ليبكون	NOTFOUND
لوجبت	وَجَب-ِ,وَجَّب
لهي	لَهِي-َ,لُهِيّ,لَهَّى
لهارون	هارِي,هارُون
لمنشد	مُنْشِد
لمكان	مَكان
لمالها	مال
للوجه	وَجْه,لُوج
للنصاري	نَصْرانِيّ
للملك	مَلِك,مِلْك,مُلْك
للمسلم	مُسْلِم,مُسَلَّم
للمحرم	مَحْرَم,مُحَرَّم
للكبري	كُبْرِي,أَكْبَر
للسجود	سُجُود,ساجِد
لقلما	قَلَم,قَلَّم,قَلَم-ِ
لقائم	قائِم
لعمرة	عَمَر,عَمُر,عُمْرَة,عُمْر,عَمَّر,عُمَر
لطمت	طَما,طَمَى-ِ,لَطَم-َ,طَمّ
لضر	ضَرّ,ضِرّ
لسيدتها	سَيِّدَة
لسور	سُورَة,سَوَّر,سُور,سِوار
لزدت	زاد-ِ
لدين	دِين,دَيِّن,لِدَة,دَيْن,دان-ِ
لدغ	لَدَغ
لخليقا	خَلِيق
لخلق	خَلْق,خِلْقَة,خَلِق-َ,خَلُق,خَلَق,خُلْق,خَلَّق
لحوقا	حَوَّق
لحسن	لَحَس-َ,حَسَّن,حَسَن,حَسُن,لَحِس-َ,حُسْن
لجنازة	جُنّاز,جِنازَة
لجبريل	جَبْرَئِيل
لبوس	لِبْس,لَبُوس
لبشر	بُشْر,بَشَر-ِ,بِشْر,بَشَر,بَشِر-َ,بَشَّر
لبسه	لَبَّس,لَبِس-َ,لِبْس,لَبْس,بَسَّة,لِبْسَة,بَسّ,لُبْسَة
لببته	لَبَّب,لَبّ
لايات	أَتَى-ِ,آيَة
لاناس	أَسِي-َ,إِنْسان,أَسا,إِنْس
لامة	لامَّة,أُمَّة,أَمَة,لام,أُمّ
لاقومن	NOTFOUND
لافعلن	NOTFOUND
لافعل	فَعَل-َ,أَفْعَل
لاصومن	NOTFOUND
لاصلي	أَصْل,أَصَلَة,صَلِي-َ,صَلَّى,صَلَى-ِ,أَصْلِيّ,أَصْلَى
لاشبهكم	شَبَّه,أَشْبَه
لاسماء	أَسْماء,ٱِسْم
لاستبقوا	ٱِسْتَبَق,ٱِسْتَبْقَى
لاريتكم	آرِيّ
لادخل	أَدْخَل,دَخَل
لاخواننا	أَخ
لاحق	لاحِق,حَقّ-ُِ,لاحَق,أَحَقّ
لاحسنها	حَسَّن,أَحْسَن
لاحسن	حَسَّن,حَسُن,أَحْسَن
لاحببت	أَحَبّ
لاتاخر	NOTFOUND
لابنة	ٱِبْن,آب,أَبان,أَبَّن
لابعثن	NOTFOUND
لابتي	NOTFOUND
لابتغي	ٱِبْتَغَى
لؤلؤة	لُؤْلُؤ
كنف	كَنَف,كَنِيف
كلمت	كَلَّم
كلدة	لِدَة,أَلَدّ,لِدّ
كلال	كَلال
كقتله	قاتِل,قَتْل
كفة	كَفّ,كُفَّة,كِفَّة
كفارته	فارّ,فارَة,كَفّارَة
كفارات	فارّ
كسوتنيها	NOTFOUND
كسنة	سِنّ,سُنَّة,سَنَة,سَنّ
كسبكم	سَبّ,كَسْب,كَسَب-ِ,كَسَّب
كساني	كَسا
كرامة	كَرِيم,كَرّام,كَرامَة
كتيبة	كُتَيِّب,كَتِيبَة
كتبوا	كَتَب
كتابتك	كِتابَة
كبيران	كَبِير
كبش	كَبَش,كَبْش
كبدي	كَبِد,بُدّ
كاهلال	NOTFOUND
كالمجاهد	مُجاهِد
كاف	إِف,كاف,كافِي
كاطول	أَطْوَل
ك	كَ
قويا	قَوِيّ,قَوَّى,قَوِي-َ
قميصك	قَمِيص
قلي	قَلِي-َ,قِلَى,قَلَى-ِ,قِلّ
قلدها	قَلَّد
قلته	قَلا,قال,قُلَّة,قَلَى-ِ,قِلَّة,قَلَّة
قعر	قَعْر,قَعَّر,قَعُر
قطعه	قَطَع-َ,قَطَّع,قِطْعَة,قَطْع,قَطْعَة,قُطْعَة
قطط	قِطّ,قَطَّط
قصير	قَصِير
قصبه	قَصَب-ِ,قَصَّب,قَصَب,قَصْب
قريته	قَرْيَة,قَرِيَّة,قَرَى-ِ
قردة	قِرْد
قرد	قِرْد
قدامه	قادِم,قُدّامَ,قُدّام
قبيعة	قَبِيعَة
قبلهم	قَبَّل,قِبَل,قَبْلَ,قَبِل-َ
قافية	قافِيَة,قاف
قاطع	قاطِع,قاطَع
قاص	قاصِي,قاصّ
قاتلوا	قاتَل
فينتقم	ٱِنْتَقَم
فيكذب	كَذَب-ِ,أَكْذَب,كَذَّب
فيفصم	فَصَم-ِ
فيفتحها	فَتَح-َ
فيعرض	أَعْرَض,عَرَض-ِ,عَرَّض
فيصيب	أَصاب
فيشق	شَقّ,شَقا,شَقِي,شاق,أَشْقَى
فيدعوهم	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
فيدخله	أَدْخَل,دَخَل
فيخيل	خَيَّل,أَخال
فيخطب	خَطَب
فيجد	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جاد,أَجاد,جَدّ-ِ
فيبعثه	بَعَث-َ
فياتيه	أَتَى-ِ
فيؤم	NOTFOUND
فوقهم	فَوْق,فَوْقَ
فوجه	وَجَّه,وَجْه,فَوْج
فوجدوه	وَجَد-ِ
فوافقته	وافَق
فواتح	فاتِحَة
فهدانا	هُدَى,هَدَى-ِ,هَدّ
فني	فَنِّيّ,فَنّ,نَيّ,نِيّ,فَنِي-َ
فنهينا	وَهَى-ِ,نَهْي,نَهَى-ِ
فنهس	هَسّ-ِ
فنكص	نَكَّص,نَكَص-ُِ,نَكْص
فنكاحها	نِكاح
فنضحته	نَضَح-َ,نَضَح-ِ
فنسختها	نُسْخَة,نَسَخ-َ
فنزعته	نَزَّع,نَزْعَة,نَزَع-ِ
فمنعه	مَنْع,مَنَع,مَنْعَة
فمروا	مَرْوَة,مَرّ
فلينفث	نَفَث
فليضع	ضاع-ِ,وَضَع,أَضاع,ضاع
فليسلف	أَسْلَف,سَلَف,سَلَّف
فليستنثر	NOTFOUND
فليستعذ	ٱِسْتَعاذ
فليسبح	سَبَّح,سَبَح-َ
فليحلف	حَلَّف,حَلَف-ِ
فليجعلها	جَعَل-َ
فليبصق	بَصَق
فلياتنا	أَتَى-ِ
فلوه	فَلّ,فَلَى-ِ,فِلْو,فَلُوّ,فَلَّى
فلله	اللّٰه,فَلَّل
فلست	لَيْسَ,سِتّ,لاس,فَلَّس
فلحقني	حُقْنَة,لَحِق-َ,حَقْن
فلتفعل	فَعَل-َ
فلتركب	رَكِب-َ,رَكَّب,أَرْكَب
فلامني	أَمْنِيّ,مَنَى-ِ,أَمَنّ,أَمْن,لام,آمِن,مَنَّى
فلاة	فَلّ,لاهِي,فَلَى-ِ,فَلَّى,فَلاً
فكلمهم	كَلَّم,كَلْم
فكرهه	كَرِه-َ,كَرْه,كَرَّه,كَرِه,كُرْه
فكذب	كَذَب-ِ,كِذْب,كَذَّب
فقضيت	قَضَى-ِ,قَضَّى
فقصصت	قَصّ,قَصَّص
فقص	قَصّ,فَقَّص,فَقَص-ِ
فقسمتها	قَسَمَة,قَسَّم,قَسَم-ِ,قِسْمَة
فقراهن	قَرْيَة,قَرّ-َِ,قِرَى,قَرَى-ِ,قَرا
فقدمته	قَدِم-َ,قَدَّم
فقتلت	قَتَل,قَتَّل
فغسلها	غَسَل-ِ,غِسْل,غُسْل,غَسَّل
فعمدت	عَمَّد,عَمَد-ِ
فعلام	عَلّام,عَلامَ
فعقر	عُقْر,عَقَّر,عَقُر,عاقِر
فعجبت	عَجِب-َ,عَجَّب
فعتب	عَتَب,عَتْب,عَتَّب
فطرة	طُرَّة,فِطْرَة,فِطْر,طُرَة,فُطْر,طَرّ-ِ,طَرّ,فَطَر,فَطْر
فطارا	طار-ِ
فضول	فُضُول
فضعها	NOTFOUND
فصيح	فَصِيح,صَيْح,صَيَّح
فصرع	صَرْع,صَرَع-َ
فصبه	صَبّ,صَبّ-َ
فسويت	سَوَّى,سَوِي-َ
فسقي	فِسْق,سَقَى-ِ,سَقْي
فسرها	سُرّ,سِرّ,سَرّ,فَسَّر
فسدت	سَدَّى,فَسَّد,ساد,سَدّ-ِ,فَسَد,سَدّ
فسالهما	سال-ِ,وَلِي-ِ
فسارها	وَرَى-ِ,رَأَى-َ,سار-ِ,سارّ
فزوجنيها	NOTFOUND
فرفعوا	رَفَع-َ,رَفَّع
فرطنا	رَطَن,فَرَط,فَرَّط,فَرْط
فرضوا	فَرَض-ِ,رَضّ,رَضَّى,رَضِي-َ
فردوا	رَدِي-َ,رَدَّى,فَرَّد,رَدّ
فرددت	رَدَّد,رَدّ
فرحة	فَرِح-َ,فَرَح,فَرْحَة,فَرِح,فَرَّح
فرجعوا	رَجَّع,رَجَع-ِ
فرجا	رَجاء,رَجّ,رَجا,فَرَّج,فَرَج,فَرْج
فربطوه	رَبَط
فذهبا	ذَهَب-َ,ذَهَّب,ذَهَب
