تضعونه	وَضَع
يصدقهم	صَدَّق
يصدقك	صَدَّق
يصبه	وَصَب-ِ,صَبّ,أَصاب,يَصْب,صَبِي-َ,صَبا,صَبّ-َ,صَبَّى
يصبغون	صَبَغ
يصبره	صَبَّر
يصام	NOTFOUND
يشهده	شَهِد-َ,أَشْهَد
يشهدكم	شَهِد-َ,أَشْهَد
يشربونه	أَشْرَب,شَرِب-َ,شَرَّب
يشا	NOTFOUND
يسلمه	سَلَّم,أَسْلَم
يسكن	أَسْكَن,سَكَّن,سَكَن,ساك
يسكب	سَكَب
يسفك	سَفَى-ِ,أَسْفَى,سَفَك-ُِ,أَسَفّ
يسركم	يَسَّر,يُسْر,سَرَى-ِ,سَرَّى,سار-ِ,أَسَرّ,أَسار,سَرّ,أَسْرَى
يسرع	سَرَّع,سَرُع,أَسْرَع
يسدلون	سَدَل,سَدَّل,أَسْدَل
يستنزه	NOTFOUND
يستقبلها	ٱِسْتَقْبَل
يستغن	ٱِسْتَغْنَى
يستعفف	NOTFOUND
يستسقون	ٱِسْتَسْقَى
يستخلف	ٱِسْتَخْلَف
يستحق	ٱِسْتَحَقّ
يستحد	NOTFOUND
يسالهم	NOTFOUND
يزيده	زاد-ِ,زَيَّد,أَزاد
يزهو	زَها
يزالون	أَزال,زال-َ
يزالا	أَزال,زال-َ
يريده	أَراد
يرو	أَرْوَى,رَوَى-ِ,رَوَّى
يرمل	أَرْمَل,رَمَّل
يردهم	رَدِي-َ,راد,رَدَّى,أَرْدَى,رَدّ,أَراد,وَرَد-ِ
يرح	راح,أَراح
يرجون	رَجّ,رَجا,رَجِي-َ
يرجعه	أَرْجَع,رَجَّع,رَجَع-ِ
يرتجزون	ٱِرْتَجَز
يرانا	رَأَى-َ
يراجعني	راجَع
يدوا	وَدَى-ِ
يدهن	دَهَن,يَد,دَهَّن,وَدَى-ِ
يدنيه	ٱِدَّنَى,أَدْنَى,دَنَّى
يدان	أَدان,يَد,دانَى
يخلون	أَخْلَى,خَلّ,خَلا,خَلَّى,أَخَلّ
يخفض	خَفَّض,خَفَض-ِ,خَفُض
يخف	خَفّ-ِ,خَفِي-َ,خاف-َ,أَخْفَى,أَخاف,خَفَى-ِ
يخزيك	أَخْزَى,خَزَى-ِ
يخرجان	خَرَج,خَرَّج,أَخْرَج
يختلفون	ٱِخْتَلَف
يخبران	خَبُر,أَخْبَر,خَبَر,خَبَّر
يحييه	حَيّا,أَحْيَى
يحيف	حاف-ِ
يحنس	NOTFOUND
يحملها	حَمَل-ِ,حَمَّل
يحمدوا	حَمِد-َ,حَمَّد
يحلبن	حَلَب-ُِ
يحك	حَكّ,حاك,حَكَى-ِ,وَحَى-ِ,أَحَكّ
يحفر	حَفَر-ِ
يحزنه	حَزَن,حَزَّن,حاز-ِ,أَحْزَن,حاز
يحرمه	حَرَّم,حَرَم-ُِ
يحركهما	حَرَّك
يحتمل	ٱِحْتَمَل
يحتج	ٱِحْتَجّ,ٱِحْتاج
يحبك	أَحَبّ,حَبّ-ِ,حَبَك,حَبا,حَبَّك
يحاربون	حارَب
يجعلون	جَعَل-َ
يجتهد	ٱِجْتَهَد
يجتاز	ٱِجْتاز
يجبكم	جَبَى-ِ,جَبَّى,جاب,جَبّ,أَجاب
يجامع	جامَع
يتيمم	تَيَمَّم
يتيمة	يَتِيم,تَيَّم
يتوفاه	تَوَفَّى
يتوضئوا	NOTFOUND
يتنخمن	تَنَخَّم
يتمسح	تَمَسَّح
يتلقي	تَلَقَّى
يتغير	تَغَيَّر
يتطاولون	تَطاوَل
يتساءلون	تَساءَل
يتزعفر	NOTFOUND
يتخولنا	NOTFOUND
يتحولوا	تَحَوَّل
يتب	تَبّ-ِ,تاب
يتاخرون	NOTFOUND
يبولون	بَوَّل,بال
يبطل	بَطَّل,بَطَل,بَطُل,أَبْطَل
يبصق	بَصَق
يبرئ	أَبْرَأ,بَرَّأ
يبخلون	بَخِل-َ,بَخُل
يبتدرونها	ٱِبْتَدَر
يبايعوهم	بايَع
يامرها	أَمَر
ياكلن	أَكَل
ياثم	أَثِم-َ
ياثر	أَثَر-ُِ
ياتونا	أَتَى-ِ
يؤذنوا	أَذَّن,آذَن
يؤدونه	أَدَّى,أَدّ
يؤخرهم	ؤَخِّر
يؤتوا	آتَى
وينصع	ٱِنْصاع,نَصَع-َ,أَنْصَع
وينصرانه	نَصَر,نَصَّر
وينصح	نَصَح-َ
وينذرون	نَذَر,أَنْذَر,نَذِر-َ
وينبذ	نَبَذ-ِ,نَبَّذ,أَنْبَذ
ويمينه	يَمِين
ويمسح	مَسَّح,مَسَح-َ
ويمر	مار,مار-ِ,أَمَرّ,مَرّ,أَمار
ويكتب	أَكْتَب,كَتَب
ويكبره	كَبَّر,كَبَر,أَكْبَر
ويعجبون	عَجِب-َ,أَعْجَب,عَجَّب
ويطعم	أَطْعَم,طَعَّم,طَعِم-َ
ويصنع	صَنَّع,صَنَع-َ
ويشير	أَشار
ويشهد	شَهِد-َ,أَشْهَد
ويشق	شَقّ,شَقا,شَقِي,أَشْقَى,شاق
ويشربون	أَشْرَب,شَرِب-َ,شَرَّب
ويسمع	سَمَّع,سَمِع-َ,أَسْمَع
ويسرق	سَرَق-ِ,سَرَّق
ويسر	يَسَّر,يَسِر-َ,يُسْر,سَرَى-ِ,سَرَّى,سار-ِ,أَسَرّ,أَسار,سَرّ,أَسْرَى,يَسُر
ويستغفر	ٱِسْتَغْفَر
ويزوي	زَوَى-ِ,زَوَّى
ويركع	رَكَّع,رَكَع-َ,أَرْكَع
ويرضي	أَرْضَى,رَضَّى,رَضِي-َ
ويخونون	خَوَّن,خان
ويخرجون	خَرَج,خَرَّج,أَخْرَج
ويحلق	حَلَّق,حَلَق-ِ
ويحبون	أَحَبّ,حَبّ-ِ,حَبا
ويجمع	جَمَع-َ,جَمَّع,أَجْمَع
ويجزئ	جَزَّأ
وياكل	أَكَل
وياتيه	أَتَى-ِ
ويؤدي	أَدَّى
ووليدة	وُلَيْد,وَلِيدَة,وَلِيد
وولدي	وَلَد
ووقفت	وَقَّف,وَقَف-ِ
ووقع	وَقْع,وَقَع-َ,وَقَّع,وُقِّع
ووعظ	وَعْظ,وَعَظ
ووضعه	وَضْع,وَضْعَة,وَضَع
ووددت	وَدّ-َ
ووجهت	وَجَّه,واجَه
وواد	وادِي,وادّ
وهيئته	هَيْئَة,هَيَّأ
وهلله	هَلَل,هَلَلَة,هَلَّل
وهلل	هَلَل,هَلَّل
وهات	NOTFOUND
ونواء	NOTFOUND
ونقه	نَقّ-ِ,وَقَى-ِ,أَقْهَى,نَقِه,قَهِي-َ,نَقَه,نَقّ,نَقَه-َِ
ونفهت	NOTFOUND
ونحوه	نَحْو,نَحا,حَوَى-ِ,نَحَّى,نَحَى,نَحْوَ
ونحو	نَحْو,حَوَى-ِ,نَحْوَ
وناموا	نام-َ
وميتا	مَيِّت
ومكحول	NOTFOUND
ومقلب	مَقْلَب,مِقْلَب
ومعتمر	مُعْتَمِر
ومضمضنا	مَضْمَض
ومضر	مَضِر,مُضِرّ,مُضَر,مَضِر-َ,مَضَر
ومروا	مَرْوَة,مَرّ
ومخي	مُخّ,مُخِّيّ
ومخبرهم	مَخْبَر,مُخْبِر
ومحيت	مَحَّى
