وامامها	أَمام,إِمام,أَمامَ
وافرد	فَرَّد,أَفْرَد
وافراغك	إِفْراغ
وافدي	وافِد,فَدَى-ِ
وافتقدته	ٱِفْتَقَد
وافترقت	ٱِفْتَرَق
وافاضت	أَفاض
واغيظه	أَغاظ,غَيَّظ,غاظ-ِ
واغنيهم	أَغْنَى,أَغَنّ,غَنَّى
واغمس	غَمَس-ِ,غَمَّس
واغمزي	NOTFOUND
واغلاها	واغِل,أَغْلَى,أَغَلّ
واغلالها	غُلّ
واغفرها	غَفَّر,غَفَر
واغضب	غَضِب-َ,أَغْضَب
واغسلي	NOTFOUND
واغسلوا	NOTFOUND
واغزو	غَزا
واغزهم	غَزا
واغرمناك	أَغْرَم
واغرف	غَرَف-ِ
واغدوا	NOTFOUND
واغتسلت	ٱِغْتَسَل
واغترف	ٱِغْتَرَف
واعيي	عَيِي-َ,واعِي,أَعْيَى
واعينوا	NOTFOUND
واعينك	أَعان,عَيَّن,عَيْن
واعين	أَعان,عَيَّن,واعِي,عَيْن
واعي	عَيِي-َ,واعِي,أَعْيَى,وَعَى-ِ
واعوانه	عَوْن
واعهد	عَهِد-َ
واعناب	عِنَب
واعملي	NOTFOUND
واعمرها	عَمَر,أَعْمَر,عَمُر,عَمَّر
واعمالكم	عَمَل
واعمال	عَمَل
واعلن	أَعال,أَعْلَن
واعلمي	أَعْلَم,عَلِم-َ
واعلموه	أَعْلَم,عَلِم-َ
واعلقه	عَلَّق
واعلفه	أَعْلَف
واعقله	أَعْقَل,عَقَّل
واعقل	عَقَل-ِ,أَعْقَل,عَقَّل
واعقرهم	أَعْقَر,عَقَّر
واعقر	أَعْقَر,عَقَّر,عَقُر
واعقدن	NOTFOUND
واعقبنا	عُقاب,عَقَب,أَعْقَب,عَقَّب
واعفوه	عَفا,أَعْفَى
واعظمهما	أَعْظَم,عَظَّم
واعظمها	أَعْظَم,عَظَّم
واعظمه	أَعْظَم,عَظَّم
واعظمنا	أَعْظَم,عَظَّم
واعظاما	NOTFOUND
واعظ	وَعَظ,واعِظ
واعطيهم	أَعْطَى
واعطيك	أَعْطَى
واعطيتها	عَطاء,أَعْطَى
واعطيتنا	عَطاء,أَعْطَى
واعطيتكها	NOTFOUND
واعطوهم	أَعْطَى
واعطوها	أَعْطَى
واعطهم	أَعْطَى
واعطها	أَعْطَى
واعطنا	أَعْطَى
واعطت	أَعْطَى
واعطاهما	أَعْطَى
واعطاهم	أَعْطَى
واعطاها	أَعْطَى
واعطان	NOTFOUND
واعطاك	أَعْطَى
واعضداه	NOTFOUND
واعروها	عَرا
واعرضت	أَعْرَض
واعربهم	عَرَّب,أَعْرَب
واعذني	عَذِي-َ,عاذ,عَذا,أَعاذ
واعدتني	واعَد,أَعْدَى,أَعاد,أَعَدّ
واعجبي	أَعْجَب
واعجبهم	أَعْجَب,عَجَّب
واعجباه	أَعْجَب
واعجازها	إِعْجاز
