ولمجالس	مَجْلِس
ولتلبس	تَلَبُّس,لَبَّس,لَبِس-َ,أَلْبَس
ولتكن	وَلَّى,كَنا,كَنَى-ِ,كَنَّى,كَنّ-ِ,كان,لَتّ,أَكَنّ
ولتقصرنه	قَصَر-ِ,قَصَّر,أَقْصَر
ولتعتبر	ٱِعْتَبَر
ولتطيعن	NOTFOUND
ولتصلي	وَصَل-ِ,صَلَّى,صَلِي-َ,أَصْلَى,صَلَى-ِ
ولتصل	صال,صَلَّى,وَصَل-ِ,صَلِي-َ,أَصْلَى,صَلَى-ِ
ولتصبر	صَبَّر,صَبَر-ِ
ولتشهدن	شَهِد-َ,أَشْهَد
ولتستثفر	NOTFOUND
ولتذهبن	أَذْهَب,ذَهَب-َ,ذَهَّب
ولتحسن	حَسَّن,حَسُن,أَحْسَن,تَحَسُّن
ولتتركن	تَرَك,وَتَر-ِ,تَتَر,تَرَّك
ولتاطرنه	أَطَر-ُِ
ولتاخذن	أَخَذ
ولتؤجروا	آجَر,أَجَّر
ولت	وَلَّى,لَتّ
ولبينا	لَبَّى
ولبيد	بِيد
ولبنة	بُنّ,لِبْنَة,لِبْن,لَبِنَة,لاب,لَبَن
ولبلال	بِلال
ولبسوها	لَبَّس,لَبِس-َ
ولبسوا	لَبَّس,لَبِس-َ
ولبسه	لَبَّس,لَبِس-َ,لَبْس,لِبْس,بَسَّة,لِبْسَة,لُبْسَة
ولبستين	بَسَّة
ولبستها	لَبَّس,لَبِس-َ,بَسَّة,لِبْسَة,لُبْسَة
ولبدت	لَبَّد,لَبَد
ولبثنا	لَبْث,لَبِث-َ,بَثّ
ولبث	لَبْث,لَبِث-َ,بَثّ
ولبايعناك	NOTFOUND
ولبابة	بابِه,باب
ولبا	لَبّ-َُ,لُبّ,لَبّ
ولايته	أَيّ,تاه,أَتاه,وِلايَة,آيَة
ولاوي	لاوِي
ولاوثرن	NOTFOUND
ولاه	لاهِي,وَلَّى,والِي
ولانيه	وَنَى-ِ,آنِيّ,إِناء
ولانيته	آنِيّ,إِناء
ولانازعن	NOTFOUND
ولاموها	لام
ولامك	لام,أُمّ
ولامرئ	اِمْرُؤ
ولامة	لامَّة,أُمَّة,أَمَة,لام,أُمّ
ولام	لام,أُمّ
ولاك	وَلَّى,لاك
ولاقوة	لاقَى,قَوَّه
ولاقامه	إِقامَة
ولاقاتلن	NOTFOUND
ولاعن	لاعَن,أَعان,عَنّ
ولاعبت	لاعَب
ولاصحابي	صاحِب
ولاسبين	NOTFOUND
ولاسالنه	NOTFOUND
ولادخلت	NOTFOUND
ولاخيك	أَخ,وَخَى-ِ
ولاخوتك	أَخ,أُخُوَّة
ولاخوانك	أَخ
ولاخرت	خَرَت
ولاثتني	لاث
ولاتماثيل	NOTFOUND
ولاتكم	والِي,كَمّ
ولابين	أَبْيَن,أَبان,بَيَّن,آبِي,بان-ِ
وكيلي	كَيْلِيّ,كِيلِي,وَكِيل,كَيْل
وكيعبهذا	NOTFOUND
وكوني	كَوْنِيّ,كَوْن,وَكَى-ِ,وَكْن,كان,وَنَى,وَنّ
وكوخاراني	NOTFOUND
وكواه	كاهِيَة,واهِي,كَوَى-ِ,كُوَّة
وكنوها	كَنَّى,كَنّ-ِ
وكننته	كَنّ-ِ
وكنست	كَنَس,كَنَّس
وكندة	نَدّ,نَدْه,نِدّ
وكنانة	كِنانَة,كُنَّة
وكمنت	كَمَن,كَمِن-َ
وكملها	كَمَّل,مَلّ
وكمة	كَمَه,أَكْمَه,كَمّ
وكلوها	أَكَل,وَكَّل,وَكَل-ِ
وكلماتك	كَلِمَة
وكلف	كَلِف,أَكْلَف,كَلِف-َ,لِفّ,كُلْفَة,لَفّ,كَلَف,كَلَّف
وكلبة	كَلِب,كَلَب,لِبَّة,لَبَّة,كَلْب,لُبّ,كَلَّب,كَلْبَة
وكلاءها	وَكِيل
وكفيت	كَفَى-ِ
وكفيئا	NOTFOUND
وكفنتك	كَفَن-ِ,كَفَّن
وكفره	كَفَر-ِ,كَفَّر,فَرِه,كُفْر,كَفَر,فَرّ,كافِر,كَفْر
وكفركن	كَفَر-ِ,كَفَّر,كَفَر,كُفْر,فَرّ,كَفْر
وكفار	فارّ,كافِر,كِفار,كَفّار,فَأْر
وكفاء	فاء,كَفاء,كِفاء
وكعبه	كَعْبَة,كَعْب,كَعَّب,عَبّ
وكسوت	كَسا
وكسروها	كَسَر-ِ,سَرْو,كَسَّر
وكسرة	كَسْرَة,كِسْرَة,كَسْر,سُرّ,كَسَر-ِ,سِرّ,سُرَّة,كَسَّر
وكسحت	كَسِح-َ,سُحْت,كَسَّح,كَسَح-َ
وكسبه	سَبّ,كُسْبَة,سُبَّة,كَسْب,كَسَب-ِ,سَبَّة,كَسَّب,سَبَه
وكساهن	كِسْوَة,وَكَس-ِ,كَسا,وَكَّس
وكساهما	كِسْوَة,وَكَس-ِ,كَسا,وَكَّس
وكساهم	كِسْوَة,وَكَس-ِ,كَسا,وَكَّس,ساهِم
وكسائي	كِساء
وكرهها	كَرِه-َ,كَرْه,كَرَّه,كَرِه,كُرْه
وكرها	كَرْه,وَكْرَة,كَرِه-َ,كَرُه,كَرَّه,كَرِه,كَرّ,وَكْر,وَكَّر,كُرْه
وكرمني	كَرَّم
وكرمان	رُمّان
وكراهية	كَراهِيَّة
وكرامة	كَرِيم,كَرّام,كَرامَة
وكراب	رابّ
وكذبوك	كَذَب-ِ,كَذَّب
وكذبك	كَذَب-ِ,كِذْب,كَذَّب
وكذبته	كَذَب-ِ,كِذْبَة,كَذَّب
وكذاك	ذاكَ
وكدره	كَدَر,دَرّ,كَدَّر,كَدَرَة,دُرّ,كَدِر,كُدْرَة,دِرَّة
وكدت	كاد-َ,وَكَّد,كاد-ِ,كَدَى-ِ,كَدّ,كَدَّى
وكثروا	كَثُر,كَثَّر
وكتيبة	كُتَيِّب,كَتِيبَة
وكتبوا	كَتَب
وكتبنا	كِتاب,كَتَب
وكبريه	بَرِيَّة,بَرِّيَّة,بَرِّيّ
وكبري	بِرّ,بَرّ,بَرَى,بُرّ,كِبْر,كُبْرِي,كِبَر,كُبْر,أَكْبَر,بَرِّيّ
وكبرت	كَبْرَت,كَبَّر,كَبَر
وكببته	كَبَّب,كَبّ
وكبار	بارّ,كَبِير
وكاين	NOTFOUND
وكانهما	آن,كان
وكالقائم	قائِم
وكالطير	طَيْر
وكالذي	الَّذِي
وكال	إِل,آل,كال-ِ,كالّ,ال
وكاسا	كاس,كاس-ِ
وكاذبين	كاذِب
وكئ	NOTFOUND
وقينتين	قَيْنَة
وقيمته	قِيمَة,قَيَّم,قَيِّم
وقيمة	قِيمَة,قَيَّم,قَيِّم
وقيامي	قِيام
وقومي	قام,قَوْم,قَوْمِيّ
وقومها	قَوْم,قَوَّم
وقولها	قَوْل
وقولا	قَوْل
وقوسها	قَوَّس,قَوْس
وقوس	قَوِس-َ,قَوَّس,قَوْس
وقود	قَوْد,قَوَد,قائِد,وَقُود
وقوتنا	قَوَّى,قَوَّت,قُوت,قُوَّة
وقهر	قَهَر-َ,قَهْر
وقنت	قَنَى-ِ,قَنا,قَنَت
وقليلا	قَلِيل
وقلوبهن	قَلُوب,قَلْب
وقلوبنا	قَلُوب,قَلْب
وقلوبكم	قَلُوب,قَلْب
وقللها	قُلَّة,قَلَّل
وقلده	قَلَّد
وقلته	قَلا,قال,قُلَّة,قِلَّة,قَلَى-ِ,قَلَّة
وقلة	قُلَّة,قِلَّة,قَلَّة,قِلّ
وقفيزها	قَفِيز
وقفها	وَقَّف,وَقَف-ِ,وَقْف
وقفة	وَقَّف,وَقْفَة,وَقَف-ِ,قَفَّة,قُفَّة,وَقْف
وقفا	قَفّ,وَقَّف,قَفا,قَفاً,وَقَف-ِ,وَقْف
وقعيده	قَعِيد,قَعِيدَة
وقعودها	قاعِد,قُعُود,قَعُود
وقعودا	قاعِد,قُعُود,قَعُود
وقعدوا	قَعَد,قَعَّد
وقعب	NOTFOUND
وقعا	وَقْع,وَقَع-َ,وَقَّع,وُقِّع
وقطيفة	قَطِيف,قَطِيفَة
وقطن	قُطْن,قَطَّن,قَطَن
وقطعه	قَطَع-َ,قَطَّع,قِطْعَة,قَطْع,قَطْعَة,قُطْعَة
وقطعتها	قَطَع-َ,قَطَّع,قِطْعَة,قُطْعَة,قَطْعَة
وقطعته	قَطَع-َ,قَطَّع,قِطْعَة,قُطْعَة,قَطْعَة
وقطرة	قَطَر,قُطْر,قَطْرَة,قَطْر,قِطار,قَطَّر
وقطبة	قَطَب-ِ,قُطْبَة,قُطْب,قَطَّب
وقضينا	قَضَى-ِ,قَضَّى
وقضت	قَضّ-َ,قَضَّى,قَضَى-ِ,قَضّ,قاض-ِ,قاض
وقضاها	قَضَّى,قَضَى,قَضَى-ِ,قَضّ
وقصارته	قِصارَة
وقسمه	قَسَمَة,قَسَم,قِسْم,قَسَم-ِ,قَسَّم,قِسْمَة
وقسطا	قَسَّط,قِسْط,قَسِط-َ,قَسَط
وقرينه	قَرِينَة,قَرَى-ِ,قَرِين
وقريبه	قَرِيب
وقري	قَرْيَة,قِرَى,قَرّ,وَقْر,قَرَى-ِ,وِقْر
وقرع	قَرِع-َ,قَرْع,قَرَع-َ,قُرْعَة,قَرَع,قُرْع,قَرَّع
وقرظة	قَرَّظ
وقرصافة	NOTFOUND
وقربيهم	NOTFOUND
وقربوا	قَرَّب,قَرِب-َ,قَرُب
وقربه	قِراب,قُرْب,قِرْبَة,قَرَّب,قُرْبَة,قَرِب-َ,قَرُب,قُرْبَ
وقربناه	قَرَّب,قَرِب-َ,قَرُب
وقربك	قِراب,قُرْب,قِرْبَة,قَرَّب,قَرِب-َ,قَرُب,قُرْبَ
وقرب	قِراب,قُرْب,قِرْبَة,قَرَّب,قَرِب-َ,قَرُب,قُرْبَ
وقراهن	قَرْيَة,قَرّ-َِ,قِرَى,وَقَر-ِ,وَقْر,قَرَى-ِ,قَرا,وَقَّر
وقرابه	قِراب,قَرابَة,قُرابَة,قَرّاب
وقرابتهم	قَرابَة,قَرّاب,قُرابَة
وقرابته	قَرابَة,قُرابَة,قَرّاب
وقراؤهم	قارِئ
وقراءتي	قِراءَة
وقرئ	NOTFOUND
وقذفا	قَذَّف,قَذْف,قَذَف-ِ
وقذره	قَذِر,قَذَّر,قَذَر
وقديمه	قَدِيم
وقدموه	قَدِم-َ,قَدَّم
وقدما	قَدِم-َ,قُدُم,قَدُوم,قَدَم,قَدَّم
وقدرهن	قَدْر,قَدَّر,قِدْرَة,قَدَر,قِدْر
وقدرت	قَدَّر,قَدِر-َ,قَدَر-ِ,قَدَر
وقدحا	قِدْح,قَدَح,قَدَح-َ,قَدْح
وقثم	NOTFOUND
وقتيلة	قَتِيل
وقته	قات,وَقْت,وَقَّت,وَقَى-ِ,قَتّ,وُقَّة
وقتلوهم	قَتَل,قَتَّل
وقتلوه	قَتَل,قَتَّل
وقتله	قَتَل,قَتَّل,قاتِل,قَتْل
وقتلن	قَتَّل,قَتَل
وقتلته	قَتَل,قَتَّل,قاتِل
وقبيعة	قَبِيعَة
وقبلناه	قَبَّل,قَبِل-َ
وقبلت	قَبَّل,قَبِل-َ
وقبضت	قَبَّض,قَبَض-ِ
وقبضة	قَبْض,قَبَّض,قَبَض-ِ,قَبْضَة,قُبْضَة
وقالوه	قال
وقالها	قال
وقالللناس	NOTFOUND
وقالرسول	NOTFOUND
وقالتملائكة	NOTFOUND
وقاكم	وَقَى-ِ
وقاك	وَقَى-ِ
وقاعد	قاعِد
وقاضيا	قاضَى,قاضِي
وقاسوا	قاسَى,قاس-ِ
وقارئ	قارِئ
وقاتلوا	قاتَل
وقاتلكم	قاتَل,قاتِل
وقائم	قائِم
وقائد	قائِد
وفيناه	وَفَى-ِ,وَفَّى
وفيح	NOTFOUND
وفيتم	وَفَى-ِ,وَفَّى
وفنوا	فَنِي-َ
وفليح	NOTFOUND
وفلسطين	فِلَسْطِين
وفلانة	فُلان
وفككت	فَكَّك,فَكّ
وفك	فَكّ
وفقيرا	فَقِير
وفقهنا	فَقِه-َ,فَقَّه,فَقُه,فِقْه
وفقرهم	فَقْر
وفقدوا	فَقَد-ِ
وفعلوا	فَعَل-َ
وفعلناها	فَعَل-َ
وفطركم	فِطْرَة,فِطْر,فُطْر,فَطَر,فَطْر
وفضيلة	فَضِيلَة,فَضِيل
وفضيل	فَضِيل
وفسوق	فُسُوق
وفسقوا	فَسَق
وفسطاط	فُسْطاط
وفسرها	فَسَّر
وفزعا	فَزَع,فَزِع-َ,فَزِع,فَزَّع
وفزارة	فَزارَة
وفروا	فَرَّى,وَفَر-ِ,وَفُر,وَفَّر,فَرَى-ِ,فَرْو,فَرّ-ِ
وفرقنا	فَرَق,فَرْق,فَرَّق,فِرْقَة
وفرقد	فَرْقَد
وفرعها	فَرَّع,فَرْع
وفرضناها	فَرَض-ِ
وفرشتك	فَرَش,فَرَّش,فَرْشَة,فَرَش-ِ,فُرْشَة
وفرسه	فارِسِيّ,فَرَس
وفرسانه	فارِس
وفرس	فارِسِيّ,فَرَس
وفرجيها	NOTFOUND
وفرار	فَرّار,فِرار
وفدعته	NOTFOUND
وفخرا	فَخِر-َ,فَخَر-َ,فَخْر
وفخذي	فَخْذِيّ,فَخْذ
وفحمة	فَحْمَة,فَحْم,فَحَّم
وفجل	فِجْل
وفجرنا	فَجَر,فَجَّر,فَجْر
وفجاء	فِجاء
وفتناك	فات,فَتَن-ِ
وفتم	فات
وفتحها	فَتَح-َ,فَتْح
وفتاي	فَتَى
وفاه	فاه,وَفَّى,وَفَى-ِ,وَفاة
وفالق	فالِق
وفاكهة	فاكِهَة,فاكَه,فاكِه
وفاقة	فاق,وِفاق,فاقَة
وفاسي	فاسِيّ,فاس
وفارقوا	فارَق
وفارقها	فارِق,فارَق
وفاتها	فات,وَفاة
وفاتني	فاتِن,فات
وفاتكم	فات,وَفاة
وفاتك	فاتِك,فات,وَفاة
وفائد	NOTFOUND
وغيروه	غَيَّر
وغيرته	غَيَّر,غَيْرَة
وغياث	غِياث
وغوغاءهم	غَوْغاء
وغني	غَنِي-َ,غِنَى,غَنِيّ,غَنَّى,غَنّ
وغنمك	غَنِم-َ,غُنْم,غَنَّم,غَنَم
وغنته	غَنّ-َ,غُنَّة,غَنَّى
وغنائمنا	غَنِيمَة
وغمص	غَمَص-ِ,غَمَص
وغمز	غَمَز-ِ,غَمْز
وغلوها	غَلا,وَغَل-ِ,غَلَّى,غَلّ-ِ,غُلُوّ,غَلَى-ِ,غَلّ
وغلماني	غِلْمانِيّ,غُلام
وغلت	وَغَل-ِ,غَلَّى,غَلا,غَلّ-ِ,غَلَى-ِ,غَلّ,غال
وغلبته	غَلَب-ِ,غَلْبَة
وغلامي	غُلام
وغلامه	غُلام
وغلامك	غُلام
وغفل	غَفَل,غُفْل,غَفَّل
وغفرت	غَفَّر,غَفَر
وغضبه	غَضْبَة,غَضِب,غَضَب
وغضبت	غَضِب-َ
وغض	غَضّ
وغشيها	غَشْي,غَشِي-َ
وغسله	غَسْلَة,غَسَل-ِ,غِسْل,غُسْل,غَسَّل
وغسلنا	غَسَل-ِ,غِسْل,غَسَّل,غُسْل
وغساق	NOTFOUND
وغزوة	غَزا,غَزْو
وغروني	غَرا,غَرّ,غَرَّى
وغروبها	غُرُوب
وغرمه	غَرَّم,غُرْم
وغرس	غَرْس,غَرَس-ِ
وغرتهم	غِرَّة,غَرا,غَرّ,غُرَّة,غَرَّى,غار
وغربيا	غَرْبِيّ
وغراب	غُراب
وغدي	غَد,غَدِي-َ,غَدَّى,وَغْد,غُدِّيّ
وغدونا	غَدِي-َ,غُدُوّ,غَدا,غَدَّى
وغدروا	غَدَر-ِ
وغبوقها	NOTFOUND
وغبرة	غَبَّر,غَبِر,غَبَرَة,غُبْرَة,أَغْبَر,غَبَر
وغبر	غَبِر,غَبَّر,أَغْبَر,غَبَر
وغامد	NOTFOUND
وغاب	غاب-ِ,غابَة
وعينيه	عَيْنِيّ,عَيْن
وعينين	عَيْن
وعيش	عَيَّش,عَيْش
وعيرك	وَعِير,عَيْر,عَيَّر
وعير	وَعِير,عَيْر,عَيَّر
وعيته	وَعَّى,عَيّ,وَعَى-ِ
وعياله	عِيال
وعياض	NOTFOUND
وعويمر	NOTFOUND
وعول	عِوَل,عَوَّل,عَوْل
وعنود	NOTFOUND
وعنهم	عَن
وعندهما	عِنْدَ
وعندك	عِنْدَ
وعناق	عِناق,عَناق
وعناء	عَناء
وعملكم	عَمِل-َ,عَمَل
وعملت	عَمِل-َ
وعملا	عَمِل-َ,عَمَل
وعمرا	عَمَر,عَمُر,عُمْر,عَمَّر,عَمِر-َ,عُمَر
وعمدنا	عِماد,عَمَّد,عُمْدَة,عَمْد,عَمَد-ِ
وعمد	عِماد,عَمَّد,عُمْدَة,عَمْد,عَمَد-ِ
وعمة	عَمِه,عَمَّة,عَمّ,عِمَّة,عَمِه-َ,عَمَه
وعماه	عَمّ,عَمَّى,عَمَى
وعمارته	عِمارَة,عَمارَة
وعلوا	عُلُوّ,عَلا,عَلَّى
وعلمي	عِلْمِيّ,عِلْم,عَلَم
وعلموها	عَلِم-َ,عَلَّم
وعلمتموها	عَلِم-َ,عَلَّم
وعلقوا	عَلِق,عَلَّق
وعلقت	عَلِق,عَلَّق
وعلاه	عَلاة,عَلَّى
وعلانيتها	عَلانِيَّة
وعلاجه	عِلاج
وعكراش	NOTFOUND
وعكاف	NOTFOUND
وعكاظ	عُكاظ
وعقلها	عِقال,عَقْل,عَقَّل
وعقلنا	عِقال,عَقَل-ِ,عَقْل,عَقْلَن,عَقَّل
وعقبي	عُقْب,عُقْبَى
وعقبه	عَقِبَ,عَقَب,عُقْب,عَقَّب,عَقَبَة
وعقب	عَقِبَ,عُقْب,عَقَب,عَقَّب
وعقابه	عُقاب,عِقاب
وعقابك	عُقاب,عِقاب
وعفير	NOTFOUND
وعفروا	عَفَر-ِ,عَفَّر
وعظيم	عَظِيم
وعظوا	وَعَظ
وعظنا	وَعْظ,وَعَظ
وعظمه	عُظْم,عَظْم,عَظْمَة,عَظَّم
وعظت	وَعَظ
وعظامها	عَظْم,عَظِيم
وعظ	وَعْظ,وَعَظ
وعطن	NOTFOUND
وعطش	عَطَّش,عَطَش,عَطِش,عَطِش-َ
وعطس	عَطَس-ِ,عَطْس,عَطَّس
وعضوا	عَضّ-َ,عُضْو
وعضاهه	عِضاه
وعض	عَضّ,عَضّ-َ
وعصوك	عَصَى-ِ,عَصّ-َ
وعصوا	عَصَى-ِ,عَصاً,عَصّ-َ
وعصمت	عَصَم-ِ
وعصبته	عَصَب-ِ,عَصَّب,عَصَبَة
وعصبة	عَصَب,عَصَب-ِ,عَصَبَة,عَصَّب
وعصب	عَصَب,عَصَب-ِ,عَصَّب,عَصَبَة
وعصابة	عُصاب,عِصاب,عِصابَة
وعصائب	عِصابَة
وعشيرة	عَشِيرَة,عَشِير
وعشبها	عُشْب,عَشِب
وعش	عُشّ
وعسرك	عَسِر,عَسَّر,عُسْر,عَسَر
وعزيز	عَزِيز
وعزيتهم	عَزَى-ِ,عَزَّى
وعريش	عَرِيش
وعرية	عُرْي,وَعْر
وعروضا	عَرْض,عَرُوض
وعرق	عَرَق,عِرْق,عَرِق-َ,عَرَّق
وعرفوا	عَرَّف,عَرَف-ِ
وعرفهم	عَرَّف,عَرَف-ِ,عُرْف
وعرضني	عَرَض-ِ,عَرَّض
وعرضنا	عَرَض,عَرَض-ِ,عَرْض,عِرْض,عَرَّض
وعرضته	عُرْضَة,عَرْضَة,عَرَض-ِ,عَرَّض
وعراقيبها	عُرْقُوب
وعر	وَعَر-ِ,عَرّ,وَعْر
وعذيقها	NOTFOUND
وعذيري	NOTFOUND
وعذرني	عَذَر-ِ
وعذابي	عَذاب
وعذ	NOTFOUND
وعدوه	عَدّ,عَدَّى,عُدْوَة,عَدا,وَعَد-ِ,عَدُوّ,عَدْو
وعدلوا	عَدَل-ِ,عَدَّل
وعدس	عَدَس
وعجيزة	عَجِيزَة
وعجنوا	عَجَن
وعجمهم	عَجَم,عَجَمِيّ
وعجلي	عِجْل,عَجْلان,أَعْجَل,عَجَل
وعجلوا	عَجَّل,عَجِل-َ
وعجلت	عَجَّل,عَجِل-َ
وعجزهم	عَجْز,عَجُز,عَجَّز
وعجز	عَجْز,عَجِز-َ,عَجُز,عَجَّز
وعجبكم	عَجَّب,عَجَب
وعتلة	عَتَل,عَتَلَة,عَتْل
وعتقت	عَتُق,عَتَق-ِ
وعتاب	عِتاب
وعبس	عَبَّس,عَبْس,عَبَس-ِ
وعبادته	عِبادَة
وعاودته	عاوَد
وعاند	عانَد
وعاملنا	عامَل,عامِل
وعاملة	عامَل,عامِل
وعامتنا	عامّ,عامَّة
وعالما	عالَم,عالِم
وعالم	عالَم,عالِم
وعالجوا	عالَج
وعافنا	عاف,عاف-ِ
وعافاني	عاف,عاف-ِ,عافَى
وعاضه	عاض
وعاش	عاش
وعارية	عارِي
وعارضيها	عارِضِيّ,عارِض
وعادوا	عادَى,عاد
وعاب	عاب-ِ
وعائل	عائِل
وعائدين	عائِد
وعاءين	NOTFOUND
وظيفة	وَظِيفَة
وظهورهما	ظُهُور
وظهورهم	ظُهُور
وظهورها	ظُهُور
وظهور	ظُهُور
وظهروا	ظَهَر-َ,ظَهَّر
وظننا	ظَنّ,ظِنَّة
وظنت	ظَنّ
وظمان	NOTFOUND
وظلل	ظُلَّة,ظَلَّل
وطيف	طَيَّف,طَيْف
وطيبها	طَيَّب,طِيب,طَيِّب
وطيبه	طِيبَة,طَيَّب,طِيب,طَيِّب
وطواف	طَواف,طافِيَة,طافَة
وطهرته	طَهَّر
وطني	وَطَنِيّ,وَطَن,طُنّ
وطنوا	طَنّ,وَطَّن
وطنا	وَطَن,طُنّ,وَطَّن,طَنّ
وطن	وَطَن,طُنّ,طَنّ,وَطَّن
وطمح	طَمَح-َ
وطلقت	طَلَق,طَلَّق
وطلبوا	طَلَب
وطلبت	طَلَب
وطلب	طَلَب
وطفا	وَطِف-َ,طَفا
وطفئت	طَفِئ-َ
وطغي	طَغَى-َ,طَغَى
وطعنته	طَعَن-َ,طَعْنَة
وطعن	طَعَن-َ,طاع,طَعْن
وطعموا	طَعَّم,طَعِم-َ
وطعت	طاع
وطعامكم	طَعام
وطعاما	طَعام
وطرفه	طَرَف-ِ,طُرْفَة,طَرَف,طَرْفَة,طَرْفاء
وطردوا	طَرَد
وطرحوه	طَرَّح,طَرَح-َ
وطرحهم	طَرَّح,طَرْح,طَرَح-َ,طَرْحَة
وطرا	وَطَر,طَرُو,طَرّ-ِ,طَرّ,طُرّ
وطحنا	طاح,طَحْن,طِحْن,طَحَن-َ,طاح-ِ
وطبقة	طَبَقَة,طَبَق,طَبَّق
وطبت	طَبّ,طاب-ِ
وطال	طال
وطاطا	NOTFOUND
وطائرهم	طائِر
وطاء	طاء,وَطاء
وطئه	وَطِئ-َ,وَطْء
وطئتها	وَطِئ-َ
وضيق	ضَيِّق,ضِيق,ضَيَّق
وضيفهما	ضَيْف
وضيعة	وَضِيع,ضَيْعَة,ضَيْع,ضَيَّع,وَضِيعَة
وضياعنا	ضِياع,ضَيْعَة
وضيئا	وَضِيء
وضوئهن	وُضُوء,ضَوْء
وضوؤه	ضَوْء
وضوءين	NOTFOUND
وضوءهن	وُضُوء,ضَوْء,وَضُوء
وضوءها	وُضُوء,ضَوْء,وَضُوء
وضموا	ضَمّ
وضمهما	وَضْم,ضَمّ
وضعيف	ضَعِيف
وضعوا	وَضَع
وضعهما	وَضْع,وَضَع
وضعك	وَضْع,وَضَع
وضعفائهم	ضَعِيف
وضعفا	ضُعْف,ضَعَّف,ضِعْف,ضَعُف
وضعتهن	ضاع-ِ,وَضْعَة,وَضَع,ضَعَة
وضعتم	ضاع-ِ,وَضَع,ضاع
وضربها	ضَرَب,ضَرَّب,ضَرْب
وضربني	ضَرَب,ضَرَّب
وضربت	ضَرَب,ضَرَّب
وضربا	ضَرَب,ضَرَّب,ضَرْب
وضحا	وَضَح,وَضَّح,ضَحا,وَضَح-ِ
وضجوا	ضَجّ-ِ
وضاق	ضاق
وضاعت	ضاع-ِ,ضاع
وضاحية	وَضّاح,ضاحِيَة
وضا	NOTFOUND
وصيفة	صَيْف,وَصِيف,صَيَّف,وَصِيفَة
وصيفا	صَيْف,وَصِيف,صَيَّف
وصيرت	صَيَّر
وصيتك	وَصَّى,صَيِّت,صِيت,وَصِيَّة
وصيامهم	صائِم,صِيام
وصيامكم	صائِم,صِيام
وصومه	صائِم,صَوْم
وصولا	صَوْل,صُول,وُصُول
وصورة	صُورَة,صَوَّر
