فاشاح	أَشاح,شاحّ
شح	شَحّ,شُحّ
شجب	شَجَّب,شَجْب,شَجَب
شثن	NOTFOUND
شتمني	شَتَم-ُِ
شتاء	شِتاء
شبعت	شَبِع-َ,شَبَّع
شبعا	شَبِع-َ,شَبَعا,شَبْع,شَبَّع
شبث	شَبِث-َ,شِبِتّ,شَبَث
شاهدين	شاهِد
شاهان	NOTFOUND
شاكية	شاكِي,شاكّ
شاكي	شاكِي,شاكّ
شافيا	شافِي
شاف	شاف,شافِي
شاسعة	شاسِع
شاركني	شارَك
شاتك	شاة
سيوفكم	سَيْف,وَفَّى,أَوْفَى
سيكل	كال-ِ,أَكَلّ,وَكَل-ِ
سيكثرون	أَكْثَر,كَثَّر,كَثُر
سيفك	سَيْف,وَفَى-ِ,سِيف,فَكّ
سيدنو	دَنا
سيدخلون	أَدْخَل,دَخَل
سيحلفون	حَلَف-ِ,حَلَّف
سيبلغ	بَلُغ,بَلَغ,بَلَّغ,أَبْلَغ
سيئاتهم	سَيِّء,سَيِّئَة
سيؤتي	آتَى
سوية	سَوِيَّة,سَوِيّ,سَوِي-َ
سوقهن	سَوَّق,سُوق,سَوْق
سوطي	سَوْط
سواده	سَواد
سواءة	سَواء
سهر	سُهَر,سَهَر,سَهِر-َ
سندع	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
سنامها	سَنام
سمين	سَمَّى
سميرة	سَمِير,سَمِيرَة
سملوا	سَمَل
سمعناك	سَمَّع,سَمِع-َ
سمعتهما	سَمَّع,سَمِع-َ,سُمْعَة
سمعتموه	سَمَّع,سَمِع-َ
سمر	أَسْمَر,سَمَر,سَمُر,سَمَّر
سمح	سَمْح,سَمَح-َ,سَمَّح
سمتا	سَمّ,سَمَّى,سَمْت,سِمَة,سَما
سليه	سَلِي-َ,سَلِيَّة
سلي	سَلّ,سَلِي-َ,سَلَّى,سِلّ
سلقا	سَلْق,سَلَق,سِلْق
سكتتان	سَكْتَة
سقيمه	سَقِيم
سقر	سَقَر
سقايتكم	سِقايَة
سقائك	سَقّاء,سِقاء
سفكوا	سَفَك-ُِ
سفعة	سُفْعَة,سَفْع,سَفَع-َ
سعاد	سُعاد
سريرته	سَرِيرَة
سرها	سُرّ,سِرّ,سَرّ
سرقته	سَرِقَة,سَرَق-ِ,سارِق,سَرَّق
سرغ	NOTFOUND
سرعته	سَرَّع,سَرُع,سُرْعَة
سراياه	سَراي,سَرِيَّة
سراج	سَرّاج,سِراج
سرائرهم	سَرِيرَة,سَرِير
سراء	سَرّاء
سدوس	NOTFOUND
سدسا	سَدَّس,سُدْس
سدد	سَدَّد,سَدَد,سُدَّة
سخيمة	سَخِيمَة
سحوركم	سِحْر,سَحُور,سَحْر
سجودكم	سُجُود,ساجِد
سجنتها	سَجَن
سجعه	سَجْع,سَجَع-َ,سَجَّع,سَجْعَة
سجدهما	سَجَد,ساجِد
ستير	NOTFOUND
ستور	أَوْرَى,سِتْر,وَرَّى
سترها	سَتَر,وَرَى-ِ,رَأَى-َ,سُتْرَة,سِتْر,سِتار,سَتَّر
سترجع	أَرْجَع,رَجَّع,رَجَع-ِ
سترتها	سَتَر,رَتا,رَتَّى,سُتْرَة,سَتَّر
ستحرصون	حَرِص-َ,حَرَص-ِ
ستجدون	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جَدّ-ِ
ستاتي	سِتّ,أَتَى-ِ
سبية	سَبْي,سَبِيّ
سبلان	NOTFOUND
سبقوه	سَبَّق,سَبَق-ُِ
سبقهم	سَبَّق,سَبْق,سَبَق-ُِ,سَبَق
سبقني	سَبَّق,سَبَق-ُِ
سبقتني	سَبَّق,سَبَق-ُِ
سبطا	سِبْط,سَبُط,سَبِط
سبحوا	سَبَّح,سَبَح-َ
سبحتي	سُبْحَة,سَبْحَة
سباق	سابِق,سِباق,سَبّاق
سالناها	NOTFOUND
سالتما	NOTFOUND
سالتكم	سال-ِ,لَتّ
ساقيها	ساقِي,ساق,وَقَى-ِ
سافرناها	سافَر
سافرتما	سافَر
سافرت	سافَر
ساعته	ساعَة,عَتا,عَتِه-َ
سارك	وَرَى-ِ,رَأَى-َ,سار-ِ,رَكّ,سارّ,رَكّ-ِ
سارقا	سارَق,سارِق
سارحتهم	سارِح
ساخط	خاط-ِ,خَطَّى,خَطا,خَطّ,وَخَط-ِ,ساخِط
ساخرج	خَرَج,خَرَّج,أَخْرَج
ساحر	أَحار,أَحْرَى,ساحِر,حَرَى,حَرّ,حار,حار-َ
ساحدثكم	حَدَث,أَحْدَث
سابلها	بَلّ,بَلّ-ِ,بَلا,أَبال,سابِل,بال,بَلِي-َ,أَبَلّ,أَبْلَى,وَبَل-ِ
سابعه	باع-ِ,سابِع,أَباع
سابعة	باع-ِ,سابِع,أَباع
ساببت	سابّ
سائمتها	سائِمَة
سائلهم	سائِل
سؤالهم	سُؤال
سؤاله	سُؤال
زينة	زَيْن,زَيْنَة,زِينَة,زَيَّن
زيتا	زَيَّت,زَيَّى,زَيْت
زيت	زَيَّى,زَيَّت,زَيْت
زوجناكها	NOTFOUND
زوجتي	زَوْجَة
زواياها	زاوِيَة
زهرتها	زَهْر,زُهْرَة,زَهَر-َ
زنيم	زَنِيم
زنفل	NOTFOUND
زنباع	NOTFOUND
زكاها	زَكاة,زَكَّى
زعمتم	زَعَم
زرعنا	زَرَع-َ,زَرْع
زربي	NOTFOUND
زراعة	زَرّاع,زِراعَة,زارِع
زده	NOTFOUND
زحم	زَحَم
زحفا	زَحْف,زَحَف-َ
زجره	زَجْر,زَجَر
زاهر	زاهِر
زارنا	زار
زادا	زاد-ِ,زاد
زائرات	زائِر
ريحنا	رَيَّح,رَيِّح,رِيح
ريحانتاي	NOTFOUND
روينا	رَوِيّ,رَوَى-ِ,رَوَّى
رويم	NOTFOUND
روق	رَوْق,رَوَّق
روحها	رَوَّح,رُوح,رَوْح
روحا	رَوَّح,رُوح,رَوْح
روايتهم	رِوايَة
رواحلهم	راحِلَة
رهبة	رَهَب,رَهَّب,رَهْبَة
رميه	رَمْي,رَمْيَة,رَمِيَّة
رميثة	رُمَيْثَة
رميا	رَمْي,رَمَى-ِ
رموا	رَمّ-ِ,رَمَى-ِ,رَمّ
رملوا	رَمَّل
رملا	رَمْل,رَمَّل
رمزة	رَمْز,رَمَز
رمحين	رُمْح
رمحي	رُمْح
ركنه	رُكْن
ركعتيه	رَكْعَة
ركض	رَكَض
ركبوا	رَكَّب,رَكِب-َ
ركبتيك	رُكْبَة
رقيقنا	رَقِيق
رقعة	رَقَّع,رُقْعَة,رَقَع-َ
رقدة	رَقْد,راقِد,رَقَّد,رَقْدَة,رَقَد
رقة	رَقّ,رِقّ,رِقَّة
رقبتك	رَقَب,رِقْبَة,رَقَبَة
رقاق	رُقاق,رِقاق,رَقِيق
رقاع	رَقّاع,رُقْعَة
رقا	رَقّ,رِقّ,رَقّ-ِ
رفعوه	رَفَع-َ,رَفَّع
رفعتموه	رَفَع-َ,رَفَّع
رفعة	رَفْعَة,رِفْعَة,رَفَع-َ,رَفْع,رَفَّع
رفعا	رَفَع-َ,رَفْع,رَفَّع
رفا	رَفّ-ِ,رَفا,رَفّ
رغبت	رَغِب-َ
رعي	رَعْي,رَعَى-َ
رعب	رُعْب,رَعَب-َ,رَعَّب
رعاية	رِعايَة
رعاع	رَعاع
رضوانه	رِضْوان
رضخ	رَضْخ,رَضَخ-َ,رَضَخ
رضاها	رِضاً,رَضّ,رَضَّى
رضاعة	رِضاع,رَضاعَة,رَضّاعَة
رش	رَشّ
رسولالله	NOTFOUND
رسلكم	رِسْل,رَسْل,رَسُول
رزقناكم	رَزَق
رزقكم	رَزَق,رِزْق
رزقتهم	رَزَق
ردغة	رَدْغَة
ردغ	رَدْغَة
رددتها	رَدَّد,رَدّ
رداءك	رِداء
ردا	رَدّ
رخصها	رُخْص,رَخَّص,رَخْص,رُخْصَة
رخصته	رَخَّص,رُخْصَة
رحمها	رَحَّم,رَحِم,رَحِم-َ
رحلها	راحِل,رَحّال,رَحَّل,رَحْل,رَحَل-َ
رحضة	رَحَض-َ,رَحْض
رحبت	رَحُب,رَحَّب,رَحِب-َ
رجيع	رَجِيع
رجوت	رَجا
رجمهما	رُجْمَة,رَجَّم,رَجْم,رَجَم
رتعت	NOTFOUND
ربيح	NOTFOUND
ربحت	رَبِح-َ,رَبَّح
ربحا	رَبِح-َ,رَبَّح,رِبْح
ربانا	رَبْوَة,رِبا,رُبّان,رَبّ,رَبَّى,رَبا
رباحا	رُبّاح
رايتكن	رايَة
راوك	NOTFOUND
راهبين	راهِب
راهبا	راهِب
رافعي	رافِع
راغبين	راغِب
راعيها	راعِي
راعينا	راعَى,راعِي
راضون	راضِي
راضع	راضِع
راحلتيهما	راحِل,راحِلَة
راجعته	راجِع,راجَع
رابها	راب-ِ,راب,رابّ
رائح	رائِح
رؤيتهما	رُؤْيَة
رؤي	رُؤَى
ذيلي	ذَيْل
ذهبه	ذَهَب-َ,ذَهَب,ذَهَّب
ذنوبهم	ذَنْب
ذنوبك	ذَنْب
ذميمة	ذَمِيمَة,ذَمِيم
ذكيا	ذَكِيّ,ذَكَّى,ذَكِي-َ
ذكي	ذَكِيّ,ذَكَّى,ذَكِي-َ
ذكرناه	ذَكَر,ذَكَّر
ذكرتم	ذَكَر,ذَكَّر
ذكرانا	ذِكْرَى,ذَكَر,ذَكَّر
ذريح	NOTFOUND
ذروته	ذَرا,ذُرْوَة
ذرني	ذَرّ
ذبحه	ذَبَّح,ذَبْح,ذِبْحَة,ذَبَح-َ
ذئبا	ذِئْب
ذؤابة	ذُؤابَة
ديلم	NOTFOUND
ديره	دار,دَيْر
دوسي	دَوْس
دورا	دار,دَوَّر,دَوْر
دوحة	دَوْحَة
دهم	دَهَّم,دَهَم-َ,أَدْهَم,دَهْم
دنوت	دَنا
دلي	دَلّ,دَلَّى
دللتك	دَلّ,دَلَّل
دلكه	دَلَك,دَلْك,دَلَّك
دلاء	NOTFOUND
دقيق	دَقِيق
دفعنا	دَفْع,دَفَع-َ
دغفل	NOTFOUND
دعوتم	دَعا
دريك	دُرِّيّ
درها	دَرّ,دُرّ
درقة	دَرَقَة,دَرَق
درعين	NOTFOUND
درجته	دَرَّج,دَرَجَة,دَرَج
درج	دُرْج,دَرَّج,دَرَج,دَرْج
درت	دَرَى-ِ,دَرّ-ُِ,دار
دراجا	دُرّاج
دخنه	دُخْن,داخ,دَخَّن,دُخْنَة,دَخَن
دخلن	دَخَل
دخلتم	دَخَل
دجاجا	دَجاج
دثروني	دَثَّر
دالا	دالّ,دال
داعيا	داعِي,داعَى
داعي	داعِي,داعَى
دارها	دار,دارّ
دارة	دار,دارَة,دارّ
داخلة	داخِلَ,داخِل,داخَل,داخِلَة
داخرين	NOTFOUND
دابي	NOTFOUND
دابتي	دابَّة
خيلهم	أَخْيَل,خَيَّل,خَيْل
خيلك	أَخْيَل,خَيَّل,خَيْل
خيبتنا	خَيْبَة,خَيَّب
خنقا	خَنَق,خَنْق
خنزير	خِنْزِير
خموشا	خَمْش
خمورهم	خَمْر
خمسها	خَمَّس,خُمْس,خَمْس
خمدت	خَمَد
خليت	خَلَّى
خلقناه	خَلَق,خَلَّق
خلقنا	خَلْق,خَلِق-َ,خِلْقَة,خَلُق,خَلَق,خُلْق,خَلَّق
خلفهما	خِلْف,خَلْف,خُلْف,خَلْفَ,خَلَف,خَلَّف
خلفاء	خَلِيفَة
خلخالها	خَلْخال
خلتان	NOTFOUND
خلبة	خِلْب,خَلَب,خُلَّب,خَلَب-ِ
خلاصه	خُلاصَة,خَلاص
خفيا	خَفِي-َ,خَفِيّ,خَفَى-ِ
خفاء	خَفاء
خطيطه	NOTFOUND
خطيئتك	خَطِيئَة
خطوه	خَطا,خَطَّى,خَطْوَة,خَطّ,خَطْو
خطبتين	خُطْبَة
خطباني	خَطَب
خطاياك	خَطِيئَة
خطاما	خِطام
خطاء	خَطَأ
خصي	خَصِيّ,خَصّ,خُصْيَة,خَصَى-ِ,خُصّ
خصومتهم	خُصُومَة
خصمهم	خَصْم,خَصَم-ِ
خصا	خَصّ,خُصّ
خشخشة	خَشْخَشَة,خَشْخَش
خشبه	خَشَب
خشبا	خَشَب,خَشَّب
خزيرة	NOTFOUND
خزير	NOTFOUND
خزق	خَزَق-ِ,خَزْق,خَزَّق
خز	خَزّ
خريف	خَرِيف
خريتا	خِرِّيت
خروجها	خُرُوج
خرق	أَخْرَق,خِرْقَة,خَرْق,خَرَق-ُِ
خرصتم	خَرَص
خرصا	خِرْص,خَرَص
خرص	خِرْص,خَرَص
خردلة	خَرْدَل
خرثي	NOTFOUND
خربة	خَرِب,خُرْبَة,خَرَب-ِ,خَرَّب
خرا	خَرّ,خَرّ-ُِ
خذيها	أَخَذ
خذوها	أَخَذ
خديه	خَدّ
خبرني	خَبُر,خَبَر,خَبَّر
خبرنا	خَبُر,خُبَر,خَبَر,خَبَّر
خبركم	خَبُر,خُبَر,خَبَر,خَبَّر
خبثة	خَبَث,خُبْث
خبالا	NOTFOUND
خبائها	خِباء
خبا	خَبا,خَبّ,خَبّ-َ
خانه	خانَة,خان
خامسة	خامِس
خالنا	خالّ,خال-َ,خال
خالفوهم	خالَف
خالفك	خالَف
خالص	خالَص,خالِص
خاطئة	خاطِئ
خاصمته	خاصَم
خازنها	خازِن
خادمنا	خادِم
خائفين	خائِف
حيطانها	حائِط
حويت	حَوَى-ِ
حولنا	حَوْلَ,حَوْل,حَوَّل
حوبتي	حَوْبَة
حوائج	حاجَة
حنفاء	حَنِيف
حميما	حَمِيم
حميم	حَمِيم
حملتم	حَمَل-ِ,حَمَّل
حمصي	حِمْص,حِمْصِيّ,حُمُّص
حمرات	NOTFOUND
حمحمة	حَمْحَم,حِمْحِم,حَمْحَمَة
حمادا	حَمّاد
حمئة	حَمَأ
حليم	حَلِيم
حلها	حِلّ,حَلّ
حلما	حِلْم,حَلَم,حُلْم,حَلُم,حُلُم
