فارمي	أُرَّم,إِرَم,رَمَى-ِ
عوذ	عَوْذ,عُوذَة,عَوَّذ,عَوَذ
عودهما	عُود,عَوَّد
عودتم	عَوَّد
عوامكم	عَوّام,عامَّة
عوام	عَوّام,عامَّة
عوادها	عَوّاد,عُوّاد
عواتقهم	عاتِق
عهودهما	عَهْد
عهدهما	عَهْد,عَهِد-َ
عهدتني	عَهِد-َ
عنمة	NOTFOUND
عنفني	عَنَّف
عنف	عُنْف,عَنَّف
عنصرهما	عُنْصُر
عنز	عَنْز
عندهن	عِنْدَ
عندما	عَنْدَم,عِنْدَما
عنبرة	عَنْبَر
عنبرا	عَنْبَر
عنبا	عِنَب
عنابن	NOTFOUND
عناءه	عَناء
عميق	عَمِيق
عمواس	NOTFOUND
عمنا	عَمّ,عِمْلاقِيّ,عام
عممني	عَمَّم
عملكما	عَمِل-َ,عَمَل
عملتموه	عَمِل-َ
عمكم	عَمّ
عمقها	عَمِيق,عَمَّق,عُمْق
عمشا	NOTFOUND
عمروالقاسم	NOTFOUND
عمرها	عَمَر,عَمُر,عَمَّر,عُمْر,عُمَر
عمرتين	NOTFOUND
عمرتكم	عَمَر,عُمْرَة,عَمُر,عَمَّر
عمرات	NOTFOUND
عمدن	عَمَّد,عَمَد-ِ
عمتاه	عَمَّة,عَمَّى
عمانيا	عُمانِيّ
عمالي	عُمّالِيّ,عامِل
عمالتي	عَمالَة
عمالة	عامِل,عَمالَة
عماتك	NOTFOUND
عماء	عَماء
عليي	عَلِيّ
علينقشه	NOTFOUND
عليما	عَلِيم
عليلة	عَلِيل
عليل	عَلِيل
عليقال	NOTFOUND
عليرجل	NOTFOUND
عليجبهته	NOTFOUND
عليبابي	NOTFOUND
علوجا	عِلْج
علوته	عَلا
علوت	عَلا
علوا	عُلُوّ,عَلا,عَلَّى
علمنيهن	NOTFOUND
علمناها	عَلِم-َ,عَلْمَن,عَلَّم
علمناه	عَلِم-َ,عَلْمَن,عَلَّم
علمتيها	NOTFOUND
علمتك	عَلِم-َ,عُلْمَة,عَلَّم
علمائنا	عالِم
علماؤهم	عالِم
علماؤنا	عالِم
علقوا	عَلِق,عَلَّق
علقام	NOTFOUND
علفه	عَلَف
علجان	NOTFOUND
علته	عَلا,عِلَّة,عال,عَلَّى
علتكم	عَلا,عِلَّة,عال,عَلَّى
علت	عَلا,عال-ِ,عال,عَلَّى
علاه	عَلاة,عَلَّى
علالي	عُلِيَّة
علالة	عُلالَة
علاجه	عِلاج
علاج	عِلاج
عكرمةقال	NOTFOUND
عكر	عَكِر-َ,عَكَر,عَكِر,عَكَّر
عكازة	عُكّاز,عُكّازَة
عكاز	عُكّاز
عك	عَكّ
عقيقته	عَقِيق
عقيفاء	NOTFOUND
عقير	NOTFOUND
عقوله	عَقْل,عَقُول
عقولنا	عَقْل,عَقُول
عقولة	عَقْل,عَقُول
عقلي	عِقال,عَقْل,عَقْلِيّ
عقلوا	عَقَل-ِ,عَقَّل
عقلنا	عِقال,عَقَل-ِ,عَقْل,عَقْلَن,عَقَّل
عقلك	عِقال,عَقْل,عَقَّل
عقلا	عِقال,عَقَل-ِ,عَقْل,عَقَّل
عقرته	عَقَّر
عقدتان	عُقْدَة
عقدا	عِقْد,عَقْد,عُقْدَة,عَقَّد,عَقَد-ِ
عقبنا	عَقِبَ,عُقْب,عَقَب,عَقَّب
عقابا	عُقاب,عِقاب
عقائص	عَقِيصَة
عفريت	عِفْرِيت
عفروه	عَفَر-ِ,عَفَّر
عفة	عَفّ,عَفّ-ِ,عِفَّة
عفازة	NOTFOUND
عظيمين	عَظِيم
عظهم	NOTFOUND
عظها	NOTFOUND
عظموا	عَظُم,عَظَّم
عظمه	عُظْم,عَظْم,عَظْمَة,عَظَّم
عظمته	عَظْمَة,عَظَّم
عظمت	عَظُم,عَظَّم
عظامي	عَظِيم,عَظْم,عِظامِيّ
عظامها	عَظِيم,عَظْم
عظامك	عَظِيم,عَظْم
عطنا	NOTFOUND
عطفيه	عِطْف
عطفها	عَطْف,عَطَّف,عِطْف,عِطاف
عطفه	عَطْف,عَطَّف,عِطْف,عِطاف,عَطْفَة
عطفتهم	عَطَّف,عَطْفَة
عطفة	عَطْف,عَطَّف,عِطْف,عَطْفَة,عِطاف
عطفا	عَطْف,عَطَّف,عِطْف,عِطاف,عَطَف-ِ
عطشت	عَطَّش,عَطِش-َ
عطست	عَطَس-ِ,عَطَّس
عطرا	عِطْر,عَطَّر,عَطِر
عطاشا	عَطْشان
عطار	عَطّار
عطائه	عَطاء
عطاؤه	عَطاء
عضوض	عَضُوض
عضه	عَضّ,عَضَّة,عَضّ-َ
عضلات	عَضَلَة
عضدا	عَضَد,عَضَّد,عَضُد,عَضْد
عضب	عَضْب
عصيرا	عَصِير
عصيدة	عَصِيدَة
عصيتيه	عُصَيَّة,عَصِيّ
عصيبة	عَصِيب
عصوه	عَصَى-ِ,عَصّ-َ
عصمه	عَصْم,عُصْمَة,عِصْمَة,أَعْصَم,عَصَم-ِ
عصمك	عَصْم,عَصَم-ِ,أَعْصَم
عصفت	عَصَف-ِ
عصره	عَصَر-ِ,عَصَّر,عَصْر
عصرتيها	NOTFOUND
عصبتهم	عَصَب-ِ,عَصَبَة,عَصَّب
عصاكم	عَصَى-ِ,عَصاً,عَصّ-َ
عصاة	عَصَى-ِ,عَصاة,عَصّ-َ,عَصاً,عاصِي
عصابتان	عِصابَة
عشيشية	NOTFOUND
عشيرة	عَشِيرَة,عَشِير
عشيتيهم	عَشِيَّة
عشيته	عَشَّى,عَشِيَّة
عشيتكم	عَشَّى,عَشِيَّة
عشيتئذ	NOTFOUND
عشي	عَشِي-َ,عُشّ,عَشَى,عَشَّى
عشائه	عَشاء,عِشاء
عشائرهم	عَشِيرَة
عشاؤهم	عَشاء,عِشاء
عسير	عَسِير
عسيتهم	عَسِيّ
عسقلان	عَسْقَل,عَسْقَلان
عسرك	عَسَّر,عَسِر,عُسْر,عَسَر
عساهم	عَسّ,عَسَى
عزيتهم	عَزَى-ِ,عَزَّى
عزورا	NOTFOUND
عزله	أَعْزَل,عَزَل-ِ,عَزْل,عُزْلَة
عززت	عَزَّز,عَزّ-ِ
عزب	عِزْبَة,عَزَب-ِ,أَعْزَب,عَزَّب,عَزَب
عريكة	عَرِيكَة
عريفا	عَرِيف
عريشك	عَرِيش
عريسا	عِرِّيس,عَرِيس
عريس	عِرِّيس,عَرِيس
عروقك	عِرْق
عروضه	عَرْض,عَرُوض
عروش	عَرْش
عروةعن	NOTFOUND
عرقهم	عَرَق,عِرْق,عَرِق-َ,عَرَّق
عرقت	عَرِق-َ,عَرَّق
عرقان	عِرْق,عَرْقان
عرفتني	عَرَّف,عَرَف-ِ
عرضي	عَرْضِيّ,عَرَض,عَرْض,عَرَضِيّ,عِرْض
عرضهم	عَرَض,عَرَض-ِ,عَرْض,عِرْض,عَرَّض
عرضتها	عُرْضَة,عَرْضَة,عَرَض-ِ,عَرَّض
عرضتم	عَرَض-ِ,عَرَّض
عرسوا	عَرَّس
عرجوا	عَرَج,عَرِج-َ,عَرَّج
عرجها	عَرَج,عَرَّج
عربهم	عَرَّب,عَرَبِيّ
عرب	عَرَّب,عَرَبِيّ
عراكا	عِراك
عرافا	عَرّاف
عرادة	عَرّادَة
عراجين	عُرْجُون
عرابة	عَرّاب
عذيري	NOTFOUND
عذقين	عِذْق
عذرها	عُذْر,عَذَر-ِ
عذره	عُذْرَة,عُذْر,عَذَر-ِ
عذرت	عَذَر-ِ
عذبوا	عَذَب-ِ,عَذَّب,عَذُب
عذبها	عَذَب-ِ,عَذَّب,عَذْب
عذبته	عَذَب-ِ,عَذَّب,عَذْب
عذبا	عَذَب-ِ,عَذَّب,عَذْب,عَذُب
عذابه	عَذاب
عذابنا	عَذاب
عديم	عَدِيم
عديد	عَدِيد
عديا	عَدَّى,عَدِيّ
عدوها	عَدّ,عَدَّى,عَدا,عَدُوّ,عَدْو
عدونا	عَدّ,عَدَّى,عَدا,عَدُوّ,عَدْو
عدوم	NOTFOUND
عدوت	عَدا
عدهن	عَدّ
عدلين	NOTFOUND
عدلوا	عَدَل-ِ,عَدَّل
عدده	عَدَد,عَدَّد
عددكم	عَدَد,عَدَّد
عدته	عَدّ,عُدَّة,عَدَّى,عِدَة,عَدا,عاد,عِدَّة
عدتم	عاد
عدتكم	عَدّ,عَدَّى,عُدَّة,عِدَة,عَدا,عاد,عِدَّة
عجيننا	عَجِين
عجينكم	عَجِين
عجينتها	عَجِينَة
عجينتكم	عَجِينَة
عجينا	عَجِين
عجيب	عَجِيب
عجولا	عِجْل,عَجُول
عجوزتين	عَجُوزَة
عجوزتان	عَجُوزَة
عجنا	عاج,عَجّ-ِ,عَجّ,عَجْن,عَجَن
عجلها	عَجَّل,عِجْل,عَجَل,عَجِل-َ
عجلني	عَجَّل,عَجِل-َ
عجلنا	عَجَّل,عِجْل,عَجَل,عَجِل-َ
عجلتموه	عَجَّل,عَجِل-َ
عجفا	عَجَف
عجزها	عَجْز,عَجُز,عَجَّز
عجزتم	عَجِز-َ,عَجُز,عَجَّز
عجبوا	عَجِب-َ,عَجَّب
عجبك	عَجَّب,عَجَب
عجال	عَجِيل
عجاب	عُجاب
عجائبه	عَجِيبَة
عج	عَجّ-ِ,عَجّ
عثيم	NOTFOUND
عثمانيا	عُثْمانِيّ
عثمانقال	NOTFOUND
عثكالا	NOTFOUND
عثرة	عَثْرَة,عَثَّر,عَثَر
عثران	NOTFOUND
عثر	عَثَّر,عَثَر
عثان	NOTFOUND
عتيقا	عَتِيق
عتيدتها	عَتِيد
عتودا	NOTFOUND
عتوا	عَتا,عُتُوّ
عتمنا	عَتَّم,عَتْم,عَتَم-ِ
عتر	NOTFOUND
عتا	عَتا
