تنورا	تَنُّور,تَنَوَّر,أَنْوَر,نَوَّر
تنازعوا	نازَع,تَنازَع
تنازعه	تَنازُع,نازَع,تَنازَع
تناتج	NOTFOUND
تميمعن	NOTFOUND
تميرات	NOTFOUND
تميد	ماد-ِ
تمنعي	مَنَع,تَمَنُّع
تمنعن	مَنَع
تملكه	مَلَك-ِ,تَمَلُّك,أَمْلَك,تَمَلَّك,مَلَّك
تمكني	تَمَكُّن,أَمْكَن,مَكَّن
تمكنه	تَمَكُّن,أَمْكَن,مَكَّن
تمكنا	تَمَكَّن,تَمَكُّن,أَمْكَن,مَكَّن
تمغط	مَغَّط,مَغَط-َ
تمعك	ماع-ِ,أَماع,مَعا,مَعَك-َ
تمعرا	أَمْعَر,تَمَعَّر,مَعِر-َ
تمطي	أَمْطَى,تَمَطَّى,مَطّ,مَطا
تمطات	NOTFOUND
تمشيها	أَمْشَى,مَشّ,مَشَّى,مَشَى-ِ
تمشطهن	تَمَشَّط,مَشَط-ُِ,مَشَّط
تمشطني	تَمَشَّط,مَشَط-ُِ,مَشَّط
تمشط	تَمَشَّط,مَشَط-ُِ,مَشَّط
تمش	أَمْشَى,مَشّ,مَشَّى,مَشَى-ِ
تمسون	أَمْسَى,مَسَى,وَمَس-ِ,مَسَّى,مَسّ-َ
تمسوا	أَمْسَى,مَسَى,وَمَس-ِ,مَسَّى,مَسّ-َ
تمسهما	أَمْسَى,مَسَى,وَمَس-ِ,مَسَّى,مَسّ-َ,ماس-ِ
تمسني	أَمْسَى,مَسَى,وَمَس-ِ,مَسَّى,ماس-ِ,مَسّ-َ
تمسكوا	مَسَك,تَمَسَّك,مَسَّك,أَمْسَك
تمسكتم	تَمَسَّك
تمسحوا	مَسَّح,تَمَسَّح,مَسَح-َ
تمزق	مَزَق-ِ,تَمَزُّق,مَزَّق,تَمَزَّق
تمرها	مار,مار-ِ,أَمار,تَمْر,أَمَرّ,مَرّ
تمراتي	تَمْر
تمده	أَمْدَى,ماد-ِ,مَدّ,أَمَدّ
تمحو	مَحا
تمحها	مَحَّى,ٱِمَّحَى,ماح-ِ,مَحا
تمثل	مَثَّل,مَثُل,تَمَثَّل,مَثَل,تَمَثُّل
تمتني	ٱِمْتَنّ,مَتَّن,أَمات,مَتَن,مات
تماما	تَمام
تمالي	أَمال
تماشي	ماشَى,تَماشَى
تمازحه	مازَح
تمازحنا	مازَح
تماريني	تَمْرِين,مارَى
تمارينا	تَمارَى,مارَى
تمار	أَمار,مارَى,تَمارّ
تمادت	تَمادَى
تماد	مادَى,مادّ,تَمادِي
تماثيلفلما	NOTFOUND
تماثل	ماثَل,تَماثُل,تَماثَل
تليهما	وَلِي-ِ,تَلّ
تلياها	وَلِي-ِ
تليانهما	وَلِي-ِ
تلوي	تَلَوَّى,أَلْوَى,تُلُوّ,لَوِي-َ,لَوَى-ِ,لَوَّى
تلووا	أَلْوَى,تَلَوَّى,لَوِي-َ,لَوَى-ِ,لَوَّى
تلوم	لام,تَلَوَّم,لَوَّم
تلوث	تَلَوَّث,تَلَوُّث,لاث,لَوَّث,لَوِث-َ
تلهيهم	لَهِي-َ,لَهَّى,لَها,أَلْهَى
تلهكم	لَهِي-َ,لَهَّى,لَها,أَلْهَى
تلكم	وَلِي-ِ,تَلّ,لَكَم,ذٰلِكَ
تلقيهم	لَقِي-َ,أَلْقَى,تَلَقِّي
تلقيه	لَقِي-َ,أَلْقَى,تَلَقِّي
تلقين	تَلْقِين,لَقِي-َ,أَلْقَى,تَلَقَّى
تلقوه	لَقِي-َ,أَلْقَى,تَلَقَّى
تلقتهم	تَلَقَّى
تلقاها	لَقِي-َ,تَلَقَّى
تلقاءه	تِلْقاء
تلق	لَقِي-َ,لاق-ِ,أَلْقَى,تَلَقِّي
تلفظهم	تَلَفَّظ,تَلَفُّظ,لَفَظ-ِ
تلف	تَلِف-َ,أَلْفَى,لَفّ,لاف,تَلَّف,تَلَف
تلغثونها	NOTFOUND
تلعنوه	لَعَن-َ
تلعنها	لَعَن-َ
تلعن	لَعَن-َ,لاع
تلعبون	لَعِب-َ
تلعبان	لَعِب-َ
تلعب	لَعِب-َ
تلطيخ	NOTFOUND
تلطمهن	لَطَم-َ
تلطخت	تَلَطَّخ
تلحقوهم	أَلْحَق,لَحِق-َ
تلجمي	لَجَّم,لَجَم,أَلْجَم
تلجئة	لَجَّأ,أَلْجَأ
تلتوي	ٱِلْتَوَى
تلتمع	ٱِلْتَمَع
تلتمس	ٱِلْتَمَس
تلتقي	ٱِلْتَقَى
تلتفتوا	ٱِلْتَفَت
تلتفت	ٱِلْتَفَت
تلتصق	ٱِلْتَصَق
تلتبس	ٱِلْتَبَس
تلت	لَتّ,تَلا
تلبي	لَبّ-َُ,لَبّ,لَبَّى
تلبسوها	تَلَبَّس,أَلْبَس,لَبَّس,لَبِس-َ
تلب	لَبّ-َُ,لَبّ,لاب,لَبَّى
تلاوة	تِلاوَة
تلاقيها	لاقَى,تَلاقِي
تلاعنهما	لاعَن,تَلاعَن
تلاحي	أَلاح,تَلاحَى
تلاحق	لاحَق,تَلاحَق
تلاء	NOTFOUND
تكيدوا	كاد-ِ
تكيدكم	كاد-ِ
تكونان	كان,كَوَّن
تكهنت	تَكَهَّن
تكملان	أَكْمَل,كَمَّل,كَمِل-َ,كَمَل
تكله	تُكَلَة,كال-ِ,وَكَل-ِ,أَكَلّ
تكلني	كال-ِ,وَكَل-ِ,أَكَلّ
تكلمي	كَلَّم,تَكَلُّم
تكلمهما	كَلَّم,تَكَلُّم,تَكَلَّم
تكلمهم	كَلَّم,تَكَلُّم,تَكَلَّم
تكلمها	كَلَّم,تَكَلُّم,تَكَلَّم
تكلمتما	تَكَلَّم
تكلماه	كَلَّم,تَكَلَّم
تكلفونيه	NOTFOUND
تكفينا	كَفّ,وَكَف-ِ,كَفَى-ِ
تكفه	كَفّ,وَكَف-ِ,كَفَى-ِ
تكفن	وَكَف-ِ,كَفَّن,كَفَن-ِ
تكفره	كَفَر-ِ,كَفَّر,أَكْفَر
تكفئها	أَكْفَأ
تكفؤا	NOTFOUND
تكشفت	تَكَشَّف
تكسي	تَكَسَّى,كَسِي-َ,كَسا,وَكَس-ِ,أَكْسَى
تكرهه	أَكْرَه,كَرِه-َ,كَرَّه,تَكَرُّه,تَكَرَّه
تكرم	تَكَرَّم,أَكْرَم,كَرَّم,كَرُم
تكرعوا	تَكَرَّع,كَرَع-َ
تكرره	كَرّ,كَرَّر
تكرار	تَكْرار
تكر	كَرا,كَرّ,كَرِي-َ,كَرَى-ِ,أَكْرَى
تكذبي	كَذَب-ِ,أَكْذَب,كَذَّب
تكذبوه	كَذَب-ِ,أَكْذَب,كَذَّب
تكذبان	كَذَب-ِ,أَكْذَب,كَذَّب
تكحل	تَكَحَّل,كَحَّل
تكثري	أَكْثَر,كَثَّر,كَثُر
تكتني	ٱِكْتَنّ,ٱِكْتَنَى,كَتّ-ِ,تَكّ,كَتَّن,كَتِن-َ,تَكّ-ِ
تكتحلي	ٱِكْتَحَل
تكبروا	كَبَّر,كَبَر,تَكَبَّر,أَكْبَر
تكبرن	كَبَّر,كَبَر,تَكَبَّر,أَكْبَر
تكبر	كَبَّر,كَبَر,تَكَبَّر,أَكْبَر,تَكَبُّر
تكافئونه	كافَأ
تكاري	كارَى
تكابوا	NOTFOUND
تقيه	وَقَى-ِ,تَقِيَّة,تَقِيّ
تقين	وَقَى-ِ,تَقَى-ِ
تقيمون	قَيَّم,أَقام
تقويم	تَقْوِيم
تقووا	أَقْوَى,تَقَوَّى,قَوَّى,قَوِي-َ
تقومون	قام,قَوَّم
تقولينها	قال
تقولهن	تَقَوُّل,قال
تقود	قاد
تقليد	تَقْلِيد
تقليب	تَقْلِيب
تقلها	قَلِي-َ,أَقَلّ,قَلا,قَلَى-ِ,قال,أَقال
تقلسون	قَلَّس,قَلَس-ِ
تقلدتها	تَقَلَّد
تقلدته	تَقَلَّد
تقلدت	تَقَلَّد
تقعوا	وَقَع-َ,أَقْعَى
تقعدين	أَقْعَد,قَعَد,قَعَّد
تقضيان	قَضَى-ِ,قَضَّى
تقضون	قَضّ,قَضّ-َ,أَقَضّ,قَضَّى,قَضَى-ِ
تقضوا	قَضّ,تَقَضَّى,أَقَضّ,قَضّ-َ,قَضَّى,قَضَى-ِ
تقضمه	قَضَم-ِ,قَضِم-َ
تقض	قَضّ,أَقَضّ,قَضّ-َ,قاض-ِ,قَضَى-ِ,قَضَّى,قاض
تقصير	تَقْصِير
تقصوا	أَقْصَى,قَصا,قَصّ,تَقَصَّى,قَصِي-َ,وَقَص-ِ
تقصف	تَقَصَّف,قَصَف-ِ
تقصع	تَقَصَّع,قَصَع-َ
تقص	أَقْصَى,قَصا,قَصّ,تَقَصِّي,قَصِي-َ,وَقَص-ِ
تقسمون	أَقْسَم,قَسَّم,قَسَم-ِ
تقرها	أَقَرّ,وَقَر-ِ,قَرَى-ِ,قَرا,قَرّ-َِ
تقرنوا	أَقْرَن,قَرَن-ِ
تقربوهم	قَرَّب,تَقَرَّب,قَرِب-َ,قَرُب
تقربهم	قَرَّب,تَقَرَّب,قَرِب-َ,تَقَرُّب,قَرُب
تقربنه	قَرَّب,تَقَرَّب,قَرِب-َ,قَرُب
تقرئني	أَقْرَأ
تقرءوا	NOTFOUND
تقذف	قَذَّف,قَذَف-ِ
تقذرهم	قَذَّر
تقذره	قَذَّر
تقديم	تَقْدِيم
تقدمين	أَقْدَم,قَدِم-َ,قَدَّم
تقدموها	تَقَدَّم,أَقْدَم,قَدَّم,قَدِم-َ
تقدس	قَدُس,تَقَدَّس,قَدَّس
تقدرونها	قَدَّر,قَدَر
تقدرون	قَدَّر,قَدَر,قَدِر-َ,قَدَر-ِ
تقحم	أَقْحَم,قَحَم
تقتنص	ٱِقْتَنَص
تقتلونني	قَتَل,قَتَّل
تقتلون	قَتَّل,قَتَل
تقتلهم	قَتَل,قَتَّل
تقتلن	قَتَّل,قَتَل
تقتطع	ٱِقْتَطَع
تقتسم	ٱِقْتَسَم
تقترص	NOTFOUND
تقتحمون	ٱِقْتَحَم
تقتتلون	ٱِقْتَتَل
تقبيل	NOTFOUND
تقبلت	تَقَبَّل
تقبضت	تَقَبَّض
تقبحوهن	قَبَّح
تقالوها	تَقالّ
تقاضاها	تَقاضَى
تقاسمت	تَقاسَم
تقارف	قارَف
تقاذفت	تَقاذَف
تقادم	تَقْدِمَة,تَقادُم,تَقادَم
تفي	تُفّ,وَفَى-ِ
تفوتيني	فَوَّت,فات
تفوتينا	فات,فَوَّت
تفوتني	فات,فَوَّت
تفوتنكم	NOTFOUND
تفهمون	فَهِم-َ,أَفْهَم,فَهَّم
تفهمه	تَفَهَّم,فَهِم-َ,أَفْهَم,تَفَهُّم,فَهَّم
تفله	فَلّ,فَلَى-ِ,تَفِل,فَلَّى,تُفْل,تَفَل
تفلح	فَلَح-َ,أَفْلَح
تفلتون	أَفْلَت,فَلَت-ِ
تفلتن	فَلَت-ِ,أَفْلَت,تَفَلَّت,تَفَل
تفلتت	تَفَلَّت
تفلتا	تَفِل,تَفَلُّت,فَلَت-ِ,تَفَلَّت,أَفْلَت,تَفَلَّى,تَفَل
تفلات	تَفِل
تفقهه	فَقَّه,فَقِه-َ,تَفَقَّه,أَفْقَه
تفقه	فَقَّه,فَقِه-َ,أَفاق,فاق,أَفْقَه,فَقُه,تَفَقَّه
تفقع	فَقَّع,تَفَقَّع,فَقَع-َ
تفعلين	فَعَل-َ
تفعلن	فَعَل-َ
تفطنوا	تَفَطَّن,فَطُن,فَطَن,فَطِن-َ
تفضلها	تَفَضُّل,تَفَضَّل,فَضَّل,أَفْضَل
تفضلان	فَضَّل,فَضَل,أَفْضَل
تفسر	فَسَّر
تفسدوها	فَسَّد,فَسَد,أَفْسَد
تفسدهم	فَسَّد,فَسَد,أَفْسَد
تفريقهما	تَفْرِيق
تفريطهم	تَفْرِيط
تفري	فَرَّى,أَفْرَى,وَفَر-ِ,أَفَرّ,فَرَى-ِ,تَفَرَّى,فَرّ-ِ
تفركه	فَرَك,فَرَّك
تفرش	فَرَش,فَرَّش,فَرَش-ِ
تفردوا	فَرَّد,تَفَرَّد,أَفْرَد
تفرجوا	فَرَّج,أَفْرَج,تَفَرَّج
تفجؤهم	NOTFOUND
تفتينا	فَتّ,أَفْتَى
تفتنوها	فَتَن-ِ,أَفْتَن
تفتنه	فَتَن-ِ,أَفْتَن,فات
تفتنني	فَتَن-ِ,أَفْتَن,فات
تفتنا	ٱِفْتَنّ,فَتّ,أَفْتَن,تَفّ-ِ,فات,فَتَن-ِ,أَفْتَى,فَتِي-َ
تفترقون	ٱِفْتَرَق
تفترض	ٱِفْتَرَض
تفترش	ٱِفْتَرَش
تفتخر	ٱِفْتَخَر
تفتتن	ٱِفْتَتَن,فَتّ,ٱِفْتات,فَتَّت,تَفَتَّت
تفتتح	ٱِفْتَتَح
تفتات	ٱِفْتات
تفارق	تَفارَق,فارَق
تفاخروا	فاخَر,تَفاخَر
تف	تَفّ-ِ,وَفَى-ِ,تُفّ
تغيير	تَغْيِير
تغيضها	غاض-ِ
تغيري	غَيَّر,تَغَيُّر,أَغار
تغيره	غَيَّر,تَغَيُّر,أَغار
تغيرن	غَيَّر,تَغَيَّر
تغيبت	تَغَيَّب
تغول	غال
تغنيه	أَغْنَى,غَنّ-َ,أَغَنّ,غَنَّى
تغنيت	تَغَنَّى
تغميضك	NOTFOUND
تغليس	NOTFOUND
تغلي	وَغَل-ِ,غَلا,غَلَّى,أَغْلَى,غَلّ-ِ,غَلَى-ِ,غَلّ,أَغَلّ
تغلق	غَلَق-ِ,أَغْلَق
تغلس	غَلَّس
تغفلن	غَفَل,أَغْفَل,غَفَّل
تغطي	غَطا,غَطّ,غَطَّى,أَغَطّ,تَغَطَّى
تغشاه	غَشّ,غَشِي-َ
تغشاكم	غَشّ,غَشِي-َ
تغسلن	غَسَل-ِ,غَسَّل
تغزي	غَزا,أَغَزّ
تغرمني	غَرَّم,أَغْرَم
تغرق	تَغَرَّق,أَغْرَق,غَرَّق,غَرِق-َ
تغرس	أَغْرَس,غَرَس-ِ
تغدي	غَدِي-َ,تَغَدَّى,غَدا,غَدَّى
تغتسلي	ٱِغْتَسَل
تغتسلان	ٱِغْتَسَل
تغتابوا	ٱِغْتاب
تغال	غالَى
تعينونا	أَعان,عَيَّن
تعينه	أَعان,عَيَّن,وَعَى-ِ
تعيش	عَيَّش,تَعَيَّش,أَعاش,عاش
تعيروهم	أَعار,عار-ِ,عَيَّر
تعيره	أَعار,عَيَّر,عار-ِ
تعيذني	أَعاذ
تعيدني	عَيَّد,أَعاد
تعيد	عَيَّد,أَعاد
تعيث	عَيَّث,عاث
تعيبون	عاب-ِ,عَيَّب
تعولوا	عَوَّل,عال,أَعْوَل
تعوذه	تَعَوَّذ,عاذ,عَوَّذ
تعوذت	تَعَوَّذ
تعودوا	تَعَوَّد,عاد,عَوَّد
تعنين	أَعان,عَنَى-ِ,تَعَنَّى,عَنَّى,عَنا,عَنّ
تعنون	أَعان,عَنْوَن,عَنَى-ِ,عَنَّى,عَنا,عَنّ
تعملوا	عَمِل-َ,أَعْمَل
تعملان	عَمِل-َ,أَعْمَل
تعملا	عَمِل-َ,أَعْمَل,تَعَمُّل
تعمرينه	عَمَر,أَعْمَر,عَمُر,عَمَّر
تعمدوا	عَمَّد,تَعَمَّد,عَمَد-ِ
تعليمه	تَعْلِيم
تعليم	تَعْلِيم
تعلي	عَلا,أَعْلَى,عَلَّى
تعلوهم	عَلا,أَعْلَى,عَلَّى
تعلوه	عَلا,أَعْلَى,عَلَّى
تعلوني	عَلا,أَعْلَى,عَلَّى
تعلقتها	NOTFOUND
تعقلون	عَقَل-ِ,عَقَّل
تعقلوا	عَقَل-ِ,عَقَّل,تَعَقَّل
تعفوا	عَفّ-ِ,عَفَّى,عَفا,أَعْفَى
تعظيمها	تَعْظِيم
تعظهن	وَعَظ
تعظم	عَظُم,أَعْظَم,تَعَظَّم,عَظَّم
تعطيهم	أَعْطَى
تعطيها	أَعْطَى
تعطون	أَعْطَى
تعطها	أَعْطَى
تعطلت	تَعَطَّل
تعصي	عَصَى-ِ,تَعَصَّى,عَصّ-َ
تعصني	عَصَى-ِ,عَصّ-َ
تعشوا	عَشِي-َ,أَعْشَى,عَشَّى,عَشا,تَعَشَّى
تعشش	عَشَّش,تَعَشَّش
تعشروا	عَشَّر
تعسا	عَسّ,تَعْس,تَعَس-َِ,وَعَس-ِ
تعززا	تَعَزَّز,عَزَّز
تعزروا	عَزَر-ِ,عَزَّر
تعريض	تَعْرِيض
تعري	وَعَر-ِ,تَعَرَّى,عَرّ,عَرَّى,عَرا,تَعَرِّي,عَرِي-َ
تعرقها	أَعْرَق,تَعَرَّق,عَرِق-َ,تَعَرُّق,عَرَّق
تعرق	أَعْرَق,تَعَرَّق,عَرِق-َ,تَعَرُّق,عَرَّق
تعرفين	عَرَّف,تَعَرُّف,عَرَف-ِ
تعرفوني	عَرَّف,عَرَف-ِ
تعرفونه	عَرَّف,عَرَف-ِ
تعرفوا	عَرَّف,تَعَرَّف,عَرَف-ِ
تعرفها	عَرَّف,تَعَرُّف,عَرَف-ِ
تعرضا	أَعْرَض,تَعَرَّض,تَعَرُّض,عَرَض-ِ,عَرَّض
تعرش	عَرَش,عَرَّش,تَعَرَّش
تعرب	تَعَرَّب,عَرَّب,أَعْرَب
تعذر	أَعْذَر,تَعَذَّر,تَعَذُّر,عَذَر-ِ
تعدوها	عَدّ,عَدَّى,أَعْدَى,عَدا,تَعَدَّى,وَعَد-ِ,أَعَدّ
تعدوه	عَدّ,عَدَّى,أَعْدَى,عَدا,تَعَدَّى,وَعَد-ِ,أَعَدّ
تعدونها	عَدّ,عَدَّى,أَعْدَى,عَدا,وَعَد-ِ,أَعَدّ
تعدوننا	عَدّ,عَدَّى,أَعْدَى,عَدا,وَعَد-ِ,أَعَدّ
تعدونا	عَدّ,عَدَّى,أَعْدَى,عَدا,تَعَدَّى,وَعَد-ِ,أَعَدّ
تعدهم	عَدّ,عَدَّى,أَعْدَى,أَعاد,عَدا,عاد,وَعَد-ِ,أَعَدّ
تعدلوا	عَدَل-ِ,عَدَّل,تَعَدَّل
تعدد	عَدّ,تَعَدَّد,عَدَّد,أَعَدّ,تَعَدُّد
تعجلون	عَجَّل,أَعْجَل,عَجِل-َ
تعجلا	عَجَّل,أَعْجَل,تَعَجَّل,عَجِل-َ
تعجبوا	عَجِب-َ,تَعَجَّب,أَعْجَب,عَجَّب
تعجبهم	تَعَجُّب,أَعْجَب,عَجَّب
تعتمروا	ٱِعْتَمَر
تعتل	ٱِعْتَلَى,عَتَل,ٱِعْتَلّ
تعتكف	ٱِعْتَكَف
تعتقهم	عَتُق,أَعْتَق,ٱِعْتاق
تعتقه	عَتُق,أَعْتَق,ٱِعْتاق
تعتصموا	ٱِعْتَصَم
تعتريهم	ٱِعْتَرَى
تعتذروا	ٱِعْتَذَر
تعتذر	ٱِعْتَذَر
تعبدوه	عَبَد,عَبَّد
تعبدها	عَبَد,عَبَّد,تَعَبُّد
تعبثان	عَبِث-َ
تعبا	تَعْب,وَعَب-ِ,تَعِب-َ,عَبّ
تعب	عَبا,عَبَّى,تَعْب,وَعَب-ِ,تَعِب-َ,عَبّ,عاب-ِ
تعاهدوني	عاهَد,تَعاهَد
تعاهدها	عاهَد,تَعاهَد
تعاهدا	عاهَد,تَعاهَد
تعاليا	تَعالَى
تعالجني	عالَج,تَعالَج
تعالت	تَعالَى
تعاظم	تَعاظَم
تعاطس	NOTFOUND
تعاجيب	NOTFOUND
تظهرون	أَظْهَر,ظَهَر-َ,ظَهَّر
تظلني	أَظَلّ,ظَلّ-َ
تظلموا	تَظَلَّم,ٱِظَّلَم,أَظْلَم,ظَلَم-َِ
تظل	أَظَلّ,ظَلّ-َ
تظاهرت	تَظاهَر
تظاهران	ظاهَر,تَظاهُر
تظاهر	ظاهَر,تَظاهَر,تَظاهُر
تطيين	NOTFOUND
تطيقونه	أَطاق
تطيقوا	أَطاق
تطيف	طَيَّف,طاف-ِ,أَطاف
تطيعوه	أَطاع
تطوعت	تَطَوَّع
تطوافا	تَطْواف
تطهرت	تَطَهَّر
تطمس	طَمَس-ِ
تطلقوا	طَلَق,طَلَّق,أَطْلَق
تطلقهن	طَلَق,طَلَّق,تَطَلُّق,أَطْلَق
تطلقت	NOTFOUND
تطلبني	تَطَلَّب,طَلَب
تطفا	NOTFOUND
تطفئيه	طَفِئ-َ,أَطْفَأ
تطغيهن	طَغَى-َ,طَغا
تطعه	أَطاع,طاع
تطعمينيه	NOTFOUND
تطعموه	تَطَعَّم,أَطْعَم,طَعَّم,طَعِم-َ
تطعمون	أَطْعَم,طَعَّم,طَعِم-َ
تطع	أَطاع,طاع
تطرحهم	طَرَّح,طَرَح-َ,ٱِطَّرَح,تَطَرَّح
تطرح	طَرَّح,طَرَح-َ,ٱِطَّرَح,تَطَرَّح
تطحنها	طاح,أَطاح,طَحَن-َ
تطحن	طاح,أَطاح,طَحَن-َ,طاح-ِ
تطبخوا	طَبَخ-َُ
تطبخ	طَبَخ-َُ
تطاه	NOTFOUND
تضيق	ضَيَّق,ضاق
تضيفت	NOTFOUND
تضيع	ضاع-ِ,أَضاع,ضَيَّع
تضير	ضار-ِ
تضمه	ضام-ِ,ضَمّ
تضلون	ضَلّ,أَضَلّ
تضلني	ضَلّ,أَضَلّ
تضعي	وَضَع
تضعوه	وَضَع
تضعون	وَضَع
تضعهن	ضاع-ِ,وَضَع,أَضاع
تضعه	ضاع-ِ,وَضَع,أَضاع
تضطروا	ٱِضْطَرّ
تضطجع	ٱِضْطَجَع
تضرعت	تَضَرَّع
تضربوهن	ضَرَب,أَضْرَب,ضَرَّب
تضربها	ضَرَب,أَضْرَب,ضَرَّب
تضحكون	ضَحِك-َ,أَضْحَك
تضحكوا	ضَحِك-َ,أَضْحَك
تضايقه	ضايَق
تضايق	تَضايَق,ضايَق
تضاهون	ضاهَى
تضاغطوا	NOTFOUND
تضاحكك	تَضاحَك
تصيبوا	أَصاب
تصيبها	أَصاب
تصيبني	أَصاب
تصيبن	NOTFOUND
تصومونه	صام
تصومون	صام
تصور	تَصَوُّر,تَصَوَّر,صَوَّر
تصوبنا	صَوَّب,صَوْبَن
تصنعي	تَصَنُّع,صَنَّع,تَصَنُّعِيّ,صَنَع-َ
تصنعوا	صَنَّع,تَصَنَّع,صَنَع-َ
تصنعت	تَصَنَّع
تصليب	تَصْلِيب
تصلحي	صَلُح,صَلَّح,أَصْلَح
تصلبني	صَلَب-ِ,صَلُب,تَصَلَّب,صَلَّب
تصفيقها	تَصْفِيق
تصفيري	تَصْفِير
تصفيحهم	تَصْفِيح
تصفها	صَفا,صَفَّى,أَصْفَى,صَفّ,وَصَف-ِ
تصفق	صَفَق-ِ,أَصْفَق,صَفَّق,صَفَق
تصفره	صَفَر-ِ,أَصْفَر,ٱِصْفَرّ,صَفَّر
تصعدون	صَعِد-َ,أَصْعَد,صَعَّد
تصرف	تَصَرَّف,تَصَرُّف,صَرَّف,صَرَف-ِ
تصرعها	صَرَع-َ
تصرخ	صَرَخ
تصديقه	تَصْدِيق
تصدية	تَصَدِّي,أَصَدّ,صَدّ,تَصْدِيَة,أَصْدَى,صَدَّى
تصدقوهم	تَصَدَّق,صَدَّق
تصدقون	صَدَق,صَدَّق
تصدقني	تَصَدَّق,صَدَّق
تصدقتم	تَصَدَّق
تصدر	تَصَدَّر,صَدَّر,تَصَدُّر,أَصْدَر,صَدَر
تصخبوا	صَخِب-َ
تصخب	صَخِب-َ
تصحبني	صَحِب-َ,أَصْحَب
تصحبنا	صَحِب-َ,أَصْحَب
تصح	صَحّ-ِ,صاح-ِ,أَصْحَى,صَحَّى,صَحِي-َ,صَحا
تصبين	تَصْبِين,وَصَب-ِ,صَبّ,صَبا,صَبِي-َ,صَبّ-َ,صَبَّى,تَصَبَّى
تصبون	صَبّ,وَصَب-ِ,صَبا,صَبِي-َ,صَبّ-َ,صَبَّى
