الجنين	جَنِين
ينطف	نَطَف
ينصب	أَنْصَب,نَصَّب,نَصَب,نَصِب-َ,ٱِنْصَبّ
يمسكها	مَسَك,مَسَّك,أَمْسَك
يلحق	أَلْحَق,لَحِق-َ
يكفيني	كَفَى-ِ
يكرهه	أَكْرَه,كَرِه-َ,كَرَّه
يقطعها	قَطَع-َ,قَطَّع,أَقْطَع
يفترقا	ٱِفْتَرَق
يفتتح	ٱِفْتَتَح
يغدو	غَدا
يعقل	عَقَل-ِ,عَقَّل
يطوفوا	طاف,طَوَّف
يسوي	سَوَّى,سَوِي-َ
يستوفيه	ٱِسْتَوْفَى
يراك	رَأَى-َ
يدعوني	ٱِدَّعَى,دَعّ-َ,وَدَع-َ,دَعا
يدخلني	أَدْخَل,دَخَل
يخرجوا	خَرَج,أَخْرَج,خَرَّج
يخرجه	خَرَّج,أَخْرَج
يختلي	ٱِخْتَلَى
يحتبي	ٱِحْتَبَى
يتاخر	NOTFOUND
يبولن	بَوَّل
ياوي	أَوَى-ِ
ويمسي	أَمْسَى,مَسَى,مَسَّى
ويقاتل	قاتَل
ويعلي	أَعْلَى,عَلَّى
ووزن	وَزْن,وَزَن-ِ
ونصب	وَصَب-ِ,صَبّ,نَصَّب,أَصاب,نَصْب,نُصْب,صَبا,صَبِي-َ,صَبّ-َ,نُصْبَ,نَصَب,صَبَّى,نَصِب-َ
ومما	مِمّا
ومضي	مَضَّى,مُضِيّ,مَضّ,مَضَى-ِ
ومسروق	مَسْرُوق
وليقطعهما	قَطَع-َ,قَطَّع,أَقْطَع
وللرسول	رَسُول
ولكنهما	لٰكِنَّ,كَنّ
وكثير	كَثِير
وكثر	كُثْر,ثَرّ,كَثَّر,كَثُر
وقيس	قَيَّس,قَيْس
وقتاله	قَتّال,قِتال,قاتِل
وفيما	فِيما
وعمل	عَمِل-َ,عَمَل
وعليهم	عَلِيّ,عَلَى
وعروة	عُرْوَة,عَرّ,عَرَّى,عَرا
وصوم	صائِم,صَوْم
وسمر	أَسْمَر,سَمَر,سَمُر,سَمَّر
وزوجها	زَوَّج,زَوْج
ورقها	وَرَق,رَقّ,رِقّ,وَرَّق
ورث	وَرِث-ِ,وَرَّث,وِرْث,رَثّ-ِ,رَثّ
وذا	ذُو
وحسابهم	حِساب
وتؤتي	آتَى
وبينا	يِن,بَيَّن,بَيْنَ,بَيِّن
وبعضهم	عَضّ,بَعَّض,بَعْض
واوما	أُوم
وانهما	إِنَّ,وَنَى-ِ,آن,أَنّ-ِ,أَنَّ
والمقتول	مَقْتُول
والمستوشمة	NOTFOUND
والكتم	كَتْم
والصف	صَفّ
والشر	شَرّ
والذهب	ذَهَب
والده	وَلَد-ِ,والِد,أَلَدّ,لَدّ
والدرهم	دِرْهَم
والحر	حُرّ,حَرّ
والحج	حَجّ
واعراضكم	عَرَض,إِعْراض,عِرْض
وازواجه	زَوْج
وارسلت	أَرْسَل
واردف	أَرْدَف,رَدِف-َ,رَدَف
واذن	أَذِن-َ,أَذَّن,آذِن,إِذْن,أُذُن,إِذَن,آذَن,شَنّ
واذ	إِذ
هديت	هَدَى-ِ
هات	NOTFOUND
نقتل	قَتَّل,قَتَل
نفاسها	نِفاس
نصيبه	أَصاب,نَصِيب
نصفه	صَفا,نَصَف,صَفَّى,أَصْفَى,نِصْف,صَفّ,وَصَف-ِ,نَصَّف,نَصَفَة
نسلم	سَلَّم,أَسْلَم,سَلِم-َ
نستحمله	NOTFOUND
نحل	نَحَل-َ,أَحَلّ,أَحال,نَحِيل,حَلُو,نَحُل,نَحَل-َُ,نَحِل-َ,ناحِل,حَلّ-ِ,حَلَى,حَلَّى,حَلِي-َ,نَحْل,نِحْلَة,حال,حَلّ
نبيك	نَبِيّ
نبدا	NOTFOUND
نافلة	أَفَل,نافِلَة
ناصيته	ناصِيَة
ناجية	ناجِي
ميراثه	مِيراث
مولاه	مَوْلاة,مَوَّل,مَوْلَى
مناكير	NOTFOUND
ملوك	مَلِك
معونة	مَعُونَة,مَعا
معروفا	مَعْرُوف
معادن	مَعادِن,مَعْدِن
مصبوغا	مَصْبُوغ
مشربة	مَشْرَب
مسكنه	مَسْكَن,مَسَك,مَسْكَنَة,مُسَكِّن,مَسَّك
مخيمرة	NOTFOUND
مختار	مُخْتار
مخارق	NOTFOUND
محدثا	مُحْدَث
مجهول	مَجْهُول
مجتمع	مُجْتَمَع,مُجْتَمِع
متكئ	مُتَّكِئ
متقاربة	مُتَقارِب
مبرور	مَبْرُور
مالكا	مالِك
ماؤه	ماء
ليصل	صال,صَلَّى,صَلَى-ِ,وَصَل-ِ,صَلِي-َ,أَصْلَى
ليخرج	خَرَج,خَرَّج,أَخْرَج
لنبيه	نَبِيّ,نَبِيه
للقوم	قَوْم
للاعقاب	عُقْب
لكعب	كَعْب,كَعَّب
لقيتموهم	لَقِي-َ
لزوجها	زَوَّج,زَوْج
لربنا	رَبّ,راب-ِ,رُبّ,راب
لبلال	بِلال
لانظر	نَظَر
لامرتهم	آمَر,إِمْرَة,أَمَر,أَمَّر,أَمَرّ,أَمار,آمِر
كنوز	كَنْز
كلتيهما	كِلَّة,كِلا
كساء	كِساء
كذبة	كِذْب,كَذَّب,كَذَب-ِ,كِذْبَة
كتابي	كاتِب,كُتّاب,كِتاب,كِتابِيّ
كبشين	كَبْش
كانهم	آن,كان
كانك	آنُك,آن,كان
كافورا	كافُور
كافور	كافُور
قيمته	قِيمَة,قَيِّم,قَيَّم
قيراطا	قِيراط
قومنا	قَوْم,قَوَّم
قلن	قال
قلة	قِلَّة,قِلّ,قُلَّة,قَلَّة
قربة	قَرَّب,قُرْبَة,قَرِب-َ,قَرُب,قُرْبَ,قِراب,قُرْب,قِرْبَة
قراها	قَرّ-َِ,قِرَى,قَرَى-ِ,قَرْيَة,قَرا
قتلني	قَتَّل,قَتَل
قتلن	قَتَّل,قَتَل
قتلتم	قَتَّل,قَتَل
قابل	قابِل,قابَل
فيقتله	قَتَّل,قَتَل
فيركع	رَكَّع,رَكَع-َ,أَرْكَع
فيدعو	دَعا
فيبعث	بَعَث-َ
فوجدا	وَجَد-ِ
فلك	فُلّ,لُكّ,فَلّ,لِ-,فَلَك,لَكّ
فقير	قِير,فَقِير,قَيَّر
فعملت	عَمِل-َ
فطلب	طَلَب
فضلي	فَضْل,فُضْلَى
فصف	صَفّ
فصدقه	صَدَقَة,صَدَّق,صِدْق
فركبت	رَكِب-َ,رَكَّب
فرجعنا	رَجَّع,رَجَع-ِ,رَجْع
فخيرها	خَيْر,فَخِير,خَيِّر,خَيَّر
فخذوه	أَخَذ
فحدثه	حَدَث
فحبسه	حِبْس,حُبْسَة,حَبْس,حَبَس-ِ
فانصرفت	ٱِنْصَرَف
فاقرءوا	NOTFOUND
فاعلمهم	أَعْلَم,عَلَّم,عَلِم-َ
فاعطوا	أَعْطَى
فاعاد	عَدُوّ,عادَى,أَعاد
فاضطجعت	ٱِضْطَجَع
فاصلي	أَصَلَة,أَصْل,صَلَّى,صَلَى-ِ,أَصْلِيّ,صَلِي-َ,أَصْلَى,فاصِل
فاجتمع	ٱِجْتَمَع
غنمتم	غَنَّم,غَنِم-َ
غضبي	غَضِب,غَضَب,غَضْبان
غزاها	غَزا
عينك	عَيْن,عَيَّن
علمي	عِلْمِيّ,عَلَم,عِلْم
عقال	عِقال,عاقِل
عفا	عَفّ,عَفّ-ِ,عَفا
عض	عَضّ-َ,عَضّ
عصاني	عَصَى-ِ,عَصّ-َ
عسيفا	NOTFOUND
عريان	عُرْيان
عدن	عاد,عَدْن
عارم	عارِم
عادت	عاد,عادَى
عاجل	عاجِل,عاجَل
عابدون	عابِد
طوي	طَوَى,طَوَى-ِ
طلقني	طَلَق,طَلَّق
طعمة	طُعْمَة,طَعْم,طَعَّم,طَعِم-َ,طُعْم
طاهر	طاهَر,طاهِر
ضعفة	ضِعْف,ضُعْف,ضَعِيف,ضَعَّف
ضرار	NOTFOUND
ضامن	ضامِن
صنعاء	صَنْعاء
صمت	صَمْت,صَمَت,صَمّ,صام,صَمَّت,صَمِت
صفراء	أَصْفَر
صدقا	صَدَق,صَدَّق,صِدْق
صحوا	صَحِي-َ,صَحْو,صَحّ-ِ,صَحَّى,صَحا
صادق	صادَق,صادِق
شنوءة	NOTFOUND
شكوا	شَكا,شَكّ,شَكْو
شفتيه	شِفْت,شَفَة
شركا	شِرْك,شَرِك-َ,شَرَك
شرفا	شَرَف,شَرَّف,شَرُف
شرار	شَرّار,شَرارَة
شحم	شَحُم,شَحِم,شَحَّم,شَحْم
شبهه	شَبَّه,شُبْهَة,شَبَه,شِبْه
شاتي	شاة,شاتِي
سهمي	سَهْم
سموا	سَمّ,سَما,سُمُوّ,سَمَّى
سمعها	سَمَّع,سَمِع-َ,سَمْع
سماها	سَمّ,سَمَّى
سلعته	سَلِع-َ,سِلْعَة
سريره	سَرِيرَة,سَرِير
زرير	NOTFOUND
ركوب	رُكُوب,رَكُوب
رقي	رَقّ,رُقْيَة,رُقِيّ,رَقَّى,رِقّ,رَقِي-َ
رغم	رَغْمَ,رَغْم
ردائي	رِداء
رايتموهما	NOTFOUND
رايتموني	NOTFOUND
راها	NOTFOUND
ذكرته	ذُكْرَة,ذَكَر,ذَكَّر
دنانير	دِينار
دلهم	دَلّ,دَلْهَم
دع	وَدَع-َ,دَعّ-َ
درعا	دِرْع,دَرَّع
درة	دِرَّة,دَرّ,دُرّ
داري	دارِيّ,دارّ,دارِي,دار,دارَى
خوات	NOTFOUND
خلدة	خَلَد,خَلَّد,خُلْد
خربت	خَرِب-َ,خَرَّب,خَرَب-ِ
ختمها	خَتَم-ِ,خَتْم
خالفهم	خالَف
حيل	حَيْل,حِيلَة
حمير	حِمار
حمنة	حام
حمدا	حَمِد-َ,حَمْد,حَمَّد
حكما	حَكَّم,حُكْم,حَكَم
حدة	حِدَة,حِدَّة,حَدّ
حجي	حَجّ,حِجاً,حَجِيّ
حامدون	NOTFOUND
جهيم	NOTFOUND
جمعا	جَمَع-َ,جَمَّع,جَمْع
جلده	جِلْد,جَلَد,جَلْد,جَلِد-َ,جَلْدَة,جَلَّد,جَلَد-ِ
جعلنا	جَعَل-َ,جُعْل,جَعْل
ثناء	ثَناء
ثلثي	ثُلْث
تيم	تَيَّم,تِيم
توجه	وَجَّه,تَوَّج,تَوَجَّه,تَوَجُّه
توبتي	تَوْبَة
تنتج	نَتَج-ِ,أَنْتَج,ٱِنْتَجَى
تناجشوا	NOTFOUND
تكسر	كَسَر-ِ,تَكَسُّر,تَكَسَّر,كَسَّر
تكتنوا	كَتَّن,ٱِكْتَنَى,ٱِكْتَنّ,كَتِن-َ
تفسير	تَفْسِير
تغسل	غَسَل-ِ,غَسَّل
تطوف	طاف,تَطَوَّف,طَوَّف
تشد	شَدّ-ُِ,أَشاد,شاد-ِ,شَدا
تسرقوا	سَرَق-ِ,سَرَّق
تزيد	تَزَيَّد,تَزَيُّد,زاد-ِ,زَيَّد,أَزاد
تزنوا	وَزَن-ِ,زَنَى-ِ,زَنّ
تريدين	أَراد
تدعوا	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
تائبون	تائِب
تؤتي	آتَى
بهرام	NOTFOUND
بنفسها	نَفْس,نَفَس
بمشقص	NOTFOUND
بلسانه	لِسان,بَلَسان
بكفر	كَفَر,كُفْر,كَفْر
بعدكم	عَدّ,بَعْدَ,بُعْد
بطونهم	بُطُون
بسط	بَسُط,بِساط,بَسْط,بَسَّط,بَسَط
برايه	رَأْي,بَرّايَة,رايَة
بدنه	باد-ِ,بَدِين,بَدَن
بخبر	خَبَر,خُبَر
بخ	بَخ,بَخّ
بباب	باب
بالنفس	نَفْس,نَفَس
باصابعه	إِصْبَع
باردة	بارِد,أَرَدّ
باتت	بات-ِ
ايبون	آيِب
اياي	إِيّا
اياما	يَوْم
اولهم	أَوَّل,وَلَّى,أَوْلَى
اوجب	وَجَّب,أَوْجَب
اهللنا	هَلّ-ِ,هَلَّل,أَهَلّ
اهدت	أَهْدَى
انهار	نَهْر,ٱِنْهار
انكر	أَنْكَر,نَكَّر,نَكِر-َ
انقطعت	ٱِنْقَطَع
انفسها	نَفْس,نَفِس-َ,نَفَّس
امسكها	مَسَك,مَسَّك,أَمْسَك
امامهم	أَمامَ,إِمام,أَمام
الوصال	وِصال
الهلالي	هِلالِيّ
النقير	نَقِير
النعال	نَعْل
النظرين	NOTFOUND
المنتهي	مُنْتَهَى,مُنْتَهِي
المن	أَلَّم,مَنّ,أَلْمَن,آلَم,أَلام,أَلِم-َ
المعراض	مِعْراض
المصطلق	NOTFOUND
المجان	مِجَنّ,مَجّان,ماجِن
الكهف	كَهْف
الكلابي	NOTFOUND
القصواء	NOTFOUND
القزع	قَزَع
الفجور	فُجُور
الغائب	غائِب
العلماء	عالِم
العبسي	NOTFOUND
الظل	ظِلّ
الطيبات	طَيِّب
الصيف	صَيْف
الصالحون	صالِح
السوط	سَوْط
السكوني	NOTFOUND
السكن	أَلَّس,وَلَس-ِ,لاس,سَكَن
الرفيق	رَفِيق
الرخصة	رُخْصَة
الراهب	راهِب
الرؤاسي	NOTFOUND
الدغنة	NOTFOUND
الدؤلي	NOTFOUND
الخلصة	NOTFOUND
الحبحاب	NOTFOUND
الحب	حَبّ,حُبّ
الجدار	جِدار
الثلج	ثَلْج
البكراوي	NOTFOUND
البسه	لَبَّس,لِباس,لَبِس-َ,بَسَّة,أَلْبَس
الانجيل	إِنْجِيل
الامارة	إِمارَة,أَمارَة,أَمّار
الاغنياء	غَنِيّ
الاعين	عَيْن
الادم	NOTFOUND
الاجلين	أَجَل,آجِل,أَجَلّ
اكلة	أَكَّل,آكِل,كال-ِ,أَكَل,أَكْلَة,آكَل,أَكَلّ,أُكُل,آكِلَة,أَكْل,وَكَل-ِ,إِكْلِيل
اكرمك	أَكْرَم,كَرَّم
اكثروا	أَكْثَر
اكثرت	أَكْثَر
اقلني	قال,أَقال,قَلِي-َ,أَقَلّ,قَلا,قَلَى-ِ
اقطع	قَطَع-َ,قَطَّع,أَقْطَع
اقتلوا	NOTFOUND
افادع	NOTFOUND
افاتصدق	NOTFOUND
اغتسلت	ٱِغْتَسَل
اعتم	عَتَّم,أَعْتَم,ٱِعْتَمّ,عَتَم-ِ
اعتقت	ٱِعْتاق,أَعْتَق
اطلعت	أَطْلَع,ٱِطَّلَع
اطاعني	أَطاع
اشتكت	ٱِشْتَكَى
اشاء	شاء-َ
اشئ	NOTFOUND
اسهم	آس,سَهْم,أُسّ,أَسْهَم,سَهَم
اسمي	ٱِسْمِيّ,ٱِسْم,سَمَّى,أَسْمَى
اسمها	وَسَم-ِ,سَمّ,ٱِسْم,سام,سَما,أَسام,سَمَّى,أَسْمَى
اسلام	إِسْلام
اسررت	أَسَرّ
ازواجا	زَوْج
اركب	أَرْكَب,رَكَّب,رَكِب-َ
ارجعوا	أَرْجَع
اختصما	ٱِخْتَصَم
احوج	أَحْوَج
احبس	حَبَس-ِ
اجب	جَبَى-ِ,أَجاب,وَجَب-ِ,جَبَّى,جاب,جَبّ
اثرا	أَثَر,آثَر,أَثَّر,إِثْرَ,أَثْر,أَثَر-ُِ,أَثِر
اترون	NOTFOUND
اتبعه	تَبِع-َ,أَتْبَع,ٱِتَّبَع
اتاذن	NOTFOUND
ابله	أَبْلَه,بَلّ-ِ,إِبْل,بَلا,بال,بَلِي-َ,أَبَلّ,وَبَل-ِ,بَلّ,أُبُلَّة,بَلِه-َ,أَبال,أَبْلَى
ابتاه	آب,أَبّ,أَبَى-َ
يوضع	وَضَع,أَوْضَع
يهلون	هَلّ-ِ,أَهَلّ
ينقض	ٱِنْقَضَى,نَقَض,أَنْقَض,ٱِنْقَضّ,ٱِنْقاض
ينتبذ	ٱِنْتَبَذ
يلعقها	لَعِق-َ
يك	وَكَى-ِ
يقود	قاد
يقص	قَصا,وَقَص-ِ,قَصّ,قَصِي-َ,أَقْصَى
يقذف	قَذَف-ِ,قَذَّف
يفصل	فَصَّل,فَصَل-ِ
يفارق	فارَق
يغلي	غَلَّى,أَغْلَى,غَلَى-ِ,غَلا
يغسله	غَسَل-ِ,غَسَّل
يغادر	غادَر
يعمد	عَمَّد,عَمَد-ِ
يظلم	أَظْلَم,ٱِظَّلَم,ظَلَم-َِ
يطل	أَطَلّ,طَلَى-ِ,أَطال,طال,طَلّ
يطعمني	طَعَّم,طَعِم-َ,أَطْعَم
يضربون	ضَرَب,أَضْرَب,ضَرَّب
يصنعه	صَنَّع,صَنَع-َ
يشعر	شَعَر,أَشْعَر
يسكت	أَسْكَت,سَكَت,سَكَّت
يسقي	أَسْقَى,سَقَى-ِ
يستفتونك	ٱِسْتَفْتَى
يستره	سَتَر,سَتَّر
يستحبون	ٱِسْتَحَبّ
يسالون	أَسال
يزالوا	زال-َ,أَزال
يرفث	رَفَث-ُِ
يرده	رَدَّى,رَدّ,أَراد,وَرَد-ِ,رَدِي-َ,راد,أَرْدَى
يربوع	يَرْبُوع
يداه	يَد
يداك	يَد
يخفي	خَفِي-َ,أَخْفَى,خَفَى-ِ
يخط	خاط-ِ,خَطَّى,خَطا,وَخَط-ِ,خَطّ
يحملنا	حَمَل-ِ,حَمَّل
يحرك	حَرَّك,أَحْرَى,حَرَى,أَحار,حار
يجاهد	جاهَد
يتابع	تابَع
ياتين	أَتَى-ِ
يؤذنه	أَذَّن,آذَن
ويقوم	قَوَّم,قام
ويذهب	أَذْهَب,ذَهَب-َ,ذَهَّب
وهزم	هَزْم,هَزَم-ِ
ونقش	نَقْش,قَشّ,نَقَش,نَقَّش
ونفخ	نَفَخ,نَفْخ
وميكائيل	NOTFOUND
ومهر	مَهَر-َُ,مَهْر,مُهْرَة,مُهْر
ومغيرة	مُغِير
وكف	كَفّ,وَكْف,وَكَف-ِ
وكعب	كَعْب,كَعَّب,عَبّ
وقطع	قَطْع,قُطْعَة,قَطَع-َ,قَطَّع,قِطْعَة,قَطْعَة
وفاته	فات,وَفاة
وغلام	غُلام
وعلة	عَلَّ,وَعْل,عِلَّة
وطاعة	طاعَة,طاع
وصام	صام
وسطها	وَسَّط,وَسْطَ,وَسْط
وروح	رَوَّح,رَوْح,رُوح
ورجع	رَجَّع,رَجَع-ِ,رَجْع
وخمسمائة	خَمْسمائَة
واية	أَيّ,آيَة,إِيه
واهلا	أَهْل,آهِل,أَهَلّ
والمغيرة	مُغِير
والمساكين	مِسْكِين
والفطر	فُطْر,فَطْر,فِطْرَة,فِطْر
والفتح	فَتْح
والفاظهم	لَفْظ
والعشي	عَشَى
والزيتون	زَيْتُون
والحرام	حَرام
والتكبير	تَكْبِير
والبسر	بُسْر
واضربوا	أَضْرَب
واصحاب	صاحِب
واشد	شَدّ-ُِ,أَشَدّ,أَشاد,شاد-ِ,أَشُدّ,شَدا
واسناده	سَنَد,إِسْناد
واري	وارَى,رَأَى-َ,آري,وَرَى-ِ,أَري,آرِيّ,آر
وادخل	أَدْخَل,دَخَل
واخذت	أَخَذ,آخَذ,أَخَّذ
واختلفوا	ٱِخْتَلَف
واخبره	أَخْبَر,خَبَر,خَبَّر,خَبُر
هنالك	هُنالِكَ
نوحا	نَوْح
نهبة	هاب-َ,أَهاب,نَهِب-َ,نَهَب-َُ,نُهْبَة,هَبّ,هَبا,أَهَبّ,نَهْب,وَهَب-َ
نعزل	أَعْزَل,عَزَل-ِ
نصوم	صام
نسختها	نُسْخَة,نَسَخ-َ
نسائي	نِساء,نَسّاء,نِسائِيّ,نَساء
نساؤهم	نِساء,نَساء
نجي	نَجَّى,نَجِيّ
نتوضا	NOTFOUND
نبيهم	نَبِيّ
نبيشة	نَبِيش
مولاي	مَوْلَى
موالي	مَوّال,مُوالِي,مَوْلَى
مهلين	NOTFOUND
مكانكم	مَكان
مقعدك	مُقْعِد,مَقْعَد,مُقْعَد
مقالة	مَقال,مُقال
معلق	مُعَلِّق,مُعَلَّق
مطرفا	مِطْرَف
مصيبة	مُصِيبَة
مشرف	مُشْرِف,مُشَرَّف,مُشَرِّف,مَشْرَف
مدين	مُدِين,مَدِين
مدكر	NOTFOUND
مخزوم	NOTFOUND
مختصرا	مُخْتَصَر
مجن	مَجَن,مِجَنّ,ماج
مبين	مُبَيِّن,مُبِين
مائدة	مائِدَة,مائِد
ليدخل	أَدْخَل,دَخَل
لهو	هُو,لَهْو
للذئب	ذِئْب
للاول	أَوَّل
للاخر	آخَر,آخِر
لقطعت	قَطَع-َ,قَطَّع
لقاتلتهم	قاتَل,قاتِل
لفتاه	لَفَت-ِ,فَتَى,لَفّ,لَفَّت,فَتّ,لَفَّة,فَتاة
لعشرة	عُشْر,عِشْرَة,عَشَّر,عَشَر,عَشْر
لحي	حَيّ-َ,لِحْيَة,حَيّ,لَحَى,لَحْي
لبنا	لِبْن,لَبِنَة,لاب,لَبّ,بَنّاء,لَبَن,لُبّ,بان-ِ,لَبَّن
لانهم	وَهَم-ِ,هَمّ,أَهَمّ,هَما,نَهِم-َ,آن,هام-ِ,أَنّ-ِ,لِأَنَّ
لاصحابي	صاحِب
لاحمد	حَمِد-َ,حَمَّد,أَحْمَد
لاحب	أَحَبّ,حَبّ-ِ,لاحِب
كهاتين	هٰذا
كسرت	كَسَر-ِ,سِرْت,كَسَّر
كريمة	رِيم,كَرِيمَة,كَرِيم,رِيمَة,كرِيم,رِئْم
كرهه	كَرِه-َ,كُرْه,كَرْه,كَرَّه,كَرِه
كبرت	كَبْرَت,كَبَّر,كَبَر
كاملا	كامِل
كالشعرة	شَعْر
كادوا	كاد-َ,كاد-ِ
كاحسن	أَحْسَن
قينقاع	NOTFOUND
قواعد	قاعِدَة
قطبة	قُطْبَة,قَطَب-ِ,قُطْب,قَطَّب
قصدا	قَصَد-ِ,قَصْد
قصب	قَصَب-ِ,قَصَب,قَصَّب,قَصْب
قارظ	NOTFOUND
فيغسل	غَسَل-ِ,غَسَّل
فيري	رَأَى-َ,وَرَى-ِ
فيدخل	أَدْخَل,دَخَل
فهلكت	هَلَّك,هَلَك
فليهل	أَهال,هال,هال-ِ,هَلّ-ِ,أَهَلّ
فليمسك	مَسَى,مَسَّى,مَسَك,ماس-ِ,مَسَّك,أَمْسَك,أَمْسَى,وَمَس-ِ,مَسّ-َ
فليقم	قام,قَمّ,أَقام
فليغتسل	ٱِغْتَسَل
فليتصدق	تَصَدَّق
فليتحر	تَحَرَّى
فلياكل	أَكَل
فليؤذن	أَذَّن,آذَن
فلذلك	لِذٰلِكَ,ذٰلِكَ,ذُلّ
فكلمته	كَلَّم,كَلِمَة,لُمَّة,لَمَّة,لِمَّة
فكثر	كُثْر,ثَرّ,كَثَّر,كَثُر
فقولي	قال,قَوْل
فعمل	عَمَل,عَمِل-َ
فشهدت	شَهِد-َ
فسطاط	فُسْطاط
فرقا	رَقّ,فَرْق,فَرَّق,فَرَق,رِقّ,رَقّ-ِ,فِرْقَة
فردا	رَدّ,فَرْد,فَرَّد
فر	فَرّ,ر,فَرّ-ِ
فدنا	دَنا,فَدَّن,دان-ِ
فدفعها	دَفَع-َ,دَفْع
فخذيه	فَخْذِيّ,أَخَذ,فَخْذ
فجحش	جَحْش
فتلت	لَتّ,فَتَّل,فَتَل-ِ,تَلا
فتلاعنا	تَلاعَن,تَلْعَة,لاعَن
فاوصي	وَصَّى,أَوْصَى
فاهللت	أَهَلّ
فانتهيت	ٱِنْتَهَى
فانتم	أَنْتُم,ٱِنْتَمَى
فاكثروا	أَكْثَر
فاقامني	أَقام
فاعتق	عَتُق,ٱِعْتاق,أَعْتَق,عَتَق-ِ
فاطعم	طَعَّم,طَعِم-َ,أَطْعَم
فاسمع	سَمَّع,سَمِع-َ,أَسْمَع
فاستمع	ٱِسْتَمَع
فارسلني	أَرْسَل
فاجره	آجَر,فاجِر,أَجار,أَجَّر,فاجِرَة,أُجْرَة,أَجْر,جَرّ,أَجَرّ,جار,أَجَر,أَجْرَى,جَرَى-ِ
فاجد	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جاد,أَجاد,جَدّ-ِ
فاجتووا	ٱِجْتَوَى
فاتحة	فاتِحَة,فاتَح,فاتِح,أَتاح
فابردوها	أَبْرَد
فابردوا	أَبْرَد
غنية	غَنِيّ,غُنْيَة
غلامه	غُلام
غطينا	غَطَّى
غرم	غَرَّم,غُرْم,غَرِم-َ
غرقدة	NOTFOUND
غر	غِرّ,أَغَرّ,غَرّ
غادر	غادِر,غادَر
غائب	غائِب
عود	عَوَّد,عُود
عنزة	عَنَزَة,عَنْز,عَنْزَة
عمدت	عَمَّد,عَمَد-ِ
علمتم	عَلَّم,عَلِم-َ
علاثة	NOTFOUND
عسيلته	NOTFOUND
عرقا	عَرَق,عَرِق-َ,عَرَّق,عِرْق
عالة	عال,عِيال
عائش	عائِش
ظهورها	ظُهُور
طوافه	طَوّافَة,طَواف,طافَة
طواف	طافِيَة,طَواف,طافَة
طعامكم	طَعام
طريقا	طَرِيق
ضلالة	ضالّ,ضَلال
ضح	NOTFOUND
صيدها	صَيْد
شوك	شَوِك,شَوَّك,شَوْك
شماسة	شَمّاس
شعيرة	شَعِير,شَعِيرَة
شعبا	شَعْب,شَعَّب,شِعْب,شُعْبَة
شروطا	شَرْط
شرك	شِرْك,شَرّ,شَرِك-َ,شَرَك
شانها	شان-ِ
سنتين	سِنْت,سَنَة
سنتنا	سِنْت,سَنَة,سَنّ,سَنَّى,سَنا,سُنَّة
سلوا	سَلا,سَلّ,سَلِي-َ,سَلَّى
سلاح	سِلاح
سطر	سَطَّر,سَطْر,سَطَر
