ناخذ	أَخَذ
الشارب	شارِب
السحر	سِحْر,سَحْر,سَحَر
الخيار	خَيْر,خِيار
الخزرج	خَزْرَج
الجهم	وَلَج-ِ,جَهْم
الجارود	NOTFOUND
الثاني	ثانِي
البيعان	NOTFOUND
البهائم	بَهِيمَة
الايسر	أَيْسَر
اقرع	قَرِع-َ,قَرَع-َ,أَقْرَع,قَرَّع
اصبعه	صَبَع-َ,إِصْبَع
اصابهم	أَصاب
اشرف	شَرَّف,أَشْرَف,شَرُف
ادبرت	أَدْبَر
احياء	حَيّ,إِحْياء
اجله	آجِلَة,أَجْل,أَجَّل,جَلا,أَجْلَى,جَلَى-ِ,جال,آجِل,جَلَّى,أَجال,أَجَلّ,أَجَل
ينتظر	ٱِنْتَظَر
يلعب	لَعِب-َ
يلتمس	ٱِلْتَمَس
يشترون	ٱِشْتَرَى,شَتَر-ِ
يزد	زاد-ِ,أَزاد
يذبح	ذَبَّح,ذَبَح-َ
ويشرب	أَشْرَب,شَرِب-َ,شَرَّب
ويتوضا	NOTFOUND
ويبقي	بَقِي-َ,أَبْقَى
ومعي	مَعَ,مِعَى,مُعْيِي,مَعْي
وقول	قَوْل
وقضي	قَضَّى,قَضَى,قَضَى-ِ,قَضّ
وقص	قَصّ,وَقَص-ِ
وقتها	قات,وَقْت,وَقَّت,وَقَى-ِ,قَتّ,وُقَّة
وقبل	قَبَّل,قِبَل,قَبْلَ,قَبِل-َ
وعند	عِنْدَ,عَنِد-َ
وسقا	وَسَق-ِ,سَقّاء,وَسْق
وذو	ذُو
وذاك	ذاكَ
وحجاج	حاجّ
وجرير	جَرِير
وثلاثة	ثَلاث
وتابعه	تابِع,تابَع
وبينهم	يِن,بَيَّن,بَيْنَ,بَيِّن
وبقي	بَقِي-َ,قِياء,بَقّ
وبريدة	رَوْد,بُرَيْدَة,بَرِيد
واهله	أَهال,هال,هال-ِ,هِلال,هَلّ-ِ,أَهْل,أَهَلّ,آهِل
والوسطي	وَسَطِيّ,أَوْسَط
والليل	لَيْل
والكبير	كَبِير
والعقرب	عَقْرَب
والبخل	بُخْل
والاقامة	إِقامَة
هناكم	NOTFOUND
هذان	هٰذا
هديا	هَدْي,هَدَى-ِ
نعليه	نَعْل,أَعْلَى,عَلَّى
مولاة	مَوَّل,مَوْلَى,مَوْلاة
مدي	مَدّ,مَدَى,مُدْيَة
ماتوا	مات
لوقتها	وَقْت,وَقَّت,وَقَى-ِ,وُقَّة
لواء	لِواء
للفراش	فَرّاش,فِراش
كالذي	الَّذِي
قطيفة	قَطِيف,قَطِيفَة
فيضع	ضاع-ِ,وَضَع,أَضاع,ضاع
فهجرته	هِجْرَة,هَجَر,هَجَّر
فليزرعها	زَرَع-َ
فطلقها	طَلَق,طَلَّق,طَلْق
فدخلوا	دَخَل
فخرجوا	خَرَج,خَرَّج
فتكلم	كَلَّم,تَكَلَّم,تَكَلُّم
فاوما	أُوم
فافطر	أَفْطَر,فَطَر
فاشتد	ٱِشْتَدّ
فاخبرهم	خَبُر,أَخْبَر,خَبَر,خَبَّر
فاتبعه	تَبِع-َ,أَتْبَع,ٱِتَّبَع
عصم	عَصْم,عَصَم-ِ,أَعْصَم
عشية	عُشّ,عَشِيَّة
عجبا	عَجِب-َ,عَجَّب,عَجَب
طوافا	طَواف,طافَة
صرد	صَرْد
صداق	صَداق
صالحة	صالِح,صالَح,صالِحَة
شرح	شَرْح,شَرَّح,شَرَح-َ
ساجد	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جاد,ساجِد,أَجاد,جَدّ-ِ
سائل	سائِل
رسولا	رَسُول
رحله	راحِل,رَحّال,رِحْلَة,رَحْل,رَحَّل,رَحَل-َ
راكع	راكِع
راعي	راعَى,راع,راعِي
ذباب	ذُباب
خفتم	خَفَت,خاف-َ
خريفا	خَرِيف
خالي	خالِي,خال
حملت	حَمَل-ِ,حَمَّل
حصن	حِصان,حاص-ِ,حَصَّن,حِصْن,حَصُن
حرث	حَرَث-ُِ,حَرْث
حدود	حَدّ
جر	جَرّ
ثمانين	ثَمانُون
ثمان	ثَمِين,ثَمانِي
ثلاثون	ثَلاثُون
تولي	وَلَّى,أَوْلَى,تَوَلَّى,تَوَلِّي
تنظر	تَنَظَّر,نَظَر
تميمة	تَمِيمَة
تقتلوا	قَتَل,قَتَّل
تغلب	غَلَب-ِ,تَغَلُّب,تَغَلَّب
تضع	ضاع-ِ,وَضَع,أَضاع,ضاع
تشفع	تَشَفَّع,تَشَفُّع,شَفَع-َ
تسافر	سافَر
ترجعوا	أَرْجَع,تَرَجَّع,رَجَّع,رَجَع-ِ
بكي	بَك,بَكَى-ِ,بَكَّى,كَيّ,بَكِي-َ
بغرة	غِرّ,بَغَر,غِرَّة,غُرَّة,بَغْرَة,أَغَرّ
بطوله	بُطُولَة,طَوْل,طُول
بت	بَتّ,بات-ِ
بالبر	بَرّ,بِرّ,بُرّ
ايدينا	يَد
انفقت	أَنْفَق
انتظر	ٱِنْتَظَر
المرفقين	مِرْفَق
اللاتي	الَّذِي
القميص	قَمِيص
الفريضة	فَرِيضَة
الظن	ظَنّ
الطاعون	طاعُون
الصبيان	صَبِيّ
الشهادة	شَهادَة
الشق	شَقّ,شِقّ
السوداء	أَسْوَد
السمن	سِمَن,سُمُّن,سَمْن
السحور	سِحْر,سَحُور,سَحْر
الست	أَلَّس,لَيْسَ,سِتّ
الدوري	دَوْرِيّ,دُورِيّ
الدعوة	دَعْوَة
الخبث	خَبَث,خُبْث
البقيع	NOTFOUND
البختري	NOTFOUND
الاقربين	أَقْرَب
الافق	أُفُق
الاخريين	أُخْرَى
الاحاديث	حَدِيث
اكلها	أَكَّل,آكِل,آكَل,كال-ِ,أُكُل,أَكَلّ,أَكَل,أَكْل,وَكَل-ِ
افي	وَفَى-ِ,أَفِي
اشتريت	ٱِشْتَرَى
اسمعت	أَسْمَع
اسكر	أَسْكَر,سَكِر-َ,سَكَّر
ارسلك	أَرْسَل
ادن	ٱِدَّنَى,دَنِي-َ,أَدان,أَدْنَى,دَنَّى,دَنا,آد,دان-ِ
اخطا	NOTFOUND
اخزم	خَزَم-ِ
اخرجت	أَخْرَج
اتدري	NOTFOUND
ابيهما	أَب,أَبِيّ,آبِي
ابصر	بَصِر-َ,أَبْصَر,بَصُر,بَصَّر
ائت	NOTFOUND
ينكسفان	ٱِنْكَسَف
ينفر	نَفَّر,نَفَر
يمنعه	مَنَع
يمان	NOTFOUND
يلملم	لَمْلَم
يسم	وَسَم-ِ,سَمّ,أَسام,سَمَّى,أَسْمَى,سام,سَما
يستقبل	ٱِسْتَقْبَل
يسب	سَبّ,ساب-ِ,سَبَى-ِ
يرحمك	رَحَّم,رَحِم-َ
يحول	حَوَّل,ٱِحْوَلّ,حال
يحاذي	حاذَى
يجب	جَبَى-ِ,وَجَب-ِ,جَبَّى,جاب,جَبّ,أَجاب
يثرب	ثَرَّب,ثَرَب-ِ,يَثْرِب
يتم	تَمّ-ِ,يَتُم,أَتَمّ,يَتِم-َ,تام,يُتْم,يَتَم-ِ
يتزوجها	تَزَوَّج
يبعثه	بَعَث-َ
ويقرا	أَقَرّ,قَرّ-َِ,وَقَر-ِ
ويا	يا
ومشي	مَشّ,مَشَّى,مَشْي,مِشّ,مَشَى-ِ
وعباد	عَبّاد,عابِد,عِباد
وصلوا	صَلِي-َ,وَصَل-ِ,صَلَّى,وَصَّل,صَلَى-ِ
وصاحب	صاحَب,صاحِب
وسويد	سُوِيد
وسلمان	سُلَّم,سَلْمان
ورواية	رِوايَة
ورقة	وَرَق,رَقّ,رِقّ,وَرَّق,رِقَّة
ورد	وَرْد,وَرَّد,رَدّ,وَرَد-ِ,وِرْد
وربك	رَبَك,رُبّ,رَبِك,وَرْب,وَرَّب,رَبِك-َ,رَبّ
وتغريب	تَغْرِيب
والساعة	ساعَة
والربع	رَبْع,رُبْع
والد	وَلَد-ِ,والِد,أَلَدّ,لَدّ
واقبل	قَبَّل,أَقْبَل,قَبِل-َ
واسالك	أَسال
هجرته	هِجْرَة,هَجَر,هَجَّر
نودي	نَوْد,أَوْدَى,وَدَى-ِ
نخلا	نَخَل,نَخْل
منبر	مِنْبَر
مملوك	مَمْلُوك,مُمِلّ
مقامي	مَقام,مِقَمَّة,مُقام
معناها	ماع-ِ,مَعْنَى
مشرك	مُشْرِك
مسجدنا	مَسْجِد
مريض	مَرِيض
ليعمل	عَمِل-َ,أَعْمَل
لهذه	هٰذا
لهب	لَهَّب,لَهَب,لَهِب-َ,هَبّ
لمحمد	مُحَمَّد
لقينا	لَقِي-َ,قِياء
لقيط	لَقِيط
لابتيها	NOTFOUND
كيلا	كَيَّل,كَيْل,كَيْلا
كهيئة	هَيْئَة
كفن	كَفْن,كَفَن-ِ,كَفَن,فَنّ,كَفَّن
كفارا	كافِر,كَفّار
كرهت	كَرِه-َ,كَرُه,كَرَّه
كذبوا	كَذَب-ِ,كَذَّب
كتفيه	كِتْف,كَتِف
قفل	قَفَل,قُفْل,قَفَل-ِ,قَفَّل
قبلنا	قَبَّل,قِبَل,قَبْلَ,قَبِل-َ
قاله	قالَة,قال
فياتي	أَتَى-ِ
فهما	فَهِم-َ,فَهْم,هُما,هَمّ,هَما,فَهَّم
فنهاه	نَها,نُهَى,نَهَى-ِ
فليسجد	سَجَد
فكاني	آن,آنِيّ,فَكّ,أَنَى
فقامت	قام
فغدا	غَد,غَدا
فعرف	عَرَّف,عَرَف-ِ,عُرْف
فعاد	عادِي,عاد
فظننت	ظَنّ
فسالناه	NOTFOUND
فربما	رُبَّما
فذكره	ذِكْر,ذُكْرَة,ذَكَر,ذَكَّر
فدفعه	دُفْعَة,دَفْع,دَفَع-َ,دَفْعَة
فتزوجت	تَزَوَّج
فالتمس	ٱِلْتَمَس
فاركعوا	أَرْكَع
غم	غَمّ
غزوات	غَزْو
ظننت	ظَنّ
طرفة	طَرَف-ِ,طُرْفَة,طَرَف,طَرْفَة,طَرْفاء
طال	طال
صوتك	صَوَّت,صَوْت,صُوَّة
صخرة	صَخْر,صَخَّر
شمس	شَمْس,شَمَّس,شَمِس-َ,شَمَس
شعرة	شِعْر,شَعَر,شَعْر
شرها	شَرِه-َ,شَرّ,شَرَه,شَرِه
سكني	سُكْنَى,سَكَنِيّ,سَكّ,سَكَن
رقية	رُقَيَّة,رُقْيَة,رَقِي-َ,رُقِيّ
رضيت	رَضَّى,رَضِي-َ
رشيد	رَشِيد
رؤية	رُؤْيَة
ذكرها	ذِكْر,ذَكَر,ذَكَّر
دعني	وَدَع-َ,دَعّ-َ
خميصة	خَمِيص
حلوا	حَلّ-ِ,حَلَى,حَلَّى,حَلِي-َ,حَلُو,حُلْو,حَلّ
حريز	حَرِيز
حرمي	حَرَمِيّ,حُرْمَة,حَرَم
جارك	جار
ثمنا	ثَمَّن,ثُمْن,ثَمَن
تنفقوا	نَفِق-َ,نَفَّق,أَنْفَق,نَفَق
تقضي	قَضّ-َ,قَضَّى,قَضَى-ِ,قَضّ,تَقَضَّى,أَقَضّ
تقاتلوا	قاتَل,تَقاتَل
تشرك	شَرَى-ِ,شَرِك-َ,أَشار,أَشْرَك,وَشَر-ِ
تزوجها	زَوَّج,تَزَوَّج,تَزَوُّج
تحلفوا	حَلَف-ِ,حَلَّف
تجهر	جَهُر,جَهَر-َ
بيوتهم	بَيُّوت,بَيْت
بيوت	بَيُّوت,بَيْت
بيعة	بَيْعَة,بَيْع,بِيعَة
بلد	بَلُد,أَلَدّ,بَلَّد,لِدّ,بَلَد
بقيت	بَقِي-َ
بضعة	بَضَّع,بَضْع,بِضْع,ضَعَة,بَضَع-َ
براءة	بَراءَة,بَرِيء,راء
بخرصها	خِرْص
بالقراءة	قِراءَة
بالحيضة	حَيْضَة
اموالكم	مال
اموال	مال
الوزير	وَزِير
النعلين	نَعْل
المصدق	مُصَدَّق
المستورد	مُسْتَوْرَد,مُسْتَوْرِد
المبتاع	مُبْتاع
القاعدون	قاعِد
العقيلي	عَقِيلِيّ,عُقَيْلِيّ
العفو	عَفْو
الطنافسي	NOTFOUND
الطائفتين	طائِف,طائِفَة
الصراط	صِراط
السوء	سُوء
الراحلة	راحِل,راحِلَة
الذئب	ذِئْب
الحكيم	حَكِيم
الحجرة	حُجْرَة
الجبة	جُبَّة
البول	بُول,بَوْل
البغي	بَغْي,بَغِيّ
البطين	بَطِين,بُطَيْن
