فدية	دِيَة,فِدْيَة
العب	لَعِب-َ,عَبّ
الطفيتين	NOTFOUND
الصالحات	صالِح,صالِحَة
الصادق	صادِق
الشرط	شَرْط,شَرَط
الشديد	شَدِيد
الشافي	شافِي
السيوف	سَيْف
السلم	سُلَّم,سِلْم
السلف	سِلْف,سالِف,سَلَف
السكني	سَكَنِيّ,سُكْنَى
السعدان	سَعْدان
السراويلات	سِرْوال
السدوسي	NOTFOUND
الزعفران	زَعْفَران
الزاد	زاد
الروايات	رِوايَة
الرمي	رَمْي
الركين	رَكِين
الرشك	NOTFOUND
الدراهم	دِرْهَم
الدبر	دُبْر
الخيلاء	أَخْيَل
الخفاف	خَفِيف,خَفاف,خُفّ
الخط	خَطّ
الخزاز	NOTFOUND
الخبير	خَبِير
الحمال	حَمّال
الجنبي	جَنْبِيّ
الثقات	NOTFOUND
التصفيق	تَصْفِيق
التثويب	NOTFOUND
البرساني	NOTFOUND
البدن	بَدِين,بَدَن
الاهل	أَهْل,آهِل
الاسكندراني	NOTFOUND
الاحدب	أَحْدَب
الابطح	أَبْطَح
الاب	آب,أَب
اكتحل	ٱِكْتَحَل
اقضه	قَضّ,قاض-ِ,قَضَّى,قَضَى-ِ,قاض
افرغ	فَرَّغ,فَرَغ,فَرِغ-َ,أَفْرَغ
اعمالهم	عَمَل
اعلام	أَعْلام,عَلَم,إِعْلام
اطم	طَما,طَمّ,طَمَى-ِ,أُطُم
اضعف	أَضْعَف,ضَعَّف,ضَعُف
اشهدك	شَهِد-َ,أَشْهَد
اسلامه	إِسْلام
اسقي	سَقَى-ِ,أَسْقَى
استمع	ٱِسْتَمَع
استشهد	ٱِسْتَشْهَد
استامر	NOTFOUND
ازداد	ٱِزْداد
اروي	أَرْوَى,رَوَى-ِ,رَوَّى
اره	رَها,رَأَى-َ,آر,وَرَى-ِ
ارحمني	رَحَّم,رَحِم-َ
اربي	أَرَب,أُرْبِيّ,أَرِب,أُرْب,إِرْب,أَرْبَى,رَبَّى,رَبا
اذناه	أَذِن-َ,أَذَّن,آذِن,إِذْن,أُذُن,آذَن
اخوات	أُخْت
اخف	خَفّ-ِ,أَخَفّ,خَفِي-َ,خاف-َ,أَخْفَى,أَخاف,خَفَى-ِ
اختلافا	ٱِخْتِلاف
اختاره	ٱِخْتار
اختار	ٱِخْتار
احمس	حَمَّس,حَمِس-َ,أَحْمَس
احلتها	أَحَلّ,أَحال
احلت	أَحَلّ,أَحال
اجعلوا	NOTFOUND
اجزاه	أَجْزَى
اجرها	جار,آجَر,أَجَر,أَجار,أَجَّر,أُجْرَة,أَجْر,أَجْرَى,جَرَى-ِ,أَجَرّ,جَرّ
اجرت	آجَر,أَجَر,أَجار,أَجَّر,أَجْرَى,أَجَرّ
اجده	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جاد,أَجاد
اتزوج	تَزَوَّج
اتباع	ٱِتِّباع,تَبَع
ابواي	أَب
ابتغي	ٱِبْتَغَى
ابتع	ٱِبْتاع,أَبْتَع
ابائه	إِباء,أَب
يومهم	يَوْم
يوفي	وَفَّى,وَفَى-ِ,أَوْفَى
يوعك	وَعَّى,أَوْعَى
يورث	أَوْرَث,وَرِث-ِ,وَرَّث
ينكت	نَكَّت,نَكَت
ينفض	أَنْفَض,نَفَّض,نَفَض,ٱِنْفَضّ
ينشد	نَشَد,أَنْشَد
يمنح	مَنَح-َ
يفيق	أَفاق
يغلق	غَلَق-ِ,أَغْلَق
يغسلها	غَسَل-ِ,غَسَّل
يطيب	طاب-ِ,طَيَّب,أَطاب
يطوفون	طاف,طَوَّف
يطع	أَطاع,طاع
يضمن	ضَمِن-َ,ضام-ِ,ضَمَّن
يضحكك	ضَحِك-َ,أَضْحَك
يصليهما	صَلَّى,أَصْلَى,صَلَى-ِ
يصلين	صَلِي-َ,صَلَّى,أَصْلَى,صَلَى-ِ
يشهدون	شَهِد-َ,أَشْهَد
يشغلهم	شَغَّل,شَغَل-َ,أَشْغَل
يسيل	سَيَّل,سال-ِ,أَسال
يسمعنا	سَمَّع,سَمِع-َ,أَسْمَع
يستحب	ٱِسْتَحَبّ
يزرع	زَرَع-َ
يرموا	رَمّ-ِ,وَرِم-ِ,رَمَى-ِ,رَمّ
يركبون	رَكَّب,رَكِب-َ,أَرْكَب
يذوق	ذاق
يدعوهم	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
يخوف	خَوَّف
يخلق	خَلِق-َ,خَلُق,أَخْلَق,خَلَق,خَلَّق
يخطر	خَطُر,خَطَر,خَطَر-ِ,أَخْطَر
يخرجن	خَرَج,خَرَّج,أَخْرَج
يحفظ	حَفِظ-َ,أَحْفَظ
يحسب	حَسَب,حَسِب-ِ,حَسُب
يجزي	أَجْزَى,جَزَى-ِ
يتوضئون	NOTFOUND
يبلغه	بَلَغ,بَلَّغ,أَبْلَغ
يامركم	أَمَر
ياتيهم	أَتَى-ِ
ويصوم	صام
ويسالونك	NOTFOUND
ويحمده	حَمِد-َ,حَمَّد
ونحر	نِحْر,نَحْر,أَحار,أَحْرَى,حَرَى,حَرّ,نَحَر,حار,حار-َ
وموكله	مُوَكَّل,مُوَكِّل
وملائكة	مَلْأَك
ومسئول	مَسْؤُول
ومروان	مَرْوان
ولبكيتم	NOTFOUND
وقمت	قام,قَمّ
وقعة	وَقْعَة,وَقْع,وَقَع-َ,وَقَّع
وقذف	قَذَّف,قَذْف,قَذَف-ِ
وفعل	فَعَل-َ,فِعْل
وغلقت	غَلَق-ِ
وعكرمة	عَكْرَمَة
وعشر	عَشَّر,عُشْر,عَشَر,عَشْر
وعرضه	عُرْضَة,عَرَض,عَرْضَة,عَرَض-ِ,عَرْض,عِرْض,عَرَّض
وطولهن	طَوْل,طُول,طَوَّل
وسمل	سَمَل
وسلوا	سَلّ,سَلِي-َ,سَلَّى,سَلا
وسجدوا	سَجَد
وسجدتين	سَجْدَة
وذوات	ذات
وذكره	ذِكْر,ذُكْرَة,ذَكَر,ذَكَّر
وذريته	ذُرِّيّ,ذَرَى-ِ,ذَرِّيّ,ذُرِّيَّة,ذَرَّى
وخسروا	خَسِر-َ,خَسَّر
وحصين	حُصَيْن,حَصِين
وحشيا	حَشَّى,وَحْشِيّ
وحج	حَجّ
وجوهكم	وَجْه
وجمالها	جَمال,جَمّال,جَمَل
وتمر	مار,مار-ِ,تَمْر,أَمَرّ,مَرّ,أَمار
وتسعون	تِسْعُون,سَعَى-َ,وَسِع-َ
وترغبون	رَغِب-َ
وبما	بِما
وبصره	بَصِر-َ,بَصُر,بَصَّر,بَصْرَة,بَصَر,صُرَّة
وبدا	بَدا,بُدّ,بَدّ
واياكم	إِيّا
وامتشطي	NOTFOUND
والنعمان	نُعْمان
والنضير	نَضِير
والنصح	نَصْح,ناصِح
والملح	مُلِحّ,مِلْح,مُلْحَة
والمقداد	مِقْداد
والمغرم	مَغْرَم,مُغْرَم
والمعصفر	مُعَصْفَر
والمعدن	مُعَدِّن,مَعْدِن
والمرسلات	مُرْسِل,مُرْسَل
والمتنمصات	NOTFOUND
والعزي	عُزَّى
والصبح	صُبْح
والدين	دِين,دَيِّن,دَيْن,والِد,أَلَدّ
والدي	والِد,أَلَدّ,والِدِيّ
والجمعة	جُمْعَة
والاسلام	إِسْلام
واكره	آكَر,كَرِه-َ,كَرُه,كَرَّه,كَرّ,أَكَر-ِ,كَرا,أَكْرَه,كَرِي-َ,كَرَى-ِ,أَكْر,أُكْرَة,أَكْرَى
واقرءوا	NOTFOUND
واغسل	غَسَل-ِ,غَسَّل
واشترطي	NOTFOUND
واخره	آخِرَة,خار-ِ,آخِر,خار,آخَر
واحصن	أَحْصَن,حَصَّن,حَصُن
واحتجوا	ٱِحْتَجّ
واجتنبوا	ٱِجْتَنَب
واثنين	أَثْنَى,ٱِثْنانِ,ٱِثْنَيْنِ
واتباع	ٱِتِّباع,تَبَع
هنية	هَنِيّ
هلكوا	هَلَّك,هَلَك
هزيل	هَزِيل
هاجرت	هاجَر
نلبس	لَبَّس,لَبِس-َ,أَلْبَس
نكح	نَكَح-َُِ,كَحّ
نفعله	فَعَل-َ
نغزو	غَزا
نراه	رَأَى-َ
ناضح	NOTFOUND
نابل	نابِل
مورق	مُوَرِّق,مُورِق
منية	مُنْيَة,مَنِيَّة
منكرا	مُنْكَر,مُنَكَّر,مُنْكِر
منحر	مَنْحَر
منازل	مَنْزِلَة,مَنْزِل,مُنازِل
ملبدا	مُلَبَّد
مكتل	مِكْتَل
معيقيب	NOTFOUND
معلوما	مَعْلُوم
معتكف	مُعْتَكَف
مضطجعة	مُضْطَجَع
مصراة	مُصِرّ
مسكرا	مُسَكَّر,مُسْكِر
مساء	مَساء
مري	مِرِيّ,مَرّ,مُرّ
محلي	مَحَلّ,مَحَلِّيّ,مُحَلَّى,مَحْل
محتسبا	مُحْتَسِب
محتاجا	مُحْتاج
متمول	مُتَمَوِّل
ماءها	ماء
مؤخرة	مُؤَخَّر,مُؤْخِر,مُؤَخَّرَة
ليلته	لَيْلَة,ٱِلْتَهَى,لَتّ
ليسوا	لَيِس-َ,لَيْسَ
ليري	وَرَى-ِ,رَأَى-َ
لمناة	مَناة,مَنَى-ِ,مَنّ,لام,مَنَّى,مَنَى
للقتال	قَتّال,قِتال,قاتِل
للفرج	فَرَج,فَرْج
للبصر	بَصَر
لفعلت	فَعَل-َ
لعلها	لَعْل,لَعَلَّ
لضحكتم	ضَحِك-َ
لساني	لِسان,لِسانِيّ
لتعجل	عَجَّل,أَعْجَل,تَعَجَّل,عَجِل-َ
لبسته	باس,لَبَّس,لَبِس-َ,بَسَّة,لِبْسَة,بَسّ,لُبْسَة
لباس	باس,لِباس
لامرت	أَمَّر,أَمَرّ,أَمار,آمَر,أَمَر
لاسحاق	إِسْحاق
كلاما	كَلام
كلاب	كُلّاب,كَلْب
كفوا	كَفّ,كَفَى-ِ
كرواية	رِوايَة
كرز	رُزّ,كَرْز,كَرَز-ِ,كَرَز
كاذبة	ذُباب,كاذِب
قمص	قَمَّص,قُمُّص,قَمَص,قَمِيص
قلما	قَلَم,قَلَّما,قَلَّم,قَلَم-ِ
قطر	قَطَر,قُطْر,قَطْر,قِطار,قَطَّر
قضت	قَضّ-َ,قَضَّى,قَضَى-ِ,قَضّ,قاض-ِ,قاض
قرقر	قَرْقَر
قاتلهم	قاتَل,قاتِل
فينبتون	نَبَّت,نَبَت,أَنْبَت,ٱِنْبَتّ
فينادي	نادَى
فيعمل	عَمِل-َ,أَعْمَل
فيسال	أَسال
فيريد	أَراد
فيحد	حَدِي,حاد-ِ,حاد,أَحَدّ,حَدّ-ِ,حَدّ,حَدا
فياتيهم	أَتَى-ِ
فوجدوا	وَجَد-ِ
فواحدة	واحِد
فنزعه	نَزَّع,نَزْعَة,نَزَع-ِ,نَزْع
فناولته	ناوَل
فلها	فَلّ,فُلّ,لَها,لِ-
فلق	فَلَق-ِ,فَلَّق,فَلْق
فلعل	لَعْل,لَعَلَّ
فقطعه	قَطَع-َ,قَطَّع,قِطْعَة,قَطْع,قَطْعَة,قُطْعَة
فقصصتها	قَصّ,قَصَّص
فقتلتها	قَتَّل,قَتَل,قاتِل
فقبض	قَبْض,قَبَّض,قَبَض-ِ,قُبْضَة
ففرق	فَرَق,فَرْق,فَرَّق,فِرْقَة
فعليك	عَلِيّ,فِعْلِيّ,عَلَى
فعلمني	عَلِم-َ,عَلَّم
فصلت	صال,صَلَّى,فَصَل-ِ,صَلَى-ِ,فَصَّل,صَلُت
فصفوا	صَفا,صَفَّى,صَفّ,صَفْو
فسقطت	سَقَط
فراها	فَرَّى,فِرْيَة,فَرَى-ِ,فَرّ-ِ
فراني	فَرَّى,فَرّان,فَرَى-ِ,فَرّ-ِ
فراق	فِراق,راق-ِ,راقِي,راق
فدعوته	دَعْوَة,دَعا
فجاءنا	فِجاء,جاء
فجاءته	جاء
فثار	ثار
فتناول	تَناوَل,تَناوُل,ناوَل
فتلون	تَلَوَّن,تَلَوُّن,وَلِي-ِ,لَوَّن,تَلا
فتلا	فَتْلَة,فَتَّل,فَتَل-ِ,تَلّ,تَلا
فتكون	وَكَى-ِ,تَكَوَّن,كان,كَوَّن
فتغيظ	أَغاظ,غَيَّظ,تَغَيَّظ,غاظ-ِ
فبصق	بَصَق
فبايعه	بايَع
فبالذي	الَّذِي
فالاول	أَوَّل
فاكتبوها	أَكْتَب
فاقضي	قَضَّى,قَضَى-ِ
فاقض	قَضّ-َ,قَضَّى,قَضَى-ِ,قَضّ,أَقَضّ,قاض-ِ,قاض
فاقر	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
فاقتله	قَتَل,قَتَّل
فافزعوا	أَفْزَع
فافرج	فَرَّج,أَفْرَج
فافاق	أَفاق,أُفُق,أَفّاق
فاعتمرت	ٱِعْتَمَر
فاعتزل	ٱِعْتَزَل
فاصبنا	صَبّ,وَصَب-ِ,أَصاب,صَبَّن,صَبِي-َ,صَبا,صَبّ-َ,صَبَّى
فاصبحوا	أَصْبَح
فاسلموا	أَسْلَم
فاخر	فاخَر,خار-ِ,فاخِر,خَرّ-ُِ,آخِر,خار,آخَر
فاختار	ٱِخْتار
فاتاها	أَتاه,فات,آتَى,أَتَى-ِ
فات	فات,آتِي
غلب	غَلَب-ِ
غريبا	غُرَيْب,غَرِيب
غدوت	غَدا
غبار	غُبار
عوسجة	عَوْسَج
عوذوا	عَوَّذ
عنقي	عُنْقِيّ,عُنْق
عمومته	عُمُومَة
عملي	عَمَلِيّ,عَمَل
عليكن	عَلِيّ,عَلَى
علموا	عَلِم-َ,عَلَّم
عقبه	عَقِبَ,عُقْب,عَقَب,عَقَّب,عَقَبَة
عسفان	NOTFOUND
عجب	عَجِب-َ,عَجَّب,عَجَب
عبس	عَبَّس,عَبْس,عَبَس-ِ
ظاهرين	ظاهِر
طعمها	طُعْم,طَعْم,طَعَّم,طَعِم-َ
طافوا	طاف,طاف-ِ
ضوء	ضَوْء
صيامه	صائِم,صِيام
صياما	صائِم,صِيام
صوف	صُوف
صور	صُورَة,صَوَّر,صُور
صرفا	صِرْف,صَرْف,صَرَّف,صَرَف-ِ
صدوق	صَدُوق
صبي	صَبّ,صَبِيّ,صَبِي-َ,صَبَّى
صباحاه	NOTFOUND
شفي	شَفَى,شِفّ
شراحيل	NOTFOUND
شحيح	شَحِيح
شجاعا	شُجاع
سوطه	سَوْط
سورتين	سُورَة
سواري	سارِيَة,سَوارِيّ,سِوار
سهمه	سَهْم,سَهَم
سهلة	سَهَّل,سَهْل
سقما	سَقُم,سُقْم,سَقَّم,سَقِم-َ
سفرنا	سَفَر,سَفَر-ِ,سَفَّر,سِفْر,سُفْرَة
سفرة	سَفَر,سَفَر-ِ,سَفَّر,سَفْرَة,سُفْرَة,سِفْر
سخط	سَخِط-َ,سُخْط
سبقك	سَبَّق,سَبَق-ُِ,سَبْق,سَبَق
سالمها	سالَم,لام,سالِم,لَمّ,أَلام
ساحل	أَحَلّ,حَلّ-ِ,حَلَى,أَحال,حَلَّى,حَلِي-َ,حَلُو,حال,ساحِل,حَلّ
سابط	بَطّ
زوال	زَوال
زعموا	زَعَم
رهم	رِهْمَة
ركبت	رَكَّب,رَكِب-َ
ركاب	رِكاب,راكِب,رَكّاب
رقد	رَقْد,راقِد,رَقَّد,رَقَد
رفقة	رِفْقَة,رِفْق
رغاء	رَغّاء
ردت	راد,رَدَّى,رَدّ
رحيما	رَحِيم
رحل	راحِل,رَحّال,رَحْل,رَحَّل,رَحَل-َ
رباعيته	رُباعِيّ
رايناك	NOTFOUND
راض	راض,راضِي
راء	راء,رائِي
ذنوبا	ذَنْب
ذكرك	ذِكْر,ذَكَر,ذَكَّر
دينها	دِين,دَيِّن,دَيْن
دمائهم	دَم
دلو	دَلْو
دفعتها	دُفْعَة,دَفَع-َ,دَفْعَة
دخولا	دُخُول
دخول	دُخُول
دباء	NOTFOUND
خيلا	أَخْيَل,خَيَّل,خَيْل
خليط	خَلِيط
خلافته	خِلافَة
خفي	خَفِي-َ,خَفِيّ,خُفّ,خَفَى-ِ
خشيتك	خَشِي-َ,خَشْيَة,خَشَّى
خزامة	خُزامَة,خِزام
خروجا	خُرُوج
خرقة	أَخْرَق,خِرْقَة,خَرْق,خَرَق-ُِ,خُرْقَة
خذي	أَخَذ
خالف	خالَف
حنينا	حَنْي,حَنِين
حنيفة	حَنِيفَة,حَنِيف
حنطة	حِنْطَة,حَنَّط
حظا	حَظّ-َ,حَظّ
حضرنا	حَضَّر,حَضَر
حضرموت	حَضْرَمَوْت
حجيرة	NOTFOUND
جندبا	جُنْدُب
جليسا	جَلِيس
جري	جَرْي,جَرَى-ِ,جَرّ
ثوير	NOTFOUND
ثني	ثَنَّى,ثَنَى-ِ,ثَنْي,ثِنْي
ثنتان	ثُنَّة
تهدي	تَهَدَّى,أَهْدَى,هَدّ-ِ,هَدَى-ِ,هَدّ
تهامة	تِهامَة
تنسون	نَسِي-َ,أَنْسَى
تنحي	أَنْحَى,نَحا,تَنَحِّي,نَحَّى,تَنَحَّى,نَحَى
تمنيت	تَمَنَّى
تلقوني	لَقِي-َ,تَلَقَّى,أَلْقَى
تكبيرة	تَكْبِير
تقضيه	قَضَّى,قَضَى-ِ,قَضّ
تقرءون	NOTFOUND
تفطر	تَفَطَّر,أَفْطَر,فَطَر
تغزو	غَزا
تعوذوا	تَعَوَّذ,عاذ,عَوَّذ
تعوذ	تَعَوَّذ,عاذ,عَوَّذ
تعالوا	أَعال,تَعالَى
تطوفي	طاف,طَوَّف
تصفون	صَفا,صَفَّى,أَصْفَى,صَفّ,وَصَف-ِ
تصديق	تَصْدِيق
تسموا	وَسَم-ِ,سَمّ,سَمَّى,تَسَمَّى,أَسْمَى,سَما
تروه	أَرْوَى,وَرَى-ِ,رَوَى-ِ,رَأَى-َ,رَوَّى
تروني	أَرْوَى,وَرَى-ِ,رَوَى-ِ,رَوَّى,رَأَى-َ
تركتها	تَرَك,تَرِكَة,تَرَّك
تردن	راد,رَدَن-ِ,أَراد,وَرَد-ِ
ترتفع	ٱِرْتَفَع
تخرجوا	خَرَج,خَرَّج,تَخَرَّج,أَخْرَج
تحاسدوا	تَحاسَد
تجني	تَجَنِّي,تَجَنَّى,أَجَنّ,جَنَى-ِ,جَنّ
تجلت	تَجَلَّى
تجعلها	جَعَل-َ
بيضة	بَيْضَة,بِيض,بَيَّض,بَيْض
بنوم	نائِم,نَوْم
بنفسك	نَفْس,نَفَس
بمعصية	مَعْصِيَة
بماله	مال
بكلبك	كَلَب,كَلِب,كَلْب
بكتابك	كُتّاب,كِتاب,كاتِب
بقلبه	قَلْبَة,قَلْب
بقاع	بِقاع,قاع
بعود	عُود
بعشرين	عُشْر,عِشْرُون
بعشرة	عِشْرَة,عُشْر,عَشَر,عَشْر
بصر	بَصِر-َ,بَصَّر,بَصُر,بَصَر
بدعة	بِدْع,بِدْعَة,دَعَة,بَدَّع,بَدْع,بَدَع
بدخان	دُخان
بحبل	حَبَل,حَبْل
بتقوي	تُقْو,تَقْوَى
ببعضه	بَعْض
باهلها	أَهْل,باهِل,آهِل
بالظهر	ظَهْر,ظُهْر
بالسلام	سَلّام,سَلام
بالرطب	رَطْب,رُطَب
بالرحيل	رَحِيل
بالدراهم	دِرْهَم
بالامر	أَمْر,أَمَرّ,آمِر
بالابواء	NOTFOUND
باطيب	أَطْيَب
باحد	أَحَد,أَحَدّ
ايديهما	يَد
اولياء	وَلِيّ
اوقد	وَقَّد,أَوْقَد
اوعي	وَعَّى,وَعَى-ِ,أَوْعَى
اهلنا	أَهال,هال,هال-ِ,هَلّ-ِ,هَلَّن,أَهْل,أَهَلّ,آهِل
انزع	نَزَّع,نَزَع-ِ
انجشة	NOTFOUND
انتعل	ٱِنْتَعَل
امرته	أَمَّر,أَمَرّ,أَمار,آمَر,إِمْرَة,آمِر,أَمَر
امتلات	NOTFOUND
امامي	إِمام,أَمامَ,إِمامِيّ,أَمامِيّ,أَمام
اليقين	أَلْيَق,يَقِين
اليعمري	NOTFOUND
اليت	آلَى
الوسادة	وِسادَة
الوجوه	وَجْه
الهذيل	NOTFOUND
النجود	NOTFOUND
المهزم	NOTFOUND
