يؤخرا	ؤَخِّر
ويمسك	مَسَى,مَسَّك,مَسَّى,أَمْسَك,مَسَك,أَمْسَى,وَمَس-ِ,مَسّ-َ,ماس-ِ
ويمسخ	مَسَخ-َ
ويمدحه	مَدَح-َ,مَدَّح
ويمحقا	ٱِمَّحَق,أَمْحَق,مَحَق-َ
ويمجه	مَجّ,ماج
ويمتهن	أَمات,ٱِمْتَهَن,مات
ويلهمون	أَلْهَم,لَهِم-َ
ويلقننا	لَقِن-َ,لَقَّن
ويلعنهم	لَعَن-َ
ويلعق	لَعِق-َ
ويلعب	لَعِب-َ
ويلده	وَلَد-ِ,لَدّ
ويلحق	أَلْحَق,لَحِق-َ
ويلجمهم	لَجَّم,لَجَم,أَلْجَم
ويلتمسان	ٱِلْتَمَس
ويلتمس	ٱِلْتَمَس
ويلتئم	ٱِلْتَأَم
ويلبسون	لَبَّس,لَبِس-َ,أَلْبَس
ويلبس	لَبَّس,لَبِس-َ,أَلْبَس
ويلا	وَيْل
ويكنني	كَنَى-ِ,كَنا,كَنَّى,كَنّ-ِ,كان,أَكَنّ
ويكملها	كَمَّل,أَكْمَل
ويكفيكم	كَفَى-ِ
ويكفوهم	وَكَف-ِ,كَفّ,كَفَى-ِ
ويكفونهم	وَكَف-ِ,كَفّ,كَفَى-ِ
ويكفره	كَفَر-ِ,كَفَّر,أَكْفَر
ويكسوها	وَكَس-ِ,أَكْسَى,كَسا,كَسِي-َ
ويكرهون	كَرِه-َ,كَرُه,كَرَّه,أَكْرَه
ويكبو	كَبا
ويكبروا	كَبَّر,كَبَر,أَكْبَر
ويكان	NOTFOUND
ويكال	NOTFOUND
ويقينا	وَقَى-ِ,يَقِين
ويقيمه	قَيَّم,أَقام
ويقيض	قاض-ِ,قَيَّض
ويقي	وَقَى-ِ
ويقولها	قال
ويقنت	يَقِن-َ,قَنَت
ويقلبه	قَلَب-ِ,قَلَّب
ويقعون	وَقَع-َ,أَقْعَى
ويقطعوني	قَطَع-َ,قَطَّع,أَقْطَع
ويقضون	قَضّ-َ,قَضَى-ِ,قَضَّى,قَضّ,أَقَضّ
ويقسموا	أَقْسَم,قَسَّم,قَسَم-ِ
ويقسمه	أَقْسَم,قَسَّم,قَسَم-ِ
ويقرن	أَقْرَن,قَرَن-ِ,وَقَر-ِ
ويقرب	قَرَّب,قَرِب-َ,قَرُب
ويقرئه	أَقْرَأ
ويقر	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
ويقدر	قَدَّر,قَدِر-َ,قَدَر-ِ,قَدَر
ويقتدي	ٱِقْتَدَى
ويقتدون	ٱِقْتَدَى,ٱِقْتَدّ
ويقبلون	قَبَّل,أَقْبَل,قَبِل-َ
ويقبضه	قَبَّض,قَبَض-ِ
ويقاتلونهم	قاتَل
ويقاتلونه	قاتَل
ويقاتلهم	قاتَل
ويفيضها	فاض-ِ,أَفاض
ويفك	وَفَى-ِ,فَكّ
ويفعلون	فَعَل-َ
ويفطرني	أَفْطَر,فَطَر
ويفصل	فَصَل-ِ,فَصَّل
ويفسرها	فَسَّر
ويفرغ	فَرَّغ,فَرِغ-َ,فَرَغ,أَفْرَغ
ويفر	فَرَّى,وَفَر-ِ,أَفْرَى,أَفَرّ,فَرَى-ِ,فار,أَفار,فَرّ-ِ
ويفديه	فَدَى-ِ
ويفدي	فَدَى-ِ
ويفث	NOTFOUND
ويفتخ	NOTFOUND
ويفتتح	ٱِفْتَتَح
ويفارقها	فارَق
ويغمزه	غَمَز-ِ
ويغسلوها	غَسَل-ِ,غَسَّل
ويغرف	غَرَف-ِ
ويغرر	غَرّ,غَرَّر
ويغدو	غَدا
ويغار	أَغار
ويعينني	أَعان,عَيَّن,وَعَى-ِ
ويعيدانه	عَيَّد,أَعاد
ويعيد	عَيَّد,أَعاد
ويعيث	عَيَّث,عاث
ويعوضه	عَوَّض,عاض
ويعمرها	عَمَر,أَعْمَر,عَمُر,عَمَّر
ويعلق	عَلِق,عَلَّق
ويعلفوا	أَعْلَف
ويعقبه	عَقَب,أَعْقَب,عَقَّب
ويعفي	عَفَّى,عَفا,أَعْفَى
ويعظم	عَظُم,أَعْظَم,عَظَّم
ويعطيهم	أَعْطَى
ويعطف	عَطَّف,عَطَف-ِ
ويعصونني	عَصَى-ِ,عَصّ-َ
ويعصر	عَصَر-ِ,عَصَّر
ويعصبوه	أَعْصَب,عَصَب-ِ,عَصَّب
ويعشيه	أَعْشَى,عَشَّى
ويعرفونهم	عَرَّف,عَرَف-ِ
ويعدلان	عَدَل-ِ,عَدَّل
ويعجبهم	أَعْجَب,عَجَّب
ويعتمرون	ٱِعْتَمَر
ويعتقون	عَتُق,أَعْتَق,عَتَق-ِ
ويعاهده	عاهَد
ويعافيهم	عافَى
ويظهرون	أَظْهَر,ظَهَر-َ,ظَهَّر
ويظلني	أَظَلّ,ظَلّ-َ
ويطيلها	أَطال
ويطيل	أَطال
ويطير	طَيَّر,طار-ِ
ويطيب	طاب-ِ,طَيَّب,أَطاب
ويطوفون	طاف,طَوَّف
ويطوفوا	طاف,طَوَّف
ويطهره	طَهَّر
ويطلبه	طَلَب
ويطعما	أَطْعَم,طَعَّم,طَعِم-َ
ويطردهن	طَرَد
ويطرحون	طَرَّح,طَرَح-َ,ٱِطَّرَح
ويضمون	ضَمّ
ويضمهما	ضام-ِ,ضَمّ
ويضعونها	وَضَع
ويضعها	ضاع-ِ,وَضَع,أَضاع
ويضعف	أَضْعَف,ضَعَّف,ضَعُف
ويضطرب	ٱِضْطَرَب
ويضحكون	ضَحِك-َ,أَضْحَك
ويصيح	صاح-ِ,صَيَّح
ويصيبهم	أَصاب
ويصومونه	صام
ويصنعها	صَنَّع,صَنَع-َ
ويصم	صَمّ,أَصْمَى,وَصَم-ِ,صام,أَصَمّ
ويصلحه	صَلَّح,أَصْلَح
ويصفد	أَصْفَد,صَفَّد
ويصعق	صَعَق-َ,صَعِق-َ,أَصْعَق
ويصدقونه	صَدَّق
ويصدق	صَدَق,صَدَّق
ويصدرون	صَدَّر,أَصْدَر,صَدَر
ويصب	صَبّ,وَصَب-ِ,أَصاب,يَصْب,صَبِي-َ,صَبا,صَبّ-َ,صَبَّى
ويصافحه	صافَح
ويشيرون	أَشار
ويشيب	أَشاب,شَيَّب,شاب-ِ
ويشمتن	أَشْمَت,شَمَّت,شَمِت-َ
ويشكو	شَكا
ويشفعون	شَفَع-َ
ويشركانه	شَرِك-َ,أَشْرَك
ويشتم	شَتَم-ُِ,ٱِشْتَمّ
ويشترون	ٱِشْتَرَى,شَتَر-ِ
ويشترط	ٱِشْتَرَط
ويشبه	شَبَّه,شَبّ-ِ,شَبّ,أَشاب,أَشْبَه,شاب,يَشْب
ويسيرهم	سَيَّر,يَسِير,سار-ِ,أَسار
ويسميهم	سَمَّى,أَسْمَى
ويسمونه	وَسَم-ِ,سَمّ,سَمَّى,أَسْمَى,سَما
ويسمعهم	سَمَّع,سَمِع-َ,أَسْمَع
ويسلموا	سَلَّم,أَسْلَم,سَلِم-َ
ويسلمن	سَلَّم,أَسْلَم,سَلِم-َ
ويسقينا	أَسْقَى,سَقَى-ِ
ويسخط	سَخِط-َ,أَسْخَط
ويستوقد	ٱِسْتَوْقَد
ويستوشيه	NOTFOUND
ويستنون	ٱِسْتَنّ
ويستمعون	ٱِسْتَمَع
ويستمعه	ٱِسْتَمَع
ويستلم	ٱِسْتَلَم,ٱِسْتَلام
ويستقون	ٱِسْتَقَى
ويستغني	ٱِسْتَغْنَى
ويستغفرونك	ٱِسْتَغْفَر
ويستغرب	ٱِسْتَغْرَب
ويستظل	ٱِسْتَظَلّ
ويستشيرهما	ٱِسْتَشار
ويستسعي	NOTFOUND
ويستره	سَتَر,سَتَّر
ويسترخي	ٱِسْتَرْخَى
ويستخبركم	ٱِسْتَخْبَر
ويستحبون	ٱِسْتَحَبّ
ويستجيرونك	ٱِسْتَجار
ويستجيبون	ٱِسْتَجاب
ويستثني	ٱِسْتَثْنَى
ويستاذن	NOTFOUND
ويسالونا	NOTFOUND
ويساله	NOTFOUND
ويسالك	NOTFOUND
ويسارا	يَسار,أَسار,سارّ
ويسائلونه	ساءَل
ويزيغ	أَزاغ,زاغ-ِ
ويزيدني	زاد-ِ,زَيَّد,أَزاد
ويزكي	زَكِي-َ,يَزَكِيّ,زَكَّى,أَزْكَى
ويزجرها	زَجَر
ويريبني	راب-ِ,أَراب
ويرويهن	أَرْوَى,رَوَى-ِ,رَوَّى
ويرقي	رَقَّى,رَقِي-َ
ويرفعوا	رَفَع-َ,رَفَّع
ويرفعها	رَفَع-َ,رَفَّع
ويرفعك	رَفَع-َ,رَفَّع
ويرغب	رَغِب-َ
ويرضون	رَضّ,أَرْضَى,رَضَّى,رَضِي-َ
ويرسل	أَرْسَل
ويردون	رَدِي-َ,رَدَّى,رَدّ,أَرْدَى,وَرَد-ِ
ويردف	أَرْدَف,رَدِف-َ,رَدَف
ويرددها	رَدَّد,رَدّ
ويرخي	رَخِي-َ,أَرْخَى
ويرحمه	رَحَّم,رَحِم-َ
ويرحبون	رَحُب,رَحَّب,رَحِب-َ
ويرجم	رَجَّم,رَجَم
ويرتلها	رَتَّل
ويربيها	أَرْبَى,رَبَّى
ويربي	أَرْبَى,رَبا,رَبَّى
ويراها	رَأَى-َ
ويراني	رَأَى-َ
ويذهبون	أَذْهَب,ذَهَب-َ,ذَهَّب
ويذل	أَذَلّ,أَذال
ويذكروني	ذَكَر,أَذْكَر,ذَكَّر
ويذكرونك	ذَكَر,أَذْكَر,ذَكَّر
ويذكرنا	ذَكَر,أَذْكَر,ذَكَّر
ويذبح	ذَبَّح,ذَبَح-َ
ويديك	يَد,وَدَى-ِ
ويدور	دار,دَوَّر
ويدها	يَد,وَدَى-ِ
ويدلكونه	دَلَك,دَلَّك
ويدفعها	دَفَع-َ
ويدعوك	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ويدعها	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
ويدخلون	أَدْخَل,دَخَل
ويدخلني	أَدْخَل,دَخَل
ويدخلنا	أَدْخَل,دَخَل
ويدخلكم	أَدْخَل,دَخَل
ويداويه	داوَى
ويداوي	داوَى
ويداه	يَد
ويدال	أَدال
ويخيفونه	أَخاف
ويخونونني	خَوَّن,خان
ويخون	خَوَّن,خان,وَخَى-ِ
ويخنقونها	خَنَق
ويخمر	أَخْمَر,خَمَّر,خَمَر
ويخلون	أَخْلَى,خَلّ,خَلا,خَلَّى,أَخَلّ
ويخلوا	أَخْلَى,خَلّ,خَلا,خَلَّى,أَخَلّ
ويخلل	خَلّ,أَخَلّ,خَلَّل
ويخفي	خَفِي-َ,أَخْفَى,خَفَى-ِ
ويخفضه	خَفَّض,خَفَض-ِ
ويخرجن	خَرَج,خَرَّج,أَخْرَج
ويخدشنه	خَدَش-ِ,خَدَّش
ويختضب	NOTFOUND
ويختاره	ٱِخْتار
ويخبره	خَبُر,أَخْبَر,خَبَر,خَبَّر
ويخبركم	خَبُر,أَخْبَر,خَبَر,خَبَّر
ويخالف	خالَف
ويخاف	خاف-َ,أَخاف
ويحيل	أَحال
ويحوطه	حَوَّط,حاط
ويحهن	وَحَى-ِ
ويحه	وَحَى-ِ
ويحمي	حَمِي-َ,أَحْمَى,حَمَى-ِ,حَمَّى
ويحملون	حَمَل-ِ,حَمَّل
ويحمر	ٱِحْمَرّ,حَمَّر
ويحمدوا	حَمِد-َ,حَمَّد
ويحلي	حَلَى,حَلَّى,حَلِي-َ,حَلُو
ويحلقوا	حَلَّق,حَلَق-ِ
ويحلب	حَلَب-ُِ
ويحل	أَحَلّ,حَلّ-ِ,حَلَى,حَلَّى,أَحال,حَلِي-َ,حَلُو,حال,حَلّ
ويحفظه	حَفِظ-َ,أَحْفَظ
ويحطمنا	حَطَم-ِ,حَطَّم
ويحط	حَطّ,أَحاط,حاط
ويحصر	حَصِر-َ,حَصَر-ُِ
ويحشر	حَشَر-ُِ
ويحرمونه	حَرَّم,حَرَم-ُِ
ويحرض	حَرَض-ِ,حَرَّض
ويحذي	حَذَى-ِ,حَذا
ويحدها	حَدِي,حاد-ِ,حاد,أَحَدّ,حَدا,حَدّ
ويحدثهن	حَدَث,أَحْدَث
ويحدثه	حَدَث,أَحْدَث
ويحجم	أَحْجَم,حَجَم
ويحثي	حَثا
ويحثنا	حَثّ,حَثا,أَحاث
ويحتطبون	ٱِحْتَطَب
ويحترف	ٱِحْتَرَف
ويحتجرها	ٱِحْتَجَر
ويحتاج	ٱِحْتاج
ويحبس	حَبَس-ِ
ويحببهم	أَحَبّ,حَبّ-ِ,حَبَّب
ويحاصر	حاصَر
ويجهلون	جَهَّل,جَهِل-َ
ويجهل	جَهَّل,جَهِل-َ
ويجملون	جَمَّل,جَمُل,جَمَل,أَجْمَل
ويجعلها	جَعَل-َ
ويجزي	أَجْزَى,جَزَى-ِ
ويجزئه	جَزَّأ
ويجرون	أَجْرَى,جَرَى-ِ,أَجَرّ,جَرّ
ويجبه	جَبَى-ِ,جَبَّى,جاب,جَبَه-َ,جَبّ,أَجاب
ويجاهد	جاهَد
ويثور	ثار,ثَوَّر
ويثبطونهم	ثَبَط,ثَبَّط
ويثبتونه	أَثْبَت,ثَبَّت
ويتيمم	تَيَمَّم
ويتولاها	تَوَلَّى
ويتهلل	تَهَلَّل
ويتنحنح	تَنَحْنَح
ويتنادي	تَنادَى
ويتمضمض	تَمَضْمَض
ويتمسحون	تَمَسَّح
ويتمايل	تَمايَل
ويتماري	تَمارَى
ويتلوه	تَلَوَّى,أَتْلَى,تَلا
ويتلذذون	تَلَذَّذ
ويتكلم	تَكَلَّم
ويتفكر	تَفَكَّر
ويتفقهن	تَفَقَّه,ٱِتَّفَق
ويتفقرون	NOTFOUND
ويتفصحون	تَفَصَّح
ويتعاونان	تَعاوَن
ويتعاهدنا	تَعاهَد
ويتضرع	تَضَرَّع
ويتزوج	تَزَوَّج
ويتردون	تَرَدَّى
ويتذاكرون	تَذاكَر
ويتدارسون	تَدارَس
ويتخيروا	تَخَيَّر
ويتخايران	NOTFOUND
ويتحول	تَحَوَّل
ويتحفه	تَحَفَّى,أَتْحَف
ويتحصن	تَحَصَّن
ويتحدثون	تَحَدَّث
ويتحدث	تَحَدَّث
ويتجوزوا	تَجَوَّز
ويتجر	تَجَر,تَجَّر,ٱِتَّجَر
ويتجاوزوا	تَجاوَز
ويتتعتع	NOTFOUND
ويتتبعان	تَتَبَّع
ويتبعونه	تَبِع-َ,أَتْبَع,ٱِتَّبَع
ويتبعه	تَبِع-َ,أَتْبَع,ٱِتَّبَع
ويتبسمان	تَبَسَّم
ويتامي	يَتِيم
ويتاماي	يَتِيم
ويبيض	ٱِبْيَضّ,باض-ِ,بَيَّض
ويبول	بَوَّل,بال
ويبني	بَنَى-ِ,أَبان
ويبلي	بَلا,بَلِي-َ,أَبْلَى
ويبطش	بَطَش-ُِ
ويبطئ	أَبْطَأ,بَطَّأ
ويبصرون	أَبْصَر,بَصِر-َ,بَصُر,بَصَّر
ويبشرني	بَشَر-ِ,أَبْشَر,بَشَر,بَشَّر,بَشِر-َ
ويبسط	بَسُط,بَسَّط,بَسَط
ويبذو	NOTFOUND
ويبتليك	ٱِبْتَلَى
ويبايع	بايَع
ويبادرني	بادَر
ويامرك	أَمَر
وياكلوا	أَكَل
وياكلهن	أَكَل
وياكلها	أَكَل
وياكله	أَكَل
وياقوت	ياقُوت
ويافت	NOTFOUND
وياسها	أَسِي-َ,أَسا
وياخذون	أَخَذ
وياخذها	أَخَذ
وياخذان	أَخَذ
وياجرك	أَجَر
وياتيها	أَتَى-ِ
وياتيك	أَتَى-ِ
وياتونا	أَتَى-ِ
ويؤنس	آنَس,أَنَّس
ويؤمهم	NOTFOUND
ويؤمنون	آمَن,أَمَّن
ويؤمنوا	آمَن,أَمَّن
ويؤمنا	آمَن,أَمَّن
ويؤدبها	آدَب,أَدَّب
ويؤخرون	ؤَخِّر
ويؤتمن	NOTFOUND
ويؤت	آتَى
ووهم	وَهَم-ِ,وَهْم,وَهِم-َ
ووهبنا	وَهَب-َ
وولت	وَلَّى
ووكيعا	NOTFOUND
ووكزه	وَكَز-ِ,وَكْز
ووكز	وَكَز-ِ,وَكْز
ووقعوا	وَقَع-َ,وَقَّع,وُقِّع
ووقر	وَقْر,وَقَر-ِ,وَقُر,وِقْر,وَقَّر
ووقاكم	وَقَى-ِ
ووقار	وَقار
ووفيت	وَفَى-ِ,وَفَّى
ووفدت	وَفَد-ِ,وَفَّد
ووعي	وَعَّى,وَعْي,وَعَى-ِ
ووعظها	وَعْظ,وَعَظ
ووعدكم	وَعْد,وَعَد-ِ
ووعداه	وَعْد,وَعَد-ِ
ووعاها	وَعَّى,وَعَى-ِ
ووطبة	وَطْب
ووطب	وَطْب
ووضوئه	وُضُوء
ووضعناها	وَضَع
ووضعناه	وَضَع
ووضعته	وَضْعَة,وَضَع
ووضعتموهما	وَضَع
ووصفوا	وَصَف-ِ
ووصفت	وَصَف-ِ
ووسوسة	وَسْوَس,وَسْوَسَة
ووسعوا	وَسُع,وَسِع-َ,وَسَّع
ووسطه	وَسَّط,وَسْطَ,وَسْط
ووسط	وَسَّط,وَسْطَ,وَسْط
ووزيران	وَزِير
ووزان	وِزان
ووركيها	وَرْك
ووركها	وَرْك
وورقها	وَرَق,وَرَّق
وورقاء	NOTFOUND
وورق	وَرَق,وَرَّق
ووردت	وَرَّد,وَرَد-ِ
وورثني	وَرِث-ِ,وَرَّث
وودوا	وَدّ-َ,وَدَى-ِ
وودع	وَدْع,وَدَّع
ووجوهم	NOTFOUND
ووجهوا	وَجَّه,واجَه
ووجهها	وَجَّه,وَجْه
ووجدناه	وَجَد-ِ
ووجاه	NOTFOUND
ووثقه	وَثاق,وَثَّق,وَثِق-َِ
ووتد	وَتَّد,وَتَد
ووبشت	NOTFOUND
ووالدك	والِد
ووالد	والِد
ووال	والِي
وواكلوهم	واكَل
ووافقنا	وافَق
وواعده	واعَد,واعِد
وواساني	واسَى
ووارت	وارَى
وهيانني	NOTFOUND
وهيئتها	هَيْئَة,هَيَّأ
وهيئة	هَيْئَة,هَيَّأ
وهويته	هَوَّى,هَوَى-ِ,هَوِي-َ,هُوِيَّة
وهولا	هَوْل,هَوَّل
وهند	هِنْد
وهنا	وَهُن,هُنا,وَهْن,واهِن,هَنّ-ِ,وَهَن-ِ
وهمه	وَهَم-ِ,وَهْم,هَمّ,هِمَّة
وهمدان	NOTFOUND
وهمت	وَهَم-ِ,هام-ِ,وَهِم-َ,هِمَّت,هَمّ,هَما
وهلين	NOTFOUND
وهللوا	هَلَّل
وهلكوا	هَلَّك,هَلَك
وهلا	وَهَل,وَهِل-َ,هَلّا,هَلّ-ِ,وَهَّل
وهصناه	NOTFOUND
وهشاما	NOTFOUND
وهزمهم	هَزْم,هَزَم-ِ
وهزال	هُزال,هَزّال
وهريقوا	NOTFOUND
وهرقل	هِرَقْل
وهربوا	هَرَب,هَرَّب
وهذبوا	هَذَب-ِ,هَذَّب
وهذان	هٰذا
وهدية	هَدْي,هَدْيَة,هَدِيَّة
وهدي	وَهْدَة,هَدْي,وَهْد,هُدَى,هَدَى-ِ,هَدّ
وهدموا	هَدَّم,هَدَم-ِ
وهدبة	هَدِب,هُدْب,هَدِب-َ,هَدَّب
وهداه	هُدَى,هادِي,وَهَّد,هَدَى-ِ,هَدّ
وهجرتنا	هِجْرَة,هَجَر,هَجَّر
وهجرة	هِجْرَة,هَجَر,هَجَّر,هَجْر
وهج	وَهَج-ِ,هَجّ,وَهَج
وهتف	هَتَف-ِ
وهبيب	NOTFOUND
وهبط	هَبَط,هَبْط
وهباخبرني	NOTFOUND
وهام	هامّ,هام,هام-ِ
وهاجت	هاجَى,هاج-ِ
ونيئا	نِيّ,نَيْء
ونومي	نَوْمِيّ,نائِم,نَوْم
ونومه	نَوْمَة,نُوَمَة,نَوَّم,نائِم,نَوْم
ونومت	نَوَّم
ونوساتها	NOTFOUND
ونوره	نُورَة,نُور,نَوَر,أَوْرَى,نَوَّر,وَرَّى,نَوْرَة
ونودوا	NOTFOUND
ونوح	أَوْحَى,نُوح,نَوْح
ونواصيها	ناصِيَة
ونواحيها	ناحِيَة,نَوّاح
ونوائب	نائِبَة
ونهيم	نَهِيم,هَيَّم,هام-ِ
ونهيك	وَهَى-ِ,نَهْي
ونهيق	NOTFOUND
ونهيت	هَيَّت,نَهَى-ِ
ونهزا	نَهَز-َ
ونهتني	نَها,هَتَن-ِ,نَهَى-ِ
ونهب	هاب-َ,هَبا,أَهَبّ,أَهاب,نَهْب,نَهَب-َُ,نَهِب-َ,وَهَب-َ,هَبّ
ونهاكم	نَها,نُهَى,نَهَى-ِ
ونهاره	نَهار
وننفخه	نَفَخ
ونناول	ناوَل
وننال	نال-َ
ونمير	مار-ِ,أَمار
ونمنا	نَمّ,نام-َ
ونمسح	مَسَّح,مَسَح-َ
ونمد	أَمْدَى,مَدّ,ماد-ِ,أَمَدّ
ونمت	نَمّ,نَمَى-ِ,نَمَّى,مَتّ,أَمات,نَما,مات,نام-َ
ونلطخه	لَطَّخ,لَطَخ-َ
ونلت	نال,لَتّ,نال-َ
ونلبس	لَبَّس,لَبِس-َ,أَلْبَس
ونكفي	نَكْف,نَكَفِيّ,كَفَى-ِ,نُكَف
ونكست	نَكَس,نَكَّس
ونكس	نَكَس,وَكَس-ِ,أَكْسَى,نُكْس,نَكَّس,كاس-ِ,كَسِي-َ,كَسا
ونكريها	نَكِر,كَرَى-ِ,أَكْرَى
ونكره	نَكِر,نَكَّر,كَرِه-َ,كَرُه,نَكِرَة,كَرَّه,كَرا,كَرّ,أَكْرَه,نُكْر,كَرِي-َ,كَرَى-ِ,أَكْرَى
ونكبره	كَبَّر,كَبَر,أَكْبَر
ونقيمة	قَيَّم,أَقام
ونقيل	قَيَّل,أَقال,نَقِيل
ونقير	قَيَّر,نَقِير
ونقوا	نَقّ-ِ,نَقَّى,نَقِي-َ
ونقرئه	أَقْرَأ
ونقدني	قَدّ,قاد,قَدِي-َ,وَقَد-ِ,قَدا,نَقَد,أَقاد
ونقتل	قَتَّل,قَتَل
ونقتطع	ٱِقْتَطَع
ونقبت	نَقَّب,نَقَب,نَقِب
ونفيتك	نَفَى,نَفِيّ
ونفل	فَلّ,فَلَى-ِ,نَفْل,نَفَل,فال-ِ,فَلَّى
ونفقة	فَقِه-َ,أَفاق,نَفَقَة,فاق,أَفْقَه,نَفَّق,نَفَق,فَقَّه,فَقُه
ونفقاتك	نَفَقَة
ونفعل	فَعَل-َ
ونفضل	فَضَل,أَفْضَل,فَضَّل
ونفضتها	نَفَضَة,نَفَّض,نَفَض,نُفَضَة
ونفضته	نَفَضَة,نَفَض,نَفَّض,نُفَضَة
ونفض	فاض-ِ,فَضّ,فَضا,أَفاض,فَضَّى,وَفَض-ِ,نَفَض,نَفَّض,أَفْضَى
ونفشي	نَفَش,أَفْشَى
ونفسك	نَفْس,فَسا,نَفَس,نَفِس-َ,نَفَّس
ونفسا	نَفْس,نَفِس-َ,نَفَس,نَفَّس,نَفُس
ونفرنا	فَرَّى,نَفَّر,أَفْرَى,فَرَى-ِ,أَفَرّ,فار,نافِر,نَفَر,أَفار,فَرّ-ِ
ونفرا	نَفَّر,نافِر,نَفَر
ونفاق	نَفاق,أَفاق,نِفاق
ونغطي	غَطا,غَطَّى
ونغتسل	ٱِغْتَسَل
ونعين	أَعان,نَعَى-َ,عَيَّن,نَعَى-ِ
ونعيمها	نَعِيم
ونعيمه	نَعِيم,نُعَيْمَة
ونعود	عاد,عَوَّد
ونعمل	عَمِل-َ,أَعْمَل
ونعمته	نَعَّم,نَعْمَة,نَعَم-َُ,نِعْمَة
ونعما	نَعَّم,نَعُم,نِعْم,نَعِم-َ,نَعَم-َُ,نِعْمَة
ونعليه	نَعْل,أَعْلَى,عَلَّى
ونعزل	أَعْزَل,عَزَل-ِ
ونعتت	نَعَت-َ
ونعت	عَتا,نَعَى-َ,نَعْت,نَعَت-َ,نَعَى-ِ
ونعبد	عَبَد,عَبَّد
ونعادي	عادَى
ونظره	نَظَر,نَظْرَة
ونطوي	طَوَى-ِ
ونطوف	طاف,طَوَّف
ونطهرها	طَهَّر
ونطرد	طَرَد,ٱِطَّرَد
ونضع	ضاع-ِ,وَضَع,أَضاع,ضاع
ونضرة	ضَرّ,نَضِر,ضَرَّى,نَضُر,ضار,أَضَرّ,ضار-ِ,نَضْرَة,نَضَر,نَضِر-َ,نَضَّر
ونضربهما	ضَرَب,أَضْرَب,ضَرَّب
ونصيري	نَصِير,نُصَيْرِيّ
ونصنع	صَنَّع,صَنَع-َ
ونصله	صال,صَلَّى,وَصَل-ِ,صَلِي-َ,نَصَل-َُ,أَصْلَى,صَلَى-ِ,نَصْل
