القائلون	قائِل
الطعن	طَعْن
الطروق	NOTFOUND
الطرقات	طُرْقَة,طَرِيق,طَرْقَة
الطرف	طَرَف
الطب	طِبّ
الطالع	طالِع
الطالب	طالِب
الضني	ضَنِي,ضَنَى
الضن	ضَنّ
الضلال	ضالّ,ضَلال
الضفر	ضَفْر
الضعفة	ضَعِيف
الضربات	ضَرْبَة
الضر	ضِرّ
الضار	ضارّ
الصوامع	صَوْمَعَة
الصهر	صَهْر,صِهْر
الصموت	صُمُوت
الصم	أَصَمّ
الصفين	صَفّ,صَفِين
الصفر	صِفْر,أَصْفَر,صَفَر
الصغيرة	صَغِيرَة,صَغِير
الصغدي	NOTFOUND
الصعود	صُعُود
الصريمة	صَرِيمَة
الصرعة	NOTFOUND
الصدغين	NOTFOUND
الصخب	صَخِب,صَخَب
الصحراء	صَحْراء
الصبيين	صَبِيّ
الصبور	صَبُور
الصالقة	NOTFOUND
الصائمين	صائِم
الشيعتين	NOTFOUND
الشية	شِيَة
الشهود	شُهُود,شاهِد
الشهاب	شِهاب
الشني	NOTFOUND
الشنة	NOTFOUND
الشنئي	NOTFOUND
الشمط	شَمَط,أَشْمَط
الشكور	شَكُور,شُكْر
الشكر	شُكْر
الشقي	شَقِيّ
الشقة	شَقَّة,شُقَّة
الشدقين	شِدْق
الشحناء	شَحْناء
الشافع	شافِع
الشاذكوني	NOTFOUND
السيفين	سَيْف,سِيف
السوية	سَوِيَّة,سَوِيّ
السوار	سِوار
السهمين	NOTFOUND
السهل	سَهْل
السه	أَلَّس,وَلَس-ِ,لاس
السنن	سُنَّة,سَنَن
السمعي	سَمْعِيّ
السمرة	سُمْرَة
السمتي	NOTFOUND
السماك	سَمّاك,سِماك
السماط	سِماط
السلامي	سُلامَى
السقي	سَقْي
السقم	سُقْم
السفهاء	سَفِيه
السريع	سَرِيع
السرقة	سَرِقَة,سارِق
السرق	NOTFOUND
السرعان	سَرْعان,سَرِيع,سُرْع
السرج	سِراج,سَرْج
السرار	سَرار
السدر	سِدْر
السخط	سُخْط
السحرة	NOTFOUND
السجل	سِجِلّ
السجف	سَجْف,سِجاف
الستمائة	سِتّمائَة
الستما	لَيْسَ,أَلَّس
السبعمائة	سَبْعمائَة
الساقة	ساقَة
الساطع	ساطِع
السارية	سارِيَة,سارِي
السادة	سَيِّد,سادَة,سادّ
السائمة	سائِمَة
السائلين	سائِل
الزناة	زانِي
الزمه	لَزِم-َ,أَلْزَم
الزمن	زَمَن,أَلْزَم,زَمِن
الزمام	زِمام
الزلق	زَلِق
الزرابي	زُرْبِيَّة
الزحام	زِحام
الزجاجة	زَجّاج,زُجاجَة,زِجاجَة
الزبيرعن	NOTFOUND
الزبور	زَبُور
الزبد	زُبْدَة,زُبْد,زَبَد
الرياء	رِئاء
الرويبضة	NOTFOUND
الرميصاء	NOTFOUND
الرملان	NOTFOUND
الرماد	رَماد
الركوة	رَكْوَة
الركبة	رُكْبَة
الرقمة	NOTFOUND
الرقام	NOTFOUND
الرفعة	رَفْعَة,رِفْعَة
الرفاق	رَفِيق,رِفْقَة
الرعد	رَعْد
الرعاية	رِعايَة
الرعاة	راعِي
الرضيع	رَضِيع
الرضاء	رِضاء
الرشيد	رَشِيد
الرسغ	رُسْغ
الرداد	NOTFOUND
الرحيق	رَحِيق
الرجعي	رَجْعِيّ,رُجْعَى
الرجز	رُجْز,رَجَز
الربعي	رُبْعِيّ
الرايات	رايَة
الران	NOTFOUND
الرامي	رامِي
الرافع	رافِع
الراشدين	راشِد
الرازق	رازِق
الراحمون	NOTFOUND
الرؤية	رُؤْيَة
الرءوف	رَؤُوف
الذيل	ذَيْل
الذيال	NOTFOUND
الذلة	ذِلَّة
الذل	ذُلّ
الديك	دِيك,أَلَدّ
الديات	دِيَة
الدهاقين	دِهْقان
الدموع	دَمْع,دَمُوع
الدفعة	دُفْعَة,دَفْعَة
الدفتين	دَفَّة
الدشتكي	NOTFOUND
الدرهمين	دِرْهَم
الدرقة	دَرَقَة
الدرق	دَرَق
الدرجتين	دَرَجَة
الدخيشن	NOTFOUND
الدحض	دَحْض
الدجاج	دَجاج
الدبيلة	NOTFOUND
الدافة	NOTFOUND
الداذي	NOTFOUND
الخيرة	خَيِّر,خِيرَة,خَيْرَة
الخيران	خَوْر,خَيِّر
الخيام	خَيْمَة,خَيّام
الخوزي	NOTFOUND
الخندمة	NOTFOUND
الخليسة	NOTFOUND
الخلل	خَلَل
الخلط	خَلْط,خِلْط
الخلاص	خَلاص
الخفيفة	خَفِيف
الخطوط	خَطّ
الخطبتين	خُطْبَة
الخضمات	NOTFOUND
الخضروات	خُضْرَة
الخضاب	خِضاب
الخصال	NOTFOUND
الخشوع	خُشُوع
الخريف	خَرِيف
الخثعمية	NOTFOUND
الخبران	خَبَر
الخبب	خَبَب
الخباء	خِباء
الخالقون	خالِق
الخال	خال
الخافض	خافِض
الخاسرين	خاسِر
الحيطان	حائِط
الحيا	أَلْحَى
الحولين	NOTFOUND
الحولاء	أَحْوَل
الحواميم	NOTFOUND
الحوائط	حائِط
الحنيني	NOTFOUND
الحنيفية	NOTFOUND
الحنيف	حَنِيف
الحناتم	NOTFOUND
الحمامة	حَمام
الحلو	حُلْو
الحكرة	حُكْرَة
الحقيق	حَقِيق
الحفظ	حِفْظ
الحفش	NOTFOUND
الحفر	حُفْرَة,حَفْر
الحف	أَلْحَف,لَحَف-َ
الحضور	حُضُور
الحشوش	NOTFOUND
الحسب	حَسَب,حَسْب
الحزين	حَزّ,حَزِين
الحزونة	NOTFOUND
الحريصة	حَرِيص
الحروف	حَرْف
الحرمة	حُرْمَة
الحرقات	NOTFOUND
الحرس	حَرَس
الحرج	حَرَج,حَرِج
الحرث	حَرْث
الحرتان	حُرّ,حَرَّة
الحراسة	حِراسَة
الحرائر	حَرُور,حَرِير,حَرائِر
الحديقتين	حَدِيقَة
الحديا	NOTFOUND
الحجبة	حاجِب
الحبطي	NOTFOUND
الحبس	حَبْس,حِبْس
الحالق	حالِق
الحالف	NOTFOUND
الحالة	حالَة
الحاكمين	حاكِم
الحافظون	NOTFOUND
الحاضر	حاضِر
الحاسب	حاسِب
الحازم	حازِم
الحار	حارّ
الحاذ	NOTFOUND
الحادية	حادِي,إِلْحادِيّ
الح	لَحّ-َ,أَلَحّ,لاح,لَحا,لَحَى,أَلاح,لَحْي
الجواز	جَواز
الجواري	جارِيَة
الجوارح	جارِحَة
الجو	جَوّ
الجهنميون	جَهَنَّمِيّ
الجهاز	جِهاز
الجنون	جُنُون
الجندل	جَنْدَل
الجلحاء	أَجْلَح
الجلجل	جُلْجُل
الجفرة	جُفْرَة
الجعرور	NOTFOUND
الجعبة	جَعْبَة
الجص	جِصّ
الجسم	جِسْم
الجزل	جَزْل
الجزر	جَزْر,جَزِيرَة,جَزَر
الجرعة	جُرْعَة
الجرح	جُرْح
الجرجاني	NOTFOUND
الجرب	أَجْرَب,جِراب,جَرَب,جَرِب
الجذماء	NOTFOUND
الجدعاء	NOTFOUND
الجبتين	جُبَّة
الجالس	جالِس
الجازر	NOTFOUND
الجارودي	NOTFOUND
الجابر	جابِر
الجائي	جائِي
الجائزة	جائِز,جائِزَة
الثواب	ثَوّاب,ثَواب
الثني	ثَنْي,لاث,ثِنْي
الثنايا	ثَنِيَّة
الثعالب	ثَعْلَب
الثعارير	NOTFOUND
الثرثارون	ثَرْثار
الثبات	ثَبات
التيهان	تِيه,تَيْهان
التوكل	تَوَكُّل
التوابون	تَوّاب
التمثال	تِمْثال
التمام	تَمّام,تَمام
التماثيل	تِمْثال
التمائم	تَمِيمَة
التلب	NOTFOUND
التلاع	تَلْعَة
التكلان	NOTFOUND
التقطت	ٱِلْتَقَط
التفاتة	ٱِلْتِفاتَة,ٱِلْتِفات
التفات	ٱِلْتِفات
التغليس	NOTFOUND
التعوذ	NOTFOUND
التعزير	تَعْزِير
التصرية	NOTFOUND
التشبيه	تَشْبِيه
التسوية	تَسْوِيَة
التسبيد	NOTFOUND
التزمه	ٱِلْتَزَم
التزكية	تَزْكِيَة
التربة	تُرْبَة
التحلق	NOTFOUND
التحف	تُحْفَة,ٱِلْتَحَف
التبسم	NOTFOUND
التاجر	تاجِر
التابع	تابِع
البيدر	بَيْدَر
البيادر	بَيْدَر,بادِرَة
البليغ	بَلِيغ
البكير	بَكِير
البكم	أَبْكَم,أَلَب,لاب,بَكَم,لَبّ,أَلَّب,لَبَّى
البكرة	بُكْرَة,بَكْرَة
البقل	بَقْل
البقال	بَقّال
البعداء	بَعِيد
البطيخ	بَطِّيخ
البطلة	بَطَل
البطش	بَطْش
البضع	بَضْع,بِضْع
البصيرة	بَصِيرَة,بَصِير
البشير	بَشِير
البساط	بِساط
البزري	NOTFOUND
البزاة	بازِي
البرمكي	NOTFOUND
البرلسي	NOTFOUND
البرصاء	NOTFOUND
البردين	NOTFOUND
البذر	بَذْر
البذاء	بَذاء
البذئ	NOTFOUND
البدعة	بِدْعَة
البحرية	بَحْرِيّ,بَحْرِيَّة
البالغ	بالِغ
البالسي	NOTFOUND
الباقون	باقِي
الباعث	باعِث
البازي	بازِي
البارئ	بارِئ
الاولاد	وَلَد
الاوقية	أُوقِيَّة
الاوسق	NOTFOUND
الاوجاع	وَجَع
الاوتار	وَتَر
الاواني	إِناء
الاوابين	أَوّاب
الانقاء	NOTFOUND
الانساب	نَسَب
الامغر	أَمْغَر
الامعاء	مِعاء
الامران	أَمْر,أَمَرّ,آمِر
الالواح	لَوْح
الاكمه	أَكَمَة,أَكْمَه,لاكَم
الاكليل	إِكْلِيل
الاقرن	أَقْرَن
الاقرار	إِقْرار
الافراخ	إِفْراخ,فَرْخ
الافة	آفَة,إِلْف,أَلْف
الافاضة	إِفاضَة
الاغلال	غُلّ
الاعناق	عُنْق
الاعلاق	NOTFOUND
الاعشي	أَعْشَى
الاعراض	عَرَض,إِعْراض,عِرْض
الاعجم	أَعْجَم
الاعجل	أَعْجَل
الاطم	أُطُم
الاطام	أُطُم,أُطام
الاضب	ضَبّ
الاصيلع	NOTFOUND
الاصبعين	إِصْبَع
الاشفار	شَفْر
الاشراف	إِشْراف,شَرِيف
الاشجار	شَجَرَة
الاسواري	NOTFOUND
الاسنادين	NOTFOUND
الاسلميين	NOTFOUND
الاسفلون	NOTFOUND
الاسطوان	أُسْطَى
الاستمتاع	ٱِسْتِمْتاع
الاستعلان	NOTFOUND
الاستحداد	NOTFOUND
الاستحباب	NOTFOUND
الاستتابة	NOTFOUND
الاستبضاع	NOTFOUND
الاسباط	سِبْط
الازر	أَزْر,إِزار
الاردن	أُرْدُنّ
الارثم	NOTFOUND
الاربعمائة	أَرْبَعمائَة
الاذانين	NOTFOUND
الادهم	أَدْهَم
الادني	أَدْنَى
الاخيرة	أَخِير
الاخماس	خُمْس
الاختيار	ٱِخْتِيار
الاختلاف	ٱِخْتِلاف
الاختتان	NOTFOUND
الاحمق	أَحْمَق
الاحلاف	حِلْف
الاحلاس	حِلْس
الاحساب	NOTFOUND
الاحرف	حَرْف
الاحدث	أَحْدَث
الاجنحة	جَناح
الاثنتين	الٱِثْنَتانِ
الاثنان	الٱِثْنانِ
الاتن	أَتان
الابنية	بِناء
الابق	أَبَق,آبِق
الابجر	أَبْجَر
الاباء	أَب,إِباء
اكملا	أَكْمَل
اكليل	إِكْلِيل
اكلن	أَكَّل,آكَل,أَكَل
اكلمكما	كَلَّم
اكلتم	أَكَّل,آكَل,أَكَل
اكفيه	كَفَى-ِ
اكفه	وَكَف-ِ,كَفّ,كَفَى-ِ
اكفنا	وَكَف-ِ,كَفَن-ِ,كَفّ,كَفَّن,كَفَى-ِ
اكفكم	وَكَف-ِ,كَفّ,كَفَى-ِ
اكفك	وَكَف-ِ,كَفّ,كَفَى-ِ
اكفاها	NOTFOUND
اكفئها	أَكْفَأ
اكشفي	NOTFOUND
اكرينا	كَرَى-ِ,أَكْرَى
اكرمي	أَكْرَم
اكراههن	إِكْراه
اكذبك	كَذَب-ِ,أَكْذَب,كَذَّب
اكذاك	NOTFOUND
اكتنفني	ٱِكْتَنَف
اكتم	كَتَّم,كَتَم
اكتسبه	ٱِكْتَسَب
اكتافهم	كَتِف,كِتْف
اكتادنا	NOTFOUND
اكبرهما	كَبَّر,كَبَر,أَكْبَر
اكببت	أَكَبّ
اكار	أَكّار,كارَى
اقيدك	قَيَّد,أَقاد
اقمتم	أَقام
اقلوا	أَقَلّ
اقله	قَلا,قال,أَقال,قَلِي-َ,أَقَلّ,قَلَى-ِ
اقفزة	قَفِيز,قَفَز-ِ
اقعدي	NOTFOUND
اقعده	قَعَد,أَقْعَد,قَعَّد,قَعُود
اقعدني	قَعَد,أَقْعَد,قَعَّد
اقطعها	قَطَع-َ,قَطَّع,أَقْطَع
اقطروها	NOTFOUND
اقطار	قُطْر
اقصها	قَصا,قَصّ,قَصِي-َ,أَقْصَى,وَقَص-ِ
اقص	قَصا,قَصّ,قَصِي-َ,أَقْصَى,وَقَص-ِ
اقسمه	أَقْسَم,قَسَم-ِ,قَسَّم
اقره	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
اقربها	أَقْرَب,قَرَّب,قَرِب-َ,قَرُب
اقرؤنا	NOTFOUND
اقدمها	قَدِم-َ,أَقْدَم,قَدَّم
اقدد	قَدّ,قَدَّد
اقداح	قِدْح,قَدَح
اقتلهم	قَتَل,قَتَّل
اقتفينا	ٱِقْتَفَى
اقتص	ٱِقْتَصّ
اقتسموه	ٱِقْتَسَم
اقتسم	ٱِقْتَسَم
اقترعت	ٱِقْتَرَع
اقترض	ٱِقْتَرَض
اقتتلتا	ٱِقْتَتَل
اقتالا	أَقْتال
اقتاب	قَتَب
اقبضه	قَبَّض,قَبَض-ِ
اقبال	إِقْبال
اقامه	إِقامَة,أَقام
اقامنا	أَقام
اقادت	أَقاد
افيها	وَفَى-ِ
افهو	NOTFOUND
افهمها	فَهِم-َ,أَفْهَم,فَهَّم
افنيتكم	فِناء,أَفْنَى
افنهلك	NOTFOUND
افنسيت	NOTFOUND
افناه	أَفْنَى
افناكل	NOTFOUND
افما	NOTFOUND
افلاذ	فِلْذَة
افكلهم	NOTFOUND
افعمياوان	NOTFOUND
افعلها	فَعَل-َ,أَفْعَل
افعلت	NOTFOUND
افظننت	NOTFOUND
افظعني	NOTFOUND
افطيب	NOTFOUND
افطره	أَفْطَر,فَطَر
افضنا	فاض-ِ,فَضّ,فَضا,أَفاض,فَضَّى,وَفَض-ِ,أَفْضَى
افضلها	أَفْضَل,فَضَّل
افضله	أَفْضَل,فَضَّل
افضلا	أَفْضَل
افشاه	أَفْشَى
افشاء	إِفْشاء
افسد	فَسَّد,فَسَد,أَفْسَد
افسح	فَسُح,فَسَّح,فَسَح-َ,أَفْسَح
افرغه	فَرَّغ,أَفْرَغ
افرغتم	أَفْرَغ
افرغت	أَفْرَغ
افرغا	أَفْرَغ
افرخ	أَفْرَخ,فَرَّخ,فَرْخ
افراغات	إِفْراغ
افرارا	NOTFOUND
افر	فَرَّى,وَفَر-ِ,أَفْرَى,فَرَى-ِ,أَفَرّ,فار,فَرّ-ِ,أَفار
افحكم	فَحّ
افحج	NOTFOUND
افتقد	ٱِفْتَقَد
افتقتل	NOTFOUND
افتعلت	ٱِفْتَعَل
افتضح	ٱِفْتَضَح
افتري	ٱِفْتَرَى
افترقتما	ٱِفْتَرَق
افترقا	ٱِفْتَرَق
افترضهن	ٱِفْتَرَض
افترضت	ٱِفْتَرَض
افترش	ٱِفْتَرَش
افتحلب	NOTFOUND
افتتحها	ٱِفْتَتَح
افتتحنا	ٱِفْتَتَح
افتتحت	ٱِفْتَتَح
افتبيعنيه	NOTFOUND
افتاخذ	NOTFOUND
افة	فاه,وَفَى-ِ,آفَة
افاوصي	NOTFOUND
افان	أَفِين,إِيفان
افاقت	أَفاق
افاعطي	NOTFOUND
افاضوا	أَفاض
افاضحي	NOTFOUND
افاصلي	NOTFOUND
افاذبحها	NOTFOUND
افاد	أَفاد,فادَى
افاحتسبت	NOTFOUND
افاتزوجها	NOTFOUND
افاترك	NOTFOUND
اغيب	غاب-ِ,غَيَّب
اغويت	أَغْوَى
اغناهم	أَغْنَى,أَغَنّ
اغناه	أَغْنَى,أَغَنّ
اغنانا	أَغْنَى,أَغَنّ
اغمسوه	NOTFOUND
اغلقت	أَغْلَق
اغلف	أَغْلَف,غَلَّف
اغفلنا	غَفَل,أَغْفَل,غَفَّل
اغضض	غَضَّض,غَضّ
اغضبها	أَغْضَب
اغضبني	أَغْضَب
اغضبتهم	أَغْضَب
اغضب	غَضِب-َ,أَغْضَب
اغشنا	غَشّ,غَشِي-َ,أَغْشَى,غَشا,غَشَّى
اغسلي	NOTFOUND
اغرق	أَغْرَق,غَرَّق,غَرِق-َ
اغرب	أَغْرَب,غُراب,غَرَّب,غَرَب
اغدوا	NOTFOUND
اغتيل	ٱِغْتال
اغتر	ٱِغْتَرّ
اعينا	عَيِي-َ,عَيَّن,وَعَى-ِ,أَعْيَى,عَيْن
اعيرته	عِيار
اعيذكما	أَعاذ
اعيدوا	أَعاد
اعيت	أَعْيَى
اعياني	أَعْيَى,عَيْن
اعوده	عاد,عَوَّد
اعنز	عَنْز
اعناقا	عُنْق
اعن	أَعان,عَنَى-ِ,عَنَّى,عَنا,عَنّ
اعمدوا	NOTFOUND
اعمار	إِعْمار,عُمْر
اعليه	أَعْلَى,عَلَّى
اعلينا	أَعْلَى,عَلَّى
اعلمكما	أَعْلَم,عَلِم-َ,عَلَّم
اعلف	أَعْلَف
اعلاهن	أَعْلَى
اعقلها	أَعْقَل,عَقَّل
اعفي	أَعَفّ,عَفَّى,عَفا,أَعْفَى
اعفوا	أَعْفَى
اعفو	عَفا
اعظمك	أَعْظَم,عَظَّم
اعظمت	أَعْظَم
اعطيتني	أَعْطَى
اعطيتم	أَعْطَى
اعطوني	أَعْطَى
اعطونا	أَعْطَى
اعطنيه	NOTFOUND
اعطكه	NOTFOUND
اعطاكموه	NOTFOUND
اعطاءهم	إِعْطاء
اعضل	أَعْضَل,عَضَل
اعضائه	عُضْو
اعش	عَشِي-َ,أَعاش,أَعْشَى,عاش,عَشَّى,عَشا
اعزم	عَزَم-ِ,عَزَّم
اعزة	عَزَى-ِ,عَزا,عَزَّى,أَعَزّ,عاز,عَزِيز,عَزِي-َ
اعرستم	أَعْرَس
اعرج	عَرَج,عَرِج-َ,أَعْرَج,عَرَّج
اعراب	عَرَبِيّ,إِعْراب
اعذتك	أَعاذ
اعذت	أَعاذ
اعددتهما	أَعَدّ
اعدادهن	عَدَد,إِعْداد
اعجفها	أَعْجَف
اعجبهما	أَعْجَب,عَجَّب
اعجبتها	أَعْجَب
اعجازهن	إِعْجاز
اعتقهما	عَتُق,أَعْتَق,ٱِعْتاق
اعتقني	عَتُق,أَعْتَق,ٱِعْتاق
اعتقنا	عَتُق,أَعْتَق,ٱِعْتاق
اعتقك	عَتُق,أَعْتَق,ٱِعْتاق
اعتقتني	أَعْتَق,ٱِعْتاق
اعتزلوهم	NOTFOUND
اعتراك	ٱِعْتَرَى
اعترافهما	ٱِعْتِراف
اعتراض	ٱِعْتِراض
اعتدلت	ٱِعْتَدَل
اعتددت	ٱِعْتَدّ
اعتبط	ٱِعْتَبَط
اعتبد	NOTFOUND
اعاذها	أَعاذ
اع	وَعَى-ِ
اظلهم	أَظَلّ,ظَلّ-َ
اظله	أَظَلّ,ظَلّ-َ
اظلتني	أَظَلّ
اطيقه	أَطاق
اطيبك	طَيَّب,أَطاب,أَطْيَب
اطولهم	أَطْوَل,طَوَّل
اطواء	طَيّ
اطلقك	طَلَق,طَلَّق,أَطْلَق
اطلعي	NOTFOUND
اطلبوه	NOTFOUND
اطلبوا	NOTFOUND
اطفال	طِفْل
اطفئوا	NOTFOUND
اطعه	أَطاع,طاع
اطعمك	أَطْعَم,طَعَّم,طَعِم-َ
اطعمتهم	أَطْعَم,طَعام
اطعماتهم	NOTFOUND
اطراق	NOTFOUND
اطحنوني	NOTFOUND
اطت	أَطّ-ِ
اطبق	أَطْبَق,طَبَّق
اطاقه	أَطاق,إِطاقَة
اطاعوه	أَطاع
اطاعته	أَطاع,إِطاعَة
اطارد	طارَد
اطابت	أَطاب
اطاب	أَطاب
اطا	أَطّ,أَطّ-ِ
اضيافكم	NOTFOUND
اضللته	أَضَلّ
اضلع	ضَلَّع,ضَلَع-َ
اضعها	ضاع-ِ,وَضَع,أَضاع
اضعفاؤهم	NOTFOUND
اضطروه	ٱِضْطَرّ
اضطررتم	ٱِضْطَرّ
اضربوا	أَضْرَب
اضربهم	ضَرَب,أَضْرَب,ضَرَّب
اضربها	ضَرَب,أَضْرَب,ضَرَّب
اضحيتها	أَضْحَى,أُضْحِيَّة
اضحيان	NOTFOUND
اضجعوه	أَضْجَع,ٱِضَّجَع
اضجع	ضَجَع-َ,أَضْجَع,ٱِضَّجَع
اضت	آض-ِ
اضبطه	ضَبَط,أَضْبَط
اضاعتها	إِضاعَة,أَضاع
اضاعة	إِضاعَة,أَضاع
اضاحي	أُضْحِيَّة
اضاءت	أَضاء
اصيبغ	NOTFOUND
اصومه	صام
اصنعها	صَنَّع,صَنَع-َ
اصنافا	صِنْف
اصليهن	أَصْل,صَلَّى,أَصْلَى,أَصْلِيّ,صَلَى-ِ
اصليهما	أَصْل,صَلَّى,أَصْلَى,أَصْلِيّ,صَلَى-ِ
اصليها	أَصْل,صَلَّى,أَصْلِيّ,صَلَى-ِ,أَصْلَى
اصلك	أَصْل,أَصَلَة,صال,وَصَل-ِ,صَلَّى,صَلِي-َ,أَصْلَى,صَلَى-ِ
اصلابهم	صُلْب
اصعا	NOTFOUND
اصطنعنا	ٱِصْطَنَع
اصطلحا	ٱِصْطَلَح
اصطفاه	ٱِصْطَفّ,ٱِصْطَفَى
اصطدته	ٱِصْطاد
اصرفها	صَرَّف,صَرَف-ِ
اصرع	صَرَع-َ
اصر	أَصَرّ,صار,إِصْر,صَرّ-ِ
اصدتم	أَصَّد
اصحبني	صَحِب-َ,أَصْحَب
اصحب	صَحِب-َ,أَصْحَب
اصحابها	صاحِب
اصبناه	أَصاب
اصبعي	إِصْبَعِيّ,إِصْبَع
اصبري	أَصْبَر
اصبروا	NOTFOUND
اصافح	صافَح
اصابكم	أَصاب
اشيئا	NOTFOUND
اشواط	شَوْط
اشهل	أَشْهَل,شَهَّل
اشهرا	أَشْهَر,شَهْر
اشكو	شَكا
اشكمت	NOTFOUND
اشفق	شَفِق-َ,أَشْفَق
اشفار	شَفْر
اشرفت	أَشْرَف
اشرتم	أَشَّر,أَشار,أَشَر,أَشَر-ِ
اشحذيها	NOTFOUND
اشج	شَجّ,شَجِي-َ,أَشْجَى,شَجَّى,شَجا
اشتهيناه	ٱِشْتَهَى
اشتهيتم	ٱِشْتَهَى
اشتكيتها	ٱِشْتَكَى
اشتف	ٱِشْتَفّ,ٱِشْتَفَى
اشتريني	ٱِشْتَرَى
اشتريناه	ٱِشْتَرَى
اشتريته	ٱِشْتَرَى
اشتريتني	ٱِشْتَرَى
اشتركوا	ٱِشْتَرَك
اشتركنا	ٱِشْتَرَك
اشتجروا	ٱِشْتَجَر
اشتبكت	ٱِشْتَبَك
اشبههم	شَبَّه,أَشْبَه
اشارته	أَشار,إِشارَة
اسيح	سَيَّح,ساح-ِ,أَساح
اسيافنا	سَيْف,سِيف
اسياف	سَيْف,سِيف
اسي	أُسّ,آسَى,آسِي,آس,أَسَى,أَسِي-َ,أُسِّيّ,أَسَّى
اسوقهم	سَوَّق,ساق
اسنمة	سَنام
اسنحه	سَنَح-َ
اسنة	سَنَّى,سِنّ,سَنا,آسِن,أَسَنّ,أَسِن-َ,سَنّ
اسنانهما	سِنّ
اسمنا	وَسَم-ِ,سَمّ,سَمَّن,أَسام,سَمَّى,ٱِسْم,أَسْمَن,أَسْمَى,سَمِن-َ,سام,سَما
اسمن	سَمَّن,أَسام,أَسْمَن,سَمِن-َ
اسمعكم	سَمَّع,سَمِع-َ,أَسْمَع
اسلمتم	أَسْلَم
اسلطها	سَلَّط
اسلحتهم	سِلاح
اسلامنا	إِسْلام
اسكبي	NOTFOUND
اسكب	سَكَب
اسقيهما	أَسْقَى,سَقَى-ِ
اسقيه	سَقَى-ِ,أَسْقَى,سِقاء
اسقينا	أَسْقَى,سَقَى-ِ
اسقية	أَسْقَى,سَقَى-ِ,سِقاء
اسقني	وَسَق-ِ,سَقَى-ِ,ساق,أَسْقَى
اسقطتهن	أَسْقَط
اسقطت	أَسْقَط
اسفروا	أَسْفَر
اسعدوني	أَسْعَد
اسع	سَعَى-َ,وَسِع-َ
اسرعت	أَسْرَع
