فينهزم	ٱِنْهَزَم
فيقتلون	قَتَّل,قَتَل
فيقتلوا	قَتَّل,قَتَل
فيقتلها	قَتَّل,قَتَل
فيقتلني	قَتَل,قَتَّل
فيقتفي	ٱِقْتَفَى
فيقتفر	ٱِقْتَفَر
فيقتص	ٱِقْتَصّ
فيقتحمن	ٱِقْتَحَم
فيقتتل	ٱِقْتَتَل
فيقبله	قَبَّل,أَقْبَل,قَبِل-َ
فيقام	أَقام
فيقاتلونهم	قاتَل
فيقاتلون	قاتَل
فيقئ	قاء-ِ
فيفوتني	فَوَّت,فات
فيفكه	فَكّ,فَكِه-َ,فَكَّه
فيفقدها	فَقَد-ِ,أَفْقَد
فيفغر	فَغَر-َُ
فيفطر	أَفْطَر,فَطَر
فيفتون	فَتّ,أَفْتَى,فَتِي-َ
فيفتحون	فَتَح-َ
فيفتحه	فَتَح-َ
فيفاض	أَفاض
فيغنموا	غَنِم-َ,غَنَّم,أَغْنَم
فيغلق	غَلَق-ِ,أَغْلَق
فيغفرها	غَفَّر,غَفَر
فيغسلهما	غَسَل-ِ,غَسَّل
فيغتسلون	ٱِغْتَسَل
فيغتر	ٱِغْتَرّ
فيعين	أَعان,عَيَّن,وَعَى-ِ
فيعيث	عَيَّث,عاث
فيعي	عَيِي-َ,أَعْيَى,وَعَى-ِ
فيعودون	عاد,عَوَّد
فيعوده	عاد,عَوَّد
فيعمون	عَمِي-َ,عَمّ,عَمَّى,أَعْمَى
فيعلمها	أَعْلَم,عَلِم-َ,عَلَّم
فيعلمه	أَعْلَم,عَلِم-َ,عَلَّم
فيعلم	أَعْلَم,عَلِم-َ,عَلَّم
فيعلقونه	عَلَّق
فيعظهم	وَعَظ
فيعطيني	أَعْطَى
فيعطونه	أَعْطَى
فيعطون	أَعْطَى
فيعضها	عَضّ-َ,عاض,أَعاض
فيعض	عَضّ-َ,عاض,أَعاض
فيعزم	عَزَم-ِ,عَزَّم
فيعزل	أَعْزَل,عَزَل-ِ
فيعرفون	عَرَّف,عَرَف-ِ
فيعرضون	أَعْرَض,عَرَض-ِ,عَرَّض
فيعدها	عَدّ,عَدَّى,أَعْدَى,أَعاد,عَدا,عاد,وَعَد-ِ,أَعَدّ
فيعدله	عَدَل-ِ,عَدَّل
فيعجزوا	أَعْجَز,عَجِز-َ,عَجُز,عَجَّز
فيعاهده	عاهَد
فيظهرون	أَظْهَر,ظَهَر-َ,ظَهَّر
فيظلموننا	ظَلَم-َِ
فيظلمونا	ظَلَم-َِ
فيطيف	طَيَّف,طاف-ِ,أَطاف
فيطيعونهم	أَطاع
فيطوفون	طاف,طَوَّف
فيطلق	طَلَق,طَلَّق,أَطْلَق
فيطفن	طاف,طاف-ِ,أَطاف
فيطحن	طاح,أَطاح,طَحَن-َ,طاح-ِ
فيضعونه	وَضَع
فيضعهما	ضاع-ِ,وَضَع,أَضاع
فيضربوه	ضَرَب,أَضْرَب,ضَرَّب
فيضر	ضَرّ,ضَرَّى,أَضَرّ,ضار,ضار-ِ
فيضحك	أَضْحَى,ضَحِك-َ,أَضْحَك,ضَحا,ضَحَّى,ضَحِي-َ
فيصيبوا	أَصاب
فيصيبها	أَصاب
فيصيبه	أَصاب
فيصيبان	أَصاب
فيصومه	صام
فيصنعون	صَنَّع,صَنَع-َ
فيصلين	صَلِي-َ,صَلَّى,صَلَى-ِ,أَصْلَى
فيصلوا	وَصَل-ِ,صَلَّى,صَلِي-َ,صَلَى-ِ,أَصْلَى
فيصعقون	صَعَق-َ,صَعِق-َ,أَصْعَق
فيصطلمون	NOTFOUND
فيصدوك	أَصَدّ,صَدّ,أَصْدَى,صَدَّى
فيصدقونه	صَدَّق
فيصبون	صَبّ,وَصَب-ِ,صَبا,صَبِي-َ,صَبّ-َ,صَبَّى
فيصالحونكم	صالَح
فيشهد	شَهِد-َ,أَشْهَد
فيشمهما	وَشَم-ِ,شَمّ,يَشْم
فيشركهم	شَرِك-َ,أَشْرَك
فيشرشر	NOTFOUND
فيشربونه	أَشْرَب,شَرِب-َ,شَرَّب
فيشربان	أَشْرَب,شَرِب-َ,شَرَّب
فيشدد	شَدّ-ُِ,شَدَّد
فيشدخ	شَدَّخ,شَدَخ-َ
فيشد	شَدّ-ُِ,شَدا,شاد-ِ,أَشاد
فيشتم	شَتَم-ُِ,ٱِشْتَمّ
فيشترط	ٱِشْتَرَط
فيشتدون	ٱِشْتَدّ
فيشبعهم	شَبِع-َ,أَشْبَع,شَبَّع
فيشبح	NOTFOUND
فيسومونه	سام,سَوَّم
فيسود	ساد,سَوَّد,ٱِسْوَدّ
فيسنده	سَنَّد,أَسْنَد,سَنَد
فيسميه	سَمَّى,أَسْمَى
فيسمعوا	سَمَّع,سَمِع-َ,أَسْمَع
فيسلمون	سَلَّم,أَسْلَم,سَلِم-َ
فيسلت	سَلَت-ُِ
فيسكن	أَسْكَن,سَكَّن,سَكَن,ساك
فيسقينا	سَقَى-ِ,أَسْقَى
فيسقين	أَسْقَى,سَقَى-ِ
فيسرك	يَسَّر,يُسْر,سَرَّى,سَرَى-ِ,سار-ِ,أَسَرّ,أَسار,سَرّ,أَسْرَى
فيسربهن	سَرِب-َ,سَرَّب
فيسر	يَسَّر,يَسِر-َ,يُسْر,سار-ِ,سَرَى-ِ,سَرَّى,أَسَرّ,أَسار,سَرّ,يَسُر,أَسْرَى
فيسدده	سَدَّد,أَسَدّ,سَدّ
فيسحر	سَحَّر,سَحَر-َ
فيستودعه	ٱِسْتَوْدَع
فيستكنا	ٱِسْتَكان,ٱِسْتَكَنّ
فيستقبلهم	ٱِسْتَقْبَل
فيستغله	ٱِسْتَغَلّ,ٱِسْتَغْلَى
فيستغفرون	ٱِسْتَغْفَر
فيستعمل	ٱِسْتَعْمَل
فيستدين	ٱِسْتَدان
فيستخبر	ٱِسْتَخْبَر
فيستحقها	ٱِسْتَحَقّ
فيستحسر	NOTFOUND
فيستبشر	ٱِسْتَبْشَر
فيستام	ٱِسْتام
فيستاثروا	NOTFOUND
فيسبغ	أَسْبَغ,سَبَغ-َُ
فيساومونه	ساوَم
فيساقون	ساقَى
فيزين	زان-ِ,زَيَّن
فيزيدني	زاد-ِ,زَيَّد,أَزاد
فيزيد	زاد-ِ,زَيَّد,أَزاد
فيزكيه	يَزَكِيّ,زَكَّى,أَزْكَى
فيزدادون	ٱِزْداد
فيزجي	زَجَّى,أَزْجَى,زَجا
فيزجرها	زَجَر
فيريهم	وَرَى-ِ
فيرونه	وَرَى-ِ,رَأَى-َ
فيرون	وَرَى-ِ,رَأَى-َ
فيروحون	راح,رَوَّح,أَرْوَح
فيروح	راح,رَوَّح,أَرْوَح
فيركمه	رَكَم
فيركب	رَكِب-َ,رَكَّب,أَرْكَب
فيرقق	رَقّ-ِ,رَقَّق,أَرَقّ
فيرفضون	ٱِرْفَضّ,أَرْفَض,رَفَض
فيرغبون	رَغِب-َ
فيرش	راش,رَشّ,رَشا,وَرَش-ِ
فيردهما	رَدِي-َ,راد,رَدَّى,أَراد,رَدّ,أَرْدَى,وَرَد-ِ
فيرده	رَدِي-َ,راد,رَدَّى,رَدّ,أَرْدَى,أَراد,وَرَد-ِ
فيرخينه	رَخِي-َ,أَرْخَى
فيرحل	رَحَّل,رَحَل-َ
فيرجم	رَجَّم,رَجَم
فيرجعن	أَرْجَع,رَجَّع,رَجَع-ِ
فيرث	وَرِث-ِ,رَثا,راث-ِ,رَثّ-ِ,رَثَى,راث
فيرتفع	ٱِرْتَفَع
فيرتج	ٱِرْتَجّ,رَتِج-َ,أَرْتَج,ٱِرْتَجَى,رَتَج
فيربح	رَبِح-َ,رَبَّح,أَرْبَح
فيراني	رَأَى-َ,فَأْر
فيذبحهن	ذَبَّح,ذَبَح-َ
فيذب	ذاب,ذَبّ,أَذاب
فيدقنا	أَدَقّ,دَقّ
فيدقق	أَدَقّ,دَقَّق,دَقّ,دَقّ-ِ
فيدفنها	دَفَن-ِ,داف
فيدفن	دَفَن-ِ,داف
فيدعوه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
فيدعه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
فيدعثره	NOTFOUND
فيدرؤه	NOTFOUND
فيدر	دَرَى-ِ,أَدْرَى,أَدار,أَدَرّ,دَرّ-ُِ,دار
فيدخلوها	أَدْخَل,دَخَل
فيدخلنيها	NOTFOUND
فيدخلن	أَدْخَل,دَخَل
فيدخلان	أَدْخَل,دَخَل
فيد	يَد,وَدَى-ِ
فيخمسه	خَمَّس
فيخففهما	خَفَّف
فيخزق	خَزَق-ِ,خَزَّق
فيخرقونه	أَخْرَق,خَرَق-ُِ
فيخرجونه	خَرَّج,أَخْرَج
فيختلفون	ٱِخْتَلَف
فيختلف	ٱِخْتَلَف
فيخبر	أَخْبَر,خَبُر,خَبَر,خَبَّر
فيحول	حَوَّل,ٱِحْوَلّ,حال
فيحملهم	حَمَل-ِ,حَمَّل
فيحملها	حَمَل-ِ,حَمَّل
فيحمله	حَمَل-ِ,حَمَّل
فيحلقك	حَلَّق,حَلَق-ِ
فيحكم	حَكَّم,حَكَم,أَحْكَم,وَحَى-ِ
فيحفونهم	حَفّ,حَفِي-َ
فيحفون	حَفّ,حَفّ-ِ,حَفِي-َ
فيحفظوا	حَفِظ-َ,أَحْفَظ
فيحفرونه	حَفَر-ِ
فيحضرون	حَضَّر,أَحْضَر,حَضَر
فيحضرهما	حَضَّر,أَحْضَر,حَضَر
فيحرقوا	حَرَّق,حَرَق-ِ,حَرَق,أَحْرَق
فيحرقه	حَرَّق,حَرَق-ِ,حَرَق,أَحْرَق
فيحجب	حَجَّب,حَجَب
فيحثي	حَثا
فيحتجون	ٱِحْتَجّ
فيحتال	ٱِحْتال
فيحبسون	حَبَس-ِ
فيحبسها	حَبَس-ِ
فيحبس	حَبَس-ِ
فيحامل	NOTFOUND
فيحاسب	حاسَب
فيحارب	حارَب
فيجيبني	أَجاب
فيجيب	أَجاب
فيجوز	جاز,جَوَّز
فيجهله	جَهَّل,جَهِل-َ
فيجهد	أَجْهَد,جَهَد-َ
فيجمعوا	جَمَع-َ,جَمَّع,أَجْمَع
فيجمعه	جَمَع-َ,أَجْمَع,جَمَّع
فيجلون	جَلا,أَجْلَى,جَلَى-ِ,جَلّ-ِ,جَلَّى,أَجَلّ
فيجلسون	جَلَس-ِ,أَجْلَس
فيجلد	جَلَد-ِ,جَلِد-َ,جَلَّد,أَجْلَد,جَلُد
فيجعلونه	جَعَل-َ
فيجعلون	جَعَل-َ
فيجعلهن	جَعَل-َ
فيجرهما	جار,أَجار,أَجْرَى,جَرَى-ِ,جَرّ,أَجَرّ
فيجرب	جَرَّب,جَرِب-َ
فيجدونه	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ
فيجده	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جاد,أَجاد
فيجتمعون	ٱِجْتَمَع
فيجب	وَجَب-ِ,جَبَى-ِ,جَبَّى,جاب,جَبّ,أَجاب
فيجافي	جافَى
فيثوب	ثَوَّب,ثاب
فيثلغ	NOTFOUND
فيثبتون	أَثْبَت,ثَبُت,ثَبَت,ثَبَّت
فيثبت	أَثْبَت,ثَبُت,ثَبَت,ثَبَّت
فيتيسر	تَيَسَّر
فيتوجه	تَوَجَّه,تَوَّج
فيتوب	تاب,تَوَّب
فيتهول	NOTFOUND
فيتهدهد	NOTFOUND
فيتمه	أَتَمّ,يُتْم
فيتمضمض	تَمَضْمَض
فيتمسحون	تَمَسَّح
فيتلقاني	تَلَقَّى
فيتلقانا	تَلَقَّى
فيتكلف	تَكَلَّف
فيتقيه	ٱِتَّقَى,تَقَى-ِ
فيتقونكم	ٱِتَّقَى,تَقَى-ِ
فيتقصف	تَقَصَّف
فيتقحمن	NOTFOUND
فيتقاصون	NOTFOUND
فيتفرق	تَفَرَّق
فيتغسل	NOTFOUND
فيتعلم	تَعَلَّم
فيتعشي	تَعَشَّى
فيتعذر	تَعَذَّر
فيتعار	NOTFOUND
فيتعاد	تَعادَى
فيتشهد	NOTFOUND
فيتسعط	NOTFOUND
فيتسع	ٱِتَّسَع
فيتزوج	تَزَوَّج
فيتركون	تَرَك,تَرَّك
فيتركها	تَرَك,تَرَّك
فيترك	تَرَك,وَتَر-ِ,تَرَّك
فيتخلفون	تَخَلَّف
فيتخلص	تَخَلَّص
فيتخذها	ٱِتَّخَذ
فيتحفونه	أَتْحَف
فيتجلي	تَجَلَّى
فيتبين	تَبَيَّن
فيتبعه	تَبِع-َ,أَتْبَع,ٱِتَّبَع
فيتبعد	NOTFOUND
فيتبايعا	تَبايَع
فيبيعونها	باع-ِ,أَباع
فيبيعه	باع-ِ,أَباع
فيبيتهم	بات-ِ,أَبات,بَيَّت
فيبلغوا	بَلُغ,بَلَغ,بَلَّغ,أَبْلَغ
فيبلغك	بَلَغ,بَلَّغ,أَبْلَغ
فيبكون	بَكَى-ِ,بَكَّى,أَبْكَى,بَكِي-َ
فيبغضونه	أَبْغَض,بَغَّض,بَغِض-َ
فيبغضه	أَبْغَض,بَغِض-َ,بَغَّض
فيبعثون	بَعَث-َ
فيبصرهم	أَبْصَر,بَصِر-َ,بَصَّر,بَصُر
فيبسطه	بَسَّط,بَسَط
فيبرا	بَرّ-ِ,أَبَرّ
فيبدو	بَدا
فيبتلي	ٱِبْتَلَى
فيبتغي	ٱِبْتَغَى
فيبتعد	ٱِبْتَعَد
فيبتدرون	ٱِبْتَدَر
فيباشرني	باشَر
فيبادرني	بادَر
فيانا	يانا
فيامني	أَمِن-َ,أَمُن
فيامرهم	أَمَر
فياكلها	أَكَل
فيازار	NOTFOUND
فياتونني	أَتَى-ِ
فياتونكم	أَتَى-ِ
فيئهم	فَيَّأ,فَيْء
فيئس	يَئِس-َِ
فيؤمهم	NOTFOUND
فيؤمنون	آمَن,أَمَّن
فيؤشر	أَشَّر
فيؤذيني	آذَى
فيؤخرون	ؤَخِّر
فيؤتاها	NOTFOUND
فويسق	NOTFOUND
فوهبتها	وَهْبَة,وَهَب-َ
فوهب	وَهَب-َ
فولده	وَلَد-ِ,وَلْدَة,وَلَد,وَلَّد
فولدنا	وَلَد-ِ,وَلَّد,وَلَد
فوكزه	وَكَز-ِ,وَكْز
فوقهما	فَوْق,فَوْقَ
فوقنا	فَوْق,فَوْقَ
فوقفه	وَقَّف,وَقْفَة,وَقَف-ِ,وَقْف
فوقعنا	وَقْع,وَقَع-َ,وَقَّع,وُقِّع
فوقصت	وَقَص-ِ
فوفقت	وَفَّق,وَفَق-ِ
فوعيتها	وَعَّى,وَعَى-ِ
فوعزتك	NOTFOUND
فوعدهن	وَعْد,وَعَد-ِ
فوعده	وَعْد,وَعَد-ِ
فوعدته	وَعَد-ِ
فوعاها	وَعَّى,وَعَى-ِ
فوضعوها	وَضَع
فوضعن	وَضَع
فوضعتهما	وَضْعَة,وَضَع
فوض	فَوَّض
فوصلنا	وَصَل-ِ,وَصَّل,وَصْل
فوصفت	وَصَف-ِ
فوشوش	وَشْوَش
فوزنته	وَزَن-ِ,وَزْنَة
فوزعه	وَزَّع
فوزرهما	وِزْر,وَزَر-ِ,وَزِر-َ
فورها	فَوَّر,فَوْرَ,فَوْر
فورنا	فَوَّر,فَوْرَ,فَوْر,وَرَن
فورد	وَرْد,وَرَّد,وَرَد-ِ,وِرْد
فورثوها	وَرِث-ِ,وَرَّث
فورثهم	وَرِث-ِ,وَرَّث,وِرْث
فورثها	وَرِث-ِ,وَرَّث,وِرْث
فورثه	وَرِث-ِ,وَرَّث,وِرْث,وارِث
فورثته	وَرِث-ِ,وَرَّث,وارِث
فودي	فَوْد,وُدِّيّ,وُدّ,وَدَى-ِ
فوداهم	وَدّ-َ,فَوْد,وَدَى-ِ
فوحد	وَحْد,وَحَّد
فوجهه	وَجَّه,وِجْهَة,وَجْه
فوجمت	وَجَم-ِ
فوجدهما	وَجَد-ِ
فوجدناهم	وَجَد-ِ
فوجدناك	وَجَد-ِ
فوجدتم	وَجَد-ِ
فوجات	NOTFOUND
فوثقه	وَثاق,وَثَّق,وَثِق-َِ
فوثئت	وَثِئ
فواها	واه
فواقعتها	واقِعَة,واقِع
فوافينا	وافَى,وافِي
فوافيته	وافَى,وافِي
فوافقوه	وافَق
فوافقه	وافَق
فوافقناه	وافَق
فوافقتهم	وافَق
فوافته	وافَى
فوافت	وافَى
فواعده	واعَد,واعِد
فواطيت	NOTFOUND
فوارثه	وارِث
فهيانني	NOTFOUND
فهيات	هَيْئَة
فهيئ	هَيَّأ
فهويها	هَوِي-َ,هُوِيّ
فهوي	هُوَّة,هَوَّى,هَوَى-ِ,هَوَى,هَوِي-َ,هُوِيّ
فهناه	فاه
فهناك	فاه,هُناكَ
فهموا	فَهِم-َ,هَمْو,هَمّ,هَما,فَهَّم
فهمني	فَهِم-َ,هَمّ,فَهَّم
فهممنا	هَمّ,هِمَّة
فهلمي	هِلَّم
فهلم	هَلَّم,هَلُمَّ,هِلَّم
فهلكنا	هُلْك,هَلَّك,هالِك,هَلَك
فهش	هَشّ,هَشّ-ُِ
فهزه	هَزّ,هَزَّة
فهزموهم	هَزَم-ِ
فهزم	هَزْم,هَزَم-ِ
فهربوا	هَرَّب,هَرَب
فهربت	هَرَب,هَرَّب
فهذان	هٰذا
فهداهم	هُدَى,هَدَى-ِ,هَدّ
فهجرها	هَجَر,هَجَّر,هَجْر
فهجر	هَجَر,هَجَّر,هَجْر
فهجاهم	هَجا,هَجّ,هَجَّى
فهجا	هَجا,هَجّ
فهتكت	هَتَك-ِ,هَتَّك
فهبه	هَبَّة,هِبَة,هَبّ
فهب	هَبّ
فهان	هان
فهاجرت	هاجَر
فهابوه	هاب-َ
فنيح	ناح
فنوميهم	نَوْمِيّ
فنوموا	نَوَّم
فنوقظ	أَيْقَظ,وَقَّظ
فنوروا	نَوَّر
فنهيتهم	نُهْيَة,هَيَّت,نَهَى-ِ
فنهوه	هَوَى-ِ,نَها,هَوَّى,هَوِي-َ,أَهْوَى,نَهَى-ِ,نَهْو
فنهدنا	نَهَد-َُ,أَهْدَى,نَهْد,هَدَن-ِ,هَدَى-ِ,هَدّ,هَدَّن
فنها	نَها,فَنّ
فننظفه	نَظَّف
فننزح	نَزَح-َِ,ٱِنْزاح,أَنْزَح
فننبعث	ٱِنْبَعَث
فننبذه	نَبَذ-ِ,نَبَّذ,أَنْبَذ
فنميت	نَمَى-ِ,نَمَّى,أَمات
فنمر	مار,نَمِر,مار-ِ,نَمَّر,أَنْمَر,أَمَرّ,مَرّ,أَمار
فنم	نَمّ
فنلعقه	لَعِق-َ
فنكوله	نُكُول,نِكْل
فنكصوا	نَكَّص,نَكَص-ُِ
فنكسوا	نَكَس,نَكَّس
فنكره	نَكِر,كَرِه-َ,نَكَّر,كَرُه,نَكِرَة,كَرَّه,أَكْرَه,كَرّ,كَرا,نُكْر,كَرِي-َ,كَرَى-ِ,أَكْرَى
فنكرم	أَكْرَم,كَرَّم,كَرُم
فنكحها	نَكَح-َُِ,كَحّ
فنكح	نَكَح-َُِ,كَحّ
فنكبر	كَبَّر,كَبَر,أَكْبَر
فنكبت	نَكَّب,نَكَب,كَبَت-ِ
فنكاها	نَكَى-ِ
فنكاحهما	نِكاح
فنقيل	أَقال,قَيَّل,نَقِيل
فنقوم	قام,قَوَّم
فنقل	نَقَّل,قَلّ-ِ,قَلا,أَقال,قال,قَلِي-َ,أَقَلّ,نَقْل,قَلَى-ِ,نَقَل
فنقضيك	قَضَّى,قَضَى-ِ
فنقضوه	نَقَض
فنقضه	نَقَض,قَضَّى,قَضَى-ِ,قَضّ,نَقْض,قاض-ِ,قاض
فنقصت	نَقَص,نَقَّص
فنقص	قَصا,قَصّ,قَصِي-َ,نَقَص,أَقْصَى,نَقْص,نَقَّص,ناقِص,وَقَص-ِ
فنقدني	قَدّ,قاد,قَدِي-َ,وَقَد-ِ,قَدا,نَقَد,أَقاد
فنقدم	قَدِم-َ,أَقْدَم,قَدَّم
فنقتل	قَتَل,قَتَّل
فنقترب	ٱِقْتَرَب
فنقبوا	نَقَّب,نَقَب,نَقِب
فنقبل	قَبَّل,أَقْبَل,قَبِل-َ
فنفي	نَفَى,نَفِيّ,وَفَى-ِ,نَفْي
فنفله	فَلّ,فَلَى-ِ,نَفْل,نَفَل,فَلَّى
فنفلنا	فَلّ,فَلَى-ِ,نَفْل,نَفَل,فَلَّى
فنفقت	نَفِق-َ,نَفَّق,نَفَق
فنفطت	NOTFOUND
فنفضها	فاض-ِ,فَضّ,فَضا,أَفاض,فَضَّى,نَفَض,وَفَض-ِ,نَفَّض,أَفْضَى
فنفض	فاض-ِ,فَضّ,فَضا,أَفاض,فَضَّى,نَفَّض,نَفَض,وَفَض-ِ,أَفْضَى
فنفشناه	نَفَش,نَفَّش
فنفست	نَفِس-َ,نَفَّس,نَفُس
فنفرح	فَرِح-َ,أَفْرَح,فَرَّح
فنفخ	نَفَخ,نَفْخ
فنعست	نَعَس-َُ,نَعَّس
فنعس	نَعَس-َُ,عَسا,عَسّ,نَعَّس,وَعَس-ِ,ناعِس
فنعجنه	عَجَن
فنظفوا	نَظَّف,نَظُف
فنظرته	نَظَر,نَظْرَة
فنظرا	نَظَر
فنطرحها	طَرَّح,طَرَح-َ,ٱِطَّرَح
فنطبخ	طَبَخ-َُ
فنطاق	نِطاق,أَطاق
فنطا	فَنَّط,نَطّ
فنضمد	ضَمَد,ضَمَّد
فنضرب	ضَرَب,أَضْرَب,ضَرَّب
فنضحوا	نَضَح-َ,نَضَح-ِ
فنضحمكانه	NOTFOUND
فنصنع	صَنَّع,صَنَع-َ
فنصر	أَصَرّ,صار,نَصَر,نَصْر,صَرّ-ِ,نَصَّر
فنصبنا	صَبّ,وَصَب-ِ,نَصَّب,أَصاب,نَصْب,نُصْب,صَبَّن,صَبا,صَبِي-َ,صَبّ-َ,نَصَب,نُصْبَ,صَبَّى,نَصِب-َ
فنشهد	شَهِد-َ,أَشْهَد
فنشقها	نَشْق,شَقّ,نَشِق-َ,شَقا,شَقِي,نَشَّق,أَشْقَى,شاق
فنشفته	نَشَف,نَشَّف
فنشرها	شَرَى-ِ,نَشْر,أَشار,نَشَّر,وَشَر-ِ,نَشَر
فنشربه	أَشْرَب,شَرِب-َ,شَرَّب
فنشرب	أَشْرَب,شَرِب-َ,شَرَّب
فنشر	شَرَى-ِ,شَرّ-َ,نَشْر,أَشار,نَشَّر,وَشَر-ِ,نَشَر
فنشدهما	شَدّ-ُِ,نَشَد,شَدا,شاد-ِ,أَشاد
فنشده	شَدّ-ُِ,نَشَد,شَدا,شَدَه-َ,شاد-ِ,أَشاد
فنشج	نَشَج-ِ,شَجّ,شَجِي-َ,أَشْجَى,شَجَّى,شَجا
فنشتقها	ٱِشْتَقّ,ٱِشْتاق
فنشتري	ٱِشْتَرَى
فنشات	NOTFOUND
فنشا	نَشاً,نَشّ-ِ
