فطرحت	طَرَّح,طَرَح-َ
ذكرتك	ذُكْرَة,ذَكَر,ذَكَّر
ذراريهم	ذُرِّيَّة
ذبيحته	ذَبِيح,ذَبِيحَة
ذاهبا	ذاهِب
دوس	دُوس,دَوْس
دلك	دَلَك,دَلّ,دَلْك,دَلَّك
دفنت	دَفَن-ِ
دعيتم	NOTFOUND
درهمين	دِرْهَم
درنه	دَرَن,دَرَنَة,دار
درعه	دِرْع,دَرَّع
دجاج	دَجاج
دبغ	دَبَغ-َُِ
دبرها	دَبَّر,دَبَر,دُبْر
خيارا	خَيْر,خِيار
خوخة	خَوَّخ,خَوْخَة,خَوْخ
خلوا	خِلْو,خَلّ,خَلا,خُلُوّ,خَلَّى
خلقهم	خَلْق,خِلْقَة,خَلَق,خُلْق,خَلَّق
خلفت	خَلَف,خَلَّف
خلع	خِلْعَة,خُلْع,خَلَع-َ,خَلَّع,خَلُع,خَلْع
خلصت	خَلَص,خَلَّص
خفيفا	خَفِيف
خفيف	خَفِيف
خطبها	خُطْبَة,خَطَب
خصمان	خَصْم,خَصِيم
خصلتان	خُصْلَة
خبيثة	خَبِيث
خبزة	خَبَز-ِ,خُبْز
خبرا	خَبُر,خُبَر,خَبَر,خَبَّر
خبت	خَبا,خاب-ِ,خَبّ,خَبّ-َ
خب	خَبّ,خَبّ-َ
خاليا	خالِي
خاخ	NOTFOUND
حمالة	حَمّالَة,حَمّال
حلمة	حِلْم,حُلْم,حَلَم,حُلُم
حلفه	حَلَّف,حَلَف-ِ,حَلْف,حِلْف
حكام	حَكَم,حاكِم
حقي	حَقّ
حطبا	حَطَب,حَطَب-ِ
حضين	حَضِين
حصنا	حُصّ,حِصان,حاص-ِ,حَصَّن,حِصْن,حَصُن
حسنها	حَسَن,حَسَّن,حُسْن
حريصا	حَرِيص
حرها	حُرّ,حَرّ
حذاء	حِذاء,حَذّاء,حِذاءَ
حديثي	حَدِيث,حَدِيثِيّ
حجفة	NOTFOUND
حجتي	حِجَّة,حُجَّة
حجاجا	حاجّ
حبي	حَبّ,حُبِّيّ,حُبّ
حبك	حِباك,حَبْك,حَبّ,حَبّ-ِ,حُبّ,حَبَك,حُبْكَة,حَبَّك
حبشيا	حَبَشِيّ
حالف	حالَف
حاشية	حاشِيَة
حائطي	حائِطِيّ,حائِط
حائطه	حائِط
جياع	جَوْعان
جواري	جارِيَة,جِوار
جواد	جَواد
جنود	جُنْدِيّ
جلسوا	جَلَس-ِ
جلدته	جِلْد,جَلَد-ِ,جَلِد-َ,جَلْدَة,جَلَّد
جلب	جَلْب,جَلَّب,جَلَب-ُِ,جَلَب
جسرة	جَسْرَة,جِسْر,جَسَّر,جَسَر
جزورا	جَزُور
جدامة	NOTFOUND
جبتان	جُبَّة
جاوزت	جاوَز
جاهدا	جاهَد,جاهِد
جافي	جافِي,جافَى,جافّ
جائر	جائِر
ثمرته	ثَمْر,ثَمَر
ثدي	ثَدْي
ثبته	ثاب,ثَبَّت
تيعر	NOTFOUND
تواري	تَوارَى,وارَى
تميل	أَمال,تَمَيَّل,مال-ِ,مَيَّل
تموج	مَوَّج,تَمَوَّج,تَمَوُّج,ماج
تمن	تَمَنِّي,مَنَى-ِ,مَنّ,مَنا,أَمَنّ,تُمَّن,تام,مَنَّى
تملا	مَلّ-َ,أَمَلّ
تماري	مارَى,تَمارَى,أَمار
تكنوا	كَنَى-ِ,كَنا,تَكَنَّى,كَنَّى,كَنّ-ِ,أَكَنّ
تكفل	كَفَّل,تَكَفُّل,أَكْفَل,كَفَل,كَفَل-ِ,تَكَفَّل
تكثر	أَكْثَر,كَثُر,كَثَّر
تقي	تُقَى,وَقَى-ِ,تَقَى-ِ,تَقِيّ
تقربوه	قَرَّب,تَقَرَّب,قَرِب-َ,قَرُب
تقربوا	قَرَّب,تَقَرَّب,قَرِب-َ,قَرُب
تقاسموا	قاسَم,تَقاسَم
تفوته	فَوَّت,فات
تغنيان	أَغْنَى,غَنِي-َ,غَنَّى
تغلبوا	غَلَب-ِ,تَغَلَّب
تغضب	أَغْضَب,غَضِب-َ,تَغَضَّب
تغدو	غَدا
تعضلوهن	عَضَل
تعجلوا	عَجَّل,أَعْجَل,تَعَجَّل,عَجِل-َ
تعجب	عَجِب-َ,تَعَجَّب,تَعَجُّب,أَعْجَب,عَجَّب
تظله	أَظَلّ,ظَلّ-َ
تطلب	تَطَلُّب,تَطَلَّب,طَلَب
تضمر	تَضَمَّر,ضَمَر,أَضْمَر
تضحك	أَضْحَى,ضَحِك-َ,أَضْحَك,ضَحا,ضَحَّى,ضَحِي-َ
تصفر	صَفَر-ِ,أَصْفَر,ٱِصْفَرّ,صَفَّر
تصحب	صَحِب-َ,أَصْحَب
تصبغ	صَبَغ
تشتكي	ٱِشْتَكَى
تسمعون	سَمَّع,سَمِع-َ,أَسْمَع
تسلموا	سَلَّم,أَسْلَم,سَلِم-َ,تَسَلَّم
تسل	سَلّ,سَلَّى,سال-ِ,أَسْلَى,سَلا,أَسال
تسعمائة	تِسْعمائَة
تستوي	ٱِسْتَوَى
تستعير	ٱِسْتَعار
تسالون	أَسال
تزويج	تَزْوِيج
تزر	أَزار,زَرَى-ِ,وَزَر-ِ,زَرّ,زار,أَزْرَى
ترضع	رَضَّع,رَضِع-َ,أَرْضَع,رَضَع-ِ
ترجي	تَرَجِّي,رَجّ,رَجا,رَجِي-َ,تَرَجَّى
ترجمان	رَجَّم,تُرْجُمان,رَجَم
ترجل	تَرَجَّل,رَجَّل,رَجِل-َ
تراجعني	تَراجَع,راجَع
تذر	ذَرَى-ِ,ذَرا,أَذْرَى,ذَرّ,وَذِر-َ,ذَرَّى
تدركه	أَدْرَك,تَدَرُّك,دَرَّك,تَدَرَّك
تخفي	خَفّ-ِ,تَخَفَّى,خَفِي-َ,أَخْفَى,تَخَفِّي,خَفَى-ِ
تخفروا	تَخَفَّر,خَفِر-َ,خَفَر,خَفَّر
تخبرنا	تَخَبَّر,خَبُر,أَخْبَر,خَبَر,خَبَّر
تحصي	حَصّ,أَحْصَى,أَحَصّ
تحروا	تَحَرَّى,أَحْرَى,حَرَى,حَرّ
تحتسب	ٱِحْتَسَب
تتوضا	NOTFOUND
تتزوج	تَزَوَّج
تبرح	أَبْرَح,بَرَّح,بَرِح
تباعا	تِباع,أَباع,بيع
تامره	أَمَر
تاخير	NOTFOUND
تاخذوا	أَخَذ
تاتيه	أَتَى-ِ
تؤاخذني	آخَذ
بيمينك	يَمِين
بيرحاء	NOTFOUND
بوقية	وِقِيَّة,وَقِيّ,وَقْي
بنوء	نَوْء
بنتا	بَنَى-ِ,بِنْت
بنار	نار
بنائه	بَنّاء,بِناء
بلوي	لِوَى,لُوِي,لَوَى,بَلْوَى,لَيَّة
بقيع	NOTFOUND
بقراءة	قِراءَة,قارِئ
بفرس	فارِسِيّ,فَرَس
بغوا	بَغَى-ِ
بغض	بَغِض-َ,بَغَّض,بَغُض,غَضّ,بُغْض
بعوضة	عِوَض,بَعُوض
بعمود	عَمُود
بعلي	عَلِيّ,بَعْلِيّ,بَعْل
بعكك	عَكّ
بعصاه	عَصاة,عَصاً,عاصِي
بعدنا	عَدّ,بَعُد,بَعْدَ,بُعْد
بضاعة	بِضاعَة
بصوت	صَوْت
بسويق	سُوَيْق,سَوِيق
بست	باس,سِتّ,بَسّ
بزينب	زَيْنَب
برها	بُرّ,بِرّ,بَرّ
برمضان	رَمَضان
براسي	رَأْس,راسِي
براءتي	بَراءَة
بذهب	ذَهَب
بدمائهم	دَم
بدم	دَم,دَمّ
بدريا	بَدْرِيّ
بخيل	أَخْيَل,خَيْل,بَخِيل
بخلق	خَلْق,خِلْقَة,خَلَق,خُلْق
بحديدة	حَدِيدَة,حَدِيد,حُدَيْدَة
بجيد	جَيِّد
بثلث	ثُلْث
بتسع	تِسْع,تُسْع
بتحميد	NOTFOUND
ببول	بُول,بَوْل
ببناء	بَنّاء,بِناء
ببراءة	بَراءَة,بَرِيء
ببدر	بَدْر
بايمان	إِيمان,يَمِين
بايعه	بايَع
باهليهم	أَهْل,أَهْلِيّ,باهِل,آهِل
باهابها	إِهاب
بالوضوء	وُضُوء,وَضُوء
بالهجرة	هِجْرَة
بالمتعة	مُتْعَة
بالقوارير	قارُورَة
بالف	آلِف,أَلَفّ,آلَف,أَلِف,إِلْف,أَلْف
بالعروة	عُرْوَة
بالضمان	ضَمان
بالصفرة	صَفْرَة,صُفْرَة
بالشاة	شاة,شاه
بالدرهم	دِرْهَم
بالحيوان	حَيَوان
بالحلف	حَلْف,حِلْف
بالحسنة	حَسَن,حَسَنَة
بالحبشة	حَبَش
بالتلبية	تَلْبِيَة
بالبقر	بَقَر
بالافك	إِفْك,أَفْك,إِلْف,أَلْف
بالاخ	أَخ
باكلها	آكِل,أُكُل,أَكْل
باكبر	أَكْبَر
باظلافها	ظِلْف
باشد	أَشَدّ,أَشُدّ
باسهم	أُسّ,باس,آس,سَهْم
بادروا	بادَر
بابني	ٱِبْن
بابنك	ٱِبْن
باء	باء
ايه	أَيّ,إِيه,آيَة
اينعت	أَيْنَع
ايفرق	NOTFOUND
ايعجز	NOTFOUND
ايتنا	أَيّ,آيَة
اولادهم	وَلَد
اوقدوا	أَوْقَد
اوضاح	وَضَح
اوجفتم	أَوْجَف
اوثر	آثَر,وَثُر
اهو	هَوَّى,هَوَى-ِ,هَوِي-َ,أَهْوَى
اهمهم	هَمْهَم,وَهَم-ِ,هَمّ,أَهَمّ,هَما
اهم	وَهَم-ِ,هام-ِ,هَمّ,أَهَمّ,هَما
اهليكم	أَهْل,أَهْلِيّ,آهِل
اهلكهم	هَلَّك,هَلَك,أَهْلَك
اهريق	NOTFOUND
اهراق	إِهْراق
اهابها	هاب-َ,أَهاب,إِهاب
انقعت	أَنْقَع
انقذه	أَنْقَذ,نَقَذ
انصرافه	ٱِنْصِراف
انصاري	أَنْصار,أَنْصارِيّ
انسيتها	أَنَسِيّ,إِنْسِيّ,أَنَسِيَّة,أَنْسَى,إِنْسِيَّة
انزلنا	نَزَل-ِ,أَنْزَل,نَزَّل,نَزِل-َ
امور	أَمْر,مار
امسكه	مَسَّك,أَمْسَك,مَسَك
امسكن	أَمَسّ,أَمْس,مَسَى,مَسَّى,أَمْسَك,أَمْسَى,وَمَس-ِ,مَسّ-َ,ماس-ِ
امثل	مَثُل,مَثَل,مَثَّل,أَمْثَل
اماتنا	أَمات
اليمانية	يَمانِيّ
الولي	وَلِيّ
الورد	وَرْد,وِرْد
الوجهين	وَجْه
الوازع	وازِع
الو	أَلْوَى,أُلُو,لَوِي-َ,لَوَى-ِ,لَوَّى
الهنائي	هِنائِيّ
الهدم	هَدْم
النيران	نَيِّر,نار
النومة	نَوْمَة,نُوَمَة
النهبة	نُهْبَة
النقي	نَقِيّ
النصر	نَصْر
النصب	نَصْب,نُصْب,نَصَب
النسيئة	نَسِيئَة
النجش	NOTFOUND
الموسر	مُوسِر
المنزلة	مُنَزَّل,مَنْزِلَة
المنحر	مَنْحَر
المنان	مَنّان
الملحمة	مَلْحَمَة
الملة	مِلَّة,مُلَّة,مَلَّة,مَلّ
المقسم	مُقَسِّم,مَقْسَم,مُقَسَّم
المغيبة	مُغَيَّب,مُغِيب
المعمور	مَعْمُور
المطلقة	مُطْلَق
المسيل	مَسِيل,مُسَيِّل,مُسِيل
المسمي	مُسَمَّى
المزر	مِزْر
المرفوع	مَرْفُوع
المدلجي	NOTFOUND
المدبر	مُدَبِّر
اللعان	لَعْنَة,لِعان
اللطيف	لَطِيف
الكل	كُلّ
الكحل	كَحِل,كُحْل
القوا	أَلَق-ِ,أَلْقَى
القمص	قُمُّص,قَمِيص
القفازين	قُفّاز
القف	لَقِف-َ
القرب	قِراب,قُرْب,قِرْبَة,قُرْبَ
القتلة	قاتِل
القبائل	قَبِيلَة,قَبائِل
القاها	لَقِي-َ,أَلَق-ِ,أَلْقَى
الفقه	لَفَّق,فِقْه
الفاذة	NOTFOUND
الغموس	غَمُوس
الغل	غِلّ,غُلّ
الغافقي	NOTFOUND
العضاه	عِضاه
العجب	عَجَب
العالم	عالَم,عالِم
العاشر	عاشِر
الظروف	ظَرْف
الظباء	ظَبْي
الظالمين	ظالِم
الطباع	طِباع
الصيدلاني	صَيْدَلانِيّ
الصلح	صُلْح
الصفق	صَفْق
الصفار	صَفار
الشبهات	شُبْهَة
الشبه	شَبّ,شَبَه,شِبْه
الشان	NOTFOUND
السمر	أَسْمَر,سَمَر
السم	سَمّ
السلعة	سِلْعَة
السكسكي	NOTFOUND
السفن	سَفِينَة,سَفَن
السدرة	سِدْر,سِدْرَة
السابع	سابِع
الرومي	رُومِيّ
الروحاء	رَوْحاء,أَرْوَح
الرعيني	NOTFOUND
الرشد	رَشَد,رُشْد
الرزق	رِزْق
الرحماء	رَحِيم
الديباج	دِيباج
الدرجة	دَرَجَة
الدرجات	دَرَجَة
الدر	دَرّ,دُرّ
الدحداح	دَحْداح
الخميصة	خَمِيص
الخصيب	خَصِيب
الخالقين	خالِق
الحوراء	أَحْوَر
الحمية	حَمِيَّة,حَمِيّ,حُمِّيّ,حِمْيَة
الحلواء	حَلْواء
الحقوا	أَلْحَق
الحفاة	حافِي,أَلْحَف
الحاجم	NOTFOUND
الجوربين	NOTFOUND
الجحاف	NOTFOUND
الثقفية	NOTFOUND
الثقة	ثِقَة
التمسوا	ٱِلْتَمَس
التستري	NOTFOUND
التختم	NOTFOUND
التاسع	تاسِع
البلاد	بَلَد
البقول	بَقْل
البعوث	بَعْث
البريد	بَرِيد
البردة	بَرَدَة
البراد	بَرّاد
البداح	NOTFOUND
الباقي	باقِي
الايامي	أَيائِم
الاودية	وادِي
الانماري	NOTFOUND
الاليتين	آلِيّ,آلِيَّة,أَلْيَة
الاعصم	أَعْصَم
الاضحية	أُضْحِيَّة
الاصبغ	NOTFOUND
الاشياء	شَيْء
الاساري	أَسِير
الارضين	أَرْض
الارجوان	أُرْجُوان
الاخرين	آخِر,آخَر
الاحمسي	NOTFOUND
الاحتلام	NOTFOUND
الابن	ٱِبْن
اكفر	كَفَر-ِ,كَفَّر,أَكْفَر
اكحل	أَكْحَل,كَحَّل
اكثم	NOTFOUND
اكبركما	كَبَّر,كَبَر,أَكْبَر
اكبادهما	كَبِد
اقولهن	قال
اقوده	قاد,أَقْوَد
اقطعوه	أَقْطَع
اقدامهم	قَدَم,إِقْدام
اقامرك	قامَر
اقاربه	قارَب,أَقْرَب
افهمه	فَهِم-َ,أَفْهَم,فَهَّم
افهم	فَهِم-َ,وَفَى-ِ,أَفْهَم,فَهَّم
افعلوا	NOTFOUND
افرد	فَرَّد,أَفْرَد
اغر	وَغَر-ِ,غَرا,غَرّ,غَرَّى,أَغَرّ,غار,أَغار,أَغْرَى
اعنت	أَعان,عَنَّت,أَعْنَت,عَنِت-َ
اعطيناك	أَعْطَى
اعطيتكها	NOTFOUND
اعجله	عَجَّل,أَعْجَل,عَجِل-َ
اعتزل	ٱِعْتَزَل
اعتذر	ٱِعْتَذَر
اعافه	عافَى
اظل	أَظَلّ,ظَلّ-َ
اظفار	ظُفُر
اطلقوا	أَطْلَق
اطاعوك	أَطاع
اضعه	ضاع-ِ,وَضَع,أَضاع
اضحكك	ضَحِك-َ,أَضْحَك
اضاءة	إِضاءَة,أَضاء
اصناف	صِنْف
اصغرهم	أَصْغَر,صَغَّر
اصع	NOTFOUND
اشياخ	شَيْخ
اشوع	NOTFOUND
اشكل	شَكِل-َ,أَشْكَل,شَكَل,شَكَّل
اشفية	أَشْفَى,شَفَى,شِفاء
اشجع	شَجُع,شَجَّع,أَشْجَع
اشتكيت	ٱِشْتَكَى
اسيره	سَيَّر,سار-ِ,أَسار,أَسِير
اسمعك	سَمَّع,سَمِع-َ,أَسْمَع
اسلمنا	سَلَّم,أَسْلَم
اسلف	أَسْلَف,سَلَف,سَلَّف
اسكت	سَكَت,أَسْكَت,سَكَّت
اسفر	أَسْفَر,سَفَر-ِ,سَفَّر
اسجع	سَجَع-َ,سَجَّع
استشار	ٱِسْتَشار
استجب	ٱِسْتَجاب
استاجر	NOTFOUND
اسبغ	أَسْبَغ,سَبَغ-َُ
اسباغ	NOTFOUND
اسالكم	أَسال
اساري	أَسِير
ازرعوها	NOTFOUND
ازددت	ٱِزْداد
ارنبا	أَرْنَب
ارصده	أَرْصَد,رَصَّد,رَصَد,رَصِيد
اردن	رَدَن-ِ,أُرْدُنّ,أَراد
اذلقته	NOTFOUND
اذكركم	ذَكَر,أَذْكَر,ذَكَّر
ادناه	ٱِدَّنَى,أَدان,أَدْنَى,آد
ادركتها	أَدْرَك
اخوف	أَخْوَف,خَوَّف
اخوان	أَخ
اخفر	خَفِر-َ,خَفَر,خَفَّر
اخسا	NOTFOUND
اختلفت	ٱِخْتَلَف
اختان	خَتْن,أُخْت,ٱِخْتان
اخالف	خالَف
اخاكم	أَخ,آخَى
احلوا	أَحَلّ
احفروا	NOTFOUND
احصنت	أَحْصَن
احرورية	NOTFOUND
احرمنا	حَرَّم,حَرَم-ُِ
احدثه	حَدَث,أَحْدَث
احتلمت	ٱِحْتَلَم
احتسبت	ٱِحْتَسَب
احبهم	أَحَبّ,حَبّ-ِ,حَبا
اجري	أُجْرَة,أَجْر,أَجْرَى,جَرَى-ِ,أَجْرِيّ
اجرب	أَجْرَب,جَرَّب,جَرِب-َ
اجدها	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جاد,أَجاد
اجتمعت	ٱِجْتَمَع
اجاز	أَجاز,جازَى
اتيناه	آتَى,أَتَى-ِ
اتعفو	NOTFOUND
اتعرف	تَعَرَّف
اتذكر	تَذَكَّر
اتحنث	تَحَنَّث
اتان	أَتان
ابين	أَبْيَن,أَبان,بَيَّن,آبِي,بان-ِ,أَبَى-َ
ابوابها	باب
ابناءنا	ٱِبْن
ابكرا	أَبْكَر,بَكْر
ابطه	بَطّ,إِبْط
ابردوا	أَبْرَد
ابرا	أَبَرّ,إِبْرَة,أَبَّر,أَبَر-ُِ
ابتعت	ٱِبْتاع
اادخل	NOTFOUND
يوصيكم	وَصَّى,أَوْصَى
يوشع	وَشَّع
يهلل	هَلّ-ِ,أَهَلّ,هَلَّل
يهد	هاد,أَهْدَى,هَدّ-ِ,هَدَى-ِ,هَدّ
ينهزه	نَهَز-َ
ينكشف	ٱِنْكَشَف
ينفعه	نَفَّع,نَفَع-َ
ينفتل	ٱِنْفَتَل
ينضح	نَضَح-َ,نَضَح-ِ
ينس	ناس,نَسِي-َ,أَنْسَى
ينجو	نَجا
ينتهب	ٱِنْتَهَب
ينتظرها	ٱِنْتَظَر
ينافح	نافَح
يملكها	مَلَك-ِ,أَمْلَك,مَلَّك
يمكن	أَمْكَن,مَكَّن
يمش	مَشّ,أَمْشَى,مَشَّى,مَشَى-ِ
يليك	وَلِي-ِ
يلق	لَقِي-َ,لاق-ِ,أَلْقَى
يلحقوا	أَلْحَق,لَحِق-َ
يكمل	كَمَّل,كَمَل,أَكْمَل,كَمِل-َ
يكفرن	كَفَر-ِ,كَفَّر,أَكْفَر
يكررها	كَرّ,كَرَّر
يقنع	قَنَّع,قَنِع-َ,أَقْنَع
يقسمها	أَقْسَم,قَسَّم,قَسَم-ِ
يقبلك	قَبَّل,أَقْبَل,قَبِل-َ
