وابطا	إِبْط
فيرمون	رَمّ-ِ,وَرِم-ِ,رَمَى-ِ,رَمّ
فيرفع	رَفَع-َ,رَفَّع
فيذبح	ذَبَّح,ذَبَح-َ
فيدعي	ٱِدَّعَى,دَعا
فيتمني	تَمَنَّى,أَتَمّ
فيتسوك	NOTFOUND
فيتحملون	تَحَمَّل
فيبيعها	باع-ِ,أَباع
فيبقي	بَقِي-َ,أَبْقَى
فيؤمر	أَمَّر
فولي	وَلَّى,وَلِي-ِ,فُول,وَلِيّ
فولوا	وَلَّى
فول	فُول
فوكف	وَكَف-ِ,وَكْف
فوقك	فَوْق,فَوْقَ
فوفي	وَفَى-ِ,وَفَّى,وَفِيّ,فُوف
فوضعهما	وَضْع,وَضَع
فوضعنا	وَضْع,وَضَع
فوصف	وَصَف-ِ,وَصْف
فوزن	وَزْن,وَزَن-ِ
فوجا	فَوْج
فواق	واق,واقِي,فُواق
فوارس	فارِس
فهنالك	هُنالِكَ
فهكذا	هٰكَذا
فهاجر	هاجَر
فهؤلاء	هٰذا
فنكحت	كَحَّت,كَحَت-َ,نَكَح-َُِ
فنقر	أَقَرّ,نَقَّر,نَقَر,قَرّ-َِ,وَقَر-ِ,نَقْر,قَرَى-ِ,قَرا,نَقِر,نُقْرَة,نَقِر-َ
فنعته	عَتا,نَعَى-َ,عَتِه-َ,نَعْت,نَعَت-َ,نَعَى-ِ
فنضحه	أَضْحَى,نَضْح,نَضَح-َ,ضَحا,ضَحَّى,نَضَح-ِ,ضَحِي-َ
فنضح	أَضْحَى,نَضْح,نَضَح-َ,ضَحا,وَضَح-ِ,نَضَح-ِ,ضَحَّى,ضَحِي-َ
فنصف	صَفا,نَصَف,صَفَّى,أَصْفَى,صَفّ,نِصْف,وَصَف-ِ,نَصَّف
فنبشت	نَبَّش,نَبَش
فمطرت	مَطَر
فمضغها	مَضْغ,مَضَغ-َُ,مُضْغَة
فمضت	مَضّ-َ,مَضَّى,مَضّ,مَضَى-ِ
فمسسته	مَسّ-َ
فمتي	مَتَى,مَتَّى
فلينصرف	ٱِنْصَرَف
فليمط	ماط-ِ,مَطّ,مَطا,أَماط,أَمْطَى
فليغيره	غَيَّر,أَغار
فليعجل	عَجَّل,أَعْجَل,عَجِل-َ
فليطف	طاف,طاف-ِ,أَطاف,طَفا
فليطعم	أَطْعَم,طَعَّم,طَعِم-َ
فليضطجع	ٱِضْطَجَع
فليشرب	أَشْرَب,شَرِب-َ,شَرَّب
فليرقد	رَقَّد,أَرْقَد,رَقَد
فليحمد	حَمِد-َ,حَمَّد
فليجلس	جَلَس-ِ,أَجْلَس
فليجئ	جاء
فلي	فَلّ,فُلّ,فَلَى-ِ,لَيّ,فَلَّى,لِ-,لِي
فلقوا	فَلَق-ِ,لَقِي-َ,فَلَّق
فلسنا	لَيْسَ,سَنَى,لَسَن,فِلْس,سَنا,لاس,أَلْسَن,فَلَّس,لَسَّن,لَسِن-َ,لَسِن
فلتترك	تَرَك,وَتَر-ِ,تَتَر,تَرَّك
فلبسهما	لَبَّس,لَبِس-َ,لِبْس,لَبْس
فلبسها	لَبَّس,لَبِس-َ,لِبْس,لَبْس
فلاولي	وَلَّى,أَوَّل,أَوْلَى,أَوَّلِيّ
فكفر	كَفَر-ِ,كَفَّر,كُفْر,كَفَر,فَرّ,كَفْر
فكسع	كَسَع-َ
فكساها	كِسْوَة,كَسا
فكاكه	فِكاك
فقليله	قَلِيل
فقلته	قَلا,قال,قُلَّة,قَلَى-ِ,قِلَّة,قَلَّة
فقعدنا	قَعَد,قَعَّد,قَعُود
فقضاني	قَضَّى,قَضَى-ِ,قَضّ
فقصتها	قَصّ,قَصَّة,قِصَّة,فَقَّص,فَقَص-ِ
فقراته	فَقْرَة
فقرائنا	فَقِير,قارِئ
فقر	قَرّ-َِ,فَقُر,قَرّ,فَقْر
فقذرته	قَذِر,قَذَّر
فقدناها	قاد,فَقَد-ِ
فقتلوهم	قَتَل,قَتَّل
فقتلها	قَتَّل,قَتَل,قَتْل
فقار	فَقار,قارِي,قار,قارّ
فقاتلوهم	قاتَل,قاتِل
ففيهما	فِي
فعصمها	عَصْم,عَصَم-ِ,أَعْصَم
فعجبنا	عَجِب-َ,عَجَب,عَجَّب
فعاتبني	عاتَب
فطوبي	طُوبَى,طُوب
فطلبها	طَلَب
فطلبت	طَلَب
فطف	NOTFOUND
فطبخت	طَبَخ-َُ
فضاء	فَضاء,ضاء
فصرعه	صَرْع,صَرَع-َ
فصرعت	صَرَع-َ
فصرخت	صَرَخ
فصدق	صَدَق,صِدْق,صَدَّق
فص	فَصّ,ص
فشكونا	شَكّ,شَكْو,شَكا
فشقه	شَقّ,شَقَّة,شُقَّة,شِقّ
فشر	شَرّ,شَرّ-َ,فَشْر,فَشَر
فسيصير	صار,صَيَّر
فسميت	سَمَّى
فسمعني	سَمَّع,سَمِع-َ
فسماها	سَمّ,سَمَّى
فسمانا	سَمّ,سَمَّى,سَمّان
فسلوه	سَلّ,سَلِي-َ,سَلَّى,سَلا,سَلْوَة
فسكن	سَكَّن,سَكَن,ساك
فسقاهما	سَقَى-ِ,فَسَق
فسعيت	سَعَى-َ
فسحب	سَحَب-َ,سُحُب,سَحْب
فسجدته	سَجَد,سَجْدَة
فسجدت	سَجَد
فسبقته	سَبْقَة,سَبَّق,سُبْقَة,سَبَق-ُِ
فسالناها	NOTFOUND
فسالاه	سال-ِ,لاهَى
فساق	ساقِي,ساق,وَقَى-ِ,فاسِق
فسئلوا	سَأَل-َ
فزعة	فَزَع,فَزِع,فَزَّع
فزجره	زَجْر,زَجَر
فروع	فَرْع,رُوع,رَوْع,رَوَّع
فرميناه	رَمَى-ِ
فرمل	فَرْمَل,رَمْل,رَمَّل
فركضتني	رَكَض
فركبه	رِكاب,رُكْبَة,رَكْب,رَكَّب,رَكِب-َ
فرقيت	رَقَّى,رَقِي-َ
فرفعوه	رَفَع-َ,رَفَّع
فرضيت	رَضَّى,رَضِي-َ
فرضها	فَرْض,فَرَض-ِ,رَضّ
فرحوا	فَرِح-َ,فَرَّح
فرحنا	فَرِح-َ,راح,فَرَح,فَرِح,فَرَّح
فرحب	رُحْب,رَحَب,رَحُب,رَحَّب,رَحْب,رَحِب-َ
فرجمت	رَجَّم,رَجَم
فرجف	رَجَف
فرايتهم	رايَة
فذكرا	ذِكْر,ذَكَر,ذَكَّر
فذبحتها	ذَبَّح,ذِبْحَة,ذَبَح-َ
فدل	دَلّ
فدكية	NOTFOUND
فدفعنا	دَفْع,دَفَع-َ
فدفعتها	دُفْعَة,دَفَع-َ,دَفْعَة
فدفعته	دُفْعَة,دَفَع-َ,دَفْعَة
فدعه	وَدَع-َ,دَعَة,دَعّ-َ
فدعاها	دَعّ-َ,دَعا
فخليت	خَلَّى
فخرقتها	خِرْقَة,خَرَق-ُِ,خُرْقَة
فخاصمته	خاصَم
فحمله	حَمْل,حَمْلَة,حَمَل,حَمَل-ِ,حِمْل,حَمَّل
فحلقت	حَلَّق,حَلَق-ِ
فحلق	حَلَّق,حَلْق,حَلَق,حَلَق-ِ
فحلب	حَلَب,حَلَب-ُِ,حَلْب
فحكه	حِكَّة,حُكَّة,حَكّ
فحفظت	حَفِظ-َ
فحفروا	حَفَر-ِ
فحثا	حَثّ,حَثا
فجمعه	جَمَع-َ,جُمْعَة,جَمَّع,جَمْع
فجمعت	جَمَع-َ,جَمَّع
فجلسوا	جَلَس-ِ
فجلسته	جَلْسَة
فجاءتنا	جاء
فثقلت	ثَقُل,ثَقَّل
فثبت	ثاب,ثَبُت,ثَبَت,ثَبَّت
فتواصيت	تَواصَى
فتنحيت	تَنَحَّى
فتنبت	نَبَّت,أَنْبَت,نَبَت,ٱِنْبَتّ
فتنافسوها	تَنافَس,نافَس
فتمرق	مَرَق,مَرَّق
فتله	لَهِي-َ,تَلَّة,فَتْلَة,وَلِه-َِ,لَها,أَلْهَى,فَتَّل,وَلِي-ِ,فَتَل-ِ,تَلّ,لَهَّى,تَلِه-َ
فتلكات	NOTFOUND
فتقتله	قَتَّل,قَتَل
فتطعمه	تَطَعَّم,أَطْعَم,طَعَّم,طَعِم-َ
فتسوك	سَوَّك,سَوَّى,ساك,سَوِي-َ
فتزوج	زَوَّج,تَزَوَّج,تَزَوُّج
فتخلص	خَلَص,تَخَلُّص,أَخْلَص,تَخَلَّص,خَلَّص
فتحدثوا	حَدَث,تَحَدَّث,أَحْدَث
فتجعله	جَعَل-َ
فتجاوز	تَجاوُز,تَجاوَز,جاوَز
فتتبعت	تَتَبَّع
فتبين	تَبَيُّن,تَبَيَّن,أَبان,بَيَّن,بان-ِ
فتبرز	تَبَرَّز,بَرَّز,بَرَز,بَرُز,أَبْرَز
فتاكله	أَكَل
فبي	بِ,بِي
فبعثنا	عُثّ,بَعَث-َ,بَعْث
فبعثت	بَعَث-َ
فباذن	آذِن,إِذْن,أُذُن
فايهما	أَيّ
فاهلي	أَهْل,أَهْلِيّ,آهِل
فانكفات	NOTFOUND
فانكسرت	ٱِنْكَسَر
فانكره	نَكَّر,أَنْقَرَة,أَنْكَر
فانكحني	أَنْكَح,نَكَح-َُِ
فانكحتها	أَنْكَح
فانشد	نَشَد,أَنْشَد
فانحروا	NOTFOUND
فانتهرني	ٱِنْتَهَر
فانتزعها	ٱِنْتَزَع
فامرته	أَمَّر,أَمَرّ,أَمار,آمَر,إِمْرَة,أَمَر,آمِر
فالقوه	أَلَق-ِ,أَلْقَى,قُوَّة
فالغيرة	غَيْرَة
فالرجل	رَجُل,رِجْل
فاكلها	أَكَّل,آكِل,آكَل,كال-ِ,أُكُل,أَكَلّ,أَكَل,أَكْل,وَكَل-ِ
فاقعصته	NOTFOUND
فاقسمت	أَقْسَم
فاقدره	قَدَّر,أَقْدَر,قَدَر
فاقتتلوا	ٱِقْتَتَل
فاغسلوا	NOTFOUND
فاغسل	غَسَل-ِ,غَسَّل
فاعينيني	NOTFOUND
فاعمرها	عَمَر,أَعْمَر,عَمُر,عَمَّر
فاعلموا	أَعْلَم,عَلِم-َ
فاعطيتها	عَطاء,أَعْطَى
فاعطنا	أَعْطَى
فاعطانيها	NOTFOUND
فاعجبني	أَعْجَب,عَجَّب
فاعتقها	عَتُق,أَعْتَق,ٱِعْتاق
فاطفئوها	NOTFOUND
فاصبت	أَصاب
فاصابهم	أَصاب
فاصابته	إِصابَة,أَصاب
فاشفع	شَفَع-َ
فاشرف	شَرَّف,أَشْرَف,شَرُف
فاشتريتها	ٱِشْتَرَى
فاسقنا	وَسَق-ِ,أَسْقَى,ساق,سَقَى-ِ,فاسِق
فاستهل	ٱِسْتَهَلّ,ٱِسْتَهال
فاستمتع	ٱِسْتَمْتَع
فاستغفري	NOTFOUND
فاستب	ٱِسْتَبّ,ٱِسْتَبَى
فارني	وَرَى-ِ,فار,رَنَّى,رَأَى-َ,أَرْنَى
فارقها	آرِق,رَقَّى,أَراق,فارِق,أَرِق,راق-ِ,أَرَق,فارَق,أَرَّق,رَقِي-َ,أَرَقّ,راق
فارضه	راض,رَضّ,فارِض,أَرَضَة,أَرْضَى,أَرَّض,رَضَّى,أَرْض,رَضِي-َ
فارسله	أَرْسَل
فارسلنا	أَرْسَل
فارجموه	NOTFOUND
فارجعي	NOTFOUND
فارجح	رَجَّح,أَرْجَح,رَجَح-َُِ
فارتحلنا	ٱِرْتَحَل
فاذنوا	أَذِن-َ,أَذَّن,آذَن
فاذكروا	أَذْكَر
فادفعها	دَفَع-َ
فادركوا	أَدْرَك
فادركني	أَدْرَك,دَرَّك
فادارني	أَدار,دارَى
فاخي	أَخ,وَخَى-ِ,آخَى
فاخروا	فاخَر
فاخرجوا	أَخْرَج
فاخرجهما	خَرَّج,أَخْرَج
فاخذتني	أَخَذ,آخَذ,أَخَّذ
فاختطب	ٱِخْتَطَب
فاختبات	NOTFOUND
فاحسنت	أَحْسَن
فاحسب	حَسَب,حَسِب-ِ,حَسُب
فاحرم	حَرِم-َ,حَرُم,حَرَّم,حَرَم-ُِ
فاجنبنا	جَنَب,جَنَّب
فاجنبت	NOTFOUND
فاجلسه	أَجْلَس
فاجلدوهم	أَجْلَد
فاجعله	جَعَل-َ
فاجتنبوا	ٱِجْتَنَب
فاجتررته	ٱِجْتَرّ
فاثبته	أَثْبَت,أَثاب,ثَبَّت
فاتوهم	تَوَهَّم,فات,آتَى,أَتَى-ِ,آتِي
فابصر	أَبْصَر,بَصِر-َ,بَصُر,بَصَّر
فائتموا	ٱِئْتَمّ
غيم	غَيَّم,غَيْم
غيرتك	غَيَّر,غَيْرَة
غنثر	NOTFOUND
غلمة	غَلِم,غُلْمَة
غلظ	غَلُظ,غِلَظ,غَلَّظ
غلط	غَلَط,غَلِط-َ
غفرانك	غُفْران
غطيا	غَطَّى
غضيف	NOTFOUND
