فصيرك	صَيَّر
فرجك	رَجّ,فَرَّج,فَرَج,فَرْج
فرجح	رَجَّح,رَجَح-َُِ
فراره	فِرار,فَرّار
فذعته	NOTFOUND
فذبحوها	ذَبَّح,ذَبَح-َ
فدي	فِدَى,دِي,فَدَى-ِ
فدلوه	دَلّ,دَلْو,دَلَّى
فدلكها	دَلَك,دَلْك,دَلَّك
فدفد	فَدْفَد
فدعته	دَعّ-َ,دَعا,دَعَة
فدخلا	دَخْل,دَخَل
فخفضت	خَفَّض,خَفُض,خَفَض-ِ
فخفض	خَفَّض,خَفُض,خَفْض,خَفَض-ِ
فخطبا	خَطَب,خُطْبَة
فخزق	خَزْق,خَزَق-ِ,خَزَّق
فخرق	خَرَق-ُِ,أَخْرَق,خِرْقَة,خَرْق
فخذيها	أَخَذ,فَخْذ,فَخْذِيّ
فخدمته	خَدَم-ُِ,خَدَّم,خِدْمَة
فخالف	خالَف
فحيل	حِيلَة,حَيْل
فحيثما	حَيْثُما
فحي	حَيّ-َ,حَيّ,فَحّ
فحن	حان-ِ,فاح
فحمي	حُمَة,حَمِي-َ,حَم,حَمِيّ,حِمَى,حُمِّيّ,فَحْمِيّ,حَمَى-ِ,فَحْم,حُمَّى,حَمَّى
فحملوا	حَمَل-ِ,حَمَّل
فحمة	فَحْمَة,حُمَة,حَم,حُمَّة,حَمَّة,حَمّ,فَحْم,فَحَّم
فحما	حَم,حَمّ,فَحَّم,فَحْم,فَحُم,فَحَم-َ
فحلفا	حَلَّف,حَلَف-ِ,حَلْف,حِلْف
فحفت	حَفّ,حَفّ-ِ,حاف-ِ
فحسنت	حَسَّن,حَسُن
فحسمه	حَسَم-ِ,حَسْم
فحزر	حَزْر,حَزَر-ُِ
فحديثه	حَدِيث
فجهزتهم	جَهَّز,جَهَز-َ
فجهزت	جَهَّز,جَهَز-َ
فجهر	جَهُر,جَهْر,جَهَر-َ
فجلي	جَلِيّ,جَلَى-ِ,جَلّ,فِجْل,جَلَّى,جُلَّى,جُلّ
فجلا	جَلا,جَلّ,جَلّ-ِ,فِجْل,جُلّ
فجك	فَجّ
فجدي	جَدْي,جِدِّيّ,جَدّ,جِدّ
فجثا	جَثا,جَثّ
فجبذه	جَبَذ-ِ
فجب	جُبّ,جَبّ
فجاج	فَجّ
فجاءتني	جاء
فجاءا	فِجاء,جاء
فجئه	فَجِئ-َ
فجئثت	NOTFOUND
فثوب	ثَوَّب,ثَوْب
فتيممت	تَيَمَّم
فتيان	فَتَى,فَتِيّ
فتياتكم	فَتاة
فتوضئوا	NOTFOUND
فتناولها	تَناوَل,تَناوُل,ناوَل
فتملانها	أَمَلّ
فتمسه	مَسَى,مَسَّى,أَمْسَى,وَمَس-ِ,مَسّ-َ,ماس-ِ
فتلقي	لَقِي-َ,تَلَقِّي,تَلَقَّى,أَلْقَى
فتلقاهم	لَقِي-َ,تَلَقَّى
فتلاهن	فَتَّل,فَتَل-ِ,تَلّ,تَلا
فتقسمها	أَقْسَم,تَقَسُّم,قَسَّم,قَسَم-ِ
فتفرقوا	فَرَق,تَفَرَّق,فَرَّق
فتفتض	ٱِفْتَضّ
فتعرضوا	أَعْرَض,تَعَرَّض,عَرَض-ِ,عَرَّض
فتطهرين	طَهَّر,طَهَر
فتطؤه	NOTFOUND
فتصبرت	تَصَبَّر
فتستحقون	ٱِسْتَحَقّ
فتستاذن	NOTFOUND
فتساوقا	تَساوَق,تَساوُق,ساوَق
فترمي	رَمّ-ِ,وَرِم-ِ,رَمَى-ِ,رَمّ
فتذبحوا	ذَبَّح,ذَبَح-َ
فتدلكه	دَلَك,دَلَّك
فتحينت	تَحَيَّن
فتحول	تَحَوُّل,حَوَّل,تَحَوَّل,ٱِحْوَلّ,حال
فتحه	فَتَح-َ,فَتْحَة,فَتْح,وَحَى-ِ
فتحمل	تَحَمُّل,تَحَمَّل,حَمَل-ِ,حَمَّل
فتحسن	تَحَسَّن,حَسَّن,حَسُن,أَحْسَن,تَحَسُّن
فتحرك	حَرَّك,أَحار,أَحْرَى,حَرَى,تَحَرُّك,تَحَرَّك,حار
فتحدثت	تَحَدَّث
فتحاكمتا	تَحاكَم
فتتبعه	تَتَبَّع,تَبِع-َ,تَتَبُّع,أَتْبَع,ٱِتَّبَع
فتبايعا	بايَع,تَبايَع
فتاي	فَتَى
فتانا	فَتّ,فَتَى,فَتّان
فتان	فَتّان,أَنَى-ِ
فتاب	تاب,أَبَى-َ
فبهداهم	هُدَى
فبنصف	نَصَف,نِصْف
فبعه	NOTFOUND
فبعد	عَدّ,بَعْدُ,بَعُد,بَعْدَ,بُعْد
فبسطنا	بَسُط,بَسْط,بَسَّط,بَسَط,بِساط
فبزق	بَزْق,زَقّ,بَزَق
فبراه	بَرَى,بَرَى-ِ
فبدلوا	بَدَل,بَدَّل
فباي	أَيّ,باي
فايهم	أَيّ
فاياكم	إِيّا
فاومت	NOTFOUND
فاومئوا	NOTFOUND
فاولتها	أَوَّل,أَوْلَى
فاولت	أَوَّل,أَوْلَى
فاوفاهم	أَوْفَى
فاوتروا	أَوْتَر
فاواه	أَوَّه,أَوَى-ِ,آوَى,أَوَّى
فاهويت	أَهْوَى
فاهمني	وَهَم-ِ,هَمّ,أَهَمّ,هَما
فاهريق	NOTFOUND
فاهرقها	أَهْرَق,هَرَق-َ
فاهدرها	أَهْدَر,هَدَر-ِ
فاهدر	هَدَر,أَهْدَر,هَدَر-ِ
فاهجروهن	أَهْجَر
فانفتل	ٱِنْفَتَل
فاندقت	ٱِنْدَقّ
فاندر	أَنْدَر,نَدَر,نَدُر
فانجابت	ٱِنْجاب
فانتهرهما	ٱِنْتَهَر
فانتن	نَتِن-َ,نَتَن-ِ,نَتَّن,أَنْتُنَّ,نَتُن,أَنْتَن
فانتقلت	ٱِنْتَقَل
فانتفعوا	ٱِنْتَفَع
فانتظرهم	ٱِنْتَظَر
فانتظر	ٱِنْتَظَر
فانتصب	ٱِنْتَصَب
فانتزعت	ٱِنْتَزَع
فانبعث	ٱِنْبَعَث
فاناوله	ناوَل
فانام	أَنام,آنام,نام-َ
فامني	أَمْنِيّ,مَنَى-ِ,أَمَنّ,أَمْن,آمِن,مَنَّى
فامضيت	أَمْضَى
فامسكن	أَمَسّ,أَمْس,مَسَى,مَسَّى,أَمْسَك,أَمْسَى,وَمَس-ِ,مَسّ-َ,ماس-ِ
فامرتني	أَمَّر,أَمَرّ,أَمار,آمَر,أَمَر
فامرؤ	اِمْرُؤ,مَرُؤ-َ,مَرِئ-َ
فالنصف	نَصَف,نِصْف
فالقتنا	أَلَق-ِ,أَلْقَى
فالصوم	صائِم,صَوْم
فالتزمه	ٱِلْتَزَم
فالتحف	تُحْفَة,ٱِلْتَحَف
فالامير	أَمِير
فالامام	إِمام,أَمامَ,أَمام
فاقوم	قام,أَقْوَم,قَوَّم
فاقمت	أَقام
فاقع	وَقَع-َ,أَقْعَى,فاقِع
فاقضيك	قَضَى-ِ,قَضَّى
فاقصر	قَصُر,قَصَر-ِ,قَصَّر,قَصَر,أُقْصُر,أَقْصَر
فاقتصوا	ٱِقْتَصّ
فافنيت	أَفْنَى
فافزع	فَزِع-َ,فَزَّع,أَفْزَع
فافرغها	فَرَّغ,أَفْرَغ
فافتاني	أَفْتَى
فاغناه	أَغْنَى,أَغَنّ
فاغلقوا	أَغْلَق
فاغلقها	غَلَق-ِ,أَغْلَق
فاغد	غَدِي-َ,غَدا,غَدَّى
فاعيذوه	NOTFOUND
فاعياهم	أَعْيَى
فاعني	أَعان,عَنَى-ِ,عَنَّى,عَنا,وَعَى-ِ
فاعمد	عَمَّد,عَمَد-ِ
فاعل	فاعِل,أَعال,فاعَل,عَلا,أَعْلَى,عال-ِ,عال,عَلَّى
فاعظم	عَظُم,أَعْظَم,عَظَّم
فاعطهم	أَعْطَى
فاعطها	أَعْطَى
فاعطني	أَعْطَى
فاعطته	أَعْطَى
فاعط	أَعْطَى
فاعجبنني	أَعْجَب
فاعتمري	NOTFOUND
فاعتقته	أَعْتَق,ٱِعْتاق
فاعتزلوا	ٱِعْتَزَل
فاعبد	عَبَد,عَبَّد
فاطمئن	طَمْأَن,ٱِطْمَأَنّ
فاطلعت	أَطْلَع,ٱِطَّلَع
فاطرتها	أَطَّر,أَطَر-ُِ,أَطْرَى
فاصنعه	صَنَّع,صَنَع-َ
فاصلحوا	أَصْلَح
فاصطفاها	ٱِصْطَفّ,ٱِصْطَفَى
فاصابتهم	إِصابَة,أَصاب
فاشهدك	شَهِد-َ,أَشْهَد
فاشخص	أَشْخَص,شَخَّص
فاشتكيت	ٱِشْتَكَى
فاشتركنا	ٱِشْتَرَك
فاسند	سَنَّد,أَسْنَد,سَنَد
فاسكت	سَكَت,أَسْكَت,سَكَّت
فاسفل	سَفَل,سَفِل-َ,أَسْفَل,سَفُل
فاسر	أُسْرَة,أَسَر-ِ,سَرَّى,سار-ِ,سَرَى-ِ,أَسار,أَسَرّ,سَرّ,أُسْر,أَسْرَى,أَسْر
فاستوفي	ٱِسْتَوْفَى
فاستوخموا	NOTFOUND
فاستمتعتم	ٱِسْتَمْتَع
فاستله	ٱِسْتَلّ
فاستقوا	ٱِسْتَقَى
فاستقام	ٱِسْتَقام
فاستفتيته	ٱِسْتَفْتَى
فاستعنتهم	ٱِسْتَعان
فاستضافوهم	ٱِسْتَضاف
فاستشرف	ٱِسْتَشْرَف
فاستشارهم	ٱِسْتَشار
فاستخرجها	ٱِسْتَخْرَج
فاستحملناه	NOTFOUND
فاستثبت	ٱِسْتَثْبَت,ٱِسْتَثاب
فاستامره	NOTFOUND
فاستاخري	NOTFOUND
فاسال	أَسال
فازددت	ٱِزْداد
فاريد	أَراد
فارموهم	أَرَّم,أَرَم-ِ
فارقنا	آرِق,رَقَّى,أَراق,فارِق,أَرِق-َ,أَرِق,راق-ِ,أَرَق,أَرَّق,فارَق,رَقِي-َ,أَرَقّ,راق
فارقته	آرِق,أَراق,فارِق,أَرِق,أَرْقَة,فارَق,أَرَّق,أَرَقّ
فارفعه	أَرْفَع,رَفَع-َ,رَفَّع
فارغا	فارِغ
فارضعته	أَرْضَع
فارسلن	أَرْسَل
فارخي	رَخِي-َ,أَرْخَى
فارجعه	أَرْجَع,رَجَّع,رَجَع-ِ
فارتد	ٱِرْتاد,ٱِرْتَدّ,ٱِرْتَدَى
فاراك	فارّ,فار,رَأَى-َ
فاذاه	أَذَى,أَذاة,آذَى
فاديت	أَدَّى,فادَى
فادوا	أَدَّى,أَدّ,فادَى,آد
فادلجوا	أَدْلَج
فادفعاها	NOTFOUND
فادفع	دَفَع-َ
فادركهم	أَدْرَك,دَرَّك
فاخره	آخِرَة,فاخَر,خار-ِ,فاخِر,آخِر,خار,آخَر
فاخرجي	NOTFOUND
فاخرجها	خَرَّج,أَخْرَج
فاخرجتها	أَخْرَج
فاخذهم	آخِذ,أَخْذ,أَخَذ,آخَذ,أَخَّذ
فاخذا	آخِذ,أَخْذ,أَخَذ,آخَذ,أَخَّذ
فاختلفنا	ٱِخْتَلَف
فاختلفا	ٱِخْتَلَف
فاختلف	ٱِخْتَلَف
فاختصمت	ٱِخْتَصَم
فاخبرتهن	أَخْبَر
فاخبرتاه	أَخْبَر
فاخبراه	أَخْبَر
فاحملهم	أَحْمَل,حَمَل-ِ,حَمَّل
فاحضرت	أَحْضَر
فاحتملوا	ٱِحْتَمَل
فاحبوه	أَحَبّ,حَبا
فاجلده	جَلَد-ِ,جَلِد-َ,جَلَّد,أَجْلَد
فاجعلوه	NOTFOUND
فاجري	فاجِر,أُجْرَة,أَجْر,أَجْرَى,جَرَى-ِ,أَجْرِيّ
فاجتووها	ٱِجْتَوَى
فاجتهدوا	ٱِجْتَهَد
فاجتنبوه	ٱِجْتَنَب
فاجتب	ٱِجْتَبَى
فاتوها	فات,آتَى,أَتَى-ِ,آتِي
فاتركي	تَرَك
فابليت	أَبْلَى
فابعث	بَعَث-َ
فابتعته	ٱِبْتاع
فابتاعه	ٱِبْتاع
فؤاده	فُؤاد
غوي	غَوَى-ِ,غَوِي-َ,غَوَّى
غول	غُول
غنيم	غُنَيْم
غنمنا	غَنِم-َ,غُنْم,غَنَّم,غَنَم
غنائمهم	غَنِيمَة
غمزت	غَمَز-ِ
غلها	غُلّ,غِلّ,غَلّ-ِ,غَلّ
غلبننا	غَلَب-ِ
غضبة	غَضْبَة,غَضِب,غَضَب
غشيناه	غَشِي-َ,غَشَّى
غشوه	غَشْوَة,غَشّ,غَشِي-َ,غَشا,غَشَّى
غسلت	غَسَل-ِ,غَسَّل
غزوا	غَزا,غَزْو
غرفات	NOTFOUND
غرست	غَرَس-ِ
غرز	غَرْز,غَرَز-ِ,غَرَّز
غرثي	NOTFOUND
غداء	غَداء
غاش	غاشّ
غاديان	غادِي
عينان	عَيْن
عيرا	عَيْر,عَيَّر
عورتك	عَوَّر,عَوْرَة
عوراتنا	عَوْرَة
عودي	عُود
عوج	عَوَج,عَوَّج,عَوِج-َ,أَعْوَج
عوان	عَوان
عوالي	عالِيَة
عهودك	عَهْد
عهدي	عَهْد
عنفقته	NOTFOUND
عنتم	عَنَّت,عَنِت-َ
عنانا	عِنان,عَنَى-ِ,عَنان,عَنَّى,عَنا
عنان	عِنان,عَنان
عمياء	أَعْمَى
عمهما	عَمّ
عمرك	عَمَر,عَمُر,عُمْر,عَمَّر,عُمَر
عمالا	عامِل
عليبة	عُلَيْبَة
علو	عُلُوّ
علمكم	عَلِم-َ,عِلْم,عَلَم,عَلَّم
علمائهم	عالِم
علقها	عَلَّق
علانية	عَلانِيَّة
علاق	عَلّاق
عكن	NOTFOUND
عقيلا	عَقِيل
عقبا	عَقَب,عُقْب,عَقَّب
عقابك	عُقاب,عِقاب
عفريتا	عِفْرِيت
عفرتي	عُفْرَة
عظيمتين	عَظِيم
عظمها	عُظْم,عَظْم,عَظَّم
عظمائهم	عَظِيم
عطشا	عَطَّش,عَطَش,عَطِش,عَطِش-َ
عطائي	عَطاء
عضباء	NOTFOUND
عصيت	عَصَى-ِ
عصفورا	عُصْفُور
عصارة	عُصار,عَصّارَة
عشور	عَشُور,عُشْر
عشانة	NOTFOUND
عسكرهم	عَسْكَر
عزبا	عِزْبَة,عَزَب-ِ,أَعْزَب,عَزَّب,عَزَب
عزائم	عَزِيمَة
عرية	عُرْي
عرفتم	عَرَّف,عَرَف-ِ
عرسه	عَرَّس,عُرْس
عرزب	NOTFOUND
عربية	عَرَبِيَّة,عَرَبِيّ
عراض	عَرِيض
عذري	عُذْر,عُذْرِيّ
عدوك	عَدّ,عَدَّى,عَدا,عَدُوّ,عَدْو
عدوات	عُدْوَة
عدتك	عَدّ,عُدَّة,عَدَّى,عِدَة,عَدا,عاد,عِدَّة
عجير	NOTFOUND
عجائز	عَجُوز
عثراتهم	عَثْرَة
عتقا	عَتُق,عِتْق,عَتَق-ِ
عبية	NOTFOUND
عبادتك	عِبادَة
عامي	عامِّيّ,عامِي,عام,عامّ
عالج	عالَج
عاقل	عاقِل
عاض	عاض
عارضا	عارَض,عارِض
عاديت	عادَى
عابر	عابِر
عابد	عابِد
ظهورهما	ظُهُور
ظهورنا	ظُهُور
ظنناه	ظَنّ
ظلمات	ظُلْمَة
ظلل	ظُلَّة,ظَلَّل
ظلف	ظِلْف
ظروف	ظَرْف
ظاهرت	ظاهَر
طينا	طِين,طَيَّن,طَيّ
طيبكم	طَيَّب,طِيب,طَيِّب
طووا	طَوَى-ِ
طوال	طَوِيل,طِوالَ
طوائف	طائِفَة
طلبت	طَلَب
طغيانا	طَغَى-َ,طُغْيان
طعامي	طَعام
طرفاها	طَرَف-ِ,طَرَف
طرحه	طَرَّح,طَرَح-َ,طَرْح,طَرْحَة
طبخت	طَبَخ-َُ
طبت	طَبّ,طاب-ِ
طب	طَبّ,طِبّ
طاوعته	طاوَع
طاهرتين	طاهِر
طالبها	طالَب,طالِب
طاقة	طاق,طاقَة
طارقا	طارِق
طارت	طار-ِ
ضيقا	ضَيِّق,ضِيق,ضَيَّق
ضيفك	ضَيْف
ضيعت	ضَيَّع
ضياء	ضِياء
ضمني	ضِمْنَ,ضَمّ,ضِمْن,ضِمْنِيّ
ضمان	ضَمان
ضللت	ضَلَّل,ضَلّ
ضلال	ضالّ,ضَلال
ضريبته	ضَرِيبَة
ضروعا	ضَرْع
ضرسه	ضَرَس,ضَرَّس,ضِرْس
ضربها	ضَرَب,ضَرْب,ضَرَّب
ضربني	ضَرَب,ضَرَّب
ضربتهم	ضَرَب,ضَرَّب,ضَرْبَة
ضراب	NOTFOUND
ضخمة	ضَخْم,ضَخَّم
ضحاياهم	ضَحِيَّة
ضجعة	ضَجَع-َ,ضَجْعَة
ضبابا	ضَباب
ضبائر	ضِبارَة
ضان	NOTFOUND
ضاقت	ضاق
ضارية	ضَراوَة,ضارّ
صيدا	صَيْداء,صَيْد
صيحة	صَيْحَة,صَيْح,صَيَّح
صيبا	NOTFOUND
صيامنا	صائِم,صِيام
صومعة	صَوْمَعَة
صوركم	صَوَّر,صُورَة
صواحباتي	NOTFOUND
صهرا	صَهْر,صِهْر,صَهَر-َ
صهر	صَهْر,صِهْر,صَهَر-َ
صنيع	صَنِيع
صمعة	NOTFOUND
صماء	أَصَمّ
صليع	NOTFOUND
صليتموها	صَلِي-َ,صَلَّى,صَلَى-ِ
صلت	صال,صَلَّى,صَلَى-ِ,صَلُت
صكه	صَكّ
صكة	صَكّ
صفوفنا	صَفّ,صُفُوف
صغيرنا	صَغِير
صغارا	صَغِير
صرع	صَرْع,صَرَع-َ
صدقي	صِدْق,صِدْقِي
صدقاتهم	صَدَقَة
صدغه	صُدْغ
صخير	صُخَيْر
صحفة	صَحْفَة,صَحِيفَة,صَحَّف
صحبتها	صَحِب-َ,صُحْبَة
صبيانا	صَبِيّ,صَبَّى
صالحين	صالِح
صالحهم	صالِح,صالَح
صافحني	صافَح
صاعها	صاع
صاحباي	صاحِب
صابرون	صابِر
شيوخ	شَيْخ,شُيُوخ
شوكر	NOTFOUND
شواها	شاة,شَواة,شَوَى-ِ
شهرة	شَهَّر,شُهْرَة,شَهْر,شَهَر-َ
شهده	شَهِد-َ
شهادتهما	شَهادَة
شنظير	NOTFOUND
شمالا	شَمال,شِمال
شلو	شِلْو
شكواه	شَكْوَى,شَكا
شقية	شَقِيّ,شَقّ,شِقّ
شقران	NOTFOUND
شفقا	شَفِق-َ,شَفَق
شغله	شَغَّل,شَغَل-َ,شُغْل,شَغْل
شغلتني	شَغَّل,شَغَل-َ
شعيرات	NOTFOUND
شعرك	شِعْر,شَعَر,شَعْر
شريكا	شَرِيك
شريحا	NOTFOUND
شركة	شِرْك,شَرِك-َ,شَرِكَة,شَرَك
شركاءه	شَرِيك
شرقيا	شَرْقِيّ
شرع	شَرْع,شَرَّع,شَرَع,شَرَع-َ
شرطت	شَرَط,شَرَّط
شرطان	شَرْط
شراركم	شَرّار,شَرارَة
شرابهم	شَرّاب,شُرّاب,شَراب
شددت	شَدّ-ُِ,شَدَّد
شدا	شَدّ-ُِ,شَدّ,شَدا
شحناء	شَحْناء
شحا	شَحّ,شُحّ
شجرتين	شَجِر,شَجَرَة
شبة	شَبَّه,شَبّ-ِ,شَبّ,شَبَه,شِبْه
شباك	شَبّ-ِ,شَباً,شَبّ,شُبّاك,شَبَكَة
شبابا	شَبّ,شَباب
شاننا	شان-ِ
شافي	شافِي
شاذة	شاذّ
شات	شاتِي
شابة	شابَّة,شابّ,شابَه,شاب
شؤم	شُؤْم
سيوف	سَيْف,وَفَّى,أَوْفَى
سيهزم	هَزَم-ِ
سيمين	NOTFOUND
سيفقدوني	فَقَد-ِ,أَفْقَد
سيغلبون	غَلَب-ِ
سير	سِيرَة,سَيَّر,سَيْر,وَرَى-ِ,رَأَى-َ
سيجعل	جَعَل-َ
سياسة	سِياسَة,أَسِي-َ,أَسا,سايِس
سيارة	سَيّارَة,سَيّار
سياتيها	أَتَى-ِ
سياتي	أَتَى-ِ
سيئا	سَيِّء
سويته	سَوَّى,سَوِيَّة,سَوِيّ,سَوِي-َ
سورتها	سُورَة,سَوَّر,سَوْرَة
سود	أَسْوَد,سَوَّد,سُود
سوادي	سَواد
سواة	سَوَّى,سِوَى
سهو	سَهْو
سميطا	NOTFOUND
سمل	سَمَل
سمحا	سَمْح,سَمَح-َ,سَمَّح
سليما	سَلِيم
سلطانا	سُلْطان,سَلَّط
سلبة	سَلْب,سَلَب,سِلاب
سلاحا	سِلاح
سكرجة	سُكُرُّجَة
سكرات	سَكْرَة
سكتتين	سَكْتَة
سفره	سَفَر,سَفَر-ِ,سَفَّر,سَفْرَة,سِفْر,سُفْرَة
سعيدة	سَعِيد
سعلة	سُعْلَة,سَعَل
سرحة	سَرَح-َ,سَرِح-َ,سَرَّح
سرتم	سار-ِ
سراة	سارِي,سَراة,سَرَّى,سَرّ
سراب	سَراب
سحورهما	سِحْر,سَحُور,سَحْر
سحت	سَحّ,سُحْت,ساح-ِ,ساح
سجن	سَجْن,سِجْن,سَجَن
سجدتم	سَجَد
سجدتان	سَجْدَة
سجالا	سِجال
ستفتح	فَتَح-َ
سبيلهم	سَبِيل
سبوح	سَبُوح
سبقناكم	سَبَّق,سَبَق-ُِ
سبقته	سَبْقَة,سَبَّق,سُبْقَة,سَبَق-ُِ
سبخة	سَبَخ,سَبَخَة,سَبِخ
سببا	سَبَب,سَبَّب
ساوم	ساوَم
سامع	ماع-ِ,مَعا,أَماع,سامِع
سالكم	سال-ِ,لَكَم,وَلِي-ِ
سالكا	سالِك
سالا	سال-ِ
ساقطة	ساقِطَة,قَطّ,ساقِط
سافروها	سافَر
ساعيا	عَيِي-َ,ساعِي,عَيّ-َ
ساطع	أَطاع,طاع,ساطِع
ساريتين	سارِيَة,سارِي
ساذجين	ساذِج
سادس	دَسّ,داس,سادِس,دَسَّى
ساحدثك	حَدَث,أَحْدَث
سائره	وَأَر,سائِر
ساء	ساء
سئلها	NOTFOUND
زيارتها	زِيارَة
زوارات	NOTFOUND
زهيرا	زُهَيْر
زهوقا	زَهُوق
زمزمة	زَمْزَمَة,زَمْزَم
زرت	زَرَى-ِ,زَرّ,زار
زدنا	زاد-ِ
زحاما	زِحام
زبيدا	زُبَيْد
زبيبتان	زَبِيب
زبيبة	زَبِيب
زالوا	زال-َ,زال
زاكية	NOTFOUND
زادك	زاد-ِ,زاد
ريق	رَيِّق,رِيق
ريف	رِيف
ريطة	NOTFOUND
ريثما	رَيْثَما
ريبة	رَيْب,رِيبَة
رووه	رَوَى-ِ,رَوَّى
رومية	رُومِيّ
روثة	رَوْث
روايتهما	رِوايَة
رهطه	رَهَط-َ,رَهْط
رميته	رَمَى-ِ,رَمْيَة,رَمِيَّة
رميتم	رَمَى-ِ
رمد	رَمِد-َ,رَمَّد,رَمَد,رَمِد
رمادا	رَماد
ركعوا	رَكَّع,رَكَع-َ
ركس	NOTFOUND
ركبة	رِكاب,رُكْبَة,رَكْب,رَكَّب,رَكِب-َ
رفعتم	رَفَع-َ,رَفَّع
رف	رَفّ-ِ,رَفّ
رعلا	NOTFOUND
رطبات	NOTFOUND
رضيتم	رَضَّى,رَضِي-َ
رضواني	رِضْوان,رِضْوانِيّ
رضني	رَضّ
رضاعه	رِضاع,رَضاعَة,رَضّاعَة
رسله	رِسْل,رَسْل,رَسُول
رستم	رُسْتُم
رزقهن	رَزَق,رِزْق
رزقتني	رَزَق
رديفه	رَدِيف
رجمها	رُجْمَة,رَجَّم,رَجْم,رَجَم
رجليك	رَجُل,رِجْل
رجفات	NOTFOUND
رجعة	رَجْعَة,رَجَّع,رَجَع-ِ,رَجْع
رجعا	رَجَّع,رَجَع-ِ,رَجْع
رثي	رَثْي,رَثَى,رَثّ
ربهما	رُبّ,رَبّ
ربقة	رِبْق,رِبْقَة
ربعيا	رُبْعِيّ
ربض	رَبَض-ِ,رَبَض
ربة	رَبَّة,رِبَّة,رُبّ,رَبّ
رايهم	رَأْي
رايكم	رَأْي
رايتموهم	NOTFOUND
راوني	NOTFOUND
راهب	راهِب
راقدة	راقِد
راغمة	راغِم
راعيا	راعَى,راعِي
راسا	رَأْس
راحلتين	راحِل,راحِلَة
راحتيه	راحَة
راحته	راح,راحَة
راجعها	راجِع,راجَع
راجعة	راجِع,راجَع
رابية	رابِيَة,رابّ
رؤياكم	رُؤَى
رؤبة	رُؤْبَة
ذوقوا	NOTFOUND
ذكرتني	ذَكَر,ذَكَّر
ذكرتا	ذَكَر,ذَكَّر
ذكاؤها	ذَكاء
ذعرتها	ذَعَر-َ
ذرعه	ذَرَع-َ,ذَرْع
ذراعي	ذِراع
ذراريكم	ذُرِّيَّة
ذبحهما	ذَبَّح,ذَبْح,ذَبَح-َ
ذبحا	ذَبَّح,ذَبْح,ذَبَح-َ
ديمة	دِيمَة
ديماس	دِيماس
دياركم	دار,دَيّار
دويد	NOTFOUND
دونهن	دُونَ,دَوَّن,دُون
دوننا	دُونَ,دَوَّن,دُون
دولا	دَوْلَة
دنياكم	دَنِيّ,دَنَّى,دُنْيا
دندنتك	دَنْدَن
دندنة	دَنْدَن
دمعي	دَمْعِيّ,دَمِيع,دَمْع
دليلة	دَلِيل
دلوها	دَلّ,دَلْو,دَلَّى
دلوه	دَلّ,دَلْو,دَلَّى
دلكا	دَلَك,دَلْك,دَلَّك
دقيقا	دَقِيق
دفنه	دَفَن-ِ,دَفْن,داف
دفعوا	دَفَع-َ
دفعها	دَفْع,دَفَع-َ
دفعته	دُفْعَة,دَفَع-َ,دَفْعَة
دفعة	دُفْعَة,دَفْع,دَفَع-َ,دَفْعَة
دغلا	دَغَل
دعوتهم	دَعْوَة,دَعا
دعواهما	دَعْوَى,دَعا
دعنا	وَدَع-َ,دَعّ-َ
